"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Jordan","Aruba","2014.0","Export","1.0","0.04","4.2","0.0"
"Jordan","Afghanistan","2014.0","Export","9.0","0.39","1266.7","0.02"
"Jordan","Angola","2014.0","Export","27.0","1.18","2331.64","0.03"
"Jordan","Albania","2014.0","Export","5.0","0.22","343.93","0.0"
"Jordan","United Arab Emirates","2014.0","Export","666.0","28.99","332069.04","3.96"
"Jordan","Argentina","2014.0","Export","9.0","0.39","6348.81","0.08"
"Jordan","Armenia","2014.0","Export","5.0","0.22","1877.11","0.02"
"Jordan","Australia","2014.0","Export","64.0","2.79","19989.65","0.24"
"Jordan","Austria","2014.0","Export","19.0","0.83","1418.11","0.02"
"Jordan","Azerbaijan","2014.0","Export","10.0","0.44","1792.82","0.02"
"Jordan","Burundi","2014.0","Export","3.0","0.13","8.05","0.0"
"Jordan","Belgium","2014.0","Export","50.0","2.18","29873.97","0.36"
"Jordan","Benin","2014.0","Export","2.0","0.09","128.32","0.0"
"Jordan","Burkina Faso","2014.0","Export","1.0","0.04","89.08","0.0"
"Jordan","Bangladesh","2014.0","Export","17.0","0.74","3730.03","0.04"
"Jordan","Bulgaria","2014.0","Export","14.0","0.61","55506.58","0.66"
"Jordan","Bahrain","2014.0","Export","205.0","8.92","61977.17","0.74"
"Jordan","Bosnia and Herzegovina","2014.0","Export","9.0","0.39","698.13","0.01"
"Jordan","Belarus","2014.0","Export","3.0","0.13","253.79","0.0"
"Jordan","Bolivia","2014.0","Export","1.0","0.04","186.29","0.0"
"Jordan","Brazil","2014.0","Export","12.0","0.52","7021.92","0.08"
"Jordan","Brunei","2014.0","Export","4.0","0.17","51.82","0.0"
"Jordan","Canada","2014.0","Export","60.0","2.61","49608.32","0.59"
"Jordan","Switzerland","2014.0","Export","45.0","1.96","2549.98","0.03"
"Jordan","Chile","2014.0","Export","9.0","0.39","533.7","0.01"
"Jordan","China","2014.0","Export","100.0","4.35","186339.98","2.22"
"Jordan","Cote d'Ivoire","2014.0","Export","10.0","0.44","1492.71","0.02"
"Jordan","Cameroon","2014.0","Export","7.0","0.3","791.83","0.01"
"Jordan","Congo, Rep.","2014.0","Export","7.0","0.3","293.91","0.0"
"Jordan","Colombia","2014.0","Export","6.0","0.26","1850.16","0.02"
"Jordan","Costa Rica","2014.0","Export","2.0","0.09","98.02","0.0"
"Jordan","Cuba","2014.0","Export","","","",""
"Jordan","Cyprus","2014.0","Export","28.0","1.22","2382.6","0.03"
"Jordan","Czech Republic","2014.0","Export","12.0","0.52","124.72","0.0"
"Jordan","Germany","2014.0","Export","144.0","6.27","41330.66","0.49"
"Jordan","Djibouti","2014.0","Export","9.0","0.39","2227.91","0.03"
"Jordan","Denmark","2014.0","Export","31.0","1.35","1148.3","0.01"
"Jordan","Dominican Republic","2014.0","Export","5.0","0.22","836.03","0.01"
"Jordan","Algeria","2014.0","Export","101.0","4.4","122862.86","1.47"
"Jordan","East Asia & Pacific","2014.0","Export","281.0","12.23","524108.92","6.25"
"Jordan","Europe & Central Asia","2014.0","Export","541.0","23.55","558405.3","6.66"
"Jordan","Ecuador","2014.0","Export","2.0","0.09","1225.2","0.01"
"Jordan","Egypt, Arab Rep.","2014.0","Export","349.0","15.19","136708.67","1.63"
"Jordan","Eritrea","2014.0","Export","5.0","0.22","149.04","0.0"
"Jordan","Spain","2014.0","Export","51.0","2.22","42645.95","0.51"
"Jordan","Estonia","2014.0","Export","2.0","0.09","48.81","0.0"
"Jordan","Ethiopia(excludes Eritrea)","2014.0","Export","17.0","0.74","67319.04","0.8"
"Jordan","Finland","2014.0","Export","5.0","0.22","82.9","0.0"
"Jordan","Fiji","2014.0","Export","1.0","0.04","2.82","0.0"
"Jordan","France","2014.0","Export","81.0","3.53","12940.31","0.15"
"Jordan","Free Zones","2014.0","Export","1344.0","58.51","821926.9","9.8"
"Jordan","Gabon","2014.0","Export","4.0","0.17","212.78","0.0"
"Jordan","United Kingdom","2014.0","Export","130.0","5.66","35987.03","0.43"
"Jordan","Georgia","2014.0","Export","2.0","0.09","29.33","0.0"
"Jordan","Ghana","2014.0","Export","17.0","0.74","2180.73","0.03"
"Jordan","Guinea","2014.0","Export","9.0","0.39","399.43","0.0"
"Jordan","Gambia, The","2014.0","Export","1.0","0.04","13.93","0.0"
"Jordan","Greece","2014.0","Export","22.0","0.96","10718.71","0.13"
"Jordan","Guatemala","2014.0","Export","3.0","0.13","354.44","0.0"
"Jordan","Hong Kong, China","2014.0","Export","54.0","2.35","7421.01","0.09"
"Jordan","Honduras","2014.0","Export","1.0","0.04","325.14","0.0"
"Jordan","Croatia","2014.0","Export","3.0","0.13","31.91","0.0"
"Jordan","Haiti","2014.0","Export","8.0","0.35","441.61","0.01"
"Jordan","Hungary","2014.0","Export","16.0","0.7","3318.58","0.04"
"Jordan","Indonesia","2014.0","Export","17.0","0.74","121321.58","1.45"
"Jordan","India","2014.0","Export","87.0","3.79","650844.51","7.76"
"Jordan","Ireland","2014.0","Export","11.0","0.48","6415.25","0.08"
"Jordan","Iran, Islamic Rep.","2014.0","Export","27.0","1.18","19290.17","0.23"
"Jordan","Iraq","2014.0","Export","886.0","38.57","1284319.08","15.32"
"Jordan","Iceland","2014.0","Export","2.0","0.09","5.79","0.0"
"Jordan","Israel","2014.0","Export","214.0","9.32","127724.97","1.52"
"Jordan","Italy","2014.0","Export","95.0","4.14","57127.62","0.68"
"Jordan","Jamaica","2014.0","Export","4.0","0.17","436.45","0.01"
"Jordan","Japan","2014.0","Export","34.0","1.48","32612.79","0.39"
"Jordan","Kazakhstan","2014.0","Export","12.0","0.52","629.58","0.01"
"Jordan","Kenya","2014.0","Export","25.0","1.09","8279.39","0.1"
"Jordan","Kyrgyz Republic","2014.0","Export","2.0","0.09","128.49","0.0"
"Jordan","Cambodia","2014.0","Export","10.0","0.44","631.98","0.01"
"Jordan","Korea, Rep.","2014.0","Export","55.0","2.39","26159.45","0.31"
"Jordan","Kuwait","2014.0","Export","340.0","14.8","179502.38","2.14"
"Jordan","Lebanon","2014.0","Export","321.0","13.97","142656.12","1.7"
"Jordan","Liberia","2014.0","Export","9.0","0.39","1010.93","0.01"
"Jordan","Libya","2014.0","Export","232.0","10.1","44838.2","0.53"
"Jordan","Latin America & Caribbean","2014.0","Export","56.0","2.44","28281.61","0.34"
"Jordan","Sri Lanka","2014.0","Export","17.0","0.74","1292.62","0.02"
"Jordan","Lithuania","2014.0","Export","7.0","0.3","2168.0","0.03"
"Jordan","Luxembourg","2014.0","Export","2.0","0.09","10.99","0.0"
"Jordan","Latvia","2014.0","Export","4.0","0.17","109.62","0.0"
"Jordan","Morocco","2014.0","Export","64.0","2.79","12792.01","0.15"
"Jordan","Moldova","2014.0","Export","8.0","0.35","901.54","0.01"
"Jordan","Madagascar","2014.0","Export","1.0","0.04","29.97","0.0"
"Jordan","Maldives","2014.0","Export","4.0","0.17","18.44","0.0"
"Jordan","Middle East & North Africa","2014.0","Export","1765.0","76.84","4025316.1","48.0"
"Jordan","Mexico","2014.0","Export","21.0","0.91","4558.33","0.05"
"Jordan","Macedonia, FYR","2014.0","Export","","","",""
"Jordan","Mali","2014.0","Export","6.0","0.26","71.92","0.0"
"Jordan","Malta","2014.0","Export","3.0","0.13","799.74","0.01"
"Jordan","Myanmar","2014.0","Export","1.0","0.04","104.26","0.0"
"Jordan","Mongolia","2014.0","Export","2.0","0.09","67.15","0.0"
"Jordan","Mozambique","2014.0","Export","2.0","0.09","9580.1","0.11"
"Jordan","Mauritania","2014.0","Export","18.0","0.78","1015.0","0.01"
"Jordan","Mauritius","2014.0","Export","11.0","0.48","1217.49","0.01"
"Jordan","Malawi","2014.0","Export","","","",""
"Jordan","Malaysia","2014.0","Export","40.0","1.74","55963.71","0.67"
"Jordan","North America","2014.0","Export","270.0","11.75","1372875.02","16.37"
"Jordan","Namibia","2014.0","Export","2.0","0.09","24.53","0.0"
"Jordan","Niger","2014.0","Export","2.0","0.09","17.41","0.0"
"Jordan","Nigeria","2014.0","Export","21.0","0.91","2853.89","0.03"
"Jordan","Nicaragua","2014.0","Export","2.0","0.09","84.54","0.0"
"Jordan","Netherlands","2014.0","Export","96.0","4.18","24044.95","0.29"
"Jordan","Norway","2014.0","Export","8.0","0.35","8685.6","0.1"
"Jordan","Nepal","2014.0","Export","6.0","0.26","228.51","0.0"
"Jordan","New Zealand","2014.0","Export","15.0","0.65","8272.19","0.1"
"Jordan","Other Asia, nes","2014.0","Export","33.0","1.44","23744.42","0.28"
"Jordan","Oman","2014.0","Export","195.0","8.49","65351.62","0.78"
"Jordan","Pakistan","2014.0","Export","53.0","2.31","23336.87","0.28"
"Jordan","Panama","2014.0","Export","7.0","0.3","755.92","0.01"
"Jordan","Peru","2014.0","Export","5.0","0.22","1900.01","0.02"
"Jordan","Philippines","2014.0","Export","15.0","0.65","7844.93","0.09"
"Jordan","Papua New Guinea","2014.0","Export","","","",""
"Jordan","Poland","2014.0","Export","14.0","0.61","516.59","0.01"
"Jordan","Portugal","2014.0","Export","11.0","0.48","1818.02","0.02"
"Jordan","Paraguay","2014.0","Export","4.0","0.17","397.8","0.0"
"Jordan","Occ.Pal.Terr","2014.0","Export","364.0","15.85","124924.6","1.49"
"Jordan","Qatar","2014.0","Export","370.0","16.11","150447.41","1.79"
"Jordan","Romania","2014.0","Export","27.0","1.18","9030.06","0.11"
"Jordan","Russian Federation","2014.0","Export","31.0","1.35","6797.05","0.08"
"Jordan","Rwanda","2014.0","Export","4.0","0.17","423.73","0.01"
"Jordan","South Asia","2014.0","Export","141.0","6.14","680717.69","8.12"
"Jordan","Saudi Arabia","2014.0","Export","895.0","38.96","1039254.08","12.39"
"Jordan","Senegal","2014.0","Export","10.0","0.44","310.44","0.0"
"Jordan","Serbia, FR(Serbia/Montenegro)","2014.0","Export","4.0","0.17","4173.97","0.05"
"Jordan","Singapore","2014.0","Export","34.0","1.48","22743.65","0.27"
"Jordan","Sierra Leone","2014.0","Export","2.0","0.09","63.5","0.0"
"Jordan","El Salvador","2014.0","Export","3.0","0.13","71.55","0.0"
"Jordan","Somalia","2014.0","Export","9.0","0.39","1228.04","0.01"
"Jordan","South Sudan","2014.0","Export","3.0","0.13","423.96","0.01"
"Jordan","Sub-Saharan Africa","2014.0","Export","180.0","7.84","151072.74","1.8"
"Jordan","Sudan","2014.0","Export","216.0","9.4","73956.85","0.88"
"Jordan","Slovak Republic","2014.0","Export","9.0","0.39","1994.37","0.02"
"Jordan","Slovenia","2014.0","Export","9.0","0.39","1365.86","0.02"
"Jordan","Sweden","2014.0","Export","40.0","1.74","1774.8","0.02"
"Jordan","Syrian Arab Republic","2014.0","Export","328.0","14.28","223678.66","2.67"
"Jordan","Chad","2014.0","Export","8.0","0.35","1469.6","0.02"
"Jordan","Togo","2014.0","Export","3.0","0.13","1592.29","0.02"
"Jordan","Thailand","2014.0","Export","33.0","1.44","21571.38","0.26"
"Jordan","Tajikistan","2014.0","Export","1.0","0.04","142.74","0.0"
"Jordan","Tunisia","2014.0","Export","53.0","2.31","20241.32","0.24"
"Jordan","Turkey","2014.0","Export","154.0","6.7","170529.67","2.03"
"Jordan","Tanzania","2014.0","Export","21.0","0.91","1072.33","0.01"
"Jordan","Uganda","2014.0","Export","10.0","0.44","1921.65","0.02"
"Jordan","Ukraine","2014.0","Export","25.0","1.09","14750.48","0.18"
"Jordan","Unspecified","2014.0","Export","","","0.0","0.0"
"Jordan","Uruguay","2014.0","Export","3.0","0.13","141.18","0.0"
"Jordan","United States","2014.0","Export","258.0","11.23","1323266.7","15.78"
"Jordan","Uzbekistan","2014.0","Export","1.0","0.04","180.0","0.0"
"Jordan","Venezuela","2014.0","Export","2.0","0.09","710.3","0.01"
"Jordan","Vietnam","2014.0","Export","16.0","0.7","13010.57","0.16"
"Jordan"," World","2014.0","Export","2297.0","100.0","8385330.13","100.0"
"Jordan","Yemen","2014.0","Export","213.0","9.27","58574.71","0.7"
"Jordan","South Africa","2014.0","Export","46.0","2.0","42739.03","0.51"
"Jordan","Zambia","2014.0","Export","6.0","0.26","67.12","0.0"
