"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Kazakhstan","Afghanistan","2014.0","Export","192.0","7.28","333538.73","0.43"
"Kazakhstan","Angola","2014.0","Export","11.0","0.42","1365.06","0.0"
"Kazakhstan","Anguila","2014.0","Export","","","",""
"Kazakhstan","Albania","2014.0","Export","","","",""
"Kazakhstan","Andorra","2014.0","Export","","","",""
"Kazakhstan","United Arab Emirates","2014.0","Export","358.0","13.57","83775.33","0.11"
"Kazakhstan","Argentina","2014.0","Export","34.0","1.29","3477.81","0.0"
"Kazakhstan","Armenia","2014.0","Export","111.0","4.21","405.41","0.0"
"Kazakhstan","American Samoa","2014.0","Export","","","",""
"Kazakhstan","Antigua and Barbuda","2014.0","Export","","","",""
"Kazakhstan","Australia","2014.0","Export","160.0","6.06","8743.86","0.01"
"Kazakhstan","Austria","2014.0","Export","76.0","2.88","2855092.03","3.65"
"Kazakhstan","Azerbaijan","2014.0","Export","320.0","12.13","220025.94","0.28"
"Kazakhstan","Burundi","2014.0","Export","","","",""
"Kazakhstan","Belgium","2014.0","Export","202.0","7.65","254490.04","0.33"
"Kazakhstan","Benin","2014.0","Export","","","",""
"Kazakhstan","Burkina Faso","2014.0","Export","","","",""
"Kazakhstan","Bangladesh","2014.0","Export","1.0","0.04","65.23","0.0"
"Kazakhstan","Bulgaria","2014.0","Export","73.0","2.77","39066.19","0.05"
"Kazakhstan","Bahrain","2014.0","Export","8.0","0.3","57.96","0.0"
"Kazakhstan","Bahamas, The","2014.0","Export","","","",""
"Kazakhstan","Bosnia and Herzegovina","2014.0","Export","3.0","0.11","43.69","0.0"
"Kazakhstan","Belarus","2014.0","Export","122.0","4.62","29078.93","0.04"
"Kazakhstan","Belize","2014.0","Export","","","",""
"Kazakhstan","Bermuda","2014.0","Export","1.0","0.04","4527.15","0.01"
"Kazakhstan","Bolivia","2014.0","Export","3.0","0.11","43.4","0.0"
"Kazakhstan","Brazil","2014.0","Export","6.0","0.23","61610.56","0.08"
"Kazakhstan","Barbados","2014.0","Export","","","",""
"Kazakhstan","Brunei","2014.0","Export","7.0","0.27","150.89","0.0"
"Kazakhstan","Central African Republic","2014.0","Export","","","",""
"Kazakhstan","Canada","2014.0","Export","174.0","6.59","704005.73","0.9"
"Kazakhstan","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Kazakhstan","Switzerland","2014.0","Export","230.0","8.72","4539207.84","5.8"
"Kazakhstan","Chile","2014.0","Export","","","",""
"Kazakhstan","China","2014.0","Export","426.0","16.14","9815017.27","12.55"
"Kazakhstan","Cote d'Ivoire","2014.0","Export","1.0","0.04","1.01","0.0"
"Kazakhstan","Cameroon","2014.0","Export","2.0","0.08","0.89","0.0"
"Kazakhstan","Congo, Rep.","2014.0","Export","24.0","0.91","258.79","0.0"
"Kazakhstan","Cook Islands","2014.0","Export","","","",""
"Kazakhstan","Colombia","2014.0","Export","16.0","0.61","85.42","0.0"
"Kazakhstan","Comoros","2014.0","Export","","","",""
"Kazakhstan","Cape Verde","2014.0","Export","","","",""
"Kazakhstan","Costa Rica","2014.0","Export","33.0","1.25","17.65","0.0"
"Kazakhstan","Cuba","2014.0","Export","","","",""
"Kazakhstan","Cayman Islands","2014.0","Export","","","",""
"Kazakhstan","Cyprus","2014.0","Export","4.0","0.15","1352.52","0.0"
"Kazakhstan","Czech Republic","2014.0","Export","100.0","3.79","95965.63","0.12"
"Kazakhstan","Germany","2014.0","Export","526.0","19.93","444644.61","0.57"
"Kazakhstan","Dominica","2014.0","Export","","","",""
"Kazakhstan","Denmark","2014.0","Export","47.0","1.78","72114.01","0.09"
"Kazakhstan","Dominican Republic","2014.0","Export","91.0","3.45","6.35","0.0"
"Kazakhstan","Algeria","2014.0","Export","50.0","1.89","52.26","0.0"
"Kazakhstan","East Asia & Pacific","2014.0","Export","860.0","32.59","11624662.67","14.86"
"Kazakhstan","Europe & Central Asia","2014.0","Export","2539.0","96.21","61335449.2","78.4"
"Kazakhstan","Ecuador","2014.0","Export","2.0","0.08","14.98","0.0"
"Kazakhstan","Egypt, Arab Rep.","2014.0","Export","15.0","0.57","15374.73","0.02"
"Kazakhstan","Eritrea","2014.0","Export","","","",""
"Kazakhstan","Western Sahara","2014.0","Export","","","",""
"Kazakhstan","Spain","2014.0","Export","250.0","9.47","2363194.23","3.02"
"Kazakhstan","Estonia","2014.0","Export","14.0","0.53","1410.84","0.0"
"Kazakhstan","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"Kazakhstan","Finland","2014.0","Export","48.0","1.82","893570.86","1.14"
"Kazakhstan","Fiji","2014.0","Export","","","",""
"Kazakhstan","Falkland Island","2014.0","Export","","","",""
"Kazakhstan","France","2014.0","Export","380.0","14.4","4689704.36","5.99"
"Kazakhstan","Faeroe Islands","2014.0","Export","","","",""
"Kazakhstan","Gabon","2014.0","Export","3.0","0.11","257.52","0.0"
"Kazakhstan","United Kingdom","2014.0","Export","510.0","19.33","632204.14","0.81"
"Kazakhstan","Georgia","2014.0","Export","199.0","7.54","43876.75","0.06"
"Kazakhstan","Ghana","2014.0","Export","","","",""
"Kazakhstan","Gibraltar","2014.0","Export","1.0","0.04","50481.11","0.06"
"Kazakhstan","Gambia, The","2014.0","Export","","","",""
"Kazakhstan","Equatorial Guinea","2014.0","Export","1.0","0.04","11.41","0.0"
"Kazakhstan","Greece","2014.0","Export","26.0","0.99","1938542.67","2.48"
"Kazakhstan","Greenland","2014.0","Export","","","",""
"Kazakhstan","Guatemala","2014.0","Export","","","",""
