"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Kuwait","Aruba","2014.0","Export","","","",""
"Kuwait","Afghanistan","2014.0","Export","45.0","1.67","9039.98","0.01"
"Kuwait","Angola","2014.0","Export","12.0","0.44","868.09","0.0"
"Kuwait","Anguila","2014.0","Export","","","",""
"Kuwait","Albania","2014.0","Export","4.0","0.15","120.16","0.0"
"Kuwait","Andorra","2014.0","Export","","","",""
"Kuwait","United Arab Emirates","2014.0","Export","1465.0","54.32","839234.06","0.83"
"Kuwait","Argentina","2014.0","Export","4.0","0.15","29.13","0.0"
"Kuwait","Armenia","2014.0","Export","11.0","0.41","116.47","0.0"
"Kuwait","American Samoa","2014.0","Export","","","",""
"Kuwait","Antigua and Barbuda","2014.0","Export","","","",""
"Kuwait","Australia","2014.0","Export","63.0","2.34","16823.13","0.02"
"Kuwait","Austria","2014.0","Export","42.0","1.56","1085.47","0.0"
"Kuwait","Azerbaijan","2014.0","Export","5.0","0.19","4.87","0.0"
"Kuwait","Belgium","2014.0","Export","77.0","2.86","68115.31","0.07"
"Kuwait","Benin","2014.0","Export","51.0","1.89","3036.62","0.0"
"Kuwait","Burkina Faso","2014.0","Export","2.0","0.07","4.5","0.0"
"Kuwait","Bangladesh","2014.0","Export","21.0","0.78","5055.41","0.01"
"Kuwait","Bulgaria","2014.0","Export","18.0","0.67","1034.14","0.0"
"Kuwait","Bahrain","2014.0","Export","816.0","30.26","97526.57","0.1"
"Kuwait","Bahamas, The","2014.0","Export","","","",""
"Kuwait","Bosnia and Herzegovina","2014.0","Export","22.0","0.82","69.87","0.0"
"Kuwait","Belarus","2014.0","Export","","","",""
"Kuwait","Belize","2014.0","Export","","","",""
"Kuwait","Bermuda","2014.0","Export","","","",""
"Kuwait","Bolivia","2014.0","Export","","","",""
"Kuwait","Brazil","2014.0","Export","15.0","0.56","158954.69","0.16"
"Kuwait","Barbados","2014.0","Export","","","",""
"Kuwait","Brunei","2014.0","Export","2.0","0.07","21.16","0.0"
"Kuwait","Bhutan","2014.0","Export","1.0","0.04","14.11","0.0"
"Kuwait","Botswana","2014.0","Export","1.0","0.04","6.93","0.0"
"Kuwait","Central African Republic","2014.0","Export","3.0","0.11","41.25","0.0"
"Kuwait","Canada","2014.0","Export","62.0","2.3","20453.52","0.02"
"Kuwait","Switzerland","2014.0","Export","77.0","2.86","24389.24","0.02"
"Kuwait","Chile","2014.0","Export","3.0","0.11","38.56","0.0"
"Kuwait","China","2014.0","Export","95.0","3.52","1038831.02","1.03"
"Kuwait","Cote d'Ivoire","2014.0","Export","1.0","0.04","82.63","0.0"
"Kuwait","Cameroon","2014.0","Export","4.0","0.15","275.68","0.0"
"Kuwait","Congo, Rep.","2014.0","Export","12.0","0.44","220.01","0.0"
"Kuwait","Colombia","2014.0","Export","2.0","0.07","3.79","0.0"
"Kuwait","Comoros","2014.0","Export","3.0","0.11","9.91","0.0"
"Kuwait","Cape Verde","2014.0","Export","","","",""
"Kuwait","Costa Rica","2014.0","Export","","","",""
"Kuwait","Cuba","2014.0","Export","1.0","0.04","2.12","0.0"
"Kuwait","Cyprus","2014.0","Export","11.0","0.41","2864.25","0.0"
"Kuwait","Czech Republic","2014.0","Export","33.0","1.22","219.12","0.0"
"Kuwait","Germany","2014.0","Export","286.0","10.6","16710.27","0.02"
"Kuwait","Djibouti","2014.0","Export","70.0","2.6","1805.71","0.0"
"Kuwait","Dominica","2014.0","Export","","","",""
"Kuwait","Denmark","2014.0","Export","13.0","0.48","179.05","0.0"
