"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Latvia","Aruba","2014.0","Export","5.0","0.14","38.95","0.0"
"Latvia","Afghanistan","2014.0","Export","24.0","0.66","4813.17","0.04"
"Latvia","Angola","2014.0","Export","29.0","0.8","8548.87","0.06"
"Latvia","Anguila","2014.0","Export","2.0","0.06","0.22","0.0"
"Latvia","Albania","2014.0","Export","33.0","0.91","1060.32","0.01"
"Latvia","Andorra","2014.0","Export","8.0","0.22","252.13","0.0"
"Latvia","United Arab Emirates","2014.0","Export","292.0","8.06","37378.64","0.27"
"Latvia","Argentina","2014.0","Export","31.0","0.86","2193.26","0.02"
"Latvia","Armenia","2014.0","Export","180.0","4.97","4089.15","0.03"
"Latvia","American Samoa","2014.0","Export","11.0","0.3","124.97","0.0"
"Latvia","Fr. So. Ant. Tr","2014.0","Export","30.0","0.83","568.95","0.0"
"Latvia","Antigua and Barbuda","2014.0","Export","35.0","0.97","873.09","0.01"
"Latvia","Australia","2014.0","Export","224.0","6.18","12221.32","0.09"
"Latvia","Austria","2014.0","Export","414.0","11.42","54366.41","0.4"
"Latvia","Azerbaijan","2014.0","Export","366.0","10.1","33463.98","0.25"
"Latvia","Burundi","2014.0","Export","","","",""
"Latvia","Belgium","2014.0","Export","393.0","10.84","165327.45","1.22"
"Latvia","Benin","2014.0","Export","6.0","0.17","8039.31","0.06"
"Latvia","Bonaire","2014.0","Export","1.0","0.03","1.2","0.0"
"Latvia","Burkina Faso","2014.0","Export","4.0","0.11","251.98","0.0"
"Latvia","Bangladesh","2014.0","Export","21.0","0.58","919.5","0.01"
"Latvia","Bulgaria","2014.0","Export","353.0","9.74","31217.99","0.23"
"Latvia","Bahrain","2014.0","Export","27.0","0.75","1379.12","0.01"
"Latvia","Bahamas, The","2014.0","Export","49.0","1.35","381.07","0.0"
"Latvia","Bosnia and Herzegovina","2014.0","Export","36.0","0.99","4860.89","0.04"
"Latvia","Belarus","2014.0","Export","1435.0","39.6","235705.52","1.73"
"Latvia","Belize","2014.0","Export","82.0","2.26","1102.14","0.01"
"Latvia","Bermuda","2014.0","Export","7.0","0.19","98.72","0.0"
"Latvia","Bolivia","2014.0","Export","31.0","0.86","910.57","0.01"
"Latvia","Brazil","2014.0","Export","73.0","2.01","9086.08","0.07"
"Latvia","Barbados","2014.0","Export","15.0","0.41","77.5","0.0"
"Latvia","Brunei","2014.0","Export","2.0","0.06","17.72","0.0"
"Latvia","Bunkers","2014.0","Export","35.0","0.97","78010.76","0.57"
"Latvia","Botswana","2014.0","Export","5.0","0.14","56.74","0.0"
"Latvia","Central African Republic","2014.0","Export","13.0","0.36","11.08","0.0"
"Latvia","Canada","2014.0","Export","303.0","8.36","20292.13","0.15"
"Latvia","Switzerland","2014.0","Export","506.0","13.96","45491.04","0.33"
"Latvia","Chile","2014.0","Export","86.0","2.37","6063.51","0.04"
"Latvia","China","2014.0","Export","323.0","8.91","139960.08","1.03"
"Latvia","Cote d'Ivoire","2014.0","Export","40.0","1.1","108.5","0.0"
"Latvia","Cameroon","2014.0","Export","30.0","0.83","423.14","0.0"
"Latvia","Congo, Rep.","2014.0","Export","8.0","0.22","4785.34","0.04"
"Latvia","Cook Islands","2014.0","Export","6.0","0.17","36.47","0.0"
"Latvia","Colombia","2014.0","Export","24.0","0.66","2227.4","0.02"
"Latvia","Comoros","2014.0","Export","1.0","0.03","131.29","0.0"
"Latvia","Costa Rica","2014.0","Export","20.0","0.55","491.07","0.0"
"Latvia","Cuba","2014.0","Export","3.0","0.08","13.7","0.0"
"Latvia","Curaçao","2014.0","Export","7.0","0.19","92.09","0.0"
"Latvia","Cayman Islands","2014.0","Export","10.0","0.28","48.73","0.0"
"Latvia","Cyprus","2014.0","Export","303.0","8.36","44561.92","0.33"
"Latvia","Czech Republic","2014.0","Export","706.0","19.48","190102.13","1.4"
"Latvia","Germany","2014.0","Export","1240.0","34.22","932409.64","6.85"
"Latvia","Djibouti","2014.0","Export","6.0","0.17","298.0","0.0"
"Latvia","Dominica","2014.0","Export","28.0","0.77","18.5","0.0"
"Latvia","Denmark","2014.0","Export","757.0","20.89","513375.12","3.77"
"Latvia","Dominican Republic","2014.0","Export","22.0","0.61","1442.87","0.01"
"Latvia","Algeria","2014.0","Export","8.0","0.22","7058.34","0.05"
"Latvia","East Asia & Pacific","2014.0","Export","805.0","22.21","321998.11","2.37"
"Latvia","Europe & Central Asia","2014.0","Export","3600.0","99.34","12449255.65","91.52"
"Latvia","Ecuador","2014.0","Export","18.0","0.5","3330.78","0.02"
"Latvia","Egypt, Arab Rep.","2014.0","Export","68.0","1.88","75865.41","0.56"
"Latvia","Eritrea","2014.0","Export","1.0","0.03","29.16","0.0"
"Latvia","Spain","2014.0","Export","591.0","16.31","179684.22","1.32"
"Latvia","Estonia","2014.0","Export","2835.0","78.23","1615255.25","11.87"
"Latvia","Ethiopia(excludes Eritrea)","2014.0","Export","13.0","0.36","665.87","0.0"
"Latvia","Finland","2014.0","Export","947.0","26.13","268850.78","1.98"
