"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Lithuania","Aruba","2014.0","Export","1.0","0.02","14.97","0.0"
"Lithuania","Afghanistan","2014.0","Export","94.0","2.3","9565.39","0.03"
"Lithuania","Angola","2014.0","Export","15.0","0.37","1634.27","0.01"
"Lithuania","Albania","2014.0","Export","84.0","2.05","3302.96","0.01"
"Lithuania","Andorra","2014.0","Export","2.0","0.05","25.81","0.0"
"Lithuania","United Arab Emirates","2014.0","Export","332.0","8.11","28640.01","0.09"
"Lithuania","Argentina","2014.0","Export","29.0","0.71","19964.44","0.06"
"Lithuania","Armenia","2014.0","Export","226.0","5.52","11998.67","0.04"
"Lithuania","Fr. So. Ant. Tr","2014.0","Export","3.0","0.07","27.81","0.0"
"Lithuania","Antigua and Barbuda","2014.0","Export","60.0","1.47","101.11","0.0"
"Lithuania","Australia","2014.0","Export","287.0","7.01","33196.93","0.1"
"Lithuania","Austria","2014.0","Export","558.0","13.63","106918.78","0.33"
"Lithuania","Azerbaijan","2014.0","Export","406.0","9.91","55973.62","0.17"
"Lithuania","Burundi","2014.0","Export","17.0","0.42","1343.61","0.0"
"Lithuania","Belgium","2014.0","Export","852.0","20.81","481593.31","1.49"
"Lithuania","Benin","2014.0","Export","4.0","0.1","5270.17","0.02"
"Lithuania","Burkina Faso","2014.0","Export","17.0","0.42","724.44","0.0"
"Lithuania","Bangladesh","2014.0","Export","41.0","1.0","5941.23","0.02"
"Lithuania","Bulgaria","2014.0","Export","888.0","21.68","64248.11","0.2"
"Lithuania","Bahrain","2014.0","Export","33.0","0.81","9015.04","0.03"
"Lithuania","Bahamas, The","2014.0","Export","84.0","2.05","350.04","0.0"
"Lithuania","Bosnia and Herzegovina","2014.0","Export","120.0","2.93","3934.54","0.01"
"Lithuania","Belarus","2014.0","Export","2936.0","71.7","1506766.3","4.65"
"Lithuania","Belize","2014.0","Export","46.0","1.12","229.23","0.0"
"Lithuania","Bermuda","2014.0","Export","1.0","0.02","1.43","0.0"
"Lithuania","Bolivia","2014.0","Export","38.0","0.93","206.85","0.0"
"Lithuania","Brazil","2014.0","Export","177.0","4.32","31929.49","0.1"
"Lithuania","Barbados","2014.0","Export","21.0","0.51","34.19","0.0"
"Lithuania","Brunei","2014.0","Export","4.0","0.1","1072.37","0.0"
"Lithuania","Bunkers","2014.0","Export","1.0","0.02","68311.57","0.21"
"Lithuania","Botswana","2014.0","Export","1.0","0.02","2.58","0.0"
"Lithuania","Central African Republic","2014.0","Export","1.0","0.02","1.61","0.0"
"Lithuania","Canada","2014.0","Export","343.0","8.38","192304.69","0.59"
"Lithuania","Switzerland","2014.0","Export","670.0","16.36","122462.28","0.38"
"Lithuania","Chile","2014.0","Export","93.0","2.27","3354.57","0.01"
"Lithuania","China","2014.0","Export","360.0","8.79","135361.77","0.42"
"Lithuania","Cote d'Ivoire","2014.0","Export","24.0","0.59","235.24","0.0"
