"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Luxembourg","Aruba","2014.0","Export","","","",""
"Luxembourg","Afghanistan","2014.0","Export","50.0","1.47","1126.24","0.01"
"Luxembourg","Angola","2014.0","Export","79.0","2.32","3512.65","0.02"
"Luxembourg","Albania","2014.0","Export","15.0","0.44","82.8","0.0"
"Luxembourg","Andorra","2014.0","Export","30.0","0.88","2930.32","0.02"
"Luxembourg","United Arab Emirates","2014.0","Export","399.0","11.73","60952.02","0.41"
"Luxembourg","Argentina","2014.0","Export","103.0","3.03","9318.0","0.06"
"Luxembourg","Armenia","2014.0","Export","37.0","1.09","381.81","0.0"
"Luxembourg","American Samoa","2014.0","Export","1.0","0.03","6.72","0.0"
"Luxembourg","Antarctica","2014.0","Export","","","",""
"Luxembourg","Fr. So. Ant. Tr","2014.0","Export","","","",""
"Luxembourg","Antigua and Barbuda","2014.0","Export","1.0","0.03","155.85","0.0"
"Luxembourg","Australia","2014.0","Export","376.0","11.06","25493.51","0.17"
"Luxembourg","Austria","2014.0","Export","646.0","18.99","220307.58","1.5"
"Luxembourg","Azerbaijan","2014.0","Export","448.0","13.17","24560.4","0.17"
"Luxembourg","Burundi","2014.0","Export","4.0","0.12","8.14","0.0"
"Luxembourg","Belgium","2014.0","Export","2933.0","86.24","1934610.19","13.14"
"Luxembourg","Benin","2014.0","Export","25.0","0.74","1114.73","0.01"
"Luxembourg","Burkina Faso","2014.0","Export","32.0","0.94","565.94","0.0"
"Luxembourg","Bangladesh","2014.0","Export","34.0","1.0","11108.15","0.08"
"Luxembourg","Bulgaria","2014.0","Export","265.0","7.79","26533.46","0.18"
"Luxembourg","Bahrain","2014.0","Export","61.0","1.79","1236.83","0.01"
"Luxembourg","Bahamas, The","2014.0","Export","11.0","0.32","8.32","0.0"
"Luxembourg","Bosnia and Herzegovina","2014.0","Export","75.0","2.21","840.09","0.01"
"Luxembourg","Belarus","2014.0","Export","86.0","2.53","4764.99","0.03"
"Luxembourg","Belize","2014.0","Export","","","",""
"Luxembourg","Bermuda","2014.0","Export","5.0","0.15","2.73","0.0"
"Luxembourg","Bolivia","2014.0","Export","39.0","1.15","1034.39","0.01"
"Luxembourg","Brazil","2014.0","Export","344.0","10.11","45120.08","0.31"
"Luxembourg","Barbados","2014.0","Export","4.0","0.12","448.51","0.0"
"Luxembourg","Brunei","2014.0","Export","18.0","0.53","531.41","0.0"
"Luxembourg","Bhutan","2014.0","Export","","","",""
"Luxembourg","Bouvet Island","2014.0","Export","","","",""
"Luxembourg","Botswana","2014.0","Export","5.0","0.15","101.96","0.0"
"Luxembourg","Central African Republic","2014.0","Export","22.0","0.65","637.6","0.0"
"Luxembourg","Canada","2014.0","Export","360.0","10.59","140273.73","0.95"
"Luxembourg","Switzerland","2014.0","Export","910.0","26.76","425637.85","2.89"
"Luxembourg","Chile","2014.0","Export","126.0","3.7","4812.45","0.03"
"Luxembourg","China","2014.0","Export","585.0","17.2","257709.74","1.75"
"Luxembourg","Cote d'Ivoire","2014.0","Export","88.0","2.59","9169.17","0.06"
"Luxembourg","Cameroon","2014.0","Export","102.0","3.0","3187.13","0.02"
"Luxembourg","Congo, Rep.","2014.0","Export","47.0","1.38","4292.77","0.03"
"Luxembourg","Cook Islands","2014.0","Export","","","",""
"Luxembourg","Colombia","2014.0","Export","111.0","3.26","8013.95","0.05"
"Luxembourg","Comoros","2014.0","Export","1.0","0.03","9.49","0.0"
"Luxembourg","Cape Verde","2014.0","Export","14.0","0.41","633.67","0.0"
"Luxembourg","Costa Rica","2014.0","Export","12.0","0.35","60.02","0.0"
"Luxembourg","Cuba","2014.0","Export","2.0","0.06","1.27","0.0"
"Luxembourg","Curaçao","2014.0","Export","12.0","0.35","197.48","0.0"
"Luxembourg","Cayman Islands","2014.0","Export","22.0","0.65","26.92","0.0"
"Luxembourg","Cyprus","2014.0","Export","115.0","3.38","4253.4","0.03"
"Luxembourg","Czech Republic","2014.0","Export","545.0","16.02","143985.37","0.98"
"Luxembourg","Germany","2014.0","Export","2541.0","74.71","4061694.15","27.58"
"Luxembourg","Djibouti","2014.0","Export","27.0","0.79","6357.19","0.04"
"Luxembourg","Denmark","2014.0","Export","411.0","12.08","114830.91","0.78"
"Luxembourg","Dominican Republic","2014.0","Export","13.0","0.38","9150.45","0.06"
"Luxembourg","Algeria","2014.0","Export","208.0","6.12","28888.45","0.2"
"Luxembourg","East Asia & Pacific","2014.0","Export","1017.0","29.9","544968.22","3.7"
"Luxembourg","Europe & Central Asia","2014.0","Export","3348.0","98.44","12564055.99","85.32"
"Luxembourg","Ecuador","2014.0","Export","32.0","0.94","12315.12","0.08"
"Luxembourg","Egypt, Arab Rep.","2014.0","Export","211.0","6.2","23700.27","0.16"
"Luxembourg","Eritrea","2014.0","Export","2.0","0.06","385.01","0.0"
"Luxembourg","Western Sahara","2014.0","Export","","","",""
"Luxembourg","Spain","2014.0","Export","833.0","24.49","299718.16","2.04"
"Luxembourg","Estonia","2014.0","Export","139.0","4.09","11304.51","0.08"
"Luxembourg","Ethiopia(excludes Eritrea)","2014.0","Export","32.0","0.94","11393.12","0.08"
"Luxembourg","Finland","2014.0","Export","325.0","9.56","48761.82","0.33"
"Luxembourg","Fiji","2014.0","Export","9.0","0.26","106.83","0.0"
"Luxembourg","Falkland Island","2014.0","Export","","","",""
"Luxembourg","France","2014.0","Export","2617.0","76.95","2036415.73","13.83"
"Luxembourg","Free Zones","2014.0","Export","","","",""
"Luxembourg","Faeroe Islands","2014.0","Export","1.0","0.03","57.36","0.0"
"Luxembourg","Micronesia, Fed. Sts.","2014.0","Export","","","",""
"Luxembourg","Gabon","2014.0","Export","64.0","1.88","1071.61","0.01"
"Luxembourg","United Kingdom","2014.0","Export","808.0","23.76","554111.79","3.76"
"Luxembourg","Georgia","2014.0","Export","164.0","4.82","1819.95","0.01"
"Luxembourg","Ghana","2014.0","Export","281.0","8.26","5607.43","0.04"
"Luxembourg","Gibraltar","2014.0","Export","18.0","0.53","18739.95","0.13"
"Luxembourg","Guinea","2014.0","Export","20.0","0.59","6452.39","0.04"
"Luxembourg","Gambia, The","2014.0","Export","2.0","0.06","84.24","0.0"
"Luxembourg","Guinea-Bissau","2014.0","Export","3.0","0.09","5.09","0.0"
"Luxembourg","Equatorial Guinea","2014.0","Export","6.0","0.18","52.38","0.0"
"Luxembourg","Greece","2014.0","Export","346.0","10.17","47170.01","0.32"
"Luxembourg","Grenada","2014.0","Export","1.0","0.03","179.73","0.0"
"Luxembourg","Greenland","2014.0","Export","","","",""
"Luxembourg","Guatemala","2014.0","Export","17.0","0.5","1180.96","0.01"
"Luxembourg","Guam","2014.0","Export","4.0","0.12","19.32","0.0"
"Luxembourg","Guyana","2014.0","Export","3.0","0.09","3980.55","0.03"
"Luxembourg","Hong Kong, China","2014.0","Export","293.0","8.62","38361.27","0.26"
"Luxembourg","Heard Island and McDonald Isla","2014.0","Export","","","",""
"Luxembourg","Honduras","2014.0","Export","7.0","0.21","1181.77","0.01"
"Luxembourg","Croatia","2014.0","Export","166.0","4.88","6269.77","0.04"
"Luxembourg","Haiti","2014.0","Export","8.0","0.24","97.91","0.0"
"Luxembourg","Hungary","2014.0","Export","410.0","12.06","63890.64","0.43"
"Luxembourg","Indonesia","2014.0","Export","176.0","5.17","6864.98","0.05"
"Luxembourg","India","2014.0","Export","366.0","10.76","42298.81","0.29"
"Luxembourg","British Indian Ocean Ter.","2014.0","Export","","","",""
"Luxembourg","Ireland","2014.0","Export","296.0","8.7","49798.9","0.34"
