"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Macao","Albania","2014.0","Export","","","",""
"Macao","United Arab Emirates","2014.0","Export","5.0","0.71","931.68","0.08"
"Macao","Argentina","2014.0","Export","2.0","0.28","124.62","0.01"
"Macao","Armenia","2014.0","Export","","","",""
"Macao","Australia","2014.0","Export","20.0","2.84","1430.61","0.12"
"Macao","Austria","2014.0","Export","4.0","0.57","557.1","0.04"
"Macao","Belgium","2014.0","Export","3.0","0.43","1141.09","0.09"
"Macao","Bangladesh","2014.0","Export","1.0","0.14","10.63","0.0"
"Macao","Bulgaria","2014.0","Export","","","",""
"Macao","Bahamas, The","2014.0","Export","","","",""
"Macao","Bosnia and Herzegovina","2014.0","Export","","","",""
"Macao","Belarus","2014.0","Export","","","",""
"Macao","Bermuda","2014.0","Export","","","",""
"Macao","Bolivia","2014.0","Export","","","",""
"Macao","Brazil","2014.0","Export","6.0","0.85","35.48","0.0"
"Macao","Barbados","2014.0","Export","","","",""
"Macao","Central African Republic","2014.0","Export","","","",""
"Macao","Canada","2014.0","Export","26.0","3.69","1544.66","0.12"
"Macao","Switzerland","2014.0","Export","7.0","0.99","858.53","0.07"
"Macao","Chile","2014.0","Export","2.0","0.28","1.6","0.0"
"Macao","China","2014.0","Export","518.0","73.58","169514.76","13.67"
"Macao","Cote d'Ivoire","2014.0","Export","","","",""
"Macao","Cameroon","2014.0","Export","","","",""
"Macao","Congo, Rep.","2014.0","Export","1.0","0.14","77.87","0.01"
"Macao","Colombia","2014.0","Export","3.0","0.43","409.63","0.03"
"Macao","Costa Rica","2014.0","Export","","","",""
"Macao","Cuba","2014.0","Export","","","",""
"Macao","Cyprus","2014.0","Export","1.0","0.14","38.88","0.0"
"Macao","Czech Republic","2014.0","Export","2.0","0.28","12.11","0.0"
"Macao","Germany","2014.0","Export","16.0","2.27","4680.84","0.38"
"Macao","Djibouti","2014.0","Export","1.0","0.14","979.8","0.08"
"Macao","Denmark","2014.0","Export","2.0","0.28","29.95","0.0"
"Macao","Dominican Republic","2014.0","Export","","","",""
"Macao","East Asia & Pacific","2014.0","Export","704.0","100.0","859727.95","69.33"
"Macao","Europe & Central Asia","2014.0","Export","101.0","14.35","19453.14","1.57"
"Macao","Ecuador","2014.0","Export","","","",""
"Macao","Egypt, Arab Rep.","2014.0","Export","","","",""
"Macao","Spain","2014.0","Export","2.0","0.28","23.32","0.0"
"Macao","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"Macao","Finland","2014.0","Export","3.0","0.43","3.18","0.0"
"Macao","France","2014.0","Export","54.0","7.67","3554.98","0.29"
