"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Macedonia, FYR","Afghanistan","2014.0","Export","23.0","0.84","310.44","0.01"
"Macedonia, FYR","Albania","2014.0","Export","827.0","30.19","74652.37","1.51"
"Macedonia, FYR","Andorra","2014.0","Export","","","",""
"Macedonia, FYR","United Arab Emirates","2014.0","Export","48.0","1.75","4746.37","0.1"
"Macedonia, FYR","Argentina","2014.0","Export","6.0","0.22","4424.41","0.09"
"Macedonia, FYR","Armenia","2014.0","Export","10.0","0.37","278.28","0.01"
"Macedonia, FYR","Antarctica","2014.0","Export","","","",""
"Macedonia, FYR","Antigua and Barbuda","2014.0","Export","","","",""
"Macedonia, FYR","Australia","2014.0","Export","194.0","7.08","5648.7","0.11"
"Macedonia, FYR","Austria","2014.0","Export","448.0","16.36","50704.12","1.03"
"Macedonia, FYR","Azerbaijan","2014.0","Export","15.0","0.55","631.59","0.01"
"Macedonia, FYR","Belgium","2014.0","Export","369.0","13.47","151554.86","3.07"
"Macedonia, FYR","Burkina Faso","2014.0","Export","","","",""
"Macedonia, FYR","Bangladesh","2014.0","Export","2.0","0.07","217.5","0.0"
"Macedonia, FYR","Bulgaria","2014.0","Export","797.0","29.1","326601.55","6.62"
"Macedonia, FYR","Bahrain","2014.0","Export","1.0","0.04","13.64","0.0"
"Macedonia, FYR","Bosnia and Herzegovina","2014.0","Export","517.0","18.88","93019.76","1.89"
"Macedonia, FYR","Belarus","2014.0","Export","28.0","1.02","7507.23","0.15"
"Macedonia, FYR","Belize","2014.0","Export","2.0","0.07","322.36","0.01"
"Macedonia, FYR","Bermuda","2014.0","Export","","","",""
"Macedonia, FYR","Bolivia","2014.0","Export","1.0","0.04","12.22","0.0"
"Macedonia, FYR","Brazil","2014.0","Export","21.0","0.77","4364.69","0.09"
"Macedonia, FYR","Barbados","2014.0","Export","","","",""
"Macedonia, FYR","Brunei","2014.0","Export","","","",""
"Macedonia, FYR","Bhutan","2014.0","Export","","","",""
