"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Malaysia","Aruba","2014.0","Export","14.0","0.34","749.38","0.0"
"Malaysia","Afghanistan","2014.0","Export","41.0","1.0","78517.28","0.03"
"Malaysia","Angola","2014.0","Export","192.0","4.69","585506.7","0.25"
"Malaysia","Anguila","2014.0","Export","2.0","0.05","138.87","0.0"
"Malaysia","Albania","2014.0","Export","26.0","0.63","2739.82","0.0"
"Malaysia","Andorra","2014.0","Export","9.0","0.22","332.39","0.0"
"Malaysia","United Arab Emirates","2014.0","Export","1407.0","34.34","3588943.78","1.53"
"Malaysia","Argentina","2014.0","Export","303.0","7.4","253344.6","0.11"
"Malaysia","Armenia","2014.0","Export","29.0","0.71","1258.66","0.0"
"Malaysia","American Samoa","2014.0","Export","22.0","0.54","10321.4","0.0"
"Malaysia","Antarctica","2014.0","Export","","","",""
"Malaysia","Antigua and Barbuda","2014.0","Export","28.0","0.68","8428.13","0.0"
"Malaysia","Australia","2014.0","Export","2033.0","49.62","10076154.04","4.3"
"Malaysia","Austria","2014.0","Export","303.0","7.4","204195.09","0.09"
"Malaysia","Azerbaijan","2014.0","Export","67.0","1.64","10781.48","0.0"
"Malaysia","Burundi","2014.0","Export","12.0","0.29","509.49","0.0"
"Malaysia","Belgium","2014.0","Export","556.0","13.57","993369.02","0.42"
"Malaysia","Benin","2014.0","Export","65.0","1.59","496809.04","0.21"
"Malaysia","Burkina Faso","2014.0","Export","21.0","0.51","1159.02","0.0"
"Malaysia","Bangladesh","2014.0","Export","938.0","22.89","1229339.55","0.53"
"Malaysia","Bulgaria","2014.0","Export","140.0","3.42","56377.29","0.02"
"Malaysia","Bahrain","2014.0","Export","347.0","8.47","65436.79","0.03"
"Malaysia","Bahamas, The","2014.0","Export","65.0","1.59","19047.16","0.01"
"Malaysia","Bosnia and Herzegovina","2014.0","Export","13.0","0.32","214.86","0.0"
"Malaysia","Belarus","2014.0","Export","29.0","0.71","2805.79","0.0"
"Malaysia","Belize","2014.0","Export","21.0","0.51","3157.57","0.0"
"Malaysia","Bermuda","2014.0","Export","5.0","0.12","30.91","0.0"
"Malaysia","Bolivia","2014.0","Export","48.0","1.17","36029.75","0.02"
"Malaysia","Brazil","2014.0","Export","674.0","16.45","992283.23","0.42"
"Malaysia","Barbados","2014.0","Export","40.0","0.98","2465.78","0.0"
"Malaysia","Brunei","2014.0","Export","1551.0","37.86","858912.94","0.37"
"Malaysia","Bhutan","2014.0","Export","17.0","0.41","940.45","0.0"
"Malaysia","Bouvet Island","2014.0","Export","1.0","0.02","2134.03","0.0"
"Malaysia","Botswana","2014.0","Export","41.0","1.0","1942.95","0.0"
"Malaysia","Central African Republic","2014.0","Export","38.0","0.93","7571.97","0.0"
"Malaysia","Canada","2014.0","Export","756.0","18.45","807422.43","0.34"
"Malaysia","Cocos (Keeling) Islands","2014.0","Export","2.0","0.05","7.8","0.0"
"Malaysia","Switzerland","2014.0","Export","501.0","12.23","283712.04","0.12"
"Malaysia","Chile","2014.0","Export","340.0","8.3","172598.77","0.07"
"Malaysia","China","2014.0","Export","2088.0","50.96","28222682.56","12.05"
"Malaysia","Cote d'Ivoire","2014.0","Export","220.0","5.37","51775.32","0.02"
"Malaysia","Cameroon","2014.0","Export","170.0","4.15","82127.4","0.04"
"Malaysia","Congo, Rep.","2014.0","Export","151.0","3.69","62707.27","0.03"
"Malaysia","Cook Islands","2014.0","Export","8.0","0.2","82.65","0.0"
"Malaysia","Colombia","2014.0","Export","314.0","7.66","117454.13","0.05"
"Malaysia","Comoros","2014.0","Export","17.0","0.41","3925.6","0.0"
"Malaysia","Cape Verde","2014.0","Export","10.0","0.24","345.82","0.0"
"Malaysia","Costa Rica","2014.0","Export","171.0","4.17","59428.39","0.03"
"Malaysia","Cuba","2014.0","Export","36.0","0.88","8640.61","0.0"
"Malaysia","Curaçao","2014.0","Export","32.0","0.78","2104.01","0.0"
"Malaysia","Christmas Island","2014.0","Export","28.0","0.68","396.06","0.0"
"Malaysia","Cayman Islands","2014.0","Export","5.0","0.12","521.18","0.0"
"Malaysia","Cyprus","2014.0","Export","119.0","2.9","12609.37","0.01"
"Malaysia","Czech Republic","2014.0","Export","258.0","6.3","346418.67","0.15"
"Malaysia","Germany","2014.0","Export","1313.0","32.05","5458095.01","2.33"
"Malaysia","Djibouti","2014.0","Export","89.0","2.17","47173.35","0.02"
"Malaysia","Dominica","2014.0","Export","24.0","0.59","2362.43","0.0"
"Malaysia","Denmark","2014.0","Export","369.0","9.01","189916.86","0.08"
"Malaysia","Dominican Republic","2014.0","Export","107.0","2.61","25062.45","0.01"
"Malaysia","Algeria","2014.0","Export","183.0","4.47","145249.39","0.06"
"Malaysia","East Asia & Pacific","2014.0","Export","4007.0","97.8","151143314.85","64.55"
"Malaysia","Europe & Central Asia","2014.0","Export","2291.0","55.92","24888150.0","10.63"
"Malaysia","Ecuador","2014.0","Export","195.0","4.76","69236.77","0.03"
"Malaysia","Egypt, Arab Rep.","2014.0","Export","547.0","13.35","727161.76","0.31"
"Malaysia","Eritrea","2014.0","Export","9.0","0.22","1767.28","0.0"
"Malaysia","Spain","2014.0","Export","534.0","13.03","544165.71","0.23"
"Malaysia","Estonia","2014.0","Export","100.0","2.44","75742.93","0.03"
"Malaysia","Ethiopia(excludes Eritrea)","2014.0","Export","74.0","1.81","58455.93","0.03"
"Malaysia","Finland","2014.0","Export","279.0","6.81","154695.93","0.07"
"Malaysia","Fiji","2014.0","Export","404.0","9.86","67528.8","0.03"
"Malaysia","Falkland Island","2014.0","Export","","","",""
"Malaysia","France","2014.0","Export","835.0","20.38","1609391.69","0.69"
"Malaysia","Faeroe Islands","2014.0","Export","1.0","0.02","52.66","0.0"
"Malaysia","Micronesia, Fed. Sts.","2014.0","Export","12.0","0.29","364.87","0.0"
"Malaysia","Gabon","2014.0","Export","252.0","6.15","46601.42","0.02"
"Malaysia","United Kingdom","2014.0","Export","1269.0","30.97","2421048.46","1.03"
"Malaysia","Georgia","2014.0","Export","77.0","1.88","30037.6","0.01"
"Malaysia","Ghana","2014.0","Export","294.0","7.18","136638.88","0.06"
"Malaysia","Gibraltar","2014.0","Export","9.0","0.22","319.37","0.0"
"Malaysia","Guinea","2014.0","Export","84.0","2.05","44077.82","0.02"
"Malaysia","Gambia, The","2014.0","Export","35.0","0.85","34832.98","0.01"
"Malaysia","Guinea-Bissau","2014.0","Export","6.0","0.15","5130.9","0.0"
"Malaysia","Equatorial Guinea","2014.0","Export","78.0","1.9","11728.57","0.01"
"Malaysia","Greece","2014.0","Export","222.0","5.42","296850.83","0.13"
"Malaysia","Grenada","2014.0","Export","12.0","0.29","11113.59","0.0"
"Malaysia","Greenland","2014.0","Export","1.0","0.02","206.82","0.0"
"Malaysia","Guatemala","2014.0","Export","161.0","3.93","28462.17","0.01"
"Malaysia","Guam","2014.0","Export","74.0","1.81","5109.39","0.0"
"Malaysia","Guyana","2014.0","Export","43.0","1.05","8368.36","0.0"
"Malaysia","Hong Kong, China","2014.0","Export","1909.0","46.6","11314107.23","4.83"
"Malaysia","Honduras","2014.0","Export","91.0","2.22","31606.9","0.01"
"Malaysia","Croatia","2014.0","Export","87.0","2.12","20186.88","0.01"
"Malaysia","Haiti","2014.0","Export","31.0","0.76","24148.22","0.01"
"Malaysia","Hungary","2014.0","Export","268.0","6.54","252987.45","0.11"
"Malaysia","Indonesia","2014.0","Export","2642.0","64.49","9705608.59","4.15"
"Malaysia","India","2014.0","Export","1676.0","40.91","9748022.28","4.16"
"Malaysia","British Indian Ocean Ter.","2014.0","Export","2.0","0.05","129.69","0.0"
"Malaysia","Ireland","2014.0","Export","269.0","6.57","156503.48","0.07"
