"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Maldives","United Arab Emirates","2014.0","Export","7.0","24.14","789.04","0.54"
"Maldives","Argentina","2014.0","Export","","","",""
"Maldives","Australia","2014.0","Export","2.0","6.9","405.43","0.28"
"Maldives","Austria","2014.0","Export","","","",""
"Maldives","Belgium","2014.0","Export","4.0","13.79","29.7","0.02"
"Maldives","Bangladesh","2014.0","Export","","","",""
"Maldives","Bulgaria","2014.0","Export","","","",""
"Maldives","Bahrain","2014.0","Export","1.0","3.45","2.5","0.0"
"Maldives","Bahamas, The","2014.0","Export","","","",""
"Maldives","Brazil","2014.0","Export","","","",""
"Maldives","Brunei","2014.0","Export","","","",""
"Maldives","Canada","2014.0","Export","4.0","13.79","461.06","0.32"
"Maldives","Switzerland","2014.0","Export","7.0","24.14","3629.41","2.51"
"Maldives","Chile","2014.0","Export","","","",""
"Maldives","China","2014.0","Export","6.0","20.69","78.66","0.05"
"Maldives","Colombia","2014.0","Export","","","",""
"Maldives","Costa Rica","2014.0","Export","","","",""
"Maldives","Cyprus","2014.0","Export","1.0","3.45","34.39","0.02"
"Maldives","Czech Republic","2014.0","Export","2.0","6.9","0.35","0.0"
"Maldives","Germany","2014.0","Export","6.0","20.69","9658.46","6.67"
"Maldives","Denmark","2014.0","Export","1.0","3.45","28.46","0.02"
"Maldives","East Asia & Pacific","2014.0","Export","16.0","55.17","57994.02","40.04"
"Maldives","Europe & Central Asia","2014.0","Export","11.0","37.93","57809.46","39.91"
"Maldives","Ecuador","2014.0","Export","","","",""
"Maldives","Egypt, Arab Rep.","2014.0","Export","","","",""
"Maldives","Spain","2014.0","Export","3.0","10.34","1566.33","1.08"
"Maldives","Finland","2014.0","Export","1.0","3.45","0.95","0.0"
"Maldives","Fiji","2014.0","Export","","","",""
"Maldives","France","2014.0","Export","7.0","24.14","20947.55","14.46"
"Maldives","United Kingdom","2014.0","Export","5.0","17.24","6768.64","4.67"
"Maldives","Georgia","2014.0","Export","2.0","6.9","3.52","0.0"
"Maldives","Greece","2014.0","Export","","","",""
"Maldives","Hong Kong, China","2014.0","Export","8.0","27.59","2220.76","1.53"
"Maldives","Croatia","2014.0","Export","","","",""
"Maldives","Haiti","2014.0","Export","","","",""
"Maldives","Hungary","2014.0","Export","","","",""
"Maldives","Indonesia","2014.0","Export","","","",""
"Maldives","India","2014.0","Export","8.0","27.59","2901.41","2.0"
"Maldives","Ireland","2014.0","Export","6.0","20.69","8450.25","5.83"
"Maldives","Iran, Islamic Rep.","2014.0","Export","3.0","10.34","663.21","0.46"
"Maldives","Iraq","2014.0","Export","1.0","3.45","164.94","0.11"
"Maldives","Israel","2014.0","Export","","","",""
"Maldives","Italy","2014.0","Export","5.0","17.24","5128.99","3.54"
"Maldives","Jamaica","2014.0","Export","1.0","3.45","5.16","0.0"
"Maldives","Jordan","2014.0","Export","","","",""
"Maldives","Japan","2014.0","Export","10.0","34.48","7676.08","5.3"
"Maldives","Kenya","2014.0","Export","","","",""
"Maldives","Cambodia","2014.0","Export","","","",""
"Maldives","Korea, Rep.","2014.0","Export","5.0","17.24","683.46","0.47"
"Maldives","Kuwait","2014.0","Export","1.0","3.45","0.08","0.0"
"Maldives","Lebanon","2014.0","Export","","","",""
"Maldives","Latin America & Caribbean","2014.0","Export","1.0","3.45","5.16","0.0"
"Maldives","Sri Lanka","2014.0","Export","18.0","62.07","8743.29","6.04"
"Maldives","Lithuania","2014.0","Export","1.0","3.45","0.01","0.0"
"Maldives","Luxembourg","2014.0","Export","","","",""
"Maldives","Latvia","2014.0","Export","","","",""
"Maldives","Morocco","2014.0","Export","","","",""
"Maldives","Madagascar","2014.0","Export","","","",""
"Maldives","Middle East & North Africa","2014.0","Export","12.0","41.38","1647.4","1.14"
"Maldives","Mexico","2014.0","Export","","","",""
"Maldives","Malta","2014.0","Export","1.0","3.45","4.83","0.0"
"Maldives","Myanmar","2014.0","Export","","","",""
"Maldives","Mauritius","2014.0","Export","","","",""
"Maldives","Malaysia","2014.0","Export","8.0","27.59","143.4","0.1"
"Maldives","North America","2014.0","Export","10.0","34.48","13547.69","9.35"
"Maldives","Netherlands","2014.0","Export","6.0","20.69","976.82","0.67"
"Maldives","Norway","2014.0","Export","2.0","6.9","6.28","0.0"
"Maldives","Nepal","2014.0","Export","","","",""
"Maldives","New Zealand","2014.0","Export","","","",""
"Maldives","Other Asia, nes","2014.0","Export","5.0","17.24","2183.04","1.51"
"Maldives","Oman","2014.0","Export","1.0","3.45","0.13","0.0"
"Maldives","Pakistan","2014.0","Export","","","",""
"Maldives","Panama","2014.0","Export","","","",""
"Maldives","Philippines","2014.0","Export","3.0","10.34","21.72","0.01"
"Maldives","Poland","2014.0","Export","2.0","6.9","3.98","0.0"
"Maldives","Portugal","2014.0","Export","2.0","6.9","3.1","0.0"
"Maldives","Qatar","2014.0","Export","","","",""
"Maldives","Romania","2014.0","Export","","","",""
"Maldives","Russian Federation","2014.0","Export","8.0","27.59","552.22","0.38"
"Maldives","South Asia","2014.0","Export","22.0","75.86","11644.7","8.04"
"Maldives","Saudi Arabia","2014.0","Export","","","",""
"Maldives","Singapore","2014.0","Export","6.0","20.69","48.97","0.03"
"Maldives","Sub-Saharan Africa","2014.0","Export","1.0","3.45","8.44","0.01"
"Maldives","Slovak Republic","2014.0","Export","","","",""
"Maldives","Slovenia","2014.0","Export","","","",""
"Maldives","Sweden","2014.0","Export","2.0","6.9","18.05","0.01"
"Maldives","Seychelles","2014.0","Export","","","",""
"Maldives","Thailand","2014.0","Export","7.0","24.14","46660.67","32.22"
"Maldives","Tunisia","2014.0","Export","","","",""
"Maldives","Turkey","2014.0","Export","1.0","3.45","0.02","0.0"
"Maldives","Tanzania","2014.0","Export","","","",""
