"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Malta","Angola","2014.0","Export","20.0","1.3","12946.66","0.26"
"Malta","Albania","2014.0","Export","8.0","0.52","143803.78","2.89"
"Malta","Andorra","2014.0","Export","1.0","0.06","0.2","0.0"
"Malta","United Arab Emirates","2014.0","Export","191.0","12.39","33634.03","0.68"
"Malta","Argentina","2014.0","Export","3.0","0.19","428.96","0.01"
"Malta","Armenia","2014.0","Export","1.0","0.06","0.25","0.0"
"Malta","Antigua and Barbuda","2014.0","Export","4.0","0.26","1210.38","0.02"
"Malta","Australia","2014.0","Export","121.0","7.85","9822.51","0.2"
"Malta","Austria","2014.0","Export","76.0","4.93","8837.07","0.18"
"Malta","Azerbaijan","2014.0","Export","8.0","0.52","959.92","0.02"
"Malta","Burundi","2014.0","Export","1.0","0.06","258.49","0.01"
"Malta","Belgium","2014.0","Export","88.0","5.71","10037.84","0.2"
"Malta","Benin","2014.0","Export","4.0","0.26","3732.44","0.08"
"Malta","Burkina Faso","2014.0","Export","6.0","0.39","104.42","0.0"
"Malta","Bangladesh","2014.0","Export","16.0","1.04","3617.02","0.07"
"Malta","Bulgaria","2014.0","Export","26.0","1.69","5930.6","0.12"
"Malta","Bahrain","2014.0","Export","28.0","1.82","1556.72","0.03"
"Malta","Bahamas, The","2014.0","Export","4.0","0.26","49.27","0.0"
"Malta","Bosnia and Herzegovina","2014.0","Export","3.0","0.19","126.92","0.0"
"Malta","Belarus","2014.0","Export","1.0","0.06","638.05","0.01"
"Malta","Belize","2014.0","Export","4.0","0.26","1090.04","0.02"
"Malta","Bolivia","2014.0","Export","1.0","0.06","17.36","0.0"
"Malta","Brazil","2014.0","Export","32.0","2.08","5677.93","0.11"
"Malta","Barbados","2014.0","Export","1.0","0.06","322.99","0.01"
"Malta","Brunei","2014.0","Export","1.0","0.06","2.79","0.0"
