"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Mauritania","Afghanistan","2014.0","Export","","","",""
"Mauritania","Angola","2014.0","Export","2.0","3.13","2150.65","0.1"
"Mauritania","Albania","2014.0","Export","1.0","1.56","0.66","0.0"
"Mauritania","Andorra","2014.0","Export","3.0","4.69","125308.14","5.86"
"Mauritania","United Arab Emirates","2014.0","Export","2.0","3.13","58568.04","2.74"
"Mauritania","Argentina","2014.0","Export","","","",""
"Mauritania","Armenia","2014.0","Export","","","",""
"Mauritania","American Samoa","2014.0","Export","","","",""
"Mauritania","Antigua and Barbuda","2014.0","Export","","","",""
"Mauritania","Australia","2014.0","Export","1.0","1.56","0.12","0.0"
"Mauritania","Azerbaijan","2014.0","Export","","","",""
"Mauritania","Burundi","2014.0","Export","","","",""
"Mauritania","Belgium","2014.0","Export","1.0","1.56","0.1","0.0"
"Mauritania","Benin","2014.0","Export","3.0","4.69","14518.82","0.68"
"Mauritania","Burkina Faso","2014.0","Export","","","",""
"Mauritania","Bangladesh","2014.0","Export","1.0","1.56","15.06","0.0"
"Mauritania","Bulgaria","2014.0","Export","1.0","1.56","95.42","0.0"
"Mauritania","Bahrain","2014.0","Export","","","",""
"Mauritania","Belize","2014.0","Export","","","",""
"Mauritania","Bermuda","2014.0","Export","1.0","1.56","1.19","0.0"
"Mauritania","Brazil","2014.0","Export","","","",""
"Mauritania","Brunei","2014.0","Export","1.0","1.56","224.09","0.01"
"Mauritania","Bhutan","2014.0","Export","","","",""
"Mauritania","Botswana","2014.0","Export","","","",""
"Mauritania","Central African Republic","2014.0","Export","","","",""
"Mauritania","Canada","2014.0","Export","3.0","4.69","0.41","0.0"
"Mauritania","Switzerland","2014.0","Export","6.0","9.38","365848.27","17.1"
"Mauritania","Chile","2014.0","Export","","","",""
"Mauritania","China","2014.0","Export","12.0","18.75","700461.27","32.73"
"Mauritania","Cote d'Ivoire","2014.0","Export","7.0","10.94","96759.91","4.52"
"Mauritania","Cameroon","2014.0","Export","4.0","6.25","4607.46","0.22"
"Mauritania","Congo, Rep.","2014.0","Export","1.0","1.56","94.67","0.0"
"Mauritania","Colombia","2014.0","Export","","","",""
"Mauritania","Cape Verde","2014.0","Export","1.0","1.56","1098.37","0.05"
"Mauritania","Costa Rica","2014.0","Export","1.0","1.56","10.61","0.0"
"Mauritania","Cayman Islands","2014.0","Export","","","",""
"Mauritania","Cyprus","2014.0","Export","3.0","4.69","236.6","0.01"
"Mauritania","Czech Republic","2014.0","Export","","","",""
"Mauritania","Germany","2014.0","Export","9.0","14.06","107718.72","5.03"
"Mauritania","Djibouti","2014.0","Export","","","",""
"Mauritania","Denmark","2014.0","Export","2.0","3.13","14535.82","0.68"
"Mauritania","Dominican Republic","2014.0","Export","1.0","1.56","21.75","0.0"
"Mauritania","Algeria","2014.0","Export","3.0","4.69","61.69","0.0"
"Mauritania","East Asia & Pacific","2014.0","Export","20.0","31.25","818546.68","38.25"
"Mauritania","Europe & Central Asia","2014.0","Export","47.0","73.44","1042405.98","48.71"
