"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Mauritius","Aruba","2014.0","Export","7.0","0.28","95.66","0.0"
"Mauritius","Afghanistan","2014.0","Export","1.0","0.04","9.21","0.0"
"Mauritius","Angola","2014.0","Export","15.0","0.6","241.68","0.01"
"Mauritius","Albania","2014.0","Export","","","",""
"Mauritius","United Arab Emirates","2014.0","Export","249.0","9.92","285915.27","10.74"
"Mauritius","Argentina","2014.0","Export","6.0","0.24","49.64","0.0"
"Mauritius","American Samoa","2014.0","Export","","","",""
"Mauritius","Fr. So. Ant. Tr","2014.0","Export","15.0","0.6","19.34","0.0"
"Mauritius","Antigua and Barbuda","2014.0","Export","","","",""
"Mauritius","Australia","2014.0","Export","169.0","6.73","10269.19","0.39"
"Mauritius","Austria","2014.0","Export","52.0","2.07","11917.46","0.45"
"Mauritius","Azerbaijan","2014.0","Export","","","",""
"Mauritius","Burundi","2014.0","Export","7.0","0.28","793.23","0.03"
"Mauritius","Belgium","2014.0","Export","118.0","4.7","73237.56","2.75"
"Mauritius","Benin","2014.0","Export","3.0","0.12","402.76","0.02"
"Mauritius","Burkina Faso","2014.0","Export","4.0","0.16","6.15","0.0"
"Mauritius","Bangladesh","2014.0","Export","77.0","3.07","13819.79","0.52"
"Mauritius","Bulgaria","2014.0","Export","18.0","0.72","880.95","0.03"
"Mauritius","Bahrain","2014.0","Export","3.0","0.12","61.9","0.0"
"Mauritius","Bahamas, The","2014.0","Export","1.0","0.04","1.58","0.0"
"Mauritius","Bosnia and Herzegovina","2014.0","Export","1.0","0.04","142.48","0.01"
"Mauritius","Belarus","2014.0","Export","1.0","0.04","0.68","0.0"
"Mauritius","Belize","2014.0","Export","1.0","0.04","170.43","0.01"
"Mauritius","Bermuda","2014.0","Export","","","",""
"Mauritius","Bolivia","2014.0","Export","","","",""
"Mauritius","Brazil","2014.0","Export","11.0","0.44","593.27","0.02"
"Mauritius","Brunei","2014.0","Export","","","",""
"Mauritius","Bhutan","2014.0","Export","1.0","0.04","0.1","0.0"
"Mauritius","Botswana","2014.0","Export","15.0","0.6","691.56","0.03"
"Mauritius","Canada","2014.0","Export","54.0","2.15","8501.96","0.32"
"Mauritius","Switzerland","2014.0","Export","145.0","5.78","27525.53","1.03"
"Mauritius","Chile","2014.0","Export","4.0","0.16","241.66","0.01"
"Mauritius","China","2014.0","Export","269.0","10.72","15132.67","0.57"
"Mauritius","Cote d'Ivoire","2014.0","Export","101.0","4.02","762.91","0.03"
"Mauritius","Cameroon","2014.0","Export","10.0","0.4","45.67","0.0"
"Mauritius","Congo, Rep.","2014.0","Export","41.0","1.63","716.94","0.03"
"Mauritius","Cook Islands","2014.0","Export","","","",""
"Mauritius","Colombia","2014.0","Export","","","",""
"Mauritius","Comoros","2014.0","Export","246.0","9.8","5247.53","0.2"
"Mauritius","Costa Rica","2014.0","Export","","","",""
"Mauritius","Cuba","2014.0","Export","","","",""
"Mauritius","Curaçao","2014.0","Export","11.0","0.44","145.95","0.01"
"Mauritius","Cayman Islands","2014.0","Export","","","",""
"Mauritius","Cyprus","2014.0","Export","3.0","0.12","101.2","0.0"
"Mauritius","Czech Republic","2014.0","Export","25.0","1.0","5689.84","0.21"
"Mauritius","Germany","2014.0","Export","245.0","9.76","23798.31","0.89"
"Mauritius","Djibouti","2014.0","Export","11.0","0.44","860.31","0.03"
"Mauritius","Denmark","2014.0","Export","42.0","1.67","6791.98","0.26"
"Mauritius","Dominican Republic","2014.0","Export","","","",""
"Mauritius","Algeria","2014.0","Export","4.0","0.16","114.27","0.0"
"Mauritius","East Asia & Pacific","2014.0","Export","796.0","31.71","229590.33","8.62"
"Mauritius","Europe & Central Asia","2014.0","Export","1693.0","67.45","1340769.61","50.35"
"Mauritius","Ecuador","2014.0","Export","1.0","0.04","45.5","0.0"
"Mauritius","Egypt, Arab Rep.","2014.0","Export","19.0","0.76","733.4","0.03"
"Mauritius","Eritrea","2014.0","Export","3.0","0.12","7.54","0.0"
"Mauritius","Spain","2014.0","Export","366.0","14.58","138461.55","5.2"
"Mauritius","Estonia","2014.0","Export","1.0","0.04","158.11","0.01"
"Mauritius","Ethiopia(excludes Eritrea)","2014.0","Export","17.0","0.68","467.74","0.02"
"Mauritius","Finland","2014.0","Export","20.0","0.8","9706.52","0.36"
"Mauritius","Fiji","2014.0","Export","","","",""
"Mauritius","Falkland Island","2014.0","Export","","","",""
"Mauritius","France","2014.0","Export","1417.0","56.45","387472.16","14.55"
"Mauritius","Faeroe Islands","2014.0","Export","","","",""
"Mauritius","Gabon","2014.0","Export","25.0","1.0","58.27","0.0"
"Mauritius","United Kingdom","2014.0","Export","502.0","20.0","361790.55","13.59"
"Mauritius","Georgia","2014.0","Export","","","",""
"Mauritius","Ghana","2014.0","Export","26.0","1.04","527.6","0.02"
"Mauritius","Gibraltar","2014.0","Export","1.0","0.04","42.02","0.0"
"Mauritius","Guinea","2014.0","Export","4.0","0.16","32.11","0.0"
"Mauritius","Gambia, The","2014.0","Export","16.0","0.64","25.47","0.0"
"Mauritius","Greece","2014.0","Export","11.0","0.44","12610.76","0.47"
"Mauritius","Grenada","2014.0","Export","13.0","0.52","37.37","0.0"
"Mauritius","Guatemala","2014.0","Export","1.0","0.04","0.59","0.0"
"Mauritius","Guyana","2014.0","Export","9.0","0.36","69.11","0.0"
"Mauritius","Hong Kong, China","2014.0","Export","167.0","6.65","33220.95","1.25"
"Mauritius","Honduras","2014.0","Export","","","",""
"Mauritius","Croatia","2014.0","Export","8.0","0.32","547.17","0.02"
"Mauritius","Haiti","2014.0","Export","","","",""
"Mauritius","Hungary","2014.0","Export","17.0","0.68","775.75","0.03"
"Mauritius","Indonesia","2014.0","Export","46.0","1.83","1379.36","0.05"
"Mauritius","India","2014.0","Export","198.0","7.89","16604.38","0.62"
"Mauritius","Ireland","2014.0","Export","40.0","1.59","2037.87","0.08"
"Mauritius","Iran, Islamic Rep.","2014.0","Export","2.0","0.08","412.98","0.02"
"Mauritius","Iraq","2014.0","Export","1.0","0.04","7.0","0.0"
"Mauritius","Iceland","2014.0","Export","","","",""
"Mauritius","Israel","2014.0","Export","10.0","0.4","2670.76","0.1"
"Mauritius","Italy","2014.0","Export","179.0","7.13","173874.5","6.53"
"Mauritius","Jamaica","2014.0","Export","","","",""
"Mauritius","Jordan","2014.0","Export","4.0","0.16","16.6","0.0"
"Mauritius","Japan","2014.0","Export","103.0","4.1","38099.25","1.43"
"Mauritius","Kazakhstan","2014.0","Export","1.0","0.04","118.88","0.0"
"Mauritius","Kenya","2014.0","Export","116.0","4.62","5308.58","0.2"
"Mauritius","Cambodia","2014.0","Export","4.0","0.16","15.42","0.0"
"Mauritius","St. Kitts and Nevis","2014.0","Export","2.0","0.08","0.11","0.0"
"Mauritius","Korea, Rep.","2014.0","Export","196.0","7.81","5695.64","0.21"
"Mauritius","Kuwait","2014.0","Export","4.0","0.16","125.48","0.0"
"Mauritius","Lao PDR","2014.0","Export","","","",""
"Mauritius","Lebanon","2014.0","Export","4.0","0.16","132.39","0.01"
"Mauritius","Liberia","2014.0","Export","5.0","0.2","30.74","0.0"
"Mauritius","Latin America & Caribbean","2014.0","Export","66.0","2.63","13471.73","0.51"
"Mauritius","Sri Lanka","2014.0","Export","27.0","1.08","947.79","0.04"
"Mauritius","Lesotho","2014.0","Export","5.0","0.2","190.76","0.01"
"Mauritius","Lithuania","2014.0","Export","2.0","0.08","5.12","0.0"
"Mauritius","Luxembourg","2014.0","Export","16.0","0.64","8.38","0.0"
"Mauritius","Latvia","2014.0","Export","1.0","0.04","210.72","0.01"
"Mauritius","Macao","2014.0","Export","3.0","0.12","3.8","0.0"
"Mauritius","Morocco","2014.0","Export","9.0","0.36","1541.31","0.06"
"Mauritius","Moldova","2014.0","Export","6.0","0.24","4.36","0.0"
"Mauritius","Madagascar","2014.0","Export","1308.0","52.11","173560.73","6.52"
"Mauritius","Maldives","2014.0","Export","169.0","6.73","1237.16","0.05"
"Mauritius","Middle East & North Africa","2014.0","Export","304.0","12.11","300994.36","11.3"
"Mauritius","Mexico","2014.0","Export","15.0","0.6","8137.32","0.31"
"Mauritius","Marshall Islands","2014.0","Export","2.0","0.08","6.03","0.0"
"Mauritius","Macedonia, FYR","2014.0","Export","3.0","0.12","109.2","0.0"
"Mauritius","Mali","2014.0","Export","3.0","0.12","0.79","0.0"
"Mauritius","Malta","2014.0","Export","14.0","0.56","4431.93","0.17"
"Mauritius","Myanmar","2014.0","Export","","","",""
"Mauritius","Mongolia","2014.0","Export","","","",""
"Mauritius","Northern Mariana Islands","2014.0","Export","","","",""
"Mauritius","Mozambique","2014.0","Export","58.0","2.31","1218.6","0.05"
"Mauritius","Mauritania","2014.0","Export","2.0","0.08","0.78","0.0"
"Mauritius","Montserrat","2014.0","Export","1.0","0.04","0.67","0.0"
"Mauritius","Malawi","2014.0","Export","23.0","0.92","224.92","0.01"
"Mauritius","Malaysia","2014.0","Export","130.0","5.18","5445.29","0.2"
"Mauritius","North America","2014.0","Export","240.0","9.56","287088.97","10.78"
"Mauritius","Namibia","2014.0","Export","29.0","1.16","298.48","0.01"
"Mauritius","New Caledonia","2014.0","Export","15.0","0.6","34.1","0.0"
"Mauritius","Niger","2014.0","Export","1.0","0.04","0.26","0.0"
"Mauritius","Nigeria","2014.0","Export","117.0","4.66","1459.41","0.05"
"Mauritius","Nicaragua","2014.0","Export","","","",""
"Mauritius","Niue","2014.0","Export","1.0","0.04","0.23","0.0"
"Mauritius","Netherlands","2014.0","Export","107.0","4.26","67246.77","2.53"
"Mauritius","Norway","2014.0","Export","20.0","0.8","429.8","0.02"
"Mauritius","Nepal","2014.0","Export","1.0","0.04","13.92","0.0"
"Mauritius","Nauru","2014.0","Export","","","",""
"Mauritius","New Zealand","2014.0","Export","246.0","9.8","1661.16","0.06"
"Mauritius","Other Asia, nes","2014.0","Export","81.0","3.23","33465.46","1.26"
"Mauritius","Oman","2014.0","Export","9.0","0.36","2406.05","0.09"
"Mauritius","Pakistan","2014.0","Export","22.0","0.88","1255.39","0.05"
"Mauritius","Panama","2014.0","Export","10.0","0.4","3357.36","0.13"
"Mauritius","Peru","2014.0","Export","10.0","0.4","299.86","0.01"
"Mauritius","Philippines","2014.0","Export","29.0","1.16","1119.39","0.04"
"Mauritius","Papua New Guinea","2014.0","Export","2.0","0.08","28.47","0.0"
