"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Mexico","Aruba","2014.0","Export","404.0","9.47","10722.45","0.0"
"Mexico","Afghanistan","2014.0","Export","15.0","0.35","346.65","0.0"
"Mexico","Angola","2014.0","Export","129.0","3.02","43658.3","0.01"
"Mexico","Anguila","2014.0","Export","38.0","0.89","508.51","0.0"
"Mexico","Albania","2014.0","Export","15.0","0.35","6015.77","0.0"
"Mexico","Andorra","2014.0","Export","3.0","0.07","50.42","0.0"
"Mexico","United Arab Emirates","2014.0","Export","545.0","12.78","396710.2","0.1"
"Mexico","Argentina","2014.0","Export","1168.0","27.39","1301883.35","0.33"
"Mexico","Armenia","2014.0","Export","14.0","0.33","533.05","0.0"
"Mexico","Fr. So. Ant. Tr","2014.0","Export","","","",""
"Mexico","Antigua and Barbuda","2014.0","Export","113.0","2.65","1867.08","0.0"
"Mexico","Australia","2014.0","Export","824.0","19.32","1009297.83","0.25"
"Mexico","Austria","2014.0","Export","408.0","9.57","135345.07","0.03"
"Mexico","Azerbaijan","2014.0","Export","19.0","0.45","880.1","0.0"
"Mexico","Burundi","2014.0","Export","3.0","0.07","3240.07","0.0"
"Mexico","Belgium","2014.0","Export","759.0","17.8","1699754.48","0.43"
"Mexico","Benin","2014.0","Export","5.0","0.12","788.95","0.0"
"Mexico","Burkina Faso","2014.0","Export","1.0","0.02","720.31","0.0"
"Mexico","Bangladesh","2014.0","Export","52.0","1.22","4746.11","0.0"
"Mexico","Bulgaria","2014.0","Export","83.0","1.95","32833.77","0.01"
"Mexico","Bahrain","2014.0","Export","42.0","0.98","6611.37","0.0"
"Mexico","Bahamas, The","2014.0","Export","448.0","10.5","12540.71","0.0"
"Mexico","Bosnia and Herzegovina","2014.0","Export","9.0","0.21","619.15","0.0"
"Mexico","Belarus","2014.0","Export","20.0","0.47","712.28","0.0"
"Mexico","Belize","2014.0","Export","1160.0","27.2","117044.32","0.03"
"Mexico","Bermuda","2014.0","Export","45.0","1.06","1178.51","0.0"
"Mexico","Bolivia","2014.0","Export","1003.0","23.52","226416.97","0.06"
"Mexico","Brazil","2014.0","Export","1655.0","38.8","4739622.79","1.19"
"Mexico","Barbados","2014.0","Export","408.0","9.57","8004.28","0.0"
"Mexico","Brunei","2014.0","Export","107.0","2.51","2564.36","0.0"
"Mexico","Bhutan","2014.0","Export","1.0","0.02","0.89","0.0"
"Mexico","Botswana","2014.0","Export","","","",""
"Mexico","Central African Republic","2014.0","Export","7.0","0.16","181.96","0.0"
"Mexico","Canada","2014.0","Export","1869.0","43.82","10670057.78","2.68"
"Mexico","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Mexico","Switzerland","2014.0","Export","963.0","22.58","1400955.6","0.35"
"Mexico","Chile","2014.0","Export","1655.0","38.8","2147995.26","0.54"
"Mexico","China","2014.0","Export","1379.0","32.33","5979472.04","1.5"
"Mexico","Cote d'Ivoire","2014.0","Export","26.0","0.61","6500.44","0.0"
"Mexico","Cameroon","2014.0","Export","31.0","0.73","23561.43","0.01"
"Mexico","Congo, Rep.","2014.0","Export","51.0","1.2","24962.73","0.01"
"Mexico","Cook Islands","2014.0","Export","","","",""
"Mexico","Colombia","2014.0","Export","2341.0","54.89","4733822.04","1.19"
"Mexico","Comoros","2014.0","Export","","","",""
"Mexico","Cape Verde","2014.0","Export","7.0","0.16","93.45","0.0"
"Mexico","Costa Rica","2014.0","Export","2295.0","53.81","996471.75","0.25"
"Mexico","Cuba","2014.0","Export","1945.0","45.6","362290.8","0.09"
"Mexico","Curaçao","2014.0","Export","451.0","10.57","12516.97","0.0"
"Mexico","Christmas Island","2014.0","Export","","","",""
"Mexico","Cayman Islands","2014.0","Export","90.0","2.11","2133.47","0.0"
"Mexico","Cyprus","2014.0","Export","148.0","3.47","7375.62","0.0"
"Mexico","Czech Republic","2014.0","Export","485.0","11.37","239152.56","0.06"
"Mexico","Germany","2014.0","Export","1620.0","37.98","3495797.36","0.88"
"Mexico","Djibouti","2014.0","Export","5.0","0.12","242.72","0.0"
"Mexico","Dominica","2014.0","Export","56.0","1.31","4359.78","0.0"
"Mexico","Denmark","2014.0","Export","373.0","8.75","146268.14","0.04"
"Mexico","Dominican Republic","2014.0","Export","1677.0","39.32","884646.59","0.22"
"Mexico","Algeria","2014.0","Export","42.0","0.98","283083.37","0.07"
"Mexico","East Asia & Pacific","2014.0","Export","2340.0","54.87","14278417.76","3.59"
"Mexico","Europe & Central Asia","2014.0","Export","2860.0","67.06","22600396.4","5.69"
"Mexico","Ecuador","2014.0","Export","1460.0","34.23","904783.7","0.23"
"Mexico","Egypt, Arab Rep.","2014.0","Export","269.0","6.31","58040.65","0.01"
"Mexico","Eritrea","2014.0","Export","1.0","0.02","47.66","0.0"
"Mexico","Western Sahara","2014.0","Export","","","",""
"Mexico","Spain","2014.0","Export","1612.0","37.8","5945961.88","1.5"
"Mexico","Estonia","2014.0","Export","169.0","3.96","3301.09","0.0"
"Mexico","Ethiopia(excludes Eritrea)","2014.0","Export","21.0","0.49","4516.68","0.0"
"Mexico","Finland","2014.0","Export","174.0","4.08","75654.39","0.02"
"Mexico","Fiji","2014.0","Export","24.0","0.56","1460.33","0.0"
"Mexico","Falkland Island","2014.0","Export","","","",""
"Mexico","France","2014.0","Export","1235.0","28.96","1644579.26","0.41"
"Mexico","Micronesia, Fed. Sts.","2014.0","Export","5.0","0.12","714.69","0.0"
"Mexico","Gabon","2014.0","Export","55.0","1.29","1754.39","0.0"
"Mexico","United Kingdom","2014.0","Export","1207.0","28.3","1806156.63","0.45"
"Mexico","Georgia","2014.0","Export","23.0","0.54","2426.87","0.0"
"Mexico","Ghana","2014.0","Export","58.0","1.36","25992.49","0.01"
"Mexico","Gibraltar","2014.0","Export","7.0","0.16","47.9","0.0"
"Mexico","Guinea","2014.0","Export","18.0","0.42","1277.82","0.0"
"Mexico","Gambia, The","2014.0","Export","1.0","0.02","0.11","0.0"
"Mexico","Guinea-Bissau","2014.0","Export","","","",""
"Mexico","Equatorial Guinea","2014.0","Export","112.0","2.63","1103.14","0.0"
"Mexico","Greece","2014.0","Export","119.0","2.79","31007.47","0.01"
"Mexico","Grenada","2014.0","Export","40.0","0.94","1793.45","0.0"
"Mexico","Guatemala","2014.0","Export","2628.0","61.62","1785168.05","0.45"
"Mexico","Guam","2014.0","Export","35.0","0.82","2688.97","0.0"
"Mexico","Guyana","2014.0","Export","244.0","5.72","12106.04","0.0"
"Mexico","Hong Kong, China","2014.0","Export","743.0","17.42","1028776.56","0.26"
"Mexico","Honduras","2014.0","Export","1946.0","45.63","518370.79","0.13"
"Mexico","Croatia","2014.0","Export","38.0","0.89","3844.36","0.0"
"Mexico","Haiti","2014.0","Export","515.0","12.07","66917.94","0.02"
"Mexico","Hungary","2014.0","Export","377.0","8.84","192692.11","0.05"
"Mexico","Indonesia","2014.0","Export","304.0","7.13","115707.46","0.03"
"Mexico","India","2014.0","Export","753.0","17.66","2668395.9","0.67"
"Mexico","British Indian Ocean Ter.","2014.0","Export","1.0","0.02","8.09","0.0"
"Mexico","Ireland","2014.0","Export","266.0","6.24","262398.09","0.07"
"Mexico","Iran, Islamic Rep.","2014.0","Export","17.0","0.4","256.97","0.0"
"Mexico","Iraq","2014.0","Export","158.0","3.7","15570.24","0.0"
"Mexico","Iceland","2014.0","Export","28.0","0.66","711.22","0.0"
"Mexico","Israel","2014.0","Export","526.0","12.33","135844.81","0.03"
"Mexico","Italy","2014.0","Export","1291.0","30.27","1702117.69","0.43"
"Mexico","Jamaica","2014.0","Export","872.0","20.45","174259.98","0.04"
"Mexico","Jordan","2014.0","Export","71.0","1.66","9160.21","0.0"
"Mexico","Japan","2014.0","Export","1305.0","30.6","2609232.75","0.66"
"Mexico","Kazakhstan","2014.0","Export","113.0","2.65","68528.69","0.02"
"Mexico","Kenya","2014.0","Export","54.0","1.27","4460.58","0.0"
"Mexico","Kyrgyz Republic","2014.0","Export","1.0","0.02","2.53","0.0"
"Mexico","Cambodia","2014.0","Export","37.0","0.87","1584.73","0.0"
"Mexico","Kiribati","2014.0","Export","","","",""
"Mexico","St. Kitts and Nevis","2014.0","Export","205.0","4.81","1032.92","0.0"
"Mexico","Korea, Rep.","2014.0","Export","910.0","21.34","2027294.57","0.51"
"Mexico","Kuwait","2014.0","Export","110.0","2.58","38135.48","0.01"
"Mexico","Lao PDR","2014.0","Export","2.0","0.05","231.74","0.0"
"Mexico","Lebanon","2014.0","Export","137.0","3.21","16114.83","0.0"
"Mexico","Liberia","2014.0","Export","5.0","0.12","91.94","0.0"
"Mexico","Libya","2014.0","Export","49.0","1.15","19934.01","0.01"
"Mexico","St. Lucia","2014.0","Export","150.0","3.52","2718.05","0.0"
"Mexico","Latin America & Caribbean","2014.0","Export","3687.0","86.45","25305989.26","6.37"
"Mexico","Sri Lanka","2014.0","Export","63.0","1.48","6276.31","0.0"
"Mexico","Lesotho","2014.0","Export","","","",""
"Mexico","Lithuania","2014.0","Export","56.0","1.31","74599.78","0.02"
"Mexico","Luxembourg","2014.0","Export","102.0","2.39","138364.32","0.03"
"Mexico","Latvia","2014.0","Export","69.0","1.62","23495.81","0.01"
"Mexico","Macao","2014.0","Export","15.0","0.35","1132.87","0.0"
"Mexico","Morocco","2014.0","Export","86.0","2.02","37974.61","0.01"
"Mexico","Moldova","2014.0","Export","14.0","0.33","616.55","0.0"
"Mexico","Madagascar","2014.0","Export","4.0","0.09","519.28","0.0"
"Mexico","Maldives","2014.0","Export","2.0","0.05","267.75","0.0"
"Mexico","Middle East & North Africa","2014.0","Export","1116.0","26.17","1776983.84","0.45"
"Mexico","Marshall Islands","2014.0","Export","59.0","1.38","39.79","0.0"
"Mexico","Macedonia, FYR","2014.0","Export","34.0","0.8","1171.05","0.0"
"Mexico","Mali","2014.0","Export","10.0","0.23","4942.42","0.0"
"Mexico","Malta","2014.0","Export","246.0","5.77","3488.38","0.0"
"Mexico","Myanmar","2014.0","Export","14.0","0.33","6733.05","0.0"
"Mexico","Mongolia","2014.0","Export","7.0","0.16","2609.79","0.0"
"Mexico","Northern Mariana Islands","2014.0","Export","1.0","0.02","0.89","0.0"
"Mexico","Montenegro","2014.0","Export","5.0","0.12","675.95","0.0"
"Mexico","Mozambique","2014.0","Export","27.0","0.63","415.05","0.0"
"Mexico","Mauritania","2014.0","Export","11.0","0.26","401.6","0.0"
"Mexico","Montserrat","2014.0","Export","","","",""
"Mexico","Mauritius","2014.0","Export","11.0","0.26","2152.16","0.0"
"Mexico","Malawi","2014.0","Export","1.0","0.02","4.43","0.0"
"Mexico","Malaysia","2014.0","Export","451.0","10.57","195396.68","0.05"
"Mexico","North America","2014.0","Export","3978.0","93.27","329876708.09","82.99"
"Mexico","Namibia","2014.0","Export","8.0","0.19","148.72","0.0"
"Mexico","New Caledonia","2014.0","Export","4.0","0.09","106.75","0.0"
"Mexico","Niger","2014.0","Export","5.0","0.12","169.36","0.0"
"Mexico","Norfolk Island","2014.0","Export","","","",""
"Mexico","Nigeria","2014.0","Export","166.0","3.89","45434.63","0.01"
"Mexico","Nicaragua","2014.0","Export","1732.0","40.61","848857.82","0.21"
"Mexico","Niue","2014.0","Export","","","",""
"Mexico","Netherlands","2014.0","Export","958.0","22.46","2271744.48","0.57"
"Mexico","Norway","2014.0","Export","193.0","4.53","55520.22","0.01"
"Mexico","Nepal","2014.0","Export","16.0","0.38","58.13","0.0"
"Mexico","Nauru","2014.0","Export","","","",""
"Mexico","New Zealand","2014.0","Export","538.0","12.61","99091.06","0.02"
"Mexico","Other Asia, nes","2014.0","Export","591.0","13.86","392127.69","0.1"
"Mexico","Oman","2014.0","Export","59.0","1.38","21220.68","0.01"
"Mexico","Pakistan","2014.0","Export","126.0","2.95","24334.35","0.01"
"Mexico","Panama","2014.0","Export","1846.0","43.28","989113.13","0.25"
"Mexico","Pitcairn","2014.0","Export","","","",""
"Mexico","Peru","2014.0","Export","1715.0","40.21","1730178.15","0.44"
"Mexico","Philippines","2014.0","Export","428.0","10.04","128023.31","0.03"
"Mexico","Palau","2014.0","Export","","","",""
"Mexico","Papua New Guinea","2014.0","Export","20.0","0.47","1381.28","0.0"
"Mexico","Poland","2014.0","Export","320.0","7.5","194477.8","0.05"
"Mexico","Korea, Dem. Rep.","2014.0","Export","33.0","0.77","966.86","0.0"
"Mexico","Portugal","2014.0","Export","242.0","5.67","44816.91","0.01"
"Mexico","Paraguay","2014.0","Export","717.0","16.81","161962.48","0.04"
"Mexico","French Polynesia","2014.0","Export","2.0","0.05","335.49","0.0"
"Mexico","Qatar","2014.0","Export","83.0","1.95","33416.53","0.01"
"Mexico","Romania","2014.0","Export","238.0","5.58","96039.21","0.02"
"Mexico","Russian Federation","2014.0","Export","506.0","11.86","274102.43","0.07"
"Mexico","Rwanda","2014.0","Export","6.0","0.14","374.76","0.0"
"Mexico","South Asia","2014.0","Export","826.0","19.37","2704426.09","0.68"
"Mexico","Saudi Arabia","2014.0","Export","337.0","7.9","672915.0","0.17"
"Mexico","Senegal","2014.0","Export","25.0","0.59","931.08","0.0"
"Mexico","Serbia, FR(Serbia/Montenegro)","2014.0","Export","25.0","0.59","735.48","0.0"
"Mexico","Singapore","2014.0","Export","710.0","16.65","529071.55","0.13"
"Mexico","Saint Helena","2014.0","Export","","","",""
"Mexico","Solomon Islands","2014.0","Export","2.0","0.05","58.24","0.0"
"Mexico","Sierra Leone","2014.0","Export","2.0","0.05","55.27","0.0"
"Mexico","El Salvador","2014.0","Export","2111.0","49.5","604651.87","0.15"
"Mexico","San Marino","2014.0","Export","2.0","0.05","63.02","0.0"
"Mexico","Somalia","2014.0","Export","1.0","0.02","49.9","0.0"
"Mexico","Saint Pierre and Miquelon","2014.0","Export","","","",""
"Mexico","Sub-Saharan Africa","2014.0","Export","708.0","16.6","463355.56","0.12"
"Mexico","Sao Tome and Principe","2014.0","Export","","","",""
"Mexico","Sudan","2014.0","Export","4.0","0.09","1609.44","0.0"
"Mexico","Suriname","2014.0","Export","248.0","5.81","12736.47","0.0"
"Mexico","Slovak Republic","2014.0","Export","178.0","4.17","31446.78","0.01"
"Mexico","Slovenia","2014.0","Export","100.0","2.34","7898.96","0.0"
"Mexico","Sweden","2014.0","Export","515.0","12.07","121702.23","0.03"
"Mexico","Swaziland","2014.0","Export","16.0","0.38","167.15","0.0"
"Mexico","Seychelles","2014.0","Export","3.0","0.07","1.78","0.0"
"Mexico","Syrian Arab Republic","2014.0","Export","14.0","0.33","1091.75","0.0"
"Mexico","Turks and Caicos Isl.","2014.0","Export","106.0","2.49","1561.22","0.0"
"Mexico","Chad","2014.0","Export","25.0","0.59","2027.34","0.0"
"Mexico","Togo","2014.0","Export","11.0","0.26","2959.93","0.0"
"Mexico","Thailand","2014.0","Export","619.0","14.51","360890.39","0.09"
"Mexico","Tajikistan","2014.0","Export","","","",""
"Mexico","Tokelau","2014.0","Export","","","",""
"Mexico","Turkmenistan","2014.0","Export","4.0","0.09","3619.27","0.0"
"Mexico","East Timor","2014.0","Export","","","",""
"Mexico","Tonga","2014.0","Export","","","",""
"Mexico","Trinidad and Tobago","2014.0","Export","675.0","15.83","87763.24","0.02"
"Mexico","Tunisia","2014.0","Export","76.0","1.78","25848.87","0.01"
"Mexico","Turkey","2014.0","Export","380.0","8.91","327791.49","0.08"
"Mexico","Tuvalu","2014.0","Export","","","",""
"Mexico","Tanzania","2014.0","Export","32.0","0.75","1656.25","0.0"
"Mexico","Uganda","2014.0","Export","35.0","0.82","1015.07","0.0"
"Mexico","Ukraine","2014.0","Export","124.0","2.91","19577.94","0.0"
"Mexico","Unspecified","2014.0","Export","419.0","9.82","91466.59","0.02"
"Mexico","Uruguay","2014.0","Export","1028.0","24.1","299919.83","0.08"
"Mexico","United States","2014.0","Export","3966.0","92.99","319205471.8","80.3"
"Mexico","Uzbekistan","2014.0","Export","11.0","0.26","6261.07","0.0"
"Mexico","Holy See","2014.0","Export","","","",""
"Mexico","St. Vincent and the Grenadines","2014.0","Export","33.0","0.77","644.08","0.0"
"Mexico","Venezuela","2014.0","Export","1352.0","31.7","1551628.38","0.39"
"Mexico","British Virgin Islands","2014.0","Export","116.0","2.72","1040.87","0.0"
"Mexico","Vietnam","2014.0","Export","271.0","6.35","173051.95","0.04"
"Mexico","Vanuatu","2014.0","Export","1.0","0.02","13.51","0.0"
"Mexico"," World","2014.0","Export","4265.0","100.0","397505604.06","100.0"
"Mexico","Wallis and Futura Isl.","2014.0","Export","1.0","0.02","1.0","0.0"
"Mexico","Samoa","2014.0","Export","2.0","0.05","488.27","0.0"
"Mexico","Yemen","2014.0","Export","54.0","1.27","1323.13","0.0"
"Mexico","South Africa","2014.0","Export","404.0","9.47","251575.93","0.06"
"Mexico","Congo, Dem. Rep.","2014.0","Export","1.0","0.02","0.01","0.0"
"Mexico","Zambia","2014.0","Export","8.0","0.19","4353.53","0.0"
"Mexico","Zimbabwe","2014.0","Export","30.0","0.7","1047.47","0.0"
