"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Moldova","Afghanistan","2014.0","Export","23.0","1.14","42.46","0.0"
"Moldova","Angola","2014.0","Export","2.0","0.1","7.42","0.0"
"Moldova","Anguila","2014.0","Export","","","",""
"Moldova","Albania","2014.0","Export","6.0","0.3","165.47","0.01"
"Moldova","Andorra","2014.0","Export","","","",""
"Moldova","United Arab Emirates","2014.0","Export","49.0","2.43","523.94","0.02"
"Moldova","Argentina","2014.0","Export","","","",""
"Moldova","Armenia","2014.0","Export","32.0","1.58","2137.58","0.09"
"Moldova","Fr. So. Ant. Tr","2014.0","Export","","","",""
"Moldova","Antigua and Barbuda","2014.0","Export","","","",""
"Moldova","Australia","2014.0","Export","16.0","0.79","345.17","0.01"
"Moldova","Austria","2014.0","Export","64.0","3.17","23822.17","1.02"
"Moldova","Azerbaijan","2014.0","Export","95.0","4.71","5916.27","0.25"
"Moldova","Burundi","2014.0","Export","","","",""
"Moldova","Belgium","2014.0","Export","140.0","6.93","11218.26","0.48"
"Moldova","Benin","2014.0","Export","","","",""
"Moldova","Bangladesh","2014.0","Export","2.0","0.1","185.9","0.01"
"Moldova","Bulgaria","2014.0","Export","182.0","9.01","37872.28","1.62"
"Moldova","Bahrain","2014.0","Export","","","",""
"Moldova","Bahamas, The","2014.0","Export","1.0","0.05","2.59","0.0"
"Moldova","Bosnia and Herzegovina","2014.0","Export","19.0","0.94","972.6","0.04"
"Moldova","Belarus","2014.0","Export","183.0","9.06","134694.18","5.76"
"Moldova","Belize","2014.0","Export","58.0","2.87","1.8","0.0"
"Moldova","Bolivia","2014.0","Export","","","",""
"Moldova","Brazil","2014.0","Export","2.0","0.1","47.55","0.0"
"Moldova","Barbados","2014.0","Export","","","",""
"Moldova","Bhutan","2014.0","Export","","","",""
"Moldova","Bouvet Island","2014.0","Export","","","",""
"Moldova","Canada","2014.0","Export","47.0","2.33","1253.92","0.05"
"Moldova","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Moldova","Switzerland","2014.0","Export","64.0","3.17","49237.14","2.1"
"Moldova","Chile","2014.0","Export","1.0","0.05","32.29","0.0"
"Moldova","China","2014.0","Export","47.0","2.33","8223.14","0.35"
"Moldova","Cote d'Ivoire","2014.0","Export","1.0","0.05","359.75","0.02"
"Moldova","Cameroon","2014.0","Export","","","",""
"Moldova","Congo, Rep.","2014.0","Export","60.0","2.97","321.92","0.01"
"Moldova","Colombia","2014.0","Export","","","",""
"Moldova","Comoros","2014.0","Export","","","",""
"Moldova","Costa Rica","2014.0","Export","","","",""
"Moldova","Cuba","2014.0","Export","","","",""
"Moldova","Cyprus","2014.0","Export","45.0","2.23","6943.93","0.3"
"Moldova","Czech Republic","2014.0","Export","124.0","6.14","29931.51","1.28"
"Moldova","Germany","2014.0","Export","444.0","21.99","137525.15","5.88"
"Moldova","Dominica","2014.0","Export","","","",""
"Moldova","Denmark","2014.0","Export","13.0","0.64","1668.05","0.07"
"Moldova","Dominican Republic","2014.0","Export","","","",""
"Moldova","Algeria","2014.0","Export","","","",""
"Moldova","East Asia & Pacific","2014.0","Export","122.0","6.04","51799.8","2.21"
