"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Mongolia","Aruba","2014.0","Export","","","",""
"Mongolia","Angola","2014.0","Export","2.0","0.17","3.1","0.0"
"Mongolia","Albania","2014.0","Export","","","",""
"Mongolia","United Arab Emirates","2014.0","Export","121.0","10.49","20486.06","0.35"
"Mongolia","Argentina","2014.0","Export","","","",""
"Mongolia","Armenia","2014.0","Export","","","",""
"Mongolia","Australia","2014.0","Export","141.0","12.23","1160.94","0.02"
"Mongolia","Austria","2014.0","Export","30.0","2.6","1206.55","0.02"
"Mongolia","Azerbaijan","2014.0","Export","","","",""
"Mongolia","Burundi","2014.0","Export","","","",""
"Mongolia","Belgium","2014.0","Export","87.0","7.55","417.93","0.01"
"Mongolia","Burkina Faso","2014.0","Export","13.0","1.13","105.39","0.0"
"Mongolia","Bangladesh","2014.0","Export","1.0","0.09","57.86","0.0"
"Mongolia","Bulgaria","2014.0","Export","2.0","0.17","4.93","0.0"
"Mongolia","Bahamas, The","2014.0","Export","","","",""
"Mongolia","Bosnia and Herzegovina","2014.0","Export","","","",""
"Mongolia","Belarus","2014.0","Export","19.0","1.65","4.04","0.0"
"Mongolia","Brazil","2014.0","Export","","","",""
"Mongolia","Barbados","2014.0","Export","","","",""
"Mongolia","Brunei","2014.0","Export","","","",""
"Mongolia","Bhutan","2014.0","Export","","","",""
"Mongolia","Canada","2014.0","Export","106.0","9.19","1172.43","0.02"
"Mongolia","Switzerland","2014.0","Export","39.0","3.38","28071.65","0.49"
"Mongolia","Chile","2014.0","Export","1.0","0.09","3.25","0.0"
"Mongolia","China","2014.0","Export","478.0","41.46","5070107.41","87.8"
"Mongolia","Cote d'Ivoire","2014.0","Export","6.0","0.52","826.35","0.01"
"Mongolia","Cameroon","2014.0","Export","","","",""
"Mongolia","Colombia","2014.0","Export","","","",""
"Mongolia","Costa Rica","2014.0","Export","","","",""
"Mongolia","Cuba","2014.0","Export","","","",""
"Mongolia","Cyprus","2014.0","Export","","","",""
"Mongolia","Czech Republic","2014.0","Export","15.0","1.3","132.07","0.0"
"Mongolia","Germany","2014.0","Export","207.0","17.95","15020.63","0.26"
"Mongolia","Dominica","2014.0","Export","","","",""
"Mongolia","Denmark","2014.0","Export","34.0","2.95","23972.06","0.42"
"Mongolia","Dominican Republic","2014.0","Export","","","",""
"Mongolia","East Asia & Pacific","2014.0","Export","828.0","71.81","5132521.73","88.89"
"Mongolia","Europe & Central Asia","2014.0","Export","657.0","56.98","600038.65","10.39"
"Mongolia","Ecuador","2014.0","Export","","","",""
"Mongolia","Egypt, Arab Rep.","2014.0","Export","","","",""
"Mongolia","Spain","2014.0","Export","136.0","11.8","448.87","0.01"
"Mongolia","Estonia","2014.0","Export","","","",""
"Mongolia","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"Mongolia","Finland","2014.0","Export","16.0","1.39","201.18","0.0"
"Mongolia","Fiji","2014.0","Export","2.0","0.17","0.69","0.0"
"Mongolia","France","2014.0","Export","127.0","11.01","9308.19","0.16"
"Mongolia","Micronesia, Fed. Sts.","2014.0","Export","","","",""
"Mongolia","United Kingdom","2014.0","Export","134.0","11.62","398740.2","6.91"
"Mongolia","Georgia","2014.0","Export","","","",""
"Mongolia","Guinea","2014.0","Export","","","",""
"Mongolia","Gambia, The","2014.0","Export","","","",""
"Mongolia","Greece","2014.0","Export","","","",""
"Mongolia","Guatemala","2014.0","Export","","","",""
"Mongolia","Guyana","2014.0","Export","","","",""
"Mongolia","Hong Kong, China","2014.0","Export","67.0","5.81","3063.74","0.05"
"Mongolia","Honduras","2014.0","Export","","","",""
"Mongolia","Croatia","2014.0","Export","","","",""
"Mongolia","Haiti","2014.0","Export","","","",""
"Mongolia","Hungary","2014.0","Export","18.0","1.56","187.44","0.0"
"Mongolia","Indonesia","2014.0","Export","15.0","1.3","138.32","0.0"
"Mongolia","India","2014.0","Export","5.0","0.43","2994.97","0.05"
"Mongolia","Ireland","2014.0","Export","6.0","0.52","13.21","0.0"
"Mongolia","Iran, Islamic Rep.","2014.0","Export","","","",""
"Mongolia","Iceland","2014.0","Export","","","",""
"Mongolia","Israel","2014.0","Export","11.0","0.95","94.71","0.0"
"Mongolia","Italy","2014.0","Export","89.0","7.72","51412.48","0.89"
"Mongolia","Jamaica","2014.0","Export","","","",""
"Mongolia","Jordan","2014.0","Export","","","",""
"Mongolia","Japan","2014.0","Export","180.0","15.61","24451.16","0.42"
"Mongolia","Kazakhstan","2014.0","Export","95.0","8.24","4855.73","0.08"
"Mongolia","Kenya","2014.0","Export","1.0","0.09","0.87","0.0"
"Mongolia","Kyrgyz Republic","2014.0","Export","3.0","0.26","1013.51","0.02"
"Mongolia","Cambodia","2014.0","Export","1.0","0.09","1.42","0.0"
"Mongolia","Korea, Rep.","2014.0","Export","202.0","17.52","13496.47","0.23"
"Mongolia","Kuwait","2014.0","Export","1.0","0.09","69.2","0.0"
"Mongolia","Lao PDR","2014.0","Export","1.0","0.09","0.02","0.0"
"Mongolia","Lebanon","2014.0","Export","1.0","0.09","93.0","0.0"
"Mongolia","Latin America & Caribbean","2014.0","Export","3.0","0.26","13.75","0.0"
"Mongolia","Sri Lanka","2014.0","Export","","","",""
"Mongolia","Lithuania","2014.0","Export","","","",""
"Mongolia","Luxembourg","2014.0","Export","","","",""
"Mongolia","Latvia","2014.0","Export","13.0","1.13","84.49","0.0"
