"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Montenegro","Albania","2014.0","Export","219.0","12.96","20062.9","4.55"
"Montenegro","Andorra","2014.0","Export","","","",""
"Montenegro","United Arab Emirates","2014.0","Export","2.0","0.12","33.9","0.01"
"Montenegro","Argentina","2014.0","Export","9.0","0.53","2.84","0.0"
"Montenegro","Armenia","2014.0","Export","","","",""
"Montenegro","American Samoa","2014.0","Export","","","",""
"Montenegro","Fr. So. Ant. Tr","2014.0","Export","","","",""
"Montenegro","Australia","2014.0","Export","13.0","0.77","158.4","0.04"
"Montenegro","Austria","2014.0","Export","51.0","3.02","1782.88","0.4"
"Montenegro","Azerbaijan","2014.0","Export","","","",""
"Montenegro","Burundi","2014.0","Export","4.0","0.24","92.57","0.02"
"Montenegro","Belgium","2014.0","Export","89.0","5.27","293.98","0.07"
"Montenegro","Benin","2014.0","Export","","","",""
"Montenegro","Burkina Faso","2014.0","Export","","","",""
"Montenegro","Bangladesh","2014.0","Export","5.0","0.3","2030.82","0.46"
"Montenegro","Bulgaria","2014.0","Export","55.0","3.25","6635.37","1.51"
"Montenegro","Bahamas, The","2014.0","Export","1.0","0.06","2.67","0.0"
"Montenegro","Bosnia and Herzegovina","2014.0","Export","384.0","22.72","42136.1","9.56"
"Montenegro","Belarus","2014.0","Export","3.0","0.18","43706.04","9.92"
"Montenegro","Bermuda","2014.0","Export","1.0","0.06","1.2","0.0"
"Montenegro","Bolivia","2014.0","Export","","","",""
"Montenegro","Brazil","2014.0","Export","","","",""
"Montenegro","Barbados","2014.0","Export","","","",""
"Montenegro","Brunei","2014.0","Export","","","",""
"Montenegro","Central African Republic","2014.0","Export","","","",""
"Montenegro","Canada","2014.0","Export","4.0","0.24","201.77","0.05"
"Montenegro","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Montenegro","Switzerland","2014.0","Export","84.0","4.97","4828.7","1.1"
"Montenegro","Chile","2014.0","Export","","","",""
"Montenegro","China","2014.0","Export","6.0","0.35","3387.26","0.77"
"Montenegro","Cote d'Ivoire","2014.0","Export","","","",""
"Montenegro","Cameroon","2014.0","Export","","","",""
"Montenegro","Congo, Rep.","2014.0","Export","","","",""
"Montenegro","Cook Islands","2014.0","Export","","","",""
"Montenegro","Colombia","2014.0","Export","","","",""
"Montenegro","Costa Rica","2014.0","Export","","","",""
"Montenegro","Cuba","2014.0","Export","","","",""
"Montenegro","Cayman Islands","2014.0","Export","24.0","1.42","13.38","0.0"
"Montenegro","Cyprus","2014.0","Export","85.0","5.03","1465.33","0.33"
"Montenegro","Czech Republic","2014.0","Export","21.0","1.24","4071.53","0.92"
"Montenegro","Germany","2014.0","Export","177.0","10.47","7748.6","1.76"
"Montenegro","Dominica","2014.0","Export","","","",""
"Montenegro","Denmark","2014.0","Export","15.0","0.89","979.24","0.22"
"Montenegro","Algeria","2014.0","Export","","","",""
"Montenegro","East Asia & Pacific","2014.0","Export","35.0","2.07","6950.12","1.58"
"Montenegro","Europe & Central Asia","2014.0","Export","1644.0","97.28","391659.85","88.88"
"Montenegro","Ecuador","2014.0","Export","30.0","1.78","3.31","0.0"
"Montenegro","Egypt, Arab Rep.","2014.0","Export","22.0","1.3","280.49","0.06"
"Montenegro","Western Sahara","2014.0","Export","","","",""
"Montenegro","Spain","2014.0","Export","79.0","4.67","152.55","0.03"
"Montenegro","Estonia","2014.0","Export","","","",""
"Montenegro","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"Montenegro","Finland","2014.0","Export","","","",""
"Montenegro","Fiji","2014.0","Export","","","",""
"Montenegro","Falkland Island","2014.0","Export","","","",""
"Montenegro","France","2014.0","Export","31.0","1.83","3761.8","0.85"
"Montenegro","Gabon","2014.0","Export","","","",""
"Montenegro","United Kingdom","2014.0","Export","112.0","6.63","6920.31","1.57"
"Montenegro","Georgia","2014.0","Export","1.0","0.06","5.92","0.0"
"Montenegro","Ghana","2014.0","Export","","","",""
"Montenegro","Gibraltar","2014.0","Export","1.0","0.06","1.93","0.0"
"Montenegro","Guinea","2014.0","Export","","","",""
"Montenegro","Guinea-Bissau","2014.0","Export","","","",""
"Montenegro","Equatorial Guinea","2014.0","Export","1.0","0.06","48.65","0.01"
"Montenegro","Greece","2014.0","Export","28.0","1.66","390.51","0.09"
"Montenegro","Grenada","2014.0","Export","","","",""
"Montenegro","Guatemala","2014.0","Export","","","",""
"Montenegro","Guam","2014.0","Export","","","",""
"Montenegro","Guyana","2014.0","Export","","","",""
"Montenegro","Hong Kong, China","2014.0","Export","4.0","0.24","185.21","0.04"
"Montenegro","Honduras","2014.0","Export","","","",""
"Montenegro","Croatia","2014.0","Export","138.0","8.17","43792.28","9.94"
"Montenegro","Haiti","2014.0","Export","","","",""
"Montenegro","Hungary","2014.0","Export","40.0","2.37","773.64","0.18"
"Montenegro","Indonesia","2014.0","Export","","","",""
"Montenegro","India","2014.0","Export","4.0","0.24","1357.05","0.31"
"Montenegro","Ireland","2014.0","Export","1.0","0.06","0.34","0.0"
"Montenegro","Iran, Islamic Rep.","2014.0","Export","3.0","0.18","99.2","0.02"
"Montenegro","Iraq","2014.0","Export","","","",""
"Montenegro","Iceland","2014.0","Export","","","",""
"Montenegro","Israel","2014.0","Export","4.0","0.24","5.92","0.0"
"Montenegro","Italy","2014.0","Export","392.0","23.2","46066.68","10.45"
"Montenegro","Jamaica","2014.0","Export","","","",""
"Montenegro","Jordan","2014.0","Export","","","",""
"Montenegro","Japan","2014.0","Export","8.0","0.47","2427.44","0.55"
"Montenegro","Kazakhstan","2014.0","Export","1.0","0.06","144.78","0.03"
"Montenegro","Kenya","2014.0","Export","","","",""
"Montenegro","Kyrgyz Republic","2014.0","Export","","","",""
"Montenegro","Cambodia","2014.0","Export","","","",""
"Montenegro","Korea, Rep.","2014.0","Export","2.0","0.12","1.84","0.0"
"Montenegro","Kuwait","2014.0","Export","","","",""
"Montenegro","Lao PDR","2014.0","Export","","","",""
"Montenegro","Lebanon","2014.0","Export","","","",""
"Montenegro","Liberia","2014.0","Export","74.0","4.38","30.02","0.01"
"Montenegro","Libya","2014.0","Export","3.0","0.18","7584.91","1.72"
"Montenegro","Latin America & Caribbean","2014.0","Export","68.0","4.02","172.63","0.04"
"Montenegro","Sri Lanka","2014.0","Export","","","",""
"Montenegro","Lithuania","2014.0","Export","2.0","0.12","19.84","0.0"
"Montenegro","Luxembourg","2014.0","Export","23.0","1.36","14.26","0.0"
"Montenegro","Latvia","2014.0","Export","2.0","0.12","243.76","0.06"
"Montenegro","Macao","2014.0","Export","","","",""
"Montenegro","Morocco","2014.0","Export","1.0","0.06","4.55","0.0"
"Montenegro","Moldova","2014.0","Export","2.0","0.12","5.86","0.0"
"Montenegro","Madagascar","2014.0","Export","","","",""
"Montenegro","Middle East & North Africa","2014.0","Export","41.0","2.43","8519.36","1.93"
"Montenegro","Mexico","2014.0","Export","","","",""
"Montenegro","Macedonia, FYR","2014.0","Export","213.0","12.6","4450.5","1.01"
"Montenegro","Mali","2014.0","Export","","","",""
"Montenegro","Malta","2014.0","Export","2.0","0.12","475.48","0.11"
"Montenegro","Myanmar","2014.0","Export","","","",""
"Montenegro","Mongolia","2014.0","Export","","","",""
"Montenegro","Mozambique","2014.0","Export","","","",""
"Montenegro","Mauritania","2014.0","Export","","","",""
"Montenegro","Montserrat","2014.0","Export","","","",""
"Montenegro","Mauritius","2014.0","Export","","","",""
"Montenegro","Malawi","2014.0","Export","","","",""
"Montenegro","Malaysia","2014.0","Export","3.0","0.18","3.66","0.0"
"Montenegro","North America","2014.0","Export","18.0","1.07","1274.56","0.29"
"Montenegro","Namibia","2014.0","Export","","","",""
"Montenegro","Niger","2014.0","Export","","","",""
"Montenegro","Nigeria","2014.0","Export","","","",""
"Montenegro","Nicaragua","2014.0","Export","","","",""
"Montenegro","Netherlands","2014.0","Export","42.0","2.49","526.34","0.12"
"Montenegro","Norway","2014.0","Export","6.0","0.35","97.2","0.02"
"Montenegro","Nepal","2014.0","Export","","","",""
"Montenegro","New Zealand","2014.0","Export","3.0","0.18","25.03","0.01"
"Montenegro","Other Asia, nes","2014.0","Export","2.0","0.12","2.17","0.0"
