"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Montserrat","Aruba","2014.0","Export","2.0","0.96","123.39","3.07"
"Montserrat","Anguila","2014.0","Export","1.0","0.48","247.94","6.16"
"Montserrat","United Arab Emirates","2014.0","Export","","","",""
"Montserrat","Argentina","2014.0","Export","","","",""
"Montserrat","Antigua and Barbuda","2014.0","Export","76.0","36.36","385.5","9.58"
"Montserrat","Austria","2014.0","Export","","","",""
"Montserrat","Belgium","2014.0","Export","","","",""
"Montserrat","Brazil","2014.0","Export","","","",""
"Montserrat","Barbados","2014.0","Export","2.0","0.96","3.2","0.08"
"Montserrat","Canada","2014.0","Export","2.0","0.96","0.82","0.02"
"Montserrat","Switzerland","2014.0","Export","","","",""
"Montserrat","China","2014.0","Export","","","",""
"Montserrat","Colombia","2014.0","Export","","","",""
"Montserrat","Curaçao","2014.0","Export","","","",""
"Montserrat","Cayman Islands","2014.0","Export","","","",""
"Montserrat","Germany","2014.0","Export","","","",""
"Montserrat","Dominica","2014.0","Export","5.0","2.39","2.88","0.07"
"Montserrat","Denmark","2014.0","Export","","","",""
"Montserrat","Dominican Republic","2014.0","Export","","","",""
"Montserrat","East Asia & Pacific","2014.0","Export","3.0","1.44","81.32","2.02"
"Montserrat","Europe & Central Asia","2014.0","Export","61.0","29.19","782.75","19.46"
"Montserrat","Spain","2014.0","Export","","","",""
"Montserrat","France","2014.0","Export","58.0","27.75","768.69","19.11"
"Montserrat","Gabon","2014.0","Export","1.0","0.48","19.8","0.49"
"Montserrat","United Kingdom","2014.0","Export","5.0","2.39","14.06","0.35"
"Montserrat","Grenada","2014.0","Export","","","",""
"Montserrat","Guyana","2014.0","Export","","","",""
"Montserrat","Hong Kong, China","2014.0","Export","","","",""
"Montserrat","Honduras","2014.0","Export","","","",""
"Montserrat","India","2014.0","Export","","","",""
"Montserrat","Ireland","2014.0","Export","","","",""
"Montserrat","Italy","2014.0","Export","","","",""
"Montserrat","Jamaica","2014.0","Export","","","",""
"Montserrat","Japan","2014.0","Export","1.0","0.48","0.11","0.0"
"Montserrat","St. Kitts and Nevis","2014.0","Export","60.0","28.71","987.58","24.55"
"Montserrat","Korea, Rep.","2014.0","Export","","","",""
"Montserrat","St. Lucia","2014.0","Export","1.0","0.48","13.5","0.34"
"Montserrat","Latin America & Caribbean","2014.0","Export","121.0","57.89","1918.83","47.71"
"Montserrat","Middle East & North Africa","2014.0","Export","","","",""
"Montserrat","Marshall Islands","2014.0","Export","2.0","0.96","81.21","2.02"
"Montserrat","North America","2014.0","Export","37.0","17.7","892.05","22.18"
"Montserrat","Nigeria","2014.0","Export","","","",""
"Montserrat","Netherlands","2014.0","Export","","","",""
"Montserrat","New Zealand","2014.0","Export","","","",""
"Montserrat","Other Asia, nes","2014.0","Export","","","",""
"Montserrat","Panama","2014.0","Export","1.0","0.48","70.44","1.75"
"Montserrat","Peru","2014.0","Export","","","",""
"Montserrat","Paraguay","2014.0","Export","","","",""
"Montserrat","South Asia","2014.0","Export","","","",""
"Montserrat","Singapore","2014.0","Export","","","",""
"Montserrat","Sub-Saharan Africa","2014.0","Export","18.0","8.61","73.39","1.82"
"Montserrat","Swaziland","2014.0","Export","","","",""
"Montserrat","Togo","2014.0","Export","17.0","8.13","53.59","1.33"
"Montserrat","Thailand","2014.0","Export","","","",""
"Montserrat","Trinidad and Tobago","2014.0","Export","4.0","1.91","312.54","7.77"
"Montserrat","United States Minor Outlying I","2014.0","Export","","","",""
"Montserrat","Unspecified","2014.0","Export","","","0.0","0.0"
"Montserrat","United States","2014.0","Export","36.0","17.22","891.22","22.16"
"Montserrat","St. Vincent and the Grenadines","2014.0","Export","1.0","0.48","19.8","0.49"
"Montserrat","British Virgin Islands","2014.0","Export","1.0","0.48","25.81","0.64"
"Montserrat"," World","2014.0","Export","209.0","100.0","4022.09","100.0"
