"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Mozambique","Afghanistan","2014.0","Export","3.0","0.24","96.2","0.0"
"Mozambique","Angola","2014.0","Export","41.0","3.31","2848.22","0.06"
"Mozambique","Anguila","2014.0","Export","","","",""
"Mozambique","Albania","2014.0","Export","","","",""
"Mozambique","Andorra","2014.0","Export","","","",""
"Mozambique","United Arab Emirates","2014.0","Export","53.0","4.28","119093.32","2.52"
"Mozambique","Argentina","2014.0","Export","3.0","0.24","4004.64","0.08"
"Mozambique","Armenia","2014.0","Export","","","",""
"Mozambique","American Samoa","2014.0","Export","","","",""
"Mozambique","Antarctica","2014.0","Export","","","",""
"Mozambique","Antigua and Barbuda","2014.0","Export","","","",""
"Mozambique","Australia","2014.0","Export","7.0","0.56","147.11","0.0"
"Mozambique","Austria","2014.0","Export","3.0","0.24","57.75","0.0"
"Mozambique","Azerbaijan","2014.0","Export","","","",""
"Mozambique","Burundi","2014.0","Export","","","",""
"Mozambique","Belgium","2014.0","Export","51.0","4.12","63485.52","1.34"
"Mozambique","Benin","2014.0","Export","","","",""
"Mozambique","Burkina Faso","2014.0","Export","","","",""
"Mozambique","Bangladesh","2014.0","Export","2.0","0.16","14190.35","0.3"
"Mozambique","Bulgaria","2014.0","Export","","","",""
"Mozambique","Bahrain","2014.0","Export","1.0","0.08","16377.91","0.35"
"Mozambique","Bahamas, The","2014.0","Export","11.0","0.89","832.19","0.02"
"Mozambique","Bosnia and Herzegovina","2014.0","Export","","","",""
"Mozambique","Belarus","2014.0","Export","","","",""
"Mozambique","Belize","2014.0","Export","","","",""
"Mozambique","Bolivia","2014.0","Export","","","",""
"Mozambique","Brazil","2014.0","Export","13.0","1.05","38289.58","0.81"
"Mozambique","Barbados","2014.0","Export","","","",""
"Mozambique","Brunei","2014.0","Export","","","",""
"Mozambique","Botswana","2014.0","Export","62.0","5.0","2434.2","0.05"
"Mozambique","Canada","2014.0","Export","16.0","1.29","3685.43","0.08"
"Mozambique","Switzerland","2014.0","Export","14.0","1.13","87887.98","1.86"
"Mozambique","Chile","2014.0","Export","2.0","0.16","146.89","0.0"
"Mozambique","China","2014.0","Export","85.0","6.86","204188.48","4.32"
"Mozambique","Cote d'Ivoire","2014.0","Export","7.0","0.56","629.43","0.01"
"Mozambique","Cameroon","2014.0","Export","1.0","0.08","35.74","0.0"
"Mozambique","Congo, Rep.","2014.0","Export","18.0","1.45","1799.14","0.04"
"Mozambique","Cook Islands","2014.0","Export","","","",""
"Mozambique","Colombia","2014.0","Export","1.0","0.08","2.16","0.0"
"Mozambique","Cape Verde","2014.0","Export","1.0","0.08","1.08","0.0"
