"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Netherlands","Aruba","2014.0","Export","1276.0","28.42","114083.22","0.02"
"Netherlands","Afghanistan","2014.0","Export","599.0","13.34","64807.55","0.01"
"Netherlands","Angola","2014.0","Export","1287.0","28.66","456919.75","0.08"
"Netherlands","Anguila","2014.0","Export","74.0","1.65","1236.62","0.0"
"Netherlands","Albania","2014.0","Export","564.0","12.56","58260.05","0.01"
"Netherlands","Andorra","2014.0","Export","494.0","11.0","23896.54","0.0"
"Netherlands","United Arab Emirates","2014.0","Export","2633.0","58.64","3709405.15","0.65"
"Netherlands","Argentina","2014.0","Export","1038.0","23.12","1130032.18","0.2"
"Netherlands","Armenia","2014.0","Export","710.0","15.81","48558.39","0.01"
"Netherlands","American Samoa","2014.0","Export","5.0","0.11","147.04","0.0"
"Netherlands","Antarctica","2014.0","Export","2.0","0.04","46.29","0.0"
"Netherlands","Fr. So. Ant. Tr","2014.0","Export","30.0","0.67","3767.55","0.0"
"Netherlands","Antigua and Barbuda","2014.0","Export","191.0","4.25","5612.79","0.0"
"Netherlands","Australia","2014.0","Export","2288.0","50.96","2886274.88","0.5"
"Netherlands","Austria","2014.0","Export","3306.0","73.63","6758688.72","1.18"
"Netherlands","Azerbaijan","2014.0","Export","1387.0","30.89","376924.75","0.07"
"Netherlands","Burundi","2014.0","Export","228.0","5.08","24210.28","0.0"
"Netherlands","Belgium","2014.0","Export","4065.0","90.53","63166279.67","11.0"
"Netherlands","Benin","2014.0","Export","428.0","9.53","186818.36","0.03"
"Netherlands","Bonaire","2014.0","Export","914.0","20.36","43143.25","0.01"
"Netherlands","Burkina Faso","2014.0","Export","551.0","12.27","70826.87","0.01"
"Netherlands","Bangladesh","2014.0","Export","652.0","14.52","201973.27","0.04"
"Netherlands","Bulgaria","2014.0","Export","2344.0","52.2","1050666.51","0.18"
"Netherlands","Bahrain","2014.0","Export","1140.0","25.39","195502.88","0.03"
"Netherlands","Bahamas, The","2014.0","Export","277.0","6.17","72490.91","0.01"
"Netherlands","Bosnia and Herzegovina","2014.0","Export","1286.0","28.64","172752.52","0.03"
"Netherlands","Belarus","2014.0","Export","1479.0","32.94","401496.82","0.07"
"Netherlands","Belize","2014.0","Export","111.0","2.47","9864.56","0.0"
"Netherlands","Bermuda","2014.0","Export","164.0","3.65","5490.92","0.0"
"Netherlands","Bolivia","2014.0","Export","431.0","9.6","108277.37","0.02"
"Netherlands","Brazil","2014.0","Export","1841.0","41.0","3636355.23","0.63"
"Netherlands","Barbados","2014.0","Export","295.0","6.57","12270.4","0.0"
"Netherlands","Brunei","2014.0","Export","332.0","7.39","23804.09","0.0"
"Netherlands","Bhutan","2014.0","Export","38.0","0.85","265.97","0.0"
"Netherlands","Bunkers","2014.0","Export","873.0","19.44","8233599.59","1.43"
"Netherlands","Bouvet Island","2014.0","Export","21.0","0.47","789.95","0.0"
"Netherlands","Botswana","2014.0","Export","127.0","2.83","15705.09","0.0"
"Netherlands","Central African Republic","2014.0","Export","343.0","7.64","12041.23","0.0"
"Netherlands","Canada","2014.0","Export","2227.0","49.6","3374772.71","0.59"
"Netherlands","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Netherlands","Switzerland","2014.0","Export","3501.0","77.97","7398731.51","1.29"
"Netherlands","Chile","2014.0","Export","1334.0","29.71","585491.68","0.1"
"Netherlands","China","2014.0","Export","2509.0","55.88","10513124.87","1.83"
"Netherlands","Cote d'Ivoire","2014.0","Export","1129.0","25.14","267262.74","0.05"
"Netherlands","Cameroon","2014.0","Export","875.0","19.49","178045.08","0.03"
"Netherlands","Congo, Rep.","2014.0","Export","968.0","21.56","172758.93","0.03"
"Netherlands","Cook Islands","2014.0","Export","27.0","0.6","181.9","0.0"
"Netherlands","Colombia","2014.0","Export","1248.0","27.8","604523.69","0.11"
"Netherlands","Comoros","2014.0","Export","68.0","1.51","4175.18","0.0"
"Netherlands","Cape Verde","2014.0","Export","361.0","8.04","66294.19","0.01"
"Netherlands","Costa Rica","2014.0","Export","545.0","12.14","90881.59","0.02"
"Netherlands","Cuba","2014.0","Export","581.0","12.94","142265.37","0.02"
"Netherlands","Curaçao","2014.0","Export","1799.0","40.07","217143.17","0.04"
"Netherlands","Christmas Island","2014.0","Export","1.0","0.02","1.33","0.0"
"Netherlands","Cayman Islands","2014.0","Export","68.0","1.51","163799.15","0.03"
"Netherlands","Cyprus","2014.0","Export","2016.0","44.9","678535.12","0.12"
"Netherlands","Czech Republic","2014.0","Export","3137.0","69.87","8679885.37","1.51"
"Netherlands","Germany","2014.0","Export","4114.0","91.63","138619465.6","24.13"
"Netherlands","Djibouti","2014.0","Export","413.0","9.2","36423.24","0.01"
"Netherlands","Dominica","2014.0","Export","73.0","1.63","4635.55","0.0"
"Netherlands","Denmark","2014.0","Export","3289.0","73.25","7368208.24","1.28"
"Netherlands","Dominican Republic","2014.0","Export","671.0","14.94","135398.48","0.02"
"Netherlands","Algeria","2014.0","Export","973.0","21.67","1327530.52","0.23"
"Netherlands","East Asia & Pacific","2014.0","Export","3731.0","83.1","35623993.45","6.2"
"Netherlands","Europe & Central Asia","2014.0","Export","4442.0","98.93","448962459.94","78.15"
"Netherlands","Ecuador","2014.0","Export","789.0","17.57","295383.61","0.05"
"Netherlands","Egypt, Arab Rep.","2014.0","Export","1863.0","41.49","1936725.02","0.34"
"Netherlands","Eritrea","2014.0","Export","171.0","3.81","3464.52","0.0"
"Netherlands","Spain","2014.0","Export","3539.0","78.82","15832286.86","2.76"
"Netherlands","Estonia","2014.0","Export","2412.0","53.72","1112998.7","0.19"
"Netherlands","Ethiopia(excludes Eritrea)","2014.0","Export","771.0","17.17","113212.73","0.02"
"Netherlands","Finland","2014.0","Export","3053.0","68.0","5888533.75","1.02"
"Netherlands","Fiji","2014.0","Export","123.0","2.74","3273.11","0.0"
"Netherlands","Falkland Island","2014.0","Export","22.0","0.49","3105.53","0.0"
"Netherlands","France","2014.0","Export","3869.0","86.17","46959057.31","8.17"
"Netherlands","Faeroe Islands","2014.0","Export","476.0","10.6","25087.49","0.0"
"Netherlands","Micronesia, Fed. Sts.","2014.0","Export","7.0","0.16","45.17","0.0"
"Netherlands","Gabon","2014.0","Export","1059.0","23.59","186582.7","0.03"
"Netherlands","United Kingdom","2014.0","Export","3773.0","84.03","48451479.25","8.43"
"Netherlands","Georgia","2014.0","Export","1099.0","24.48","138088.05","0.02"
"Netherlands","Ghana","2014.0","Export","1378.0","30.69","1578748.99","0.27"
"Netherlands","Gibraltar","2014.0","Export","707.0","15.75","539318.1","0.09"
"Netherlands","Guinea","2014.0","Export","504.0","11.22","652700.52","0.11"
"Netherlands","Gambia, The","2014.0","Export","583.0","12.98","42850.22","0.01"
"Netherlands","Guinea-Bissau","2014.0","Export","136.0","3.03","9297.8","0.0"
"Netherlands","Equatorial Guinea","2014.0","Export","657.0","14.63","81739.61","0.01"
"Netherlands","Greece","2014.0","Export","2843.0","63.32","3024338.56","0.53"
"Netherlands","Grenada","2014.0","Export","113.0","2.52","4172.08","0.0"
"Netherlands","Greenland","2014.0","Export","217.0","4.83","5580.93","0.0"
"Netherlands","Guatemala","2014.0","Export","592.0","13.18","77477.6","0.01"
"Netherlands","Guam","2014.0","Export","93.0","2.07","4973.05","0.0"
"Netherlands","Guyana","2014.0","Export","352.0","7.84","28814.74","0.01"
"Netherlands","Hong Kong, China","2014.0","Export","2016.0","44.9","2927577.82","0.51"
"Netherlands","Honduras","2014.0","Export","281.0","6.26","34634.2","0.01"
"Netherlands","Croatia","2014.0","Export","2050.0","45.66","609412.35","0.11"
"Netherlands","Haiti","2014.0","Export","508.0","11.31","40047.0","0.01"
"Netherlands","Hungary","2014.0","Export","2929.0","65.23","3702222.59","0.64"
"Netherlands","Indonesia","2014.0","Export","1409.0","31.38","906663.87","0.16"
"Netherlands","India","2014.0","Export","2105.0","46.88","2451286.55","0.43"
"Netherlands","British Indian Ocean Ter.","2014.0","Export","","","",""
"Netherlands","Ireland","2014.0","Export","2827.0","62.96","4993130.83","0.87"
"Netherlands","Iran, Islamic Rep.","2014.0","Export","766.0","17.06","497995.63","0.09"
"Netherlands","Iraq","2014.0","Export","1299.0","28.93","512100.1","0.09"
"Netherlands","Iceland","2014.0","Export","2275.0","50.67","507060.84","0.09"
"Netherlands","Israel","2014.0","Export","2266.0","50.47","1647981.49","0.29"
"Netherlands","Italy","2014.0","Export","3590.0","79.96","24974302.39","4.35"
"Netherlands","Jamaica","2014.0","Export","344.0","7.66","29027.67","0.01"
"Netherlands","Jordan","2014.0","Export","1227.0","27.33","428871.22","0.07"
"Netherlands","Japan","2014.0","Export","2240.0","49.89","4408689.92","0.77"
"Netherlands","Kazakhstan","2014.0","Export","1548.0","34.48","541824.97","0.09"
"Netherlands","Kenya","2014.0","Export","1276.0","28.42","247741.87","0.04"
"Netherlands","Kyrgyz Republic","2014.0","Export","465.0","10.36","27503.62","0.0"
"Netherlands","Cambodia","2014.0","Export","181.0","4.03","23255.11","0.0"
"Netherlands","Kiribati","2014.0","Export","28.0","0.62","320.58","0.0"
