"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"New Caledonia","Aruba","2014.0","Export","","","",""
"New Caledonia","Afghanistan","2014.0","Export","","","",""
"New Caledonia","Angola","2014.0","Export","","","",""
"New Caledonia","Albania","2014.0","Export","","","",""
"New Caledonia","Andorra","2014.0","Export","1.0","0.07","1.72","0.0"
"New Caledonia","United Arab Emirates","2014.0","Export","3.0","0.22","119.82","0.01"
"New Caledonia","Argentina","2014.0","Export","","","",""
"New Caledonia","Armenia","2014.0","Export","","","",""
"New Caledonia","American Samoa","2014.0","Export","3.0","0.22","657.18","0.04"
"New Caledonia","Antigua and Barbuda","2014.0","Export","","","",""
"New Caledonia","Australia","2014.0","Export","268.0","19.58","189559.17","11.71"
"New Caledonia","Austria","2014.0","Export","8.0","0.58","142.65","0.01"
"New Caledonia","Azerbaijan","2014.0","Export","","","",""
"New Caledonia","Belgium","2014.0","Export","108.0","7.89","76103.01","4.7"
"New Caledonia","Burkina Faso","2014.0","Export","","","",""
"New Caledonia","Bangladesh","2014.0","Export","","","",""
"New Caledonia","Bulgaria","2014.0","Export","1.0","0.07","0.06","0.0"
"New Caledonia","Bahamas, The","2014.0","Export","","","",""
"New Caledonia","Bosnia and Herzegovina","2014.0","Export","","","",""
"New Caledonia","Belarus","2014.0","Export","","","",""
"New Caledonia","Belize","2014.0","Export","","","",""
"New Caledonia","Bermuda","2014.0","Export","","","",""
"New Caledonia","Bolivia","2014.0","Export","1.0","0.07","0.4","0.0"
"New Caledonia","Brazil","2014.0","Export","3.0","0.22","1417.51","0.09"
"New Caledonia","Barbados","2014.0","Export","","","",""
"New Caledonia","Brunei","2014.0","Export","","","",""
"New Caledonia","Bhutan","2014.0","Export","","","",""
"New Caledonia","Canada","2014.0","Export","13.0","0.95","852.95","0.05"
"New Caledonia","Cocos (Keeling) Islands","2014.0","Export","","","",""
"New Caledonia","Switzerland","2014.0","Export","5.0","0.37","1044.23","0.06"
"New Caledonia","Chile","2014.0","Export","1.0","0.07","0.11","0.0"
"New Caledonia","China","2014.0","Export","32.0","2.34","309705.08","19.13"
"New Caledonia","Cote d'Ivoire","2014.0","Export","5.0","0.37","7.18","0.0"
"New Caledonia","Cameroon","2014.0","Export","","","",""
"New Caledonia","Colombia","2014.0","Export","1.0","0.07","0.09","0.0"
"New Caledonia","Comoros","2014.0","Export","","","",""
"New Caledonia","Costa Rica","2014.0","Export","","","",""
"New Caledonia","Cuba","2014.0","Export","","","",""
"New Caledonia","Cyprus","2014.0","Export","","","",""
"New Caledonia","Czech Republic","2014.0","Export","1.0","0.07","0.08","0.0"
"New Caledonia","Germany","2014.0","Export","26.0","1.9","689.87","0.04"
"New Caledonia","Djibouti","2014.0","Export","1.0","0.07","64.85","0.0"
"New Caledonia","Dominica","2014.0","Export","","","",""
"New Caledonia","Denmark","2014.0","Export","","","",""
"New Caledonia","Dominican Republic","2014.0","Export","","","",""
"New Caledonia","Algeria","2014.0","Export","","","",""
"New Caledonia","East Asia & Pacific","2014.0","Export","861.0","62.89","933227.08","57.64"
"New Caledonia","Europe & Central Asia","2014.0","Export","479.0","34.99","330889.15","20.44"
"New Caledonia","Ecuador","2014.0","Export","","","",""
"New Caledonia","Egypt, Arab Rep.","2014.0","Export","","","",""
"New Caledonia","Spain","2014.0","Export","11.0","0.8","54336.92","3.36"
"New Caledonia","Estonia","2014.0","Export","","","",""
"New Caledonia","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"New Caledonia","Finland","2014.0","Export","5.0","0.37","11.25","0.0"
