"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"New Zealand","Aruba","2014.0","Export","11.0","0.29","1083.97","0.0"
"New Zealand","Afghanistan","2014.0","Export","26.0","0.68","401.76","0.0"
"New Zealand","Angola","2014.0","Export","17.0","0.44","38904.31","0.09"
"New Zealand","Anguila","2014.0","Export","","","",""
"New Zealand","Albania","2014.0","Export","5.0","0.13","246.77","0.0"
"New Zealand","Andorra","2014.0","Export","","","",""
"New Zealand","United Arab Emirates","2014.0","Export","780.0","20.27","761879.73","1.83"
"New Zealand","Argentina","2014.0","Export","146.0","3.79","18493.79","0.04"
"New Zealand","Armenia","2014.0","Export","14.0","0.36","15694.23","0.04"
"New Zealand","American Samoa","2014.0","Export","681.0","17.69","22095.73","0.05"
"New Zealand","Antarctica","2014.0","Export","54.0","1.4","288.01","0.0"
"New Zealand","Antigua and Barbuda","2014.0","Export","27.0","0.7","739.74","0.0"
"New Zealand","Australia","2014.0","Export","3071.0","79.79","7290951.62","17.51"
"New Zealand","Austria","2014.0","Export","223.0","5.79","17046.1","0.04"
"New Zealand","Azerbaijan","2014.0","Export","18.0","0.47","91206.73","0.22"
"New Zealand","Burundi","2014.0","Export","1.0","0.03","4.18","0.0"
"New Zealand","Belgium","2014.0","Export","316.0","8.21","231681.35","0.56"
"New Zealand","Benin","2014.0","Export","3.0","0.08","2318.37","0.01"
"New Zealand","Burkina Faso","2014.0","Export","6.0","0.16","1989.72","0.0"
"New Zealand","Bangladesh","2014.0","Export","72.0","1.87","156570.28","0.38"
"New Zealand","Bulgaria","2014.0","Export","41.0","1.07","6341.57","0.02"
"New Zealand","Bahrain","2014.0","Export","138.0","3.59","57380.01","0.14"
"New Zealand","Bahamas, The","2014.0","Export","16.0","0.42","1699.62","0.0"
"New Zealand","Bosnia and Herzegovina","2014.0","Export","1.0","0.03","33.31","0.0"
"New Zealand","Belarus","2014.0","Export","3.0","0.08","978.45","0.0"
"New Zealand","Belize","2014.0","Export","3.0","0.08","524.94","0.0"
"New Zealand","Bermuda","2014.0","Export","29.0","0.75","3449.05","0.01"
"New Zealand","Bolivia","2014.0","Export","36.0","0.94","363.51","0.0"
