"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Nicaragua","Aruba","2014.0","Export","3.0","0.15","147.68","0.0"
"Nicaragua","Afghanistan","2014.0","Export","","","",""
"Nicaragua","Angola","2014.0","Export","","","",""
"Nicaragua","Albania","2014.0","Export","","","",""
"Nicaragua","Andorra","2014.0","Export","1.0","0.05","6.93","0.0"
"Nicaragua","United Arab Emirates","2014.0","Export","13.0","0.64","3329.1","0.07"
"Nicaragua","Argentina","2014.0","Export","7.0","0.34","236.83","0.0"
"Nicaragua","Antarctica","2014.0","Export","","","",""
"Nicaragua","Antigua and Barbuda","2014.0","Export","2.0","0.1","0.1","0.0"
"Nicaragua","Australia","2014.0","Export","20.0","0.98","10371.0","0.21"
"Nicaragua","Austria","2014.0","Export","5.0","0.24","259.94","0.01"
"Nicaragua","Belgium","2014.0","Export","34.0","1.66","27313.88","0.55"
"Nicaragua","Burkina Faso","2014.0","Export","1.0","0.05","1.96","0.0"
"Nicaragua","Bangladesh","2014.0","Export","","","",""
"Nicaragua","Bulgaria","2014.0","Export","5.0","0.24","156.21","0.0"
"Nicaragua","Bahrain","2014.0","Export","","","",""
"Nicaragua","Bahamas, The","2014.0","Export","7.0","0.34","141.94","0.0"
"Nicaragua","Bosnia and Herzegovina","2014.0","Export","","","",""
"Nicaragua","Belarus","2014.0","Export","","","",""
"Nicaragua","Belize","2014.0","Export","22.0","1.08","91.74","0.0"
"Nicaragua","Bolivia","2014.0","Export","16.0","0.78","986.2","0.02"
"Nicaragua","Brazil","2014.0","Export","11.0","0.54","1827.94","0.04"
"Nicaragua","Barbados","2014.0","Export","3.0","0.15","73.44","0.0"
"Nicaragua","Canada","2014.0","Export","124.0","6.07","250317.45","5.03"
"Nicaragua","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Nicaragua","Switzerland","2014.0","Export","14.0","0.68","700.84","0.01"
"Nicaragua","Chile","2014.0","Export","46.0","2.25","10908.17","0.22"
"Nicaragua","China","2014.0","Export","53.0","2.59","28086.35","0.56"
"Nicaragua","Cote d'Ivoire","2014.0","Export","2.0","0.1","5845.13","0.12"
"Nicaragua","Cameroon","2014.0","Export","","","",""
"Nicaragua","Congo, Rep.","2014.0","Export","1.0","0.05","94.76","0.0"
"Nicaragua","Colombia","2014.0","Export","48.0","2.35","9341.52","0.19"
"Nicaragua","Comoros","2014.0","Export","","","",""
"Nicaragua","Cape Verde","2014.0","Export","","","",""
"Nicaragua","Costa Rica","2014.0","Export","1307.0","63.94","154090.22","3.1"
"Nicaragua","Cuba","2014.0","Export","67.0","3.28","1880.56","0.04"
"Nicaragua","Curaçao","2014.0","Export","5.0","0.24","400.03","0.01"
"Nicaragua","Cayman Islands","2014.0","Export","10.0","0.49","921.86","0.02"
"Nicaragua","Cyprus","2014.0","Export","7.0","0.34","27.05","0.0"
"Nicaragua","Czech Republic","2014.0","Export","7.0","0.34","1100.16","0.02"
"Nicaragua","Germany","2014.0","Export","56.0","2.74","32315.49","0.65"
"Nicaragua","Dominica","2014.0","Export","9.0","0.44","1432.09","0.03"
"Nicaragua","Denmark","2014.0","Export","9.0","0.44","381.91","0.01"
"Nicaragua","Dominican Republic","2014.0","Export","73.0","3.57","30970.61","0.62"
"Nicaragua","East Asia & Pacific","2014.0","Export","177.0","8.66","94643.44","1.9"
"Nicaragua","Europe & Central Asia","2014.0","Export","313.0","15.31","353078.23","7.1"
"Nicaragua","Ecuador","2014.0","Export","16.0","0.78","3602.17","0.07"
"Nicaragua","Egypt, Arab Rep.","2014.0","Export","4.0","0.2","970.28","0.02"
"Nicaragua","Spain","2014.0","Export","135.0","6.6","95463.7","1.92"
"Nicaragua","Estonia","2014.0","Export","2.0","0.1","2.23","0.0"
"Nicaragua","Ethiopia(excludes Eritrea)","2014.0","Export","","","",""
"Nicaragua","Finland","2014.0","Export","12.0","0.59","6946.26","0.14"
"Nicaragua","Fiji","2014.0","Export","","","",""
"Nicaragua","France","2014.0","Export","29.0","1.42","46317.2","0.93"
"Nicaragua","Gabon","2014.0","Export","1.0","0.05","2.0","0.0"
"Nicaragua","United Kingdom","2014.0","Export","60.0","2.94","46676.44","0.94"
"Nicaragua","Georgia","2014.0","Export","1.0","0.05","1202.22","0.02"
"Nicaragua","Ghana","2014.0","Export","3.0","0.15","18445.45","0.37"
"Nicaragua","Gibraltar","2014.0","Export","1.0","0.05","12.24","0.0"
"Nicaragua","Gambia, The","2014.0","Export","","","",""
"Nicaragua","Greece","2014.0","Export","13.0","0.64","442.69","0.01"
"Nicaragua","Grenada","2014.0","Export","","","",""
"Nicaragua","Guatemala","2014.0","Export","527.0","25.78","93617.86","1.88"
"Nicaragua","Guam","2014.0","Export","","","",""
"Nicaragua","Guyana","2014.0","Export","2.0","0.1","665.46","0.01"
"Nicaragua","Hong Kong, China","2014.0","Export","54.0","2.64","10575.58","0.21"
"Nicaragua","Honduras","2014.0","Export","630.0","30.82","155939.87","3.14"
"Nicaragua","Croatia","2014.0","Export","","","",""
"Nicaragua","Haiti","2014.0","Export","13.0","0.64","5575.2","0.11"
"Nicaragua","Hungary","2014.0","Export","","","",""
"Nicaragua","Indonesia","2014.0","Export","1.0","0.05","67.89","0.0"
"Nicaragua","India","2014.0","Export","9.0","0.44","729.12","0.01"
"Nicaragua","Ireland","2014.0","Export","2.0","0.1","2001.84","0.04"
"Nicaragua","Iran, Islamic Rep.","2014.0","Export","1.0","0.05","5.0","0.0"
"Nicaragua","Iceland","2014.0","Export","2.0","0.1","711.92","0.01"
"Nicaragua","Israel","2014.0","Export","5.0","0.24","535.16","0.01"
"Nicaragua","Italy","2014.0","Export","48.0","2.35","40130.82","0.81"
"Nicaragua","Jamaica","2014.0","Export","10.0","0.49","1492.39","0.03"
"Nicaragua","Jordan","2014.0","Export","9.0","0.44","60.72","0.0"
"Nicaragua","Japan","2014.0","Export","26.0","1.27","24170.03","0.49"
