"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Niger","Afghanistan","2014.0","Export","","","",""
"Niger","Angola","2014.0","Export","1.0","0.17","98.95","0.01"
"Niger","Anguila","2014.0","Export","","","",""
"Niger","Albania","2014.0","Export","","","",""
"Niger","Andorra","2014.0","Export","","","",""
"Niger","United Arab Emirates","2014.0","Export","11.0","1.87","3030.64","0.29"
"Niger","Argentina","2014.0","Export","","","",""
"Niger","American Samoa","2014.0","Export","","","",""
"Niger","Australia","2014.0","Export","","","",""
"Niger","Austria","2014.0","Export","","","",""
"Niger","Burundi","2014.0","Export","1.0","0.17","1.49","0.0"
"Niger","Belgium","2014.0","Export","34.0","5.77","1211.2","0.12"
"Niger","Benin","2014.0","Export","38.0","6.45","7384.16","0.7"
"Niger","Burkina Faso","2014.0","Export","56.0","9.51","164293.39","15.65"
"Niger","Bangladesh","2014.0","Export","1.0","0.17","5.95","0.0"
"Niger","Bulgaria","2014.0","Export","4.0","0.68","144.29","0.01"
"Niger","Bahrain","2014.0","Export","","","",""
"Niger","Bahamas, The","2014.0","Export","","","",""
"Niger","Bosnia and Herzegovina","2014.0","Export","","","",""
"Niger","Belize","2014.0","Export","","","",""
"Niger","Bolivia","2014.0","Export","","","",""
"Niger","Brazil","2014.0","Export","3.0","0.51","9889.4","0.94"
"Niger","Central African Republic","2014.0","Export","","","",""
"Niger","Canada","2014.0","Export","2.0","0.34","438.66","0.04"
"Niger","Switzerland","2014.0","Export","10.0","1.7","32263.97","3.07"
"Niger","Chile","2014.0","Export","2.0","0.34","102.58","0.01"
"Niger","China","2014.0","Export","71.0","12.05","56277.63","5.36"
"Niger","Cote d'Ivoire","2014.0","Export","25.0","4.24","8038.7","0.77"
"Niger","Cameroon","2014.0","Export","1.0","0.17","107.79","0.01"
"Niger","Congo, Rep.","2014.0","Export","1.0","0.17","1.98","0.0"
"Niger","Colombia","2014.0","Export","","","",""
"Niger","Cape Verde","2014.0","Export","","","",""
"Niger","Costa Rica","2014.0","Export","","","",""
"Niger","Cuba","2014.0","Export","","","",""
"Niger","Curaçao","2014.0","Export","","","",""
"Niger","Christmas Island","2014.0","Export","","","",""
"Niger","Cayman Islands","2014.0","Export","","","",""
"Niger","Cyprus","2014.0","Export","1.0","0.17","47.05","0.0"
"Niger","Czech Republic","2014.0","Export","1.0","0.17","4.64","0.0"
"Niger","Germany","2014.0","Export","22.0","3.74","5636.05","0.54"
"Niger","Djibouti","2014.0","Export","1.0","0.17","13.62","0.0"
"Niger","Denmark","2014.0","Export","","","",""
"Niger","Algeria","2014.0","Export","7.0","1.19","2173.83","0.21"
"Niger","East Asia & Pacific","2014.0","Export","92.0","15.62","92718.9","8.83"
"Niger","Europe & Central Asia","2014.0","Export","214.0","36.33","444525.48","42.35"
"Niger","Ecuador","2014.0","Export","","","",""
"Niger","Egypt, Arab Rep.","2014.0","Export","3.0","0.51","30.4","0.0"
"Niger","Spain","2014.0","Export","5.0","0.85","717.17","0.07"
"Niger","Estonia","2014.0","Export","","","",""
"Niger","Ethiopia(excludes Eritrea)","2014.0","Export","1.0","0.17","9.91","0.0"
"Niger","Finland","2014.0","Export","","","",""
"Niger","Falkland Island","2014.0","Export","1.0","0.17","17.26","0.0"
"Niger","France","2014.0","Export","127.0","21.56","383211.96","36.51"
