"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Norway","Aruba","2014.0","Export","15.0","0.41","175.02","0.0"
"Norway","Afghanistan","2014.0","Export","99.0","2.7","3146.24","0.0"
"Norway","Angola","2014.0","Export","518.0","14.15","479799.17","0.34"
"Norway","Albania","2014.0","Export","34.0","0.93","1680.69","0.0"
"Norway","Andorra","2014.0","Export","14.0","0.38","57.0","0.0"
"Norway","United Arab Emirates","2014.0","Export","769.0","21.01","292850.51","0.2"
"Norway","Argentina","2014.0","Export","133.0","3.63","151190.96","0.11"
"Norway","Armenia","2014.0","Export","14.0","0.38","513.48","0.0"
"Norway","American Samoa","2014.0","Export","1.0","0.03","41.06","0.0"
"Norway","Fr. So. Ant. Tr","2014.0","Export","","","",""
"Norway","Antigua and Barbuda","2014.0","Export","26.0","0.71","403.31","0.0"
"Norway","Australia","2014.0","Export","740.0","20.22","318397.86","0.22"
"Norway","Austria","2014.0","Export","605.0","16.53","362674.33","0.25"
"Norway","Azerbaijan","2014.0","Export","247.0","6.75","74019.11","0.05"
"Norway","Burundi","2014.0","Export","10.0","0.27","44.25","0.0"
"Norway","Belgium","2014.0","Export","1067.0","29.15","6861491.98","4.8"
"Norway","Benin","2014.0","Export","76.0","2.08","2609.52","0.0"
"Norway","Burkina Faso","2014.0","Export","18.0","0.49","131.96","0.0"
"Norway","Bangladesh","2014.0","Export","60.0","1.64","9185.36","0.01"
"Norway","Bulgaria","2014.0","Export","184.0","5.03","22437.13","0.02"
"Norway","Bahrain","2014.0","Export","132.0","3.61","31852.06","0.02"
"Norway","Bahamas, The","2014.0","Export","333.0","9.1","70088.2","0.05"
"Norway","Bosnia and Herzegovina","2014.0","Export","104.0","2.84","2366.25","0.0"
"Norway","Belarus","2014.0","Export","46.0","1.26","159559.29","0.11"
"Norway","Belize","2014.0","Export","11.0","0.3","79.18","0.0"
"Norway","Bermuda","2014.0","Export","119.0","3.25","6706.21","0.0"
"Norway","Bolivia","2014.0","Export","43.0","1.17","9155.85","0.01"
"Norway","Brazil","2014.0","Export","742.0","20.27","1122217.28","0.79"
"Norway","Barbados","2014.0","Export","30.0","0.82","1051.1","0.0"
"Norway","Brunei","2014.0","Export","103.0","2.81","6084.15","0.0"
"Norway","Bhutan","2014.0","Export","5.0","0.14","436.04","0.0"
"Norway","Botswana","2014.0","Export","8.0","0.22","117.28","0.0"
"Norway","Central African Republic","2014.0","Export","13.0","0.36","178.78","0.0"
"Norway","Canada","2014.0","Export","854.0","23.33","680296.38","0.48"
"Norway","Switzerland","2014.0","Export","839.0","22.92","542406.18","0.38"
"Norway","Chile","2014.0","Export","284.0","7.76","97584.89","0.07"
"Norway","China","2014.0","Export","985.0","26.91","3287630.89","2.3"
"Norway","Cote d'Ivoire","2014.0","Export","140.0","3.83","42899.26","0.03"
"Norway","Cameroon","2014.0","Export","115.0","3.14","12905.63","0.01"
"Norway","Congo, Rep.","2014.0","Export","293.0","8.01","59986.98","0.04"
"Norway","Cook Islands","2014.0","Export","2.0","0.05","11.8","0.0"
"Norway","Colombia","2014.0","Export","102.0","2.79","31980.93","0.02"
"Norway","Comoros","2014.0","Export","1.0","0.03","0.83","0.0"
"Norway","Cape Verde","2014.0","Export","10.0","0.27","334.65","0.0"
"Norway","Costa Rica","2014.0","Export","29.0","0.79","11758.9","0.01"
"Norway","Cuba","2014.0","Export","23.0","0.63","1812.69","0.0"
"Norway","Curaçao","2014.0","Export","63.0","1.72","1833.61","0.0"
"Norway","Cayman Islands","2014.0","Export","67.0","1.83","1184.78","0.0"
"Norway","Cyprus","2014.0","Export","322.0","8.8","15627.49","0.01"
"Norway","Czech Republic","2014.0","Export","664.0","18.14","226611.44","0.16"
"Norway","Germany","2014.0","Export","2111.0","57.68","24156251.56","16.91"
"Norway","Djibouti","2014.0","Export","22.0","0.6","258.23","0.0"
"Norway","Dominica","2014.0","Export","7.0","0.19","1381.38","0.0"
"Norway","Denmark","2014.0","Export","2460.0","67.21","5259072.71","3.68"
"Norway","Dominican Republic","2014.0","Export","38.0","1.04","43617.94","0.03"
"Norway","Algeria","2014.0","Export","114.0","3.11","85502.2","0.06"
"Norway","East Asia & Pacific","2014.0","Export","1860.0","50.82","11103259.24","7.77"
"Norway","Europe & Central Asia","2014.0","Export","3587.0","98.01","120356627.56","84.27"
"Norway","Ecuador","2014.0","Export","65.0","1.78","15799.55","0.01"
"Norway","Egypt, Arab Rep.","2014.0","Export","279.0","7.62","129531.74","0.09"
"Norway","Eritrea","2014.0","Export","6.0","0.16","19.79","0.0"
"Norway","Spain","2014.0","Export","1162.0","31.75","2412111.27","1.69"
"Norway","Estonia","2014.0","Export","973.0","26.58","231828.83","0.16"
"Norway","Ethiopia(excludes Eritrea)","2014.0","Export","78.0","2.13","3816.26","0.0"
"Norway","Finland","2014.0","Export","1514.0","41.37","2186428.96","1.53"
"Norway","Fiji","2014.0","Export","6.0","0.16","48.76","0.0"
"Norway","Falkland Island","2014.0","Export","6.0","0.16","36.56","0.0"
"Norway","France","2014.0","Export","1206.0","32.95","8635150.01","6.05"
"Norway","Faeroe Islands","2014.0","Export","576.0","15.74","286824.83","0.2"
"Norway","Micronesia, Fed. Sts.","2014.0","Export","2.0","0.05","13.82","0.0"
"Norway","Gabon","2014.0","Export","172.0","4.7","20381.94","0.01"
"Norway","United Kingdom","2014.0","Export","1950.0","53.28","32753598.95","22.93"
"Norway","Georgia","2014.0","Export","63.0","1.72","7948.98","0.01"
"Norway","Ghana","2014.0","Export","325.0","8.88","38574.27","0.03"
"Norway","Gibraltar","2014.0","Export","102.0","2.79","3536.21","0.0"
"Norway","Guinea","2014.0","Export","54.0","1.48","1134.27","0.0"
"Norway","Gambia, The","2014.0","Export","111.0","3.03","551.49","0.0"
"Norway","Guinea-Bissau","2014.0","Export","3.0","0.08","16.71","0.0"
"Norway","Equatorial Guinea","2014.0","Export","65.0","1.78","3500.49","0.0"
"Norway","Greece","2014.0","Export","461.0","12.6","269701.15","0.19"
"Norway","Grenada","2014.0","Export","8.0","0.22","494.4","0.0"
"Norway","Greenland","2014.0","Export","158.0","4.32","9691.51","0.01"
"Norway","Guatemala","2014.0","Export","34.0","0.93","19265.11","0.01"
"Norway","Guam","2014.0","Export","10.0","0.27","768.94","0.0"
"Norway","Guyana","2014.0","Export","13.0","0.36","4936.66","0.0"
"Norway","Hong Kong, China","2014.0","Export","510.0","13.93","260661.62","0.18"
"Norway","Honduras","2014.0","Export","20.0","0.55","1797.23","0.0"
"Norway","Croatia","2014.0","Export","308.0","8.42","31136.99","0.02"
"Norway","Haiti","2014.0","Export","13.0","0.36","3527.8","0.0"
"Norway","Hungary","2014.0","Export","319.0","8.72","87189.92","0.06"
"Norway","Indonesia","2014.0","Export","304.0","8.31","146747.4","0.1"
"Norway","India","2014.0","Export","488.0","13.33","277113.68","0.19"
"Norway","Ireland","2014.0","Export","428.0","11.69","1279825.95","0.9"
"Norway","Iran, Islamic Rep.","2014.0","Export","79.0","2.16","4978.15","0.0"
"Norway","Iraq","2014.0","Export","104.0","2.84","18040.02","0.01"
"Norway","Iceland","2014.0","Export","1057.0","28.88","699753.22","0.49"
"Norway","Israel","2014.0","Export","222.0","6.07","120416.23","0.08"
"Norway","Italy","2014.0","Export","1086.0","29.67","1192127.88","0.83"
"Norway","Jamaica","2014.0","Export","18.0","0.49","21180.25","0.01"
"Norway","Jordan","2014.0","Export","117.0","3.2","11607.51","0.01"
"Norway","Japan","2014.0","Export","702.0","19.18","1608679.82","1.13"
"Norway","Kazakhstan","2014.0","Export","174.0","4.75","51550.44","0.04"
"Norway","Kenya","2014.0","Export","134.0","3.66","23266.31","0.02"
"Norway","Kyrgyz Republic","2014.0","Export","10.0","0.27","1196.37","0.0"
"Norway","Cambodia","2014.0","Export","11.0","0.3","453.62","0.0"
