"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Oman","Angola","2014.0","Export","12.0","1.07","13158.24","0.03"
"Oman","Albania","2014.0","Export","3.0","0.27","549.82","0.0"
"Oman","United Arab Emirates","2014.0","Export","827.0","73.77","2018266.71","3.98"
"Oman","Argentina","2014.0","Export","5.0","0.45","1612.72","0.0"
"Oman","Armenia","2014.0","Export","1.0","0.09","17.68","0.0"
"Oman","Australia","2014.0","Export","35.0","3.12","63620.63","0.13"
"Oman","Austria","2014.0","Export","3.0","0.27","12806.8","0.03"
"Oman","Burundi","2014.0","Export","2.0","0.18","23.95","0.0"
"Oman","Belgium","2014.0","Export","15.0","1.34","18207.29","0.04"
"Oman","Benin","2014.0","Export","4.0","0.36","805.38","0.0"
"Oman","Burkina Faso","2014.0","Export","1.0","0.09","26.99","0.0"
"Oman","Bangladesh","2014.0","Export","27.0","2.41","49635.52","0.1"
"Oman","Bulgaria","2014.0","Export","4.0","0.36","2864.9","0.01"
"Oman","Bahrain","2014.0","Export","180.0","16.06","106381.16","0.21"
"Oman","Bahamas, The","2014.0","Export","4.0","0.36","128.12","0.0"
"Oman","Bosnia and Herzegovina","2014.0","Export","","","",""
"Oman","Belarus","2014.0","Export","2.0","0.18","2586.55","0.01"
"Oman","Belize","2014.0","Export","2.0","0.18","65.61","0.0"
"Oman","Bolivia","2014.0","Export","1.0","0.09","47.76","0.0"
"Oman","Brazil","2014.0","Export","18.0","1.61","233215.31","0.46"
"Oman","Brunei","2014.0","Export","3.0","0.27","103.3","0.0"
"Oman","Botswana","2014.0","Export","5.0","0.45","338.22","0.0"
"Oman","Canada","2014.0","Export","18.0","1.61","13087.2","0.03"
"Oman","Switzerland","2014.0","Export","17.0","1.52","2531.31","0.01"
"Oman","Chile","2014.0","Export","4.0","0.36","58.16","0.0"
"Oman","China","2014.0","Export","66.0","5.89","22347791.56","44.06"
"Oman","Cote d'Ivoire","2014.0","Export","11.0","0.98","2404.13","0.0"
"Oman","Cameroon","2014.0","Export","5.0","0.45","9235.28","0.02"
"Oman","Congo, Rep.","2014.0","Export","3.0","0.27","383.85","0.0"
"Oman","Colombia","2014.0","Export","4.0","0.36","269.11","0.0"
"Oman","Comoros","2014.0","Export","5.0","0.45","1176.86","0.0"
"Oman","Costa Rica","2014.0","Export","1.0","0.09","12.2","0.0"
"Oman","Cuba","2014.0","Export","1.0","0.09","7.01","0.0"
"Oman","Cyprus","2014.0","Export","12.0","1.07","483.66","0.0"
"Oman","Czech Republic","2014.0","Export","8.0","0.71","8020.42","0.02"
"Oman","Germany","2014.0","Export","55.0","4.91","41010.41","0.08"
"Oman","Djibouti","2014.0","Export","23.0","2.05","26034.11","0.05"
"Oman","Denmark","2014.0","Export","5.0","0.45","4894.78","0.01"
"Oman","Dominican Republic","2014.0","Export","3.0","0.27","1058.86","0.0"
"Oman","Algeria","2014.0","Export","19.0","1.69","22466.61","0.04"
