"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Pakistan","Aruba","2014.0","Export","5.0","0.17","12.88","0.0"
"Pakistan","Afghanistan","2014.0","Export","702.0","24.4","1879142.73","7.6"
"Pakistan","Angola","2014.0","Export","105.0","3.65","39763.78","0.16"
"Pakistan","Anguila","2014.0","Export","","","",""
"Pakistan","Albania","2014.0","Export","47.0","1.63","3630.29","0.01"
"Pakistan","Andorra","2014.0","Export","1.0","0.03","1.41","0.0"
"Pakistan","United Arab Emirates","2014.0","Export","1579.0","54.88","1324075.47","5.36"
"Pakistan","Argentina","2014.0","Export","125.0","4.34","45701.45","0.18"
"Pakistan","Armenia","2014.0","Export","4.0","0.14","161.19","0.0"
"Pakistan","American Samoa","2014.0","Export","1.0","0.03","0.71","0.0"
"Pakistan","Fr. So. Ant. Tr","2014.0","Export","","","",""
"Pakistan","Antigua and Barbuda","2014.0","Export","2.0","0.07","12.4","0.0"
"Pakistan","Australia","2014.0","Export","587.0","20.4","167217.07","0.68"
"Pakistan","Austria","2014.0","Export","210.0","7.3","19641.2","0.08"
"Pakistan","Azerbaijan","2014.0","Export","130.0","4.52","27656.49","0.11"
"Pakistan","Burundi","2014.0","Export","15.0","0.52","172.15","0.0"
"Pakistan","Belgium","2014.0","Export","504.0","17.52","658059.91","2.66"
"Pakistan","Benin","2014.0","Export","65.0","2.26","49516.22","0.2"
"Pakistan","Burkina Faso","2014.0","Export","7.0","0.24","112.84","0.0"
"Pakistan","Bangladesh","2014.0","Export","588.0","20.44","687640.88","2.78"
"Pakistan","Bulgaria","2014.0","Export","100.0","3.48","19829.22","0.08"
"Pakistan","Bahrain","2014.0","Export","425.0","14.77","82245.43","0.33"
"Pakistan","Bahamas, The","2014.0","Export","4.0","0.14","16.75","0.0"
"Pakistan","Bosnia and Herzegovina","2014.0","Export","13.0","0.45","115.43","0.0"
"Pakistan","Belarus","2014.0","Export","21.0","0.73","572.31","0.0"
"Pakistan","Belize","2014.0","Export","8.0","0.28","84.05","0.0"
"Pakistan","Bermuda","2014.0","Export","10.0","0.35","54.73","0.0"
"Pakistan","Bolivia","2014.0","Export","11.0","0.38","526.06","0.0"
"Pakistan","Brazil","2014.0","Export","214.0","7.44","76200.18","0.31"
"Pakistan","Barbados","2014.0","Export","24.0","0.83","209.93","0.0"
"Pakistan","Brunei","2014.0","Export","64.0","2.22","694.77","0.0"
"Pakistan","Bhutan","2014.0","Export","","","",""
"Pakistan","Bouvet Island","2014.0","Export","1.0","0.03","7.47","0.0"
"Pakistan","Botswana","2014.0","Export","48.0","1.67","3486.45","0.01"
"Pakistan","Central African Republic","2014.0","Export","1.0","0.03","55.45","0.0"
"Pakistan","Canada","2014.0","Export","668.0","23.22","224258.07","0.91"
"Pakistan","Cocos (Keeling) Islands","2014.0","Export","1.0","0.03","2.81","0.0"
"Pakistan","Switzerland","2014.0","Export","244.0","8.48","13743.63","0.06"
"Pakistan","Chile","2014.0","Export","194.0","6.74","80305.68","0.32"
"Pakistan","China","2014.0","Export","674.0","23.43","2252900.35","9.11"
"Pakistan","Cote d'Ivoire","2014.0","Export","63.0","2.19","46032.99","0.19"
"Pakistan","Cameroon","2014.0","Export","80.0","2.78","20492.82","0.08"
"Pakistan","Congo, Rep.","2014.0","Export","27.0","0.94","1589.4","0.01"
"Pakistan","Cook Islands","2014.0","Export","4.0","0.14","21.18","0.0"
"Pakistan","Colombia","2014.0","Export","150.0","5.21","54469.73","0.22"
"Pakistan","Comoros","2014.0","Export","11.0","0.38","30232.39","0.12"
"Pakistan","Cape Verde","2014.0","Export","2.0","0.07","67.41","0.0"
"Pakistan","Costa Rica","2014.0","Export","40.0","1.39","3826.85","0.02"
"Pakistan","Cuba","2014.0","Export","21.0","0.73","2568.88","0.01"
"Pakistan","Curaçao","2014.0","Export","3.0","0.1","5.44","0.0"
"Pakistan","Christmas Island","2014.0","Export","","","",""
"Pakistan","Cayman Islands","2014.0","Export","14.0","0.49","94.55","0.0"
"Pakistan","Cyprus","2014.0","Export","87.0","3.02","4619.6","0.02"
"Pakistan","Czech Republic","2014.0","Export","200.0","6.95","40706.73","0.16"
"Pakistan","Germany","2014.0","Export","873.0","30.34","1215477.69","4.92"
"Pakistan","Djibouti","2014.0","Export","230.0","7.99","41132.76","0.17"
"Pakistan","Dominica","2014.0","Export","7.0","0.24","18.05","0.0"
"Pakistan","Denmark","2014.0","Export","327.0","11.37","101959.39","0.41"
"Pakistan","Dominican Republic","2014.0","Export","49.0","1.7","10385.11","0.04"
"Pakistan","Algeria","2014.0","Export","132.0","4.59","34060.38","0.14"
"Pakistan","East Asia & Pacific","2014.0","Export","1513.0","52.59","4484210.54","18.14"
"Pakistan","Europe & Central Asia","2014.0","Export","1706.0","59.3","8000812.34","32.36"
"Pakistan","Ecuador","2014.0","Export","88.0","3.06","11096.65","0.04"
"Pakistan","Egypt, Arab Rep.","2014.0","Export","266.0","9.25","163880.94","0.66"
"Pakistan","Eritrea","2014.0","Export","12.0","0.42","3833.78","0.02"
"Pakistan","Western Sahara","2014.0","Export","","","",""
"Pakistan","Spain","2014.0","Export","487.0","16.93","789827.62","3.19"
"Pakistan","Estonia","2014.0","Export","113.0","3.93","21469.43","0.09"
"Pakistan","Ethiopia(excludes Eritrea)","2014.0","Export","48.0","1.67","1047.54","0.0"
"Pakistan","Finland","2014.0","Export","244.0","8.48","60058.07","0.24"
"Pakistan","Fiji","2014.0","Export","61.0","2.12","1956.82","0.01"
"Pakistan","France","2014.0","Export","528.0","18.35","430868.8","1.74"
"Pakistan","Faeroe Islands","2014.0","Export","","","",""
"Pakistan","Micronesia, Fed. Sts.","2014.0","Export","","","",""
"Pakistan","Gabon","2014.0","Export","13.0","0.45","2790.22","0.01"
"Pakistan","United Kingdom","2014.0","Export","1032.0","35.87","1654644.9","6.69"
"Pakistan","Georgia","2014.0","Export","55.0","1.91","7805.15","0.03"
"Pakistan","Ghana","2014.0","Export","102.0","3.55","31135.01","0.13"
"Pakistan","Gibraltar","2014.0","Export","","","",""
"Pakistan","Guinea","2014.0","Export","37.0","1.29","40128.61","0.16"
"Pakistan","Gambia, The","2014.0","Export","90.0","3.13","16652.47","0.07"
"Pakistan","Guinea-Bissau","2014.0","Export","8.0","0.28","10984.02","0.04"
"Pakistan","Equatorial Guinea","2014.0","Export","5.0","0.17","579.38","0.0"
"Pakistan","Greece","2014.0","Export","322.0","11.19","69958.51","0.28"
"Pakistan","Grenada","2014.0","Export","19.0","0.66","180.55","0.0"
"Pakistan","Greenland","2014.0","Export","","","",""
"Pakistan","Guatemala","2014.0","Export","35.0","1.22","6528.39","0.03"
"Pakistan","Guam","2014.0","Export","8.0","0.28","17.2","0.0"
"Pakistan","Guyana","2014.0","Export","23.0","0.8","655.5","0.0"
"Pakistan","Hong Kong, China","2014.0","Export","464.0","16.13","328313.18","1.33"
"Pakistan","Heard Island and McDonald Isla","2014.0","Export","","","",""
"Pakistan","Honduras","2014.0","Export","23.0","0.8","4536.61","0.02"
"Pakistan","Croatia","2014.0","Export","98.0","3.41","12383.06","0.05"
"Pakistan","Haiti","2014.0","Export","44.0","1.53","5078.7","0.02"
