"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Palau","Albania","2014.0","Export","","","",""
"Palau","Andorra","2014.0","Export","8.0","2.19","45.75","0.4"
"Palau","United Arab Emirates","2014.0","Export","","","",""
"Palau","Antarctica","2014.0","Export","","","",""
"Palau","Australia","2014.0","Export","1.0","0.27","168.0","1.47"
"Palau","Austria","2014.0","Export","","","",""
"Palau","Belgium","2014.0","Export","","","",""
"Palau","Bangladesh","2014.0","Export","","","",""
"Palau","Bulgaria","2014.0","Export","","","",""
"Palau","Bahrain","2014.0","Export","","","",""
"Palau","Bosnia and Herzegovina","2014.0","Export","","","",""
"Palau","Brazil","2014.0","Export","","","",""
"Palau","Canada","2014.0","Export","","","",""
"Palau","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Palau","Switzerland","2014.0","Export","","","",""
"Palau","Chile","2014.0","Export","","","",""
"Palau","China","2014.0","Export","5.0","1.37","23.94","0.21"
"Palau","Cote d'Ivoire","2014.0","Export","","","",""
"Palau","Cameroon","2014.0","Export","","","",""
"Palau","Colombia","2014.0","Export","","","",""
"Palau","Czech Republic","2014.0","Export","","","",""
"Palau","Germany","2014.0","Export","1.0","0.27","3.45","0.03"
"Palau","East Asia & Pacific","2014.0","Export","154.0","42.08","5299.79","46.49"
"Palau","Europe & Central Asia","2014.0","Export","10.0","2.73","72.11","0.63"
"Palau","Spain","2014.0","Export","","","",""
"Palau","Estonia","2014.0","Export","","","",""
"Palau","Finland","2014.0","Export","","","",""
"Palau","Fiji","2014.0","Export","","","",""
"Palau","France","2014.0","Export","1.0","0.27","7.09","0.06"
"Palau","Micronesia, Fed. Sts.","2014.0","Export","3.0","0.82","81.05","0.71"
"Palau","Gabon","2014.0","Export","","","",""
"Palau","United Kingdom","2014.0","Export","","","",""
"Palau","Georgia","2014.0","Export","","","",""
"Palau","Gibraltar","2014.0","Export","","","",""
"Palau","Guinea","2014.0","Export","","","",""
"Palau","Gambia, The","2014.0","Export","","","",""
"Palau","Greece","2014.0","Export","","","",""
"Palau","Guam","2014.0","Export","20.0","5.46","284.62","2.5"
"Palau","Hong Kong, China","2014.0","Export","2.0","0.55","16.63","0.15"
"Palau","Honduras","2014.0","Export","","","",""
"Palau","Croatia","2014.0","Export","","","",""
"Palau","Hungary","2014.0","Export","","","",""
"Palau","Indonesia","2014.0","Export","1.0","0.27","0.65","0.01"
"Palau","India","2014.0","Export","17.0","4.64","44.48","0.39"
"Palau","British Indian Ocean Ter.","2014.0","Export","","","",""
"Palau","Iceland","2014.0","Export","","","",""
"Palau","Italy","2014.0","Export","","","",""
"Palau","Jamaica","2014.0","Export","2.0","0.55","6.96","0.06"
"Palau","Japan","2014.0","Export","88.0","24.04","4630.13","40.61"
"Palau","Kenya","2014.0","Export","","","",""
"Palau","Kyrgyz Republic","2014.0","Export","","","",""
"Palau","Korea, Rep.","2014.0","Export","3.0","0.82","3.23","0.03"
