"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Panama","Aruba","2014.0","Export","39.0","8.55","1088.1","0.13"
"Panama","Angola","2014.0","Export","4.0","0.88","44.82","0.01"
"Panama","Albania","2014.0","Export","1.0","0.22","567.41","0.07"
"Panama","United Arab Emirates","2014.0","Export","1.0","0.22","13.83","0.0"
"Panama","Argentina","2014.0","Export","4.0","0.88","307.18","0.04"
"Panama","Antigua and Barbuda","2014.0","Export","7.0","1.54","122.56","0.01"
"Panama","Australia","2014.0","Export","6.0","1.32","2920.52","0.36"
"Panama","Austria","2014.0","Export","","","",""
"Panama","Belgium","2014.0","Export","14.0","3.07","3491.12","0.43"
"Panama","Bangladesh","2014.0","Export","","","",""
"Panama","Bulgaria","2014.0","Export","","","",""
"Panama","Bahamas, The","2014.0","Export","12.0","2.63","2093.53","0.26"
"Panama","Belize","2014.0","Export","3.0","0.66","34.03","0.0"
"Panama","Bolivia","2014.0","Export","13.0","2.85","2557.48","0.31"
"Panama","Brazil","2014.0","Export","19.0","4.17","2558.24","0.31"
"Panama","Barbados","2014.0","Export","3.0","0.66","329.93","0.04"
"Panama","Canada","2014.0","Export","11.0","2.41","1431.12","0.17"
"Panama","Switzerland","2014.0","Export","1.0","0.22","636.32","0.08"
"Panama","Chile","2014.0","Export","18.0","3.95","7636.24","0.93"
"Panama","China","2014.0","Export","32.0","7.02","69458.79","8.49"
"Panama","Colombia","2014.0","Export","42.0","9.21","12282.8","1.5"
"Panama","Costa Rica","2014.0","Export","151.0","33.11","54897.82","6.71"
"Panama","Cuba","2014.0","Export","42.0","9.21","2613.62","0.32"
"Panama","Curaçao","2014.0","Export","31.0","6.8","1562.56","0.19"
"Panama","Cyprus","2014.0","Export","","","",""
"Panama","Czech Republic","2014.0","Export","","","",""
"Panama","Germany","2014.0","Export","14.0","3.07","87210.46","10.66"
"Panama","Dominica","2014.0","Export","6.0","1.32","7.5","0.0"
"Panama","Denmark","2014.0","Export","2.0","0.44","13971.1","1.71"
"Panama","Dominican Republic","2014.0","Export","34.0","7.46","1973.33","0.24"
"Panama","East Asia & Pacific","2014.0","Export","59.0","12.94","160163.04","19.57"
"Panama","Europe & Central Asia","2014.0","Export","66.0","14.47","223724.62","27.34"
"Panama","Ecuador","2014.0","Export","24.0","5.26","9621.1","1.18"
"Panama","Egypt, Arab Rep.","2014.0","Export","1.0","0.22","392.06","0.05"
"Panama","Spain","2014.0","Export","28.0","6.14","23957.88","2.93"
"Panama","Estonia","2014.0","Export","","","",""
"Panama","Finland","2014.0","Export","","","",""
"Panama","France","2014.0","Export","9.0","1.97","1654.55","0.2"
"Panama","Free Zones","2014.0","Export","178.0","39.04","29796.09","3.64"
"Panama","United Kingdom","2014.0","Export","14.0","3.07","11542.17","1.41"
"Panama","Georgia","2014.0","Export","1.0","0.22","2953.04","0.36"
"Panama","Greece","2014.0","Export","5.0","1.1","66.52","0.01"
"Panama","Grenada","2014.0","Export","1.0","0.22","85.78","0.01"
"Panama","Guatemala","2014.0","Export","41.0","8.99","7692.61","0.94"
"Panama","Guyana","2014.0","Export","4.0","0.88","20.32","0.0"
"Panama","Hong Kong, China","2014.0","Export","25.0","5.48","8172.91","1.0"
"Panama","Honduras","2014.0","Export","39.0","8.55","11708.1","1.43"
"Panama","Haiti","2014.0","Export","3.0","0.66","261.19","0.03"
"Panama","Hungary","2014.0","Export","","","",""
"Panama","Indonesia","2014.0","Export","4.0","0.88","1560.92","0.19"
"Panama","India","2014.0","Export","9.0","1.97","22101.3","2.7"
"Panama","Ireland","2014.0","Export","1.0","0.22","85.68","0.01"
"Panama","Iceland","2014.0","Export","","","",""
"Panama","Israel","2014.0","Export","1.0","0.22","0.22","0.0"
"Panama","Italy","2014.0","Export","14.0","3.07","22586.24","2.76"
"Panama","Jamaica","2014.0","Export","24.0","5.26","3884.27","0.47"
"Panama","Japan","2014.0","Export","12.0","2.63","17516.16","2.14"
"Panama","Cambodia","2014.0","Export","","","",""
"Panama","Korea, Rep.","2014.0","Export","16.0","3.51","16679.85","2.04"
"Panama","Kuwait","2014.0","Export","1.0","0.22","215.78","0.03"
"Panama","Lebanon","2014.0","Export","","","",""
"Panama","St. Lucia","2014.0","Export","14.0","3.07","509.16","0.06"
"Panama","Latin America & Caribbean","2014.0","Export","293.0","64.25","183598.62","22.44"
"Panama","Sri Lanka","2014.0","Export","3.0","0.66","694.01","0.08"
"Panama","Lithuania","2014.0","Export","1.0","0.22","79.22","0.01"
"Panama","Latvia","2014.0","Export","","","",""
"Panama","Morocco","2014.0","Export","","","",""
"Panama","Middle East & North Africa","2014.0","Export","4.0","0.88","2006.5","0.25"
"Panama","Mexico","2014.0","Export","27.0","5.92","11330.04","1.38"
"Panama","Malta","2014.0","Export","","","",""
"Panama","Malawi","2014.0","Export","1.0","0.22","1.1","0.0"
"Panama","Malaysia","2014.0","Export","3.0","0.66","92.76","0.01"
"Panama","North America","2014.0","Export","161.0","35.31","163252.96","19.95"
"Panama","Nigeria","2014.0","Export","1.0","0.22","474.38","0.06"
"Panama","Nicaragua","2014.0","Export","43.0","9.43","14093.28","1.72"
"Panama","Netherlands","2014.0","Export","36.0","7.89","42865.83","5.24"
"Panama","Norway","2014.0","Export","2.0","0.44","40.43","0.0"
"Panama","Nepal","2014.0","Export","","","",""
"Panama","New Zealand","2014.0","Export","1.0","0.22","30.41","0.0"
"Panama","Other Asia, nes","2014.0","Export","22.0","4.82","30316.95","3.71"
"Panama","Oman","2014.0","Export","","","",""
"Panama","Pakistan","2014.0","Export","3.0","0.66","70.07","0.01"
"Panama","Panama","2014.0","Export","","","",""
"Panama","Peru","2014.0","Export","18.0","3.95","4032.42","0.49"
"Panama","Philippines","2014.0","Export","1.0","0.22","30.38","0.0"
"Panama","Poland","2014.0","Export","1.0","0.22","129.28","0.02"
"Panama","Portugal","2014.0","Export","10.0","2.19","5467.69","0.67"
"Panama","Paraguay","2014.0","Export","","","",""
"Panama","Qatar","2014.0","Export","","","",""
"Panama","Romania","2014.0","Export","","","",""
"Panama","Russian Federation","2014.0","Export","4.0","0.88","697.72","0.09"
"Panama","South Asia","2014.0","Export","14.0","3.07","22865.37","2.79"
"Panama","Saudi Arabia","2014.0","Export","1.0","0.22","1384.6","0.17"
