"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Paraguay","Aruba","2014.0","Export","12.0","0.96","8458.19","0.09"
"Paraguay","Afghanistan","2014.0","Export","","","",""
"Paraguay","Angola","2014.0","Export","14.0","1.13","27246.8","0.28"
"Paraguay","Anguila","2014.0","Export","1.0","0.08","5.46","0.0"
"Paraguay","Albania","2014.0","Export","4.0","0.32","1305.53","0.01"
"Paraguay","United Arab Emirates","2014.0","Export","4.0","0.32","27924.79","0.29"
"Paraguay","Argentina","2014.0","Export","224.0","18.01","713623.45","7.39"
"Paraguay","Armenia","2014.0","Export","2.0","0.16","658.29","0.01"
"Paraguay","American Samoa","2014.0","Export","","","",""
"Paraguay","Australia","2014.0","Export","15.0","1.21","1453.28","0.02"
"Paraguay","Austria","2014.0","Export","5.0","0.4","1231.2","0.01"
"Paraguay","Azerbaijan","2014.0","Export","3.0","0.24","134.76","0.0"
"Paraguay","Belgium","2014.0","Export","19.0","1.53","6244.41","0.06"
"Paraguay","Benin","2014.0","Export","2.0","0.16","142.41","0.0"
"Paraguay","Bangladesh","2014.0","Export","5.0","0.4","108724.73","1.13"
"Paraguay","Bulgaria","2014.0","Export","1.0","0.08","3.56","0.0"
"Paraguay","Bahrain","2014.0","Export","6.0","0.48","2623.66","0.03"
"Paraguay","Bahamas, The","2014.0","Export","1.0","0.08","7.97","0.0"
"Paraguay","Bosnia and Herzegovina","2014.0","Export","","","",""
"Paraguay","Belarus","2014.0","Export","2.0","0.16","156.82","0.0"
"Paraguay","Belize","2014.0","Export","2.0","0.16","2834.19","0.03"
"Paraguay","Bermuda","2014.0","Export","","","",""
"Paraguay","Bolivia","2014.0","Export","321.0","25.8","106751.34","1.11"
"Paraguay","Brazil","2014.0","Export","498.0","40.03","2969220.05","30.75"
"Paraguay","Barbados","2014.0","Export","","","",""
"Paraguay","Brunei","2014.0","Export","","","",""
"Paraguay","Bhutan","2014.0","Export","","","",""
"Paraguay","Canada","2014.0","Export","54.0","4.34","3678.03","0.04"
"Paraguay","Switzerland","2014.0","Export","17.0","1.37","6433.54","0.07"
"Paraguay","Chile","2014.0","Export","156.0","12.54","669556.34","6.93"
"Paraguay","China","2014.0","Export","63.0","5.06","48442.89","0.5"
"Paraguay","Cote d'Ivoire","2014.0","Export","3.0","0.24","461.72","0.0"
"Paraguay","Cameroon","2014.0","Export","1.0","0.08","970.64","0.01"
"Paraguay","Congo, Rep.","2014.0","Export","7.0","0.56","2023.36","0.02"
"Paraguay","Colombia","2014.0","Export","44.0","3.54","37217.99","0.39"
"Paraguay","Cape Verde","2014.0","Export","1.0","0.08","1803.63","0.02"
"Paraguay","Costa Rica","2014.0","Export","24.0","1.93","53859.24","0.56"
"Paraguay","Cuba","2014.0","Export","6.0","0.48","211.0","0.0"
"Paraguay","Curaçao","2014.0","Export","9.0","0.72","2391.19","0.02"
"Paraguay","Cayman Islands","2014.0","Export","","","",""
"Paraguay","Cyprus","2014.0","Export","1.0","0.08","70.39","0.0"
"Paraguay","Czech Republic","2014.0","Export","4.0","0.32","75.65","0.0"
"Paraguay","Germany","2014.0","Export","105.0","8.44","96961.33","1.0"
"Paraguay","Dominica","2014.0","Export","5.0","0.4","653.59","0.01"
"Paraguay","Denmark","2014.0","Export","5.0","0.4","36993.06","0.38"
"Paraguay","Dominican Republic","2014.0","Export","25.0","2.01","1821.54","0.02"
"Paraguay","Algeria","2014.0","Export","2.0","0.16","28130.97","0.29"
"Paraguay","East Asia & Pacific","2014.0","Export","125.0","10.05","655712.03","6.79"
"Paraguay","Europe & Central Asia","2014.0","Export","419.0","33.68","2781593.26","28.81"
"Paraguay","Ecuador","2014.0","Export","38.0","3.05","39884.13","0.41"
"Paraguay","Egypt, Arab Rep.","2014.0","Export","15.0","1.21","95853.35","0.99"
"Paraguay","Spain","2014.0","Export","213.0","17.12","78225.41","0.81"
"Paraguay","Estonia","2014.0","Export","","","",""
"Paraguay","Finland","2014.0","Export","3.0","0.24","91.91","0.0"
"Paraguay","France","2014.0","Export","42.0","3.38","114847.75","1.19"
"Paraguay","Gabon","2014.0","Export","6.0","0.48","12743.01","0.13"
"Paraguay","United Kingdom","2014.0","Export","38.0","3.05","46995.31","0.49"
"Paraguay","Georgia","2014.0","Export","3.0","0.24","1677.12","0.02"
"Paraguay","Ghana","2014.0","Export","5.0","0.4","713.92","0.01"
"Paraguay","Guinea","2014.0","Export","1.0","0.08","33.02","0.0"
"Paraguay","Gambia, The","2014.0","Export","1.0","0.08","2269.42","0.02"
"Paraguay","Guinea-Bissau","2014.0","Export","1.0","0.08","60.85","0.0"
"Paraguay","Equatorial Guinea","2014.0","Export","3.0","0.24","1005.84","0.01"
"Paraguay","Greece","2014.0","Export","3.0","0.24","58290.93","0.6"
"Paraguay","Grenada","2014.0","Export","1.0","0.08","21.6","0.0"
"Paraguay","Guatemala","2014.0","Export","46.0","3.7","2759.74","0.03"
"Paraguay","Hong Kong, China","2014.0","Export","32.0","2.57","139603.35","1.45"
"Paraguay","Honduras","2014.0","Export","13.0","1.04","426.24","0.0"
"Paraguay","Croatia","2014.0","Export","","","",""
"Paraguay","Haiti","2014.0","Export","5.0","0.4","60.84","0.0"
"Paraguay","Hungary","2014.0","Export","1.0","0.08","3.73","0.0"
"Paraguay","Indonesia","2014.0","Export","8.0","0.64","29335.72","0.3"
"Paraguay","India","2014.0","Export","14.0","1.13","210978.96","2.19"
"Paraguay","Ireland","2014.0","Export","2.0","0.16","78.85","0.0"
"Paraguay","Iran, Islamic Rep.","2014.0","Export","1.0","0.08","23002.69","0.24"
"Paraguay","Iraq","2014.0","Export","1.0","0.08","2403.63","0.02"
"Paraguay","Iceland","2014.0","Export","","","",""
"Paraguay","Israel","2014.0","Export","16.0","1.29","134877.71","1.4"
"Paraguay","Italy","2014.0","Export","50.0","4.02","380036.48","3.94"
"Paraguay","Jordan","2014.0","Export","2.0","0.16","1118.97","0.01"
"Paraguay","Japan","2014.0","Export","22.0","1.77","105217.55","1.09"
"Paraguay","Kazakhstan","2014.0","Export","2.0","0.16","15666.51","0.16"
"Paraguay","Kenya","2014.0","Export","","","",""
"Paraguay","Kyrgyz Republic","2014.0","Export","","","",""
"Paraguay","Cambodia","2014.0","Export","","","",""
"Paraguay","St. Kitts and Nevis","2014.0","Export","","","",""
"Paraguay","Korea, Rep.","2014.0","Export","25.0","2.01","60557.67","0.63"
"Paraguay","Kuwait","2014.0","Export","7.0","0.56","19433.49","0.2"
"Paraguay","Lao PDR","2014.0","Export","","","",""
"Paraguay","Lebanon","2014.0","Export","18.0","1.45","11928.75","0.12"
"Paraguay","Liberia","2014.0","Export","1.0","0.08","185.47","0.0"
"Paraguay","Libya","2014.0","Export","10.0","0.8","4325.6","0.04"
"Paraguay","Latin America & Caribbean","2014.0","Export","957.0","76.93","5103743.06","52.86"
"Paraguay","Sri Lanka","2014.0","Export","","","",""
"Paraguay","Lesotho","2014.0","Export","","","",""
"Paraguay","Lithuania","2014.0","Export","1.0","0.08","24.89","0.0"
"Paraguay","Luxembourg","2014.0","Export","1.0","0.08","72.41","0.0"
"Paraguay","Latvia","2014.0","Export","1.0","0.08","27.11","0.0"
"Paraguay","Macao","2014.0","Export","","","",""
"Paraguay","Morocco","2014.0","Export","3.0","0.24","29605.7","0.31"
"Paraguay","Madagascar","2014.0","Export","1.0","0.08","1616.41","0.02"
"Paraguay","Middle East & North Africa","2014.0","Export","55.0","4.42","444027.79","4.6"
"Paraguay","Mexico","2014.0","Export","34.0","2.73","133550.37","1.38"
"Paraguay","Macedonia, FYR","2014.0","Export","","","",""
"Paraguay","Malta","2014.0","Export","1.0","0.08","90.36","0.0"
"Paraguay","Myanmar","2014.0","Export","1.0","0.08","458.85","0.0"
"Paraguay","Mongolia","2014.0","Export","","","",""
"Paraguay","Northern Mariana Islands","2014.0","Export","","","",""
"Paraguay","Montenegro","2014.0","Export","1.0","0.08","230.33","0.0"
"Paraguay","Mozambique","2014.0","Export","5.0","0.4","664.43","0.01"
"Paraguay","Mauritania","2014.0","Export","","","",""
"Paraguay","Montserrat","2014.0","Export","","","",""
"Paraguay","Mauritius","2014.0","Export","1.0","0.08","3722.88","0.04"
"Paraguay","Malawi","2014.0","Export","","","",""
"Paraguay","Malaysia","2014.0","Export","5.0","0.4","54772.8","0.57"
"Paraguay","North America","2014.0","Export","309.0","24.84","210377.17","2.18"
"Paraguay","New Caledonia","2014.0","Export","","","",""
"Paraguay","Nigeria","2014.0","Export","4.0","0.32","15053.73","0.16"
"Paraguay","Nicaragua","2014.0","Export","13.0","1.04","858.1","0.01"
"Paraguay","Netherlands","2014.0","Export","43.0","3.46","429566.45","4.45"
"Paraguay","Norway","2014.0","Export","2.0","0.16","11.91","0.0"
"Paraguay","Nepal","2014.0","Export","1.0","0.08","6184.56","0.06"
"Paraguay","New Zealand","2014.0","Export","4.0","0.32","163.25","0.0"
"Paraguay","Other Asia, nes","2014.0","Export","18.0","1.45","25206.4","0.26"
"Paraguay","Pakistan","2014.0","Export","8.0","0.64","20931.95","0.22"
"Paraguay","Panama","2014.0","Export","34.0","2.73","7780.9","0.08"
"Paraguay","Peru","2014.0","Export","53.0","4.26","125546.0","1.3"
"Paraguay","Philippines","2014.0","Export","2.0","0.16","924.37","0.01"
"Paraguay","Palau","2014.0","Export","","","",""
"Paraguay","Papua New Guinea","2014.0","Export","1.0","0.08","3.73","0.0"
"Paraguay","Poland","2014.0","Export","15.0","1.21","123530.71","1.28"
"Paraguay","Korea, Dem. Rep.","2014.0","Export","","","",""
"Paraguay","Portugal","2014.0","Export","13.0","1.04","27166.05","0.28"
"Paraguay","Occ.Pal.Terr","2014.0","Export","3.0","0.24","3270.65","0.03"
