"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Peru","Aruba","2014.0","Export","259.0","7.8","59251.68","0.15"
"Peru","Afghanistan","2014.0","Export","3.0","0.09","1567.45","0.0"
"Peru","Angola","2014.0","Export","50.0","1.51","3490.12","0.01"
"Peru","Anguila","2014.0","Export","","","",""
"Peru","Albania","2014.0","Export","5.0","0.15","217.84","0.0"
"Peru","Andorra","2014.0","Export","","","",""
"Peru","United Arab Emirates","2014.0","Export","180.0","5.42","56741.62","0.15"
"Peru","Argentina","2014.0","Export","504.0","15.18","177686.93","0.46"
"Peru","Armenia","2014.0","Export","","","",""
"Peru","American Samoa","2014.0","Export","1.0","0.03","141.93","0.0"
"Peru","Antigua and Barbuda","2014.0","Export","40.0","1.2","707.27","0.0"
"Peru","Australia","2014.0","Export","340.0","10.24","127132.4","0.33"
"Peru","Austria","2014.0","Export","131.0","3.95","2828.19","0.01"
"Peru","Azerbaijan","2014.0","Export","4.0","0.12","9.6","0.0"
"Peru","Burundi","2014.0","Export","","","",""
"Peru","Belgium","2014.0","Export","336.0","10.12","653314.07","1.7"
"Peru","Benin","2014.0","Export","1.0","0.03","1930.78","0.01"
"Peru","Burkina Faso","2014.0","Export","2.0","0.06","292.18","0.0"
"Peru","Bangladesh","2014.0","Export","11.0","0.33","4501.48","0.01"
"Peru","Bulgaria","2014.0","Export","45.0","1.36","245402.33","0.64"
"Peru","Bahrain","2014.0","Export","17.0","0.51","442.36","0.0"
"Peru","Bahamas, The","2014.0","Export","29.0","0.87","5470.62","0.01"
"Peru","Bosnia and Herzegovina","2014.0","Export","","","",""
"Peru","Belarus","2014.0","Export","2.0","0.06","24.09","0.0"
"Peru","Belize","2014.0","Export","17.0","0.51","672.17","0.0"
"Peru","Bermuda","2014.0","Export","6.0","0.18","127.19","0.0"
"Peru","Bolivia","2014.0","Export","1575.0","47.44","653292.27","1.7"
