"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Philippines","Aruba","2014.0","Export","10.0","0.35","446.7","0.0"
"Philippines","Afghanistan","2014.0","Export","81.0","2.87","7493.16","0.01"
"Philippines","Angola","2014.0","Export","13.0","0.46","813.9","0.0"
"Philippines","Albania","2014.0","Export","5.0","0.18","265.33","0.0"
"Philippines","Andorra","2014.0","Export","3.0","0.11","138.28","0.0"
"Philippines","United Arab Emirates","2014.0","Export","597.0","21.17","364842.69","0.59"
"Philippines","Argentina","2014.0","Export","96.0","3.4","47109.49","0.08"
"Philippines","Armenia","2014.0","Export","4.0","0.14","99.01","0.0"
"Philippines","American Samoa","2014.0","Export","47.0","1.67","728.84","0.0"
"Philippines","Fr. So. Ant. Tr","2014.0","Export","","","",""
"Philippines","Antigua and Barbuda","2014.0","Export","10.0","0.35","176.65","0.0"
"Philippines","Australia","2014.0","Export","738.0","26.17","824945.97","1.33"
"Philippines","Austria","2014.0","Export","188.0","6.67","100342.74","0.16"
"Philippines","Azerbaijan","2014.0","Export","16.0","0.57","105.86","0.0"
"Philippines","Burundi","2014.0","Export","5.0","0.18","142.53","0.0"
"Philippines","Belgium","2014.0","Export","197.0","6.99","239002.73","0.39"
"Philippines","Benin","2014.0","Export","3.0","0.11","3.3","0.0"
"Philippines","Burkina Faso","2014.0","Export","3.0","0.11","75.78","0.0"
"Philippines","Bangladesh","2014.0","Export","85.0","3.01","10138.44","0.02"
"Philippines","Bulgaria","2014.0","Export","37.0","1.31","16685.85","0.03"
"Philippines","Bahrain","2014.0","Export","127.0","4.5","8461.42","0.01"
"Philippines","Bahamas, The","2014.0","Export","20.0","0.71","753.08","0.0"
"Philippines","Bosnia and Herzegovina","2014.0","Export","11.0","0.39","41.83","0.0"
"Philippines","Belarus","2014.0","Export","8.0","0.28","137.57","0.0"
"Philippines","Belize","2014.0","Export","3.0","0.11","4.28","0.0"
"Philippines","Bermuda","2014.0","Export","11.0","0.39","85.79","0.0"
"Philippines","Bolivia","2014.0","Export","20.0","0.71","385.68","0.0"
"Philippines","Brazil","2014.0","Export","241.0","8.55","156709.27","0.25"
"Philippines","Barbados","2014.0","Export","8.0","0.28","90.66","0.0"
"Philippines","Brunei","2014.0","Export","159.0","5.64","9532.9","0.02"
"Philippines","Bhutan","2014.0","Export","3.0","0.11","180.76","0.0"
"Philippines","Botswana","2014.0","Export","7.0","0.25","280.76","0.0"
"Philippines","Central African Republic","2014.0","Export","5.0","0.18","388.98","0.0"
"Philippines","Canada","2014.0","Export","592.0","20.99","597567.34","0.97"
"Philippines","Cocos (Keeling) Islands","2014.0","Export","1.0","0.04","0.04","0.0"
"Philippines","Switzerland","2014.0","Export","233.0","8.26","247852.58","0.4"
"Philippines","Chile","2014.0","Export","147.0","5.21","45090.0","0.07"
"Philippines","China","2014.0","Export","1023.0","36.28","8033653.09","13.0"
"Philippines","Cote d'Ivoire","2014.0","Export","15.0","0.53","976.45","0.0"
"Philippines","Cameroon","2014.0","Export","8.0","0.28","2226.99","0.0"
"Philippines","Congo, Rep.","2014.0","Export","8.0","0.28","1552.45","0.0"
"Philippines","Cook Islands","2014.0","Export","6.0","0.21","66.2","0.0"
"Philippines","Colombia","2014.0","Export","84.0","2.98","30386.77","0.05"
"Philippines","Cape Verde","2014.0","Export","1.0","0.04","3.61","0.0"
"Philippines","Costa Rica","2014.0","Export","54.0","1.91","19893.76","0.03"
"Philippines","Cuba","2014.0","Export","3.0","0.11","3211.23","0.01"
"Philippines","Curaçao","2014.0","Export","50.0","1.77","18961.61","0.03"
"Philippines","Christmas Island","2014.0","Export","3.0","0.11","0.42","0.0"
"Philippines","Cayman Islands","2014.0","Export","9.0","0.32","562.84","0.0"
"Philippines","Cyprus","2014.0","Export","51.0","1.81","1274.56","0.0"
"Philippines","Czech Republic","2014.0","Export","113.0","4.01","131274.88","0.21"
"Philippines","Germany","2014.0","Export","591.0","20.96","2659965.7","4.3"
"Philippines","Djibouti","2014.0","Export","7.0","0.25","1412.48","0.0"
"Philippines","Dominica","2014.0","Export","1.0","0.04","0.93","0.0"
"Philippines","Denmark","2014.0","Export","174.0","6.17","38264.72","0.06"
"Philippines","Dominican Republic","2014.0","Export","43.0","1.52","9718.09","0.02"
"Philippines","Algeria","2014.0","Export","18.0","0.64","4561.52","0.01"
"Philippines","East Asia & Pacific","2014.0","Export","2496.0","88.51","40634947.44","65.74"
"Philippines","Europe & Central Asia","2014.0","Export","1296.0","45.96","7086892.58","11.47"
"Philippines","Ecuador","2014.0","Export","32.0","1.13","2325.31","0.0"
"Philippines","Egypt, Arab Rep.","2014.0","Export","106.0","3.76","13858.49","0.02"
"Philippines","Eritrea","2014.0","Export","1.0","0.04","1.42","0.0"
"Philippines","Spain","2014.0","Export","285.0","10.11","158341.8","0.26"
"Philippines","Estonia","2014.0","Export","34.0","1.21","2764.22","0.0"
"Philippines","Ethiopia(excludes Eritrea)","2014.0","Export","22.0","0.78","3607.74","0.01"
"Philippines","Finland","2014.0","Export","182.0","6.45","48600.03","0.08"
"Philippines","Fiji","2014.0","Export","39.0","1.38","1184.47","0.0"
"Philippines","Falkland Island","2014.0","Export","1.0","0.04","0.15","0.0"
"Philippines","France","2014.0","Export","410.0","14.54","331459.53","0.54"
"Philippines","Faeroe Islands","2014.0","Export","","","",""
"Philippines","Micronesia, Fed. Sts.","2014.0","Export","150.0","5.32","6722.15","0.01"
"Philippines","Gabon","2014.0","Export","6.0","0.21","96.17","0.0"
"Philippines","United Kingdom","2014.0","Export","600.0","21.28","464207.44","0.75"
"Philippines","Georgia","2014.0","Export","15.0","0.53","436.96","0.0"
"Philippines","Ghana","2014.0","Export","30.0","1.06","2587.05","0.0"
"Philippines","Gibraltar","2014.0","Export","","","",""
"Philippines","Guinea","2014.0","Export","4.0","0.14","267.09","0.0"
"Philippines","Gambia, The","2014.0","Export","5.0","0.18","59.7","0.0"
"Philippines","Guinea-Bissau","2014.0","Export","1.0","0.04","25.27","0.0"
"Philippines","Equatorial Guinea","2014.0","Export","1.0","0.04","1.25","0.0"
"Philippines","Greece","2014.0","Export","101.0","3.58","6083.12","0.01"
"Philippines","Grenada","2014.0","Export","4.0","0.14","22.17","0.0"
"Philippines","Greenland","2014.0","Export","2.0","0.07","58.18","0.0"
"Philippines","Guatemala","2014.0","Export","27.0","0.96","1002.59","0.0"
"Philippines","Guam","2014.0","Export","258.0","9.15","18850.02","0.03"
"Philippines","Guyana","2014.0","Export","2.0","0.07","0.14","0.0"
"Philippines","Hong Kong, China","2014.0","Export","930.0","32.98","5593694.71","9.05"
"Philippines","Heard Island and McDonald Isla","2014.0","Export","2.0","0.07","14.51","0.0"
"Philippines","Honduras","2014.0","Export","24.0","0.85","826.93","0.0"
"Philippines","Croatia","2014.0","Export","24.0","0.85","1389.13","0.0"
"Philippines","Haiti","2014.0","Export","3.0","0.11","102.32","0.0"
"Philippines","Hungary","2014.0","Export","104.0","3.69","145052.75","0.23"
"Philippines","Indonesia","2014.0","Export","591.0","20.96","758508.26","1.23"
"Philippines","India","2014.0","Export","475.0","16.84","299104.71","0.48"
"Philippines","British Indian Ocean Ter.","2014.0","Export","1.0","0.04","0.6","0.0"
"Philippines","Ireland","2014.0","Export","111.0","3.94","33199.36","0.05"
"Philippines","Iran, Islamic Rep.","2014.0","Export","34.0","1.21","68804.56","0.11"
"Philippines","Iraq","2014.0","Export","27.0","0.96","6143.51","0.01"
"Philippines","Iceland","2014.0","Export","13.0","0.46","50.57","0.0"
"Philippines","Israel","2014.0","Export","242.0","8.58","63589.31","0.1"
"Philippines","Italy","2014.0","Export","383.0","13.58","187923.48","0.3"
"Philippines","Jamaica","2014.0","Export","21.0","0.74","424.3","0.0"
"Philippines","Jordan","2014.0","Export","78.0","2.77","2888.42","0.0"
"Philippines","Japan","2014.0","Export","1515.0","53.72","13918859.5","22.52"
"Philippines","Kazakhstan","2014.0","Export","27.0","0.96","999.09","0.0"
"Philippines","Kenya","2014.0","Export","58.0","2.06","9465.87","0.02"
"Philippines","Kyrgyz Republic","2014.0","Export","7.0","0.25","1153.13","0.0"
"Philippines","Cambodia","2014.0","Export","113.0","4.01","82797.77","0.13"
"Philippines","Kiribati","2014.0","Export","25.0","0.89","468.98","0.0"
"Philippines","St. Kitts and Nevis","2014.0","Export","3.0","0.11","2643.07","0.0"
"Philippines","Korea, Rep.","2014.0","Export","940.0","33.33","2532408.23","4.1"
"Philippines","Kuwait","2014.0","Export","182.0","6.45","50213.22","0.08"
"Philippines","Lao PDR","2014.0","Export","25.0","0.89","109.54","0.0"
"Philippines","Lebanon","2014.0","Export","91.0","3.23","4357.52","0.01"
"Philippines","Liberia","2014.0","Export","5.0","0.18","135004.65","0.22"
"Philippines","Libya","2014.0","Export","18.0","0.64","604.21","0.0"
"Philippines","Latin America & Caribbean","2014.0","Export","564.0","20.0","840654.79","1.36"
"Philippines","Sri Lanka","2014.0","Export","102.0","3.62","22063.94","0.04"
"Philippines","Lesotho","2014.0","Export","","","",""
"Philippines","Lithuania","2014.0","Export","39.0","1.38","6737.71","0.01"
"Philippines","Luxembourg","2014.0","Export","19.0","0.67","7106.09","0.01"
"Philippines","Latvia","2014.0","Export","53.0","1.88","1272.68","0.0"
"Philippines","Macao","2014.0","Export","131.0","4.65","19487.62","0.03"
"Philippines","Morocco","2014.0","Export","48.0","1.7","7120.66","0.01"
"Philippines","Moldova","2014.0","Export","2.0","0.07","0.2","0.0"
"Philippines","Madagascar","2014.0","Export","6.0","0.21","10.0","0.0"
"Philippines","Maldives","2014.0","Export","53.0","1.88","1456.89","0.0"
"Philippines","Middle East & North Africa","2014.0","Export","858.0","30.43","762074.9","1.23"
"Philippines","Mexico","2014.0","Export","321.0","11.38","410863.91","0.66"
"Philippines","Marshall Islands","2014.0","Export","40.0","1.42","261451.61","0.42"
"Philippines","Macedonia, FYR","2014.0","Export","5.0","0.18","24.32","0.0"
"Philippines","Mali","2014.0","Export","2.0","0.07","47.37","0.0"
"Philippines","Malta","2014.0","Export","53.0","1.88","16645.14","0.03"
"Philippines","Myanmar","2014.0","Export","75.0","2.66","18740.81","0.03"
"Philippines","Mongolia","2014.0","Export","30.0","1.06","2235.69","0.0"
"Philippines","Northern Mariana Islands","2014.0","Export","49.0","1.74","2219.09","0.0"
"Philippines","Montenegro","2014.0","Export","3.0","0.11","0.47","0.0"
"Philippines","Mozambique","2014.0","Export","9.0","0.32","473.32","0.0"
"Philippines","Mauritania","2014.0","Export","2.0","0.07","12.8","0.0"
"Philippines","Mauritius","2014.0","Export","32.0","1.13","4583.9","0.01"
"Philippines","Malawi","2014.0","Export","8.0","0.28","149.45","0.0"
"Philippines","Malaysia","2014.0","Export","836.0","29.65","1161018.86","1.88"
"Philippines","North America","2014.0","Export","1436.0","50.92","9330347.01","15.1"
"Philippines","Namibia","2014.0","Export","4.0","0.14","147.91","0.0"
