"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Poland","Aruba","2014.0","Export","52.0","1.18","512.93","0.0"
"Poland","Afghanistan","2014.0","Export","98.0","2.22","12536.75","0.01"
"Poland","Angola","2014.0","Export","541.0","12.27","37146.04","0.02"
"Poland","Anguila","2014.0","Export","11.0","0.25","57.37","0.0"
"Poland","Albania","2014.0","Export","625.0","14.18","54581.99","0.03"
"Poland","Andorra","2014.0","Export","59.0","1.34","1972.16","0.0"
"Poland","United Arab Emirates","2014.0","Export","1509.0","34.23","1127810.06","0.53"
"Poland","Argentina","2014.0","Export","382.0","8.66","123206.41","0.06"
"Poland","Armenia","2014.0","Export","1029.0","23.34","49318.88","0.02"
"Poland","American Samoa","2014.0","Export","","","",""
"Poland","Antarctica","2014.0","Export","461.0","10.46","306.93","0.0"
"Poland","Fr. So. Ant. Tr","2014.0","Export","104.0","2.36","6354.44","0.0"
"Poland","Antigua and Barbuda","2014.0","Export","29.0","0.66","187314.42","0.09"
"Poland","Australia","2014.0","Export","1385.0","31.41","649342.36","0.3"
"Poland","Austria","2014.0","Export","2591.0","58.77","3620230.63","1.69"
"Poland","Azerbaijan","2014.0","Export","1262.0","28.62","140308.64","0.07"
"Poland","Burundi","2014.0","Export","58.0","1.32","472.64","0.0"
"Poland","Belgium","2014.0","Export","2599.0","58.95","4846214.57","2.26"
"Poland","Benin","2014.0","Export","82.0","1.86","60571.67","0.03"
"Poland","Bonaire","2014.0","Export","7.0","0.16","169.77","0.0"
"Poland","Burkina Faso","2014.0","Export","121.0","2.74","1106.75","0.0"
"Poland","Bangladesh","2014.0","Export","158.0","3.58","28316.4","0.01"
"Poland","Bulgaria","2014.0","Export","2319.0","52.6","933393.81","0.44"
"Poland","Bahrain","2014.0","Export","276.0","6.26","27858.64","0.01"
"Poland","Bahamas, The","2014.0","Export","140.0","3.18","441654.07","0.21"
"Poland","Bosnia and Herzegovina","2014.0","Export","1484.0","33.66","221826.17","0.1"
"Poland","Belarus","2014.0","Export","3023.0","68.56","2155560.79","1.0"
"Poland","Belize","2014.0","Export","77.0","1.75","15138.74","0.01"
"Poland","Bermuda","2014.0","Export","12.0","0.27","90.02","0.0"
"Poland","Bolivia","2014.0","Export","146.0","3.31","4450.59","0.0"
"Poland","Brazil","2014.0","Export","943.0","21.39","531368.22","0.25"
"Poland","Barbados","2014.0","Export","33.0","0.75","45049.98","0.02"
"Poland","Brunei","2014.0","Export","130.0","2.95","981.01","0.0"
"Poland","Bhutan","2014.0","Export","14.0","0.32","89.88","0.0"
"Poland","Bunkers","2014.0","Export","234.0","5.31","110490.72","0.05"
"Poland","Bouvet Island","2014.0","Export","1.0","0.02","2.03","0.0"
"Poland","Botswana","2014.0","Export","72.0","1.63","781.73","0.0"
"Poland","Central African Republic","2014.0","Export","11.0","0.25","436.71","0.0"
"Poland","Canada","2014.0","Export","1522.0","34.52","1280293.68","0.6"
"Poland","Cocos (Keeling) Islands","2014.0","Export","1.0","0.02","0.21","0.0"
"Poland","Switzerland","2014.0","Export","2352.0","53.35","1882945.29","0.88"
"Poland","Chile","2014.0","Export","695.0","15.76","85338.83","0.04"
"Poland","China","2014.0","Export","1806.0","40.96","2251000.17","1.05"
"Poland","Cote d'Ivoire","2014.0","Export","198.0","4.49","18036.85","0.01"
"Poland","Cameroon","2014.0","Export","188.0","4.26","20634.13","0.01"
"Poland","Congo, Rep.","2014.0","Export","208.0","4.72","29741.01","0.01"
"Poland","Cook Islands","2014.0","Export","","","",""
"Poland","Colombia","2014.0","Export","489.0","11.09","62217.4","0.03"
"Poland","Comoros","2014.0","Export","4.0","0.09","292.98","0.0"
