"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Portugal","Aruba","2014.0","Export","48.0","1.14","1569.01","0.0"
"Portugal","Afghanistan","2014.0","Export","17.0","0.4","709.02","0.0"
"Portugal","Angola","2014.0","Export","3606.0","85.37","4216514.36","6.59"
"Portugal","Anguila","2014.0","Export","2.0","0.05","51.22","0.0"
"Portugal","Albania","2014.0","Export","115.0","2.72","5032.96","0.01"
"Portugal","Andorra","2014.0","Export","265.0","6.27","5062.78","0.01"
"Portugal","United Arab Emirates","2014.0","Export","1138.0","26.94","164240.2","0.26"
"Portugal","Argentina","2014.0","Export","299.0","7.08","67603.87","0.11"
"Portugal","Armenia","2014.0","Export","167.0","3.95","4981.71","0.01"
"Portugal","American Samoa","2014.0","Export","1.0","0.02","54.92","0.0"
"Portugal","Antigua and Barbuda","2014.0","Export","20.0","0.47","533.94","0.0"
"Portugal","Australia","2014.0","Export","880.0","20.83","124375.47","0.19"
"Portugal","Austria","2014.0","Export","926.0","21.92","358329.09","0.56"
"Portugal","Azerbaijan","2014.0","Export","241.0","5.71","5240.84","0.01"
"Portugal","Burundi","2014.0","Export","23.0","0.54","256.11","0.0"
"Portugal","Belgium","2014.0","Export","1815.0","42.97","1729703.4","2.7"
"Portugal","Benin","2014.0","Export","163.0","3.86","8997.13","0.01"
"Portugal","Bonaire","2014.0","Export","140.0","3.31","1264.23","0.0"
"Portugal","Burkina Faso","2014.0","Export","163.0","3.86","9931.05","0.02"
"Portugal","Bangladesh","2014.0","Export","100.0","2.37","8324.03","0.01"
"Portugal","Bulgaria","2014.0","Export","645.0","15.27","88274.31","0.14"
"Portugal","Bahrain","2014.0","Export","272.0","6.44","9612.29","0.01"
"Portugal","Bahamas, The","2014.0","Export","45.0","1.07","96991.96","0.15"
"Portugal","Bosnia and Herzegovina","2014.0","Export","72.0","1.7","2454.71","0.0"
"Portugal","Belarus","2014.0","Export","74.0","1.75","10376.31","0.02"
"Portugal","Belize","2014.0","Export","12.0","0.28","361.06","0.0"
"Portugal","Bermuda","2014.0","Export","38.0","0.9","408.32","0.0"
"Portugal","Bolivia","2014.0","Export","159.0","3.76","12268.47","0.02"
"Portugal","Brazil","2014.0","Export","1628.0","38.54","848792.05","1.33"
"Portugal","Barbados","2014.0","Export","17.0","0.4","2140.83","0.0"
"Portugal","Brunei","2014.0","Export","12.0","0.28","4816.97","0.01"
"Portugal","Bhutan","2014.0","Export","","","",""
"Portugal","Bunkers","2014.0","Export","363.0","8.59","1499885.94","2.34"
"Portugal","Botswana","2014.0","Export","2.0","0.05","104.23","0.0"
"Portugal","Central African Republic","2014.0","Export","14.0","0.33","87.53","0.0"
"Portugal","Canada","2014.0","Export","1136.0","26.89","342720.38","0.54"
"Portugal","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Portugal","Switzerland","2014.0","Export","2002.0","47.4","570481.62","0.89"
"Portugal","Chile","2014.0","Export","705.0","16.69","119916.73","0.19"
"Portugal","China","2014.0","Export","1179.0","27.91","1114026.05","1.74"
"Portugal","Cote d'Ivoire","2014.0","Export","365.0","8.64","25180.81","0.04"
"Portugal","Cameroon","2014.0","Export","451.0","10.68","36854.71","0.06"
"Portugal","Congo, Rep.","2014.0","Export","925.0","21.9","63090.11","0.1"
"Portugal","Colombia","2014.0","Export","594.0","14.06","84726.29","0.13"
