"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Qatar","Afghanistan","2014.0","Export","2.0","1.32","669.57","0.0"
"Qatar","Angola","2014.0","Export","2.0","1.32","27337.68","0.02"
"Qatar","Albania","2014.0","Export","1.0","0.66","4864.61","0.0"
"Qatar","United Arab Emirates","2014.0","Export","100.0","65.79","6680315.79","5.08"
"Qatar","Argentina","2014.0","Export","3.0","1.97","539937.93","0.41"
"Qatar","Armenia","2014.0","Export","1.0","0.66","25.63","0.0"
"Qatar","Antigua and Barbuda","2014.0","Export","","","",""
"Qatar","Australia","2014.0","Export","5.0","3.29","610650.27","0.46"
"Qatar","Austria","2014.0","Export","7.0","4.61","33907.84","0.03"
"Qatar","Azerbaijan","2014.0","Export","2.0","1.32","32.82","0.0"
"Qatar","Burundi","2014.0","Export","1.0","0.66","1.0","0.0"
"Qatar","Belgium","2014.0","Export","12.0","7.89","1329685.4","1.01"
"Qatar","Benin","2014.0","Export","1.0","0.66","289.99","0.0"
"Qatar","Burkina Faso","2014.0","Export","1.0","0.66","60.93","0.0"
"Qatar","Bangladesh","2014.0","Export","5.0","3.29","325738.31","0.25"
"Qatar","Bulgaria","2014.0","Export","2.0","1.32","2269.07","0.0"
"Qatar","Bahrain","2014.0","Export","28.0","18.42","365111.77","0.28"
"Qatar","Bahamas, The","2014.0","Export","","","",""
"Qatar","Bosnia and Herzegovina","2014.0","Export","2.0","1.32","7357.05","0.01"
"Qatar","Belarus","2014.0","Export","1.0","0.66","9380.03","0.01"
"Qatar","Bolivia","2014.0","Export","1.0","0.66","135.53","0.0"
"Qatar","Brazil","2014.0","Export","5.0","3.29","309677.78","0.24"
"Qatar","Brunei","2014.0","Export","1.0","0.66","2118.21","0.0"
"Qatar","Bhutan","2014.0","Export","1.0","0.66","97.29","0.0"
"Qatar","Botswana","2014.0","Export","1.0","0.66","921.61","0.0"
"Qatar","Canada","2014.0","Export","9.0","5.92","18855.83","0.01"
"Qatar","Switzerland","2014.0","Export","13.0","8.55","137704.66","0.1"
"Qatar","Chile","2014.0","Export","2.0","1.32","6412.62","0.0"
"Qatar","China","2014.0","Export","16.0","10.53","10109150.41","7.68"
"Qatar","Cote d'Ivoire","2014.0","Export","1.0","0.66","28701.99","0.02"
"Qatar","Cameroon","2014.0","Export","3.0","1.97","3810.2","0.0"
"Qatar","Congo, Rep.","2014.0","Export","1.0","0.66","1361.07","0.0"
"Qatar","Colombia","2014.0","Export","1.0","0.66","12978.78","0.01"
"Qatar","Comoros","2014.0","Export","1.0","0.66","40.26","0.0"
"Qatar","Cape Verde","2014.0","Export","1.0","0.66","237.09","0.0"
"Qatar","Costa Rica","2014.0","Export","1.0","0.66","5536.04","0.0"
"Qatar","Cuba","2014.0","Export","1.0","0.66","13.2","0.0"
"Qatar","Curaçao","2014.0","Export","","","",""
"Qatar","Cyprus","2014.0","Export","1.0","0.66","1838.46","0.0"
"Qatar","Czech Republic","2014.0","Export","3.0","1.97","9776.72","0.01"
"Qatar","Germany","2014.0","Export","23.0","15.13","195029.26","0.15"
"Qatar","Djibouti","2014.0","Export","1.0","0.66","338.43","0.0"
"Qatar","Denmark","2014.0","Export","8.0","5.26","47722.6","0.04"
"Qatar","Dominican Republic","2014.0","Export","2.0","1.32","32734.6","0.02"
"Qatar","Algeria","2014.0","Export","2.0","1.32","75586.95","0.06"
"Qatar","East Asia & Pacific","2014.0","Export","36.0","23.68","83803580.66","63.68"
"Qatar","Europe & Central Asia","2014.0","Export","79.0","51.97","11598860.38","8.81"
"Qatar","Ecuador","2014.0","Export","2.0","1.32","5174.23","0.0"
"Qatar","Egypt, Arab Rep.","2014.0","Export","11.0","7.24","82287.07","0.06"
"Qatar","Eritrea","2014.0","Export","1.0","0.66","696.06","0.0"
"Qatar","Spain","2014.0","Export","9.0","5.92","1372811.02","1.04"
"Qatar","Estonia","2014.0","Export","","","",""
"Qatar","Ethiopia(excludes Eritrea)","2014.0","Export","1.0","0.66","11356.36","0.01"
"Qatar","Finland","2014.0","Export","3.0","1.97","64685.08","0.05"
"Qatar","Fiji","2014.0","Export","1.0","0.66","1550.3","0.0"
"Qatar","France","2014.0","Export","28.0","18.42","1264207.76","0.96"
"Qatar","Gabon","2014.0","Export","1.0","0.66","527.18","0.0"
"Qatar","United Kingdom","2014.0","Export","32.0","21.05","3027826.13","2.3"
"Qatar","Georgia","2014.0","Export","2.0","1.32","115.31","0.0"
"Qatar","Ghana","2014.0","Export","1.0","0.66","11825.71","0.01"
"Qatar","Gibraltar","2014.0","Export","1.0","0.66","77117.45","0.06"
"Qatar","Guinea","2014.0","Export","2.0","1.32","16521.3","0.01"
"Qatar","Gambia, The","2014.0","Export","1.0","0.66","191.47","0.0"
"Qatar","Guinea-Bissau","2014.0","Export","1.0","0.66","833.45","0.0"
"Qatar","Greece","2014.0","Export","6.0","3.95","49971.26","0.04"
"Qatar","Guatemala","2014.0","Export","1.0","0.66","1554.9","0.0"
"Qatar","Hong Kong, China","2014.0","Export","7.0","4.61","17550.29","0.01"
"Qatar","Honduras","2014.0","Export","1.0","0.66","276.31","0.0"
"Qatar","Croatia","2014.0","Export","1.0","0.66","7811.92","0.01"
"Qatar","Haiti","2014.0","Export","1.0","0.66","181.17","0.0"
"Qatar","Hungary","2014.0","Export","1.0","0.66","3442.52","0.0"
"Qatar","Indonesia","2014.0","Export","5.0","3.29","1348919.67","1.03"
"Qatar","India","2014.0","Export","30.0","19.74","16739734.29","12.72"
"Qatar","Ireland","2014.0","Export","2.0","1.32","9929.93","0.01"
"Qatar","Iran, Islamic Rep.","2014.0","Export","6.0","3.95","7297.72","0.01"
"Qatar","Iraq","2014.0","Export","5.0","3.29","167878.55","0.13"
"Qatar","Iceland","2014.0","Export","","","",""
"Qatar","Italy","2014.0","Export","17.0","11.18","1896163.64","1.44"
"Qatar","Jamaica","2014.0","Export","1.0","0.66","941.67","0.0"
"Qatar","Jordan","2014.0","Export","16.0","10.53","311256.15","0.24"
"Qatar","Japan","2014.0","Export","8.0","5.26","33288665.69","25.3"
"Qatar","Kazakhstan","2014.0","Export","2.0","1.32","82.34","0.0"
"Qatar","Kenya","2014.0","Export","4.0","2.63","38282.62","0.03"
"Qatar","Kyrgyz Republic","2014.0","Export","2.0","1.32","13.83","0.0"
"Qatar","Cambodia","2014.0","Export","3.0","1.97","66286.95","0.05"
"Qatar","Korea, Rep.","2014.0","Export","14.0","9.21","24722646.9","18.79"
"Qatar","Kuwait","2014.0","Export","30.0","19.74","772660.81","0.59"
"Qatar","Lao PDR","2014.0","Export","","","",""
"Qatar","Lebanon","2014.0","Export","13.0","8.55","35291.34","0.03"
"Qatar","Liberia","2014.0","Export","1.0","0.66","235.64","0.0"
"Qatar","Libya","2014.0","Export","2.0","1.32","7766.31","0.01"
"Qatar","Latin America & Caribbean","2014.0","Export","9.0","5.92","1520821.93","1.16"
"Qatar","Sri Lanka","2014.0","Export","4.0","2.63","88159.18","0.07"
"Qatar","Lesotho","2014.0","Export","","","",""
"Qatar","Lithuania","2014.0","Export","1.0","0.66","8981.71","0.01"
"Qatar","Luxembourg","2014.0","Export","2.0","1.32","20090.15","0.02"
"Qatar","Latvia","2014.0","Export","","","",""
"Qatar","Macao","2014.0","Export","1.0","0.66","0.37","0.0"
"Qatar","Morocco","2014.0","Export","4.0","2.63","73261.3","0.06"
"Qatar","Moldova","2014.0","Export","1.0","0.66","6.69","0.0"
"Qatar","Madagascar","2014.0","Export","2.0","1.32","57890.85","0.04"
"Qatar","Maldives","2014.0","Export","5.0","3.29","6843.3","0.01"
"Qatar","Middle East & North Africa","2014.0","Export","134.0","88.16","10258088.8","7.8"
"Qatar","Mexico","2014.0","Export","4.0","2.63","561274.54","0.43"
"Qatar","Macedonia, FYR","2014.0","Export","1.0","0.66","162.93","0.0"
"Qatar","Mali","2014.0","Export","1.0","0.66","908.26","0.0"
"Qatar","Malta","2014.0","Export","1.0","0.66","951.2","0.0"
"Qatar","Myanmar","2014.0","Export","3.0","1.97","7735.03","0.01"
"Qatar","Mozambique","2014.0","Export","3.0","1.97","2999.86","0.0"
"Qatar","Mauritania","2014.0","Export","3.0","1.97","810.02","0.0"
"Qatar","Mauritius","2014.0","Export","1.0","0.66","2600.82","0.0"
"Qatar","Malawi","2014.0","Export","1.0","0.66","5322.54","0.0"
"Qatar","Malaysia","2014.0","Export","9.0","5.92","684967.85","0.52"
"Qatar","North America","2014.0","Export","40.0","26.32","564307.55","0.43"
"Qatar","Namibia","2014.0","Export","","","",""
"Qatar","New Caledonia","2014.0","Export","1.0","0.66","30.03","0.0"
"Qatar","Niger","2014.0","Export","1.0","0.66","112.89","0.0"
"Qatar","Nigeria","2014.0","Export","1.0","0.66","50270.59","0.04"
"Qatar","Netherlands","2014.0","Export","19.0","12.5","433869.89","0.33"
"Qatar","Norway","2014.0","Export","4.0","2.63","5999.25","0.0"
"Qatar","Nepal","2014.0","Export","1.0","0.66","11989.81","0.01"
"Qatar","Nauru","2014.0","Export","1.0","0.66","6.82","0.0"
"Qatar","New Zealand","2014.0","Export","3.0","1.97","504507.04","0.38"
"Qatar","Other Asia, nes","2014.0","Export","4.0","2.63","4469420.38","3.4"
"Qatar","Oman","2014.0","Export","20.0","13.16","475295.28","0.36"
"Qatar","Pakistan","2014.0","Export","9.0","5.92","244318.56","0.19"
"Qatar","Panama","2014.0","Export","2.0","1.32","941.74","0.0"
"Qatar","Peru","2014.0","Export","1.0","0.66","32909.84","0.03"
"Qatar","Philippines","2014.0","Export","6.0","3.95","719452.03","0.55"
"Qatar","Papua New Guinea","2014.0","Export","1.0","0.66","21.2","0.0"
"Qatar","Poland","2014.0","Export","3.0","1.97","20343.87","0.02"
