"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Romania","Aruba","2014.0","Export","4.0","0.1","17.87","0.0"
"Romania","Afghanistan","2014.0","Export","24.0","0.6","53749.38","0.08"
"Romania","Angola","2014.0","Export","48.0","1.2","32528.51","0.05"
"Romania","Albania","2014.0","Export","516.0","12.93","52224.78","0.07"
"Romania","Andorra","2014.0","Export","13.0","0.33","409.76","0.0"
"Romania","United Arab Emirates","2014.0","Export","724.0","18.15","355158.44","0.51"
"Romania","Argentina","2014.0","Export","131.0","3.28","41578.43","0.06"
"Romania","Armenia","2014.0","Export","109.0","2.73","7682.79","0.01"
"Romania","Fr. So. Ant. Tr","2014.0","Export","7.0","0.18","17.73","0.0"
"Romania","Antigua and Barbuda","2014.0","Export","13.0","0.33","81.03","0.0"
"Romania","Australia","2014.0","Export","463.0","11.6","49414.48","0.07"
"Romania","Austria","2014.0","Export","1497.0","37.52","1654041.3","2.37"
"Romania","Azerbaijan","2014.0","Export","186.0","4.66","68845.86","0.1"
"Romania","Burundi","2014.0","Export","2.0","0.05","94.61","0.0"
"Romania","Belgium","2014.0","Export","1474.0","36.94","1187982.54","1.7"
"Romania","Benin","2014.0","Export","10.0","0.25","1374.6","0.0"
"Romania","Burkina Faso","2014.0","Export","37.0","0.93","1073.25","0.0"
"Romania","Bangladesh","2014.0","Export","82.0","2.06","19636.71","0.03"
"Romania","Bulgaria","2014.0","Export","2515.0","63.03","2359220.39","3.38"
"Romania","Bahrain","2014.0","Export","80.0","2.0","5920.04","0.01"
"Romania","Bahamas, The","2014.0","Export","7.0","0.18","6493.55","0.01"
"Romania","Bosnia and Herzegovina","2014.0","Export","402.0","10.08","132484.59","0.19"
"Romania","Belarus","2014.0","Export","290.0","7.27","33153.85","0.05"
"Romania","Belize","2014.0","Export","3.0","0.08","3.54","0.0"
"Romania","Bermuda","2014.0","Export","4.0","0.1","7.48","0.0"
"Romania","Bolivia","2014.0","Export","65.0","1.63","806.46","0.0"
"Romania","Brazil","2014.0","Export","377.0","9.45","359023.19","0.51"
"Romania","Barbados","2014.0","Export","","","",""
"Romania","Brunei","2014.0","Export","25.0","0.63","421.33","0.0"
"Romania","Botswana","2014.0","Export","13.0","0.33","158.92","0.0"
"Romania","Central African Republic","2014.0","Export","8.0","0.2","347.67","0.0"
"Romania","Canada","2014.0","Export","622.0","15.59","207840.34","0.3"
"Romania","Switzerland","2014.0","Export","1210.0","30.33","398819.36","0.57"
"Romania","Chile","2014.0","Export","165.0","4.14","22659.35","0.03"
"Romania","China","2014.0","Export","785.0","19.67","759441.43","1.09"
"Romania","Cote d'Ivoire","2014.0","Export","61.0","1.53","7809.45","0.01"
"Romania","Cameroon","2014.0","Export","45.0","1.13","4262.2","0.01"
"Romania","Congo, Rep.","2014.0","Export","191.0","4.79","18366.25","0.03"
"Romania","Cook Islands","2014.0","Export","1.0","0.03","0.51","0.0"
"Romania","Colombia","2014.0","Export","188.0","4.71","134234.21","0.19"
"Romania","Comoros","2014.0","Export","","","",""
"Romania","Cape Verde","2014.0","Export","29.0","0.73","10.87","0.0"
"Romania","Costa Rica","2014.0","Export","32.0","0.8","980.1","0.0"
"Romania","Cuba","2014.0","Export","15.0","0.38","2302.84","0.0"
"Romania","Curaçao","2014.0","Export","4.0","0.1","46.3","0.0"
"Romania","Cayman Islands","2014.0","Export","3.0","0.08","21.85","0.0"
"Romania","Cyprus","2014.0","Export","460.0","11.53","76823.31","0.11"
"Romania","Czech Republic","2014.0","Export","1262.0","31.63","1570476.24","2.25"
"Romania","Germany","2014.0","Export","2434.0","61.0","13440965.84","19.23"
"Romania","Djibouti","2014.0","Export","5.0","0.13","40968.53","0.06"
"Romania","Dominica","2014.0","Export","1.0","0.03","0.41","0.0"
"Romania","Denmark","2014.0","Export","680.0","17.04","283871.19","0.41"
"Romania","Dominican Republic","2014.0","Export","31.0","0.78","1375.58","0.0"
"Romania","Algeria","2014.0","Export","271.0","6.79","529509.08","0.76"
"Romania","East Asia & Pacific","2014.0","Export","1379.0","34.56","1822929.57","2.61"
"Romania","Europe & Central Asia","2014.0","Export","3958.0","99.2","59561427.96","85.24"
"Romania","Ecuador","2014.0","Export","78.0","1.95","51372.09","0.07"
"Romania","Egypt, Arab Rep.","2014.0","Export","440.0","11.03","794163.74","1.14"
"Romania","Eritrea","2014.0","Export","1.0","0.03","760.79","0.0"
"Romania","Spain","2014.0","Export","1445.0","36.22","1841042.11","2.63"
"Romania","Estonia","2014.0","Export","424.0","10.63","95530.42","0.14"
"Romania","Ethiopia(excludes Eritrea)","2014.0","Export","41.0","1.03","27712.18","0.04"
"Romania","Finland","2014.0","Export","468.0","11.73","185051.48","0.26"
"Romania","Fiji","2014.0","Export","5.0","0.13","125.69","0.0"
"Romania","Falkland Island","2014.0","Export","","","",""
"Romania","France","2014.0","Export","1943.0","48.7","4733135.49","6.77"
"Romania","Faeroe Islands","2014.0","Export","3.0","0.08","857.67","0.0"
"Romania","Micronesia, Fed. Sts.","2014.0","Export","1.0","0.03","1.44","0.0"
"Romania","Gabon","2014.0","Export","75.0","1.88","13318.65","0.02"
"Romania","United Kingdom","2014.0","Export","1652.0","41.4","2860453.21","4.09"
"Romania","Georgia","2014.0","Export","278.0","6.97","331073.72","0.47"
"Romania","Ghana","2014.0","Export","52.0","1.3","6420.71","0.01"
"Romania","Gibraltar","2014.0","Export","14.0","0.35","62744.63","0.09"
"Romania","Guinea","2014.0","Export","48.0","1.2","3769.53","0.01"
"Romania","Gambia, The","2014.0","Export","14.0","0.35","311.14","0.0"
"Romania","Guinea-Bissau","2014.0","Export","2.0","0.05","64.66","0.0"
"Romania","Equatorial Guinea","2014.0","Export","73.0","1.83","1709.43","0.0"
"Romania","Greece","2014.0","Export","1446.0","36.24","980925.23","1.4"
"Romania","Greenland","2014.0","Export","1.0","0.03","0.41","0.0"
"Romania","Guatemala","2014.0","Export","18.0","0.45","1244.39","0.0"
"Romania","Guam","2014.0","Export","2.0","0.05","10.36","0.0"
"Romania","Guyana","2014.0","Export","3.0","0.08","8.54","0.0"
"Romania","Hong Kong, China","2014.0","Export","380.0","9.52","65128.03","0.09"
"Romania","Honduras","2014.0","Export","4.0","0.1","71.97","0.0"
"Romania","Croatia","2014.0","Export","949.0","23.78","177461.77","0.25"
"Romania","Haiti","2014.0","Export","4.0","0.1","212.16","0.0"
