"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Russian Federation","Afghanistan","2013.0","Export","245.0","5.7","630974.17","0.12"
"Russian Federation","Angola","2013.0","Export","244.0","5.68","95099.13","0.02"
"Russian Federation","Anguila","2013.0","Export","4.0","0.09","29401.2","0.01"
"Russian Federation","Albania","2013.0","Export","34.0","0.79","49951.35","0.01"
"Russian Federation","Andorra","2013.0","Export","","","",""
"Russian Federation","United Arab Emirates","2013.0","Export","951.0","22.12","2092976.31","0.4"
"Russian Federation","Argentina","2013.0","Export","172.0","4.0","400128.8","0.08"
"Russian Federation","Armenia","2013.0","Export","1670.0","38.85","468421.37","0.09"
"Russian Federation","American Samoa","2013.0","Export","","","",""
"Russian Federation","Fr. So. Ant. Tr","2013.0","Export","","","",""
"Russian Federation","Antigua and Barbuda","2013.0","Export","2.0","0.05","100.0","0.0"
"Russian Federation","Australia","2013.0","Export","308.0","7.16","72034.87","0.01"
"Russian Federation","Austria","2013.0","Export","476.0","11.07","278775.08","0.05"
"Russian Federation","Azerbaijan","2013.0","Export","1900.0","44.2","2942532.16","0.56"
"Russian Federation","Burundi","2013.0","Export","2.0","0.05","4136.82","0.0"
"Russian Federation","Belgium","2013.0","Export","581.0","13.51","7726441.25","1.47"
"Russian Federation","Benin","2013.0","Export","10.0","0.23","2152.95","0.0"
"Russian Federation","Burkina Faso","2013.0","Export","78.0","1.81","5235.23","0.0"
"Russian Federation","Bangladesh","2013.0","Export","121.0","2.81","256334.13","0.05"
"Russian Federation","Bulgaria","2013.0","Export","882.0","20.52","1774528.53","0.34"
"Russian Federation","Bahrain","2013.0","Export","36.0","0.84","12992.55","0.0"
"Russian Federation","Bahamas, The","2013.0","Export","5.0","0.12","13399.39","0.0"
"Russian Federation","Bosnia and Herzegovina","2013.0","Export","180.0","4.19","614697.17","0.12"
"Russian Federation","Belarus","2013.0","Export","3810.0","88.63","16870227.72","3.2"
"Russian Federation","Belize","2013.0","Export","51.0","1.19","16268.0","0.0"
"Russian Federation","Bermuda","2013.0","Export","1.0","0.02","29.33","0.0"
"Russian Federation","Bolivia","2013.0","Export","14.0","0.33","4245.41","0.0"
"Russian Federation","Brazil","2013.0","Export","322.0","7.49","1984660.46","0.38"
"Russian Federation","Barbados","2013.0","Export","2.0","0.05","121874.0","0.02"
"Russian Federation","Brunei","2013.0","Export","2.0","0.05","1.57","0.0"
"Russian Federation","Bhutan","2013.0","Export","","","",""
"Russian Federation","Botswana","2013.0","Export","18.0","0.42","17204.12","0.0"
"Russian Federation","Central African Republic","2013.0","Export","1.0","0.02","0.22","0.0"
"Russian Federation","Canada","2013.0","Export","604.0","14.05","471420.57","0.09"
"Russian Federation","Cocos (Keeling) Islands","2013.0","Export","","","",""
"Russian Federation","Switzerland","2013.0","Export","547.0","12.72","8656011.79","1.64"
"Russian Federation","Chile","2013.0","Export","115.0","2.67","48804.6","0.01"
"Russian Federation","China","2013.0","Export","1239.0","28.82","35625419.98","6.76"
"Russian Federation","Cote d'Ivoire","2013.0","Export","43.0","1.0","59308.48","0.01"
"Russian Federation","Cameroon","2013.0","Export","75.0","1.74","18947.07","0.0"
"Russian Federation","Congo, Rep.","2013.0","Export","42.0","0.98","5741.47","0.0"
"Russian Federation","Cook Islands","2013.0","Export","1.0","0.02","9205.37","0.0"
"Russian Federation","Colombia","2013.0","Export","357.0","8.3","230016.78","0.04"
"Russian Federation","Comoros","2013.0","Export","2.0","0.05","100.0","0.0"
"Russian Federation","Cape Verde","2013.0","Export","","","",""
"Russian Federation","Costa Rica","2013.0","Export","33.0","0.77","50332.22","0.01"
"Russian Federation","Cuba","2013.0","Export","598.0","13.91","157495.37","0.03"
"Russian Federation","Curaçao","2013.0","Export","10.0","0.23","8.43","0.0"
"Russian Federation","Christmas Island","2013.0","Export","","","",""
"Russian Federation","Cayman Islands","2013.0","Export","","","",""
"Russian Federation","Cyprus","2013.0","Export","247.0","5.75","1923269.31","0.36"
"Russian Federation","Czech Republic","2013.0","Export","1013.0","23.56","4320995.75","0.82"
"Russian Federation","Germany","2013.0","Export","1904.0","44.29","22962139.22","4.35"
"Russian Federation","Djibouti","2013.0","Export","40.0","0.93","716.23","0.0"
"Russian Federation","Dominica","2013.0","Export","3.0","0.07","278.96","0.0"
"Russian Federation","Denmark","2013.0","Export","286.0","6.65","1351822.53","0.26"
"Russian Federation","Dominican Republic","2013.0","Export","33.0","0.77","11386.48","0.0"
"Russian Federation","Algeria","2013.0","Export","359.0","8.35","1584801.1","0.3"
