"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Rwanda","Aruba","2014.0","Export","","","",""
"Rwanda","Angola","2014.0","Export","1.0","0.09","5.64","0.0"
"Rwanda","Anguila","2014.0","Export","","","",""
"Rwanda","Albania","2014.0","Export","","","",""
"Rwanda","Andorra","2014.0","Export","","","",""
"Rwanda","United Arab Emirates","2014.0","Export","46.0","4.01","12952.21","1.98"
"Rwanda","Argentina","2014.0","Export","","","",""
"Rwanda","Armenia","2014.0","Export","","","",""
"Rwanda","American Samoa","2014.0","Export","","","",""
"Rwanda","Australia","2014.0","Export","5.0","0.44","520.31","0.08"
"Rwanda","Austria","2014.0","Export","4.0","0.35","23642.24","3.62"
"Rwanda","Azerbaijan","2014.0","Export","","","",""
"Rwanda","Burundi","2014.0","Export","309.0","26.96","19286.96","2.95"
"Rwanda","Belgium","2014.0","Export","39.0","3.4","7643.96","1.17"
"Rwanda","Benin","2014.0","Export","1.0","0.09","7.67","0.0"
"Rwanda","Burkina Faso","2014.0","Export","2.0","0.17","2.15","0.0"
"Rwanda","Bangladesh","2014.0","Export","1.0","0.09","3.99","0.0"
"Rwanda","Bulgaria","2014.0","Export","","","",""
"Rwanda","Bahrain","2014.0","Export","","","",""
"Rwanda","Bosnia and Herzegovina","2014.0","Export","","","",""
"Rwanda","Belarus","2014.0","Export","","","",""
"Rwanda","Belize","2014.0","Export","","","",""
"Rwanda","Bolivia","2014.0","Export","","","",""
"Rwanda","Brazil","2014.0","Export","2.0","0.17","8.55","0.0"
"Rwanda","Barbados","2014.0","Export","","","",""
"Rwanda","Brunei","2014.0","Export","","","",""
"Rwanda","Botswana","2014.0","Export","","","",""
"Rwanda","Central African Republic","2014.0","Export","1.0","0.09","0.11","0.0"
"Rwanda","Canada","2014.0","Export","14.0","1.22","74.97","0.01"
"Rwanda","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Rwanda","Switzerland","2014.0","Export","12.0","1.05","23166.69","3.55"
"Rwanda","Chile","2014.0","Export","","","",""
"Rwanda","China","2014.0","Export","16.0","1.4","8011.34","1.23"
"Rwanda","Cote d'Ivoire","2014.0","Export","6.0","0.52","74.95","0.01"
"Rwanda","Cameroon","2014.0","Export","1.0","0.09","1.45","0.0"
"Rwanda","Congo, Rep.","2014.0","Export","8.0","0.7","227.13","0.03"
"Rwanda","Colombia","2014.0","Export","","","",""
"Rwanda","Cape Verde","2014.0","Export","","","",""
"Rwanda","Costa Rica","2014.0","Export","","","",""
"Rwanda","Cuba","2014.0","Export","","","",""
"Rwanda","Curaçao","2014.0","Export","","","",""
"Rwanda","Cayman Islands","2014.0","Export","","","",""
"Rwanda","Cyprus","2014.0","Export","","","",""
"Rwanda","Czech Republic","2014.0","Export","","","",""
"Rwanda","Germany","2014.0","Export","37.0","3.23","4025.72","0.62"
"Rwanda","Djibouti","2014.0","Export","2.0","0.17","41.82","0.01"
"Rwanda","Denmark","2014.0","Export","","","",""
"Rwanda","Dominican Republic","2014.0","Export","","","",""
"Rwanda","Algeria","2014.0","Export","","","",""
"Rwanda","East Asia & Pacific","2014.0","Export","49.0","4.28","25377.76","3.88"
"Rwanda","Europe & Central Asia","2014.0","Export","143.0","12.48","77638.26","11.88"
"Rwanda","Ecuador","2014.0","Export","","","",""
"Rwanda","Egypt, Arab Rep.","2014.0","Export","4.0","0.35","28.82","0.0"
"Rwanda","Spain","2014.0","Export","5.0","0.44","121.26","0.02"
"Rwanda","Estonia","2014.0","Export","","","",""
"Rwanda","Ethiopia(excludes Eritrea)","2014.0","Export","6.0","0.52","3947.06","0.6"
"Rwanda","Finland","2014.0","Export","","","",""
"Rwanda","France","2014.0","Export","23.0","2.01","7165.49","1.1"
"Rwanda","Gabon","2014.0","Export","2.0","0.17","1.95","0.0"
"Rwanda","United Kingdom","2014.0","Export","42.0","3.66","5555.01","0.85"
"Rwanda","Georgia","2014.0","Export","","","",""
"Rwanda","Ghana","2014.0","Export","6.0","0.52","1.1","0.0"
"Rwanda","Guinea","2014.0","Export","","","",""
"Rwanda","Greece","2014.0","Export","2.0","0.17","17.41","0.0"
"Rwanda","Guatemala","2014.0","Export","","","",""
"Rwanda","Guam","2014.0","Export","","","",""
"Rwanda","Hong Kong, China","2014.0","Export","18.0","1.57","3946.5","0.6"
"Rwanda","Honduras","2014.0","Export","","","",""
"Rwanda","Croatia","2014.0","Export","","","",""
"Rwanda","Haiti","2014.0","Export","1.0","0.09","0.84","0.0"
"Rwanda","Hungary","2014.0","Export","","","",""
"Rwanda","Indonesia","2014.0","Export","2.0","0.17","4.64","0.0"
"Rwanda","India","2014.0","Export","21.0","1.83","758.3","0.12"
"Rwanda","British Indian Ocean Ter.","2014.0","Export","","","",""
"Rwanda","Ireland","2014.0","Export","1.0","0.09","0.5","0.0"
"Rwanda","Iran, Islamic Rep.","2014.0","Export","","","",""
"Rwanda","Iraq","2014.0","Export","","","",""
"Rwanda","Iceland","2014.0","Export","1.0","0.09","30.32","0.0"
"Rwanda","Israel","2014.0","Export","3.0","0.26","100.36","0.02"
"Rwanda","Italy","2014.0","Export","6.0","0.52","2679.54","0.41"
"Rwanda","Jamaica","2014.0","Export","1.0","0.09","0.81","0.0"
"Rwanda","Jordan","2014.0","Export","","","",""
"Rwanda","Japan","2014.0","Export","13.0","1.13","1831.99","0.28"
"Rwanda","Kenya","2014.0","Export","205.0","17.89","74257.18","11.37"
"Rwanda","Kyrgyz Republic","2014.0","Export","","","",""
"Rwanda","Cambodia","2014.0","Export","","","",""
"Rwanda","Kiribati","2014.0","Export","","","",""
"Rwanda","Korea, Rep.","2014.0","Export","8.0","0.7","326.78","0.05"
"Rwanda","Kuwait","2014.0","Export","1.0","0.09","0.4","0.0"
"Rwanda","Lao PDR","2014.0","Export","","","",""
"Rwanda","Lebanon","2014.0","Export","1.0","0.09","0.5","0.0"
"Rwanda","Liberia","2014.0","Export","","","",""
"Rwanda","Latin America & Caribbean","2014.0","Export","6.0","0.52","24.87","0.0"
"Rwanda","Sri Lanka","2014.0","Export","1.0","0.09","0.01","0.0"
"Rwanda","Lesotho","2014.0","Export","","","",""
"Rwanda","Lithuania","2014.0","Export","","","",""
"Rwanda","Luxembourg","2014.0","Export","3.0","0.26","967.84","0.15"
"Rwanda","Latvia","2014.0","Export","","","",""
"Rwanda","Macao","2014.0","Export","1.0","0.09","0.38","0.0"
"Rwanda","Morocco","2014.0","Export","1.0","0.09","12.27","0.0"
"Rwanda","Moldova","2014.0","Export","","","",""
"Rwanda","Madagascar","2014.0","Export","","","",""
"Rwanda","Middle East & North Africa","2014.0","Export","60.0","5.24","15617.56","2.39"
"Rwanda","Mexico","2014.0","Export","","","",""
"Rwanda","Marshall Islands","2014.0","Export","","","",""
"Rwanda","Mali","2014.0","Export","2.0","0.17","2.22","0.0"
"Rwanda","Malta","2014.0","Export","","","",""
"Rwanda","Mozambique","2014.0","Export","4.0","0.35","1.25","0.0"
"Rwanda","Mauritania","2014.0","Export","","","",""
"Rwanda","Mauritius","2014.0","Export","3.0","0.26","72.25","0.01"
"Rwanda","Malawi","2014.0","Export","4.0","0.35","96.62","0.01"
"Rwanda","Malaysia","2014.0","Export","1.0","0.09","2728.89","0.42"
"Rwanda","North America","2014.0","Export","56.0","4.89","21489.51","3.29"
"Rwanda","Namibia","2014.0","Export","","","",""
"Rwanda","New Caledonia","2014.0","Export","","","",""
"Rwanda","Niger","2014.0","Export","","","",""
"Rwanda","Norfolk Island","2014.0","Export","","","",""
"Rwanda","Nigeria","2014.0","Export","5.0","0.44","18.61","0.0"
"Rwanda","Niue","2014.0","Export","","","",""
"Rwanda","Netherlands","2014.0","Export","23.0","2.01","1216.89","0.19"
"Rwanda","Norway","2014.0","Export","3.0","0.26","358.08","0.05"
"Rwanda","Nepal","2014.0","Export","1.0","0.09","0.8","0.0"
"Rwanda","New Zealand","2014.0","Export","","","",""
"Rwanda","Other Asia, nes","2014.0","Export","3.0","0.26","59.03","0.01"
"Rwanda","Oman","2014.0","Export","","","",""
"Rwanda","Pakistan","2014.0","Export","2.0","0.17","19.36","0.0"
"Rwanda","Panama","2014.0","Export","","","",""
"Rwanda","Philippines","2014.0","Export","1.0","0.09","42.32","0.01"
"Rwanda","Poland","2014.0","Export","","","",""
"Rwanda","Korea, Dem. Rep.","2014.0","Export","2.0","0.17","130.45","0.02"
"Rwanda","Portugal","2014.0","Export","","","",""
"Rwanda","Paraguay","2014.0","Export","","","",""
"Rwanda","Qatar","2014.0","Export","2.0","0.17","69.53","0.01"
"Rwanda","Romania","2014.0","Export","","","",""
"Rwanda","Russian Federation","2014.0","Export","","","",""
"Rwanda","South Asia","2014.0","Export","23.0","2.01","782.45","0.12"
"Rwanda","Saudi Arabia","2014.0","Export","2.0","0.17","2359.22","0.36"
"Rwanda","Senegal","2014.0","Export","1.0","0.09","4.82","0.0"
"Rwanda","Serbia, FR(Serbia/Montenegro)","2014.0","Export","","","",""
"Rwanda","Singapore","2014.0","Export","4.0","0.35","7816.76","1.2"
"Rwanda","Sierra Leone","2014.0","Export","10.0","0.87","12.02","0.0"
"Rwanda","El Salvador","2014.0","Export","","","",""
"Rwanda","San Marino","2014.0","Export","","","",""
"Rwanda","Somalia","2014.0","Export","1.0","0.09","22.72","0.0"
"Rwanda","South Sudan","2014.0","Export","5.0","0.44","152.61","0.02"
"Rwanda","Sub-Saharan Africa","2014.0","Export","1060.0","92.5","512221.66","78.4"
"Rwanda","Sudan","2014.0","Export","7.0","0.61","153.59","0.02"
"Rwanda","Suriname","2014.0","Export","","","",""
"Rwanda","Slovak Republic","2014.0","Export","3.0","0.26","6.51","0.0"
"Rwanda","Slovenia","2014.0","Export","","","",""
"Rwanda","Sweden","2014.0","Export","8.0","0.7","189.34","0.03"
"Rwanda","Swaziland","2014.0","Export","2.0","0.17","472.98","0.07"
"Rwanda","Seychelles","2014.0","Export","","","",""
"Rwanda","Syrian Arab Republic","2014.0","Export","","","",""
"Rwanda","Turks and Caicos Isl.","2014.0","Export","3.0","0.26","12.03","0.0"
"Rwanda","Chad","2014.0","Export","1.0","0.09","24.18","0.0"
"Rwanda","Togo","2014.0","Export","1.0","0.09","1.61","0.0"
"Rwanda","Thailand","2014.0","Export","2.0","0.17","14.59","0.0"
"Rwanda","Tokelau","2014.0","Export","1.0","0.09","0.2","0.0"
"Rwanda","Tunisia","2014.0","Export","7.0","0.61","52.42","0.01"
"Rwanda","Turkey","2014.0","Export","2.0","0.17","851.45","0.13"
"Rwanda","Tanzania","2014.0","Export","150.0","13.09","181473.26","27.78"
"Rwanda","Uganda","2014.0","Export","352.0","30.72","78058.04","11.95"
"Rwanda","Ukraine","2014.0","Export","","","",""
"Rwanda","United States Minor Outlying I","2014.0","Export","","","",""
"Rwanda","United States","2014.0","Export","48.0","4.19","21414.54","3.28"
"Rwanda","Uzbekistan","2014.0","Export","","","",""
"Rwanda","Holy See","2014.0","Export","","","",""
"Rwanda","St. Vincent and the Grenadines","2014.0","Export","1.0","0.09","2.64","0.0"
"Rwanda","British Virgin Islands","2014.0","Export","","","",""
"Rwanda","Vietnam","2014.0","Export","1.0","0.09","2.8","0.0"
"Rwanda"," World","2014.0","Export","1146.0","100.0","653364.88","100.0"
"Rwanda","South Africa","2014.0","Export","33.0","2.88","360.8","0.06"
"Rwanda","Congo, Dem. Rep.","2014.0","Export","580.0","50.61","153606.9","23.51"
"Rwanda","Zambia","2014.0","Export","3.0","0.26","20.42","0.0"
"Rwanda","Zimbabwe","2014.0","Export","3.0","0.26","7.0","0.0"
