"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Samoa","United Arab Emirates","2014.0","Export","","","",""
"Samoa","Armenia","2014.0","Export","1.0","0.22","0.09","0.0"
"Samoa","American Samoa","2014.0","Export","198.0","43.04","3204.1","6.29"
"Samoa","Australia","2014.0","Export","47.0","10.22","29462.46","57.86"
"Samoa","Austria","2014.0","Export","","","",""
"Samoa","Belgium","2014.0","Export","1.0","0.22","0.21","0.0"
"Samoa","Bangladesh","2014.0","Export","","","",""
"Samoa","Bahamas, The","2014.0","Export","1.0","0.22","763.69","1.5"
"Samoa","Brazil","2014.0","Export","","","",""
"Samoa","Canada","2014.0","Export","","","",""
"Samoa","Switzerland","2014.0","Export","","","",""
"Samoa","Chile","2014.0","Export","","","",""
"Samoa","China","2014.0","Export","3.0","0.65","7.67","0.02"
"Samoa","Cote d'Ivoire","2014.0","Export","","","",""
"Samoa","Cameroon","2014.0","Export","","","",""
"Samoa","Cook Islands","2014.0","Export","37.0","8.04","71.92","0.14"
"Samoa","Colombia","2014.0","Export","","","",""
"Samoa","Curaçao","2014.0","Export","","","",""
"Samoa","Czech Republic","2014.0","Export","","","",""
"Samoa","Germany","2014.0","Export","6.0","1.3","207.04","0.41"
"Samoa","Denmark","2014.0","Export","","","",""
"Samoa","East Asia & Pacific","2014.0","Export","424.0","92.17","46196.49","90.72"
"Samoa","Europe & Central Asia","2014.0","Export","15.0","3.26","375.45","0.74"
"Samoa","Ecuador","2014.0","Export","","","",""
"Samoa","Egypt, Arab Rep.","2014.0","Export","","","",""
"Samoa","Spain","2014.0","Export","","","",""
"Samoa","Finland","2014.0","Export","","","",""
"Samoa","Fiji","2014.0","Export","21.0","4.57","1540.06","3.02"
"Samoa","France","2014.0","Export","7.0","1.52","6.55","0.01"
"Samoa","Micronesia, Fed. Sts.","2014.0","Export","","","",""
"Samoa","United Kingdom","2014.0","Export","2.0","0.43","116.07","0.23"
"Samoa","Georgia","2014.0","Export","","","",""
"Samoa","Greece","2014.0","Export","","","",""
"Samoa","Guam","2014.0","Export","","","",""
"Samoa","Hong Kong, China","2014.0","Export","","","",""
"Samoa","Hungary","2014.0","Export","","","",""
"Samoa","Indonesia","2014.0","Export","","","",""
"Samoa","India","2014.0","Export","","","",""
"Samoa","Ireland","2014.0","Export","","","",""
"Samoa","Iraq","2014.0","Export","","","",""
"Samoa","Iceland","2014.0","Export","1.0","0.22","37.83","0.07"
"Samoa","Israel","2014.0","Export","","","",""
"Samoa","Italy","2014.0","Export","","","",""
"Samoa","Jamaica","2014.0","Export","","","",""
"Samoa","Japan","2014.0","Export","7.0","1.52","140.82","0.28"
"Samoa","Kazakhstan","2014.0","Export","1.0","0.22","7.67","0.02"
"Samoa","Cambodia","2014.0","Export","","","",""
"Samoa","Korea, Rep.","2014.0","Export","3.0","0.65","35.71","0.07"
"Samoa","Kuwait","2014.0","Export","","","",""
"Samoa","Lebanon","2014.0","Export","","","",""
"Samoa","Latin America & Caribbean","2014.0","Export","1.0","0.22","763.69","1.5"
"Samoa","Sri Lanka","2014.0","Export","","","",""
"Samoa","Middle East & North Africa","2014.0","Export","","","",""
"Samoa","Mexico","2014.0","Export","","","",""
"Samoa","Mozambique","2014.0","Export","","","",""
"Samoa","Mauritania","2014.0","Export","","","",""
"Samoa","Mauritius","2014.0","Export","","","",""
"Samoa","Malaysia","2014.0","Export","2.0","0.43","87.03","0.17"
"Samoa","North America","2014.0","Export","19.0","4.13","1926.31","3.78"
"Samoa","Namibia","2014.0","Export","1.0","0.22","20.92","0.04"
"Samoa","New Caledonia","2014.0","Export","2.0","0.43","3.74","0.01"
"Samoa","Niger","2014.0","Export","","","",""
"Samoa","Niue","2014.0","Export","1.0","0.22","0.2","0.0"
"Samoa","Netherlands","2014.0","Export","","","",""
"Samoa","Nauru","2014.0","Export","","","",""
"Samoa","New Zealand","2014.0","Export","237.0","51.52","9741.78","19.13"
"Samoa","Other Asia, nes","2014.0","Export","2.0","0.43","211.93","0.42"
"Samoa","Pakistan","2014.0","Export","","","",""
"Samoa","Panama","2014.0","Export","","","",""
"Samoa","Peru","2014.0","Export","","","",""
"Samoa","Philippines","2014.0","Export","1.0","0.22","0.08","0.0"
"Samoa","Papua New Guinea","2014.0","Export","","","",""
"Samoa","Poland","2014.0","Export","","","",""
"Samoa","Korea, Dem. Rep.","2014.0","Export","1.0","0.22","10.66","0.02"
"Samoa","French Polynesia","2014.0","Export","2.0","0.43","116.3","0.23"
"Samoa","Romania","2014.0","Export","","","",""
"Samoa","South Asia","2014.0","Export","","","",""
"Samoa","Saudi Arabia","2014.0","Export","","","",""
"Samoa","Senegal","2014.0","Export","","","",""
"Samoa","Singapore","2014.0","Export","5.0","1.09","1776.97","3.49"
"Samoa","Solomon Islands","2014.0","Export","2.0","0.43","2.07","0.0"
"Samoa","El Salvador","2014.0","Export","","","",""
"Samoa","Somalia","2014.0","Export","","","",""
"Samoa","Sub-Saharan Africa","2014.0","Export","1.0","0.22","20.92","0.04"
"Samoa","Slovak Republic","2014.0","Export","","","",""
"Samoa","Slovenia","2014.0","Export","","","",""
"Samoa","Sweden","2014.0","Export","","","",""
"Samoa","Swaziland","2014.0","Export","","","",""
"Samoa","Thailand","2014.0","Export","1.0","0.22","0.45","0.0"
"Samoa","Tokelau","2014.0","Export","32.0","6.96","1354.71","2.66"
"Samoa","Tonga","2014.0","Export","9.0","1.96","54.57","0.11"
"Samoa","Tunisia","2014.0","Export","","","",""
"Samoa","Turkey","2014.0","Export","","","",""
"Samoa","Unspecified","2014.0","Export","","","0.0","0.0"
"Samoa","United States","2014.0","Export","19.0","4.13","1926.31","3.78"
"Samoa","Uzbekistan","2014.0","Export","","","",""
"Samoa","British Virgin Islands","2014.0","Export","","","",""
"Samoa","Vietnam","2014.0","Export","1.0","0.22","11.79","0.02"
"Samoa","Vanuatu","2014.0","Export","1.0","0.22","0.22","0.0"
"Samoa"," World","2014.0","Export","460.0","100.0","50921.62","100.0"
