"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Sao Tome and Principe","Angola","2014.0","Export","86.0","35.98","208.05","1.98"
"Sao Tome and Principe","Andorra","2014.0","Export","","","",""
"Sao Tome and Principe","United Arab Emirates","2014.0","Export","","","",""
"Sao Tome and Principe","Argentina","2014.0","Export","","","",""
"Sao Tome and Principe","Antigua and Barbuda","2014.0","Export","","","",""
"Sao Tome and Principe","Australia","2014.0","Export","","","",""
"Sao Tome and Principe","Austria","2014.0","Export","","","",""
"Sao Tome and Principe","Belgium","2014.0","Export","1.0","0.42","2518.95","24.0"
"Sao Tome and Principe","Benin","2014.0","Export","","","",""
"Sao Tome and Principe","Brazil","2014.0","Export","74.0","30.96","64.09","0.61"
"Sao Tome and Principe","Canada","2014.0","Export","","","",""
"Sao Tome and Principe","Switzerland","2014.0","Export","7.0","2.93","433.56","4.13"
"Sao Tome and Principe","China","2014.0","Export","2.0","0.84","9.01","0.09"
"Sao Tome and Principe","Cameroon","2014.0","Export","13.0","5.44","233.11","2.22"
"Sao Tome and Principe","Cape Verde","2014.0","Export","18.0","7.53","36.21","0.34"
"Sao Tome and Principe","Curaçao","2014.0","Export","1.0","0.42","63.81","0.61"
"Sao Tome and Principe","Czech Republic","2014.0","Export","6.0","2.51","8.99","0.09"
"Sao Tome and Principe","Germany","2014.0","Export","5.0","2.09","754.94","7.19"
"Sao Tome and Principe","Denmark","2014.0","Export","","","",""
"Sao Tome and Principe","Dominican Republic","2014.0","Export","","","",""
"Sao Tome and Principe","Algeria","2014.0","Export","1.0","0.42","43.29","0.41"
"Sao Tome and Principe","East Asia & Pacific","2014.0","Export","2.0","0.84","9.75","0.09"
"Sao Tome and Principe","Europe & Central Asia","2014.0","Export","116.0","48.54","9706.46","92.47"
"Sao Tome and Principe","Ecuador","2014.0","Export","","","",""
"Sao Tome and Principe","Spain","2014.0","Export","2.0","0.84","2089.81","19.91"
"Sao Tome and Principe","Finland","2014.0","Export","","","",""
"Sao Tome and Principe","France","2014.0","Export","42.0","17.57","1400.59","13.34"
"Sao Tome and Principe","Gabon","2014.0","Export","12.0","5.02","18.72","0.18"
"Sao Tome and Principe","United Kingdom","2014.0","Export","","","",""
"Sao Tome and Principe","Ghana","2014.0","Export","","","",""
"Sao Tome and Principe","Equatorial Guinea","2014.0","Export","","","",""
"Sao Tome and Principe","Hong Kong, China","2014.0","Export","1.0","0.42","0.75","0.01"
"Sao Tome and Principe","Indonesia","2014.0","Export","","","",""
"Sao Tome and Principe","India","2014.0","Export","","","",""
"Sao Tome and Principe","Ireland","2014.0","Export","","","",""
"Sao Tome and Principe","Iceland","2014.0","Export","","","",""
"Sao Tome and Principe","Italy","2014.0","Export","6.0","2.51","122.76","1.17"
"Sao Tome and Principe","Japan","2014.0","Export","","","",""
"Sao Tome and Principe","Lebanon","2014.0","Export","","","",""
"Sao Tome and Principe","Latin America & Caribbean","2014.0","Export","74.0","30.96","64.09","0.61"
"Sao Tome and Principe","Macao","2014.0","Export","","","",""
"Sao Tome and Principe","Middle East & North Africa","2014.0","Export","1.0","0.42","43.29","0.41"
"Sao Tome and Principe","Malaysia","2014.0","Export","","","",""
"Sao Tome and Principe","North America","2014.0","Export","5.0","2.09","70.2","0.67"
"Sao Tome and Principe","Namibia","2014.0","Export","","","",""
"Sao Tome and Principe","Nigeria","2014.0","Export","24.0","10.04","43.58","0.42"
"Sao Tome and Principe","Netherlands","2014.0","Export","5.0","2.09","2224.38","21.19"
"Sao Tome and Principe","New Zealand","2014.0","Export","","","",""
"Sao Tome and Principe","Other Asia, nes","2014.0","Export","","","",""
"Sao Tome and Principe","Pakistan","2014.0","Export","","","",""
"Sao Tome and Principe","Panama","2014.0","Export","","","",""
"Sao Tome and Principe","Philippines","2014.0","Export","","","",""
"Sao Tome and Principe","Poland","2014.0","Export","","","",""
"Sao Tome and Principe","Korea, Dem. Rep.","2014.0","Export","","","",""
"Sao Tome and Principe","Portugal","2014.0","Export","76.0","31.8","113.42","1.08"
"Sao Tome and Principe","Paraguay","2014.0","Export","","","",""
"Sao Tome and Principe","South Asia","2014.0","Export","","","",""
"Sao Tome and Principe","Saudi Arabia","2014.0","Export","","","",""
"Sao Tome and Principe","Singapore","2014.0","Export","","","",""
"Sao Tome and Principe","Sub-Saharan Africa","2014.0","Export","125.0","52.3","539.75","5.14"
"Sao Tome and Principe","Sweden","2014.0","Export","1.0","0.42","39.06","0.37"
"Sao Tome and Principe","Swaziland","2014.0","Export","","","",""
"Sao Tome and Principe","Turks and Caicos Isl.","2014.0","Export","","","",""
"Sao Tome and Principe","Togo","2014.0","Export","","","",""
"Sao Tome and Principe","Thailand","2014.0","Export","","","",""
"Sao Tome and Principe","East Timor","2014.0","Export","","","",""
"Sao Tome and Principe","Tunisia","2014.0","Export","","","",""
"Sao Tome and Principe","Turkey","2014.0","Export","","","",""
"Sao Tome and Principe","United States","2014.0","Export","5.0","2.09","70.2","0.67"
"Sao Tome and Principe","Holy See","2014.0","Export","","","",""
"Sao Tome and Principe"," World","2014.0","Export","239.0","100.0","10497.36","100.0"
"Sao Tome and Principe","South Africa","2014.0","Export","1.0","0.42","0.08","0.0"
