"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Senegal","Aruba","2014.0","Export","","","",""
"Senegal","Afghanistan","2014.0","Export","2.0","0.12","95.89","0.0"
"Senegal","Angola","2014.0","Export","39.0","2.26","774.88","0.03"
"Senegal","Albania","2014.0","Export","16.0","0.93","4248.42","0.15"
"Senegal","Andorra","2014.0","Export","1.0","0.06","2.31","0.0"
"Senegal","United Arab Emirates","2014.0","Export","112.0","6.49","165507.75","5.88"
"Senegal","Argentina","2014.0","Export","1.0","0.06","46.47","0.0"
"Senegal","Armenia","2014.0","Export","4.0","0.23","215.77","0.01"
"Senegal","Antigua and Barbuda","2014.0","Export","7.0","0.41","822.52","0.03"
"Senegal","Australia","2014.0","Export","12.0","0.69","99.83","0.0"
"Senegal","Austria","2014.0","Export","2.0","0.12","235.61","0.01"
"Senegal","Azerbaijan","2014.0","Export","","","",""
"Senegal","Burundi","2014.0","Export","6.0","0.35","6.32","0.0"
"Senegal","Belgium","2014.0","Export","117.0","6.77","38921.46","1.38"
"Senegal","Benin","2014.0","Export","135.0","7.82","35481.66","1.26"
"Senegal","Burkina Faso","2014.0","Export","210.0","12.16","65025.58","2.31"
"Senegal","Bangladesh","2014.0","Export","1.0","0.06","5224.45","0.19"
"Senegal","Bulgaria","2014.0","Export","22.0","1.27","2959.49","0.11"
"Senegal","Bahrain","2014.0","Export","3.0","0.17","187.04","0.01"
"Senegal","Bahamas, The","2014.0","Export","","","",""
"Senegal","Bosnia and Herzegovina","2014.0","Export","","","",""
"Senegal","Belarus","2014.0","Export","2.0","0.12","255.49","0.01"
"Senegal","Bermuda","2014.0","Export","2.0","0.12","60.77","0.0"
"Senegal","Brazil","2014.0","Export","24.0","1.39","3217.58","0.11"
"Senegal","Brunei","2014.0","Export","56.0","3.24","659.59","0.02"
"Senegal","Bunkers","2014.0","Export","169.0","9.79","234190.67","8.32"
"Senegal","Botswana","2014.0","Export","2.0","0.12","237.5","0.01"
"Senegal","Central African Republic","2014.0","Export","24.0","1.39","3812.72","0.14"
"Senegal","Canada","2014.0","Export","61.0","3.53","664.02","0.02"
"Senegal","Switzerland","2014.0","Export","45.0","2.61","272323.87","9.68"
"Senegal","Chile","2014.0","Export","1.0","0.06","10.12","0.0"
"Senegal","China","2014.0","Export","64.0","3.71","40210.77","1.43"
"Senegal","Cote d'Ivoire","2014.0","Export","313.0","18.12","102002.52","3.63"
"Senegal","Cameroon","2014.0","Export","115.0","6.66","65436.53","2.33"
"Senegal","Congo, Rep.","2014.0","Export","165.0","9.55","42735.17","1.52"
"Senegal","Cook Islands","2014.0","Export","1.0","0.06","0.9","0.0"
"Senegal","Colombia","2014.0","Export","14.0","0.81","23.23","0.0"
"Senegal","Comoros","2014.0","Export","9.0","0.52","524.99","0.02"
"Senegal","Cape Verde","2014.0","Export","","","",""
"Senegal","Costa Rica","2014.0","Export","5.0","0.29","152.18","0.01"
"Senegal","Cuba","2014.0","Export","1.0","0.06","1.43","0.0"
"Senegal","Cyprus","2014.0","Export","3.0","0.17","923.38","0.03"
"Senegal","Czech Republic","2014.0","Export","4.0","0.23","204.26","0.01"
"Senegal","Germany","2014.0","Export","74.0","4.28","9382.54","0.33"
"Senegal","Djibouti","2014.0","Export","2.0","0.12","53.61","0.0"
"Senegal","Denmark","2014.0","Export","12.0","0.69","405.37","0.01"
"Senegal","Dominican Republic","2014.0","Export","4.0","0.23","202.08","0.01"
"Senegal","Algeria","2014.0","Export","17.0","0.98","708.55","0.03"
"Senegal","East Asia & Pacific","2014.0","Export","174.0","10.08","145509.82","5.17"
"Senegal","Europe & Central Asia","2014.0","Export","887.0","51.36","764321.17","27.16"
"Senegal","Ecuador","2014.0","Export","2.0","0.12","54.46","0.0"
"Senegal","Egypt, Arab Rep.","2014.0","Export","5.0","0.29","178.14","0.01"
"Senegal","Spain","2014.0","Export","190.0","11.0","76259.21","2.71"
"Senegal","Estonia","2014.0","Export","","","",""
"Senegal","Ethiopia(excludes Eritrea)","2014.0","Export","19.0","1.1","199.98","0.01"
"Senegal","Finland","2014.0","Export","8.0","0.46","31.96","0.0"
"Senegal","Falkland Island","2014.0","Export","","","",""
"Senegal","France","2014.0","Export","556.0","32.19","129402.75","4.6"
"Senegal","Gabon","2014.0","Export","100.0","5.79","17288.99","0.61"
"Senegal","United Kingdom","2014.0","Export","197.0","11.41","43650.94","1.55"
"Senegal","Georgia","2014.0","Export","19.0","1.1","486.21","0.02"
"Senegal","Ghana","2014.0","Export","98.0","5.67","9598.06","0.34"
"Senegal","Gibraltar","2014.0","Export","1.0","0.06","10331.55","0.37"
"Senegal","Guinea","2014.0","Export","393.0","22.76","112981.8","4.02"
"Senegal","Gambia, The","2014.0","Export","362.0","20.96","93199.39","3.31"
"Senegal","Guinea-Bissau","2014.0","Export","377.0","21.83","90467.51","3.22"
"Senegal","Equatorial Guinea","2014.0","Export","27.0","1.56","12837.47","0.46"
"Senegal","Greece","2014.0","Export","21.0","1.22","10281.96","0.37"
"Senegal","Guatemala","2014.0","Export","","","",""
"Senegal","Guyana","2014.0","Export","3.0","0.17","12.46","0.0"
"Senegal","Hong Kong, China","2014.0","Export","25.0","1.45","3780.44","0.13"
"Senegal","Honduras","2014.0","Export","1.0","0.06","86.4","0.0"
"Senegal","Croatia","2014.0","Export","","","",""
"Senegal","Haiti","2014.0","Export","23.0","1.33","780.31","0.03"
"Senegal","Hungary","2014.0","Export","2.0","0.12","168.9","0.01"
"Senegal","Indonesia","2014.0","Export","9.0","0.52","1453.35","0.05"
"Senegal","India","2014.0","Export","49.0","2.84","60780.29","2.16"
"Senegal","Ireland","2014.0","Export","3.0","0.17","128.58","0.0"
"Senegal","Iran, Islamic Rep.","2014.0","Export","4.0","0.23","549.45","0.02"
"Senegal","Iceland","2014.0","Export","1.0","0.06","340.57","0.01"
"Senegal","Israel","2014.0","Export","5.0","0.29","2987.46","0.11"
"Senegal","Italy","2014.0","Export","138.0","7.99","76057.17","2.7"
"Senegal","Jordan","2014.0","Export","1.0","0.06","24.52","0.0"
"Senegal","Japan","2014.0","Export","25.0","1.45","6405.79","0.23"
"Senegal","Kazakhstan","2014.0","Export","1.0","0.06","27.26","0.0"
"Senegal","Kenya","2014.0","Export","37.0","2.14","4241.02","0.15"
