"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Serbia, FR(Serbia/Montenegro)","Afghanistan","2014.0","Export","12.0","0.32","5103.96","0.03"
"Serbia, FR(Serbia/Montenegro)","Angola","2014.0","Export","374.0","9.86","16466.41","0.11"
"Serbia, FR(Serbia/Montenegro)","Albania","2014.0","Export","775.0","20.43","127208.86","0.86"
"Serbia, FR(Serbia/Montenegro)","Andorra","2014.0","Export","1.0","0.03","13.39","0.0"
"Serbia, FR(Serbia/Montenegro)","United Arab Emirates","2014.0","Export","245.0","6.46","20574.7","0.14"
"Serbia, FR(Serbia/Montenegro)","Argentina","2014.0","Export","18.0","0.47","3664.74","0.02"
"Serbia, FR(Serbia/Montenegro)","Armenia","2014.0","Export","38.0","1.0","1704.84","0.01"
"Serbia, FR(Serbia/Montenegro)","Fr. So. Ant. Tr","2014.0","Export","1.0","0.03","73.47","0.0"
"Serbia, FR(Serbia/Montenegro)","Antigua and Barbuda","2014.0","Export","","","",""
"Serbia, FR(Serbia/Montenegro)","Australia","2014.0","Export","249.0","6.56","10400.53","0.07"
"Serbia, FR(Serbia/Montenegro)","Austria","2014.0","Export","1036.0","27.31","352082.39","2.37"
"Serbia, FR(Serbia/Montenegro)","Azerbaijan","2014.0","Export","169.0","4.46","15728.55","0.11"
"Serbia, FR(Serbia/Montenegro)","Burundi","2014.0","Export","1.0","0.03","429.87","0.0"
"Serbia, FR(Serbia/Montenegro)","Belgium","2014.0","Export","559.0","14.74","213081.29","1.44"
"Serbia, FR(Serbia/Montenegro)","Benin","2014.0","Export","17.0","0.45","25.64","0.0"
"Serbia, FR(Serbia/Montenegro)","Burkina Faso","2014.0","Export","1.0","0.03","22.04","0.0"
"Serbia, FR(Serbia/Montenegro)","Bangladesh","2014.0","Export","143.0","3.77","5864.51","0.04"
"Serbia, FR(Serbia/Montenegro)","Bulgaria","2014.0","Export","1070.0","28.21","384021.85","2.59"
"Serbia, FR(Serbia/Montenegro)","Bahrain","2014.0","Export","16.0","0.42","1307.66","0.01"
"Serbia, FR(Serbia/Montenegro)","Bahamas, The","2014.0","Export","1.0","0.03","4.66","0.0"
"Serbia, FR(Serbia/Montenegro)","Bosnia and Herzegovina","2014.0","Export","2968.0","78.25","1318985.15","8.89"
"Serbia, FR(Serbia/Montenegro)","Belarus","2014.0","Export","314.0","8.28","72786.74","0.49"
"Serbia, FR(Serbia/Montenegro)","Belize","2014.0","Export","5.0","0.13","1526.31","0.01"
"Serbia, FR(Serbia/Montenegro)","Bolivia","2014.0","Export","2.0","0.05","84.04","0.0"
"Serbia, FR(Serbia/Montenegro)","Brazil","2014.0","Export","40.0","1.05","9950.77","0.07"
"Serbia, FR(Serbia/Montenegro)","Barbados","2014.0","Export","","","",""
"Serbia, FR(Serbia/Montenegro)","Brunei","2014.0","Export","","","",""
"Serbia, FR(Serbia/Montenegro)","Bhutan","2014.0","Export","","","",""
"Serbia, FR(Serbia/Montenegro)","Botswana","2014.0","Export","20.0","0.53","180.28","0.0"
"Serbia, FR(Serbia/Montenegro)","Central African Republic","2014.0","Export","2.0","0.05","10.01","0.0"
"Serbia, FR(Serbia/Montenegro)","Canada","2014.0","Export","277.0","7.3","18200.24","0.12"
"Serbia, FR(Serbia/Montenegro)","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Serbia, FR(Serbia/Montenegro)","Switzerland","2014.0","Export","848.0","22.36","99216.59","0.67"
"Serbia, FR(Serbia/Montenegro)","Chile","2014.0","Export","53.0","1.4","4151.6","0.03"
"Serbia, FR(Serbia/Montenegro)","China","2014.0","Export","175.0","4.61","14205.68","0.1"
"Serbia, FR(Serbia/Montenegro)","Cote d'Ivoire","2014.0","Export","19.0","0.5","99.71","0.0"
"Serbia, FR(Serbia/Montenegro)","Cameroon","2014.0","Export","17.0","0.45","20428.7","0.14"
"Serbia, FR(Serbia/Montenegro)","Congo, Rep.","2014.0","Export","17.0","0.45","3120.07","0.02"
"Serbia, FR(Serbia/Montenegro)","Colombia","2014.0","Export","11.0","0.29","1226.34","0.01"
"Serbia, FR(Serbia/Montenegro)","Comoros","2014.0","Export","","","",""
"Serbia, FR(Serbia/Montenegro)","Cape Verde","2014.0","Export","1.0","0.03","10.55","0.0"
"Serbia, FR(Serbia/Montenegro)","Costa Rica","2014.0","Export","4.0","0.11","1602.31","0.01"
"Serbia, FR(Serbia/Montenegro)","Cuba","2014.0","Export","","","",""
"Serbia, FR(Serbia/Montenegro)","Cayman Islands","2014.0","Export","8.0","0.21","12.47","0.0"
"Serbia, FR(Serbia/Montenegro)","Cyprus","2014.0","Export","122.0","3.22","61900.02","0.42"
"Serbia, FR(Serbia/Montenegro)","Czech Republic","2014.0","Export","769.0","20.27","357533.06","2.41"
"Serbia, FR(Serbia/Montenegro)","Germany","2014.0","Export","1642.0","43.29","1773186.33","11.95"
"Serbia, FR(Serbia/Montenegro)","Dominica","2014.0","Export","","","",""
"Serbia, FR(Serbia/Montenegro)","Denmark","2014.0","Export","279.0","7.36","48011.6","0.32"
"Serbia, FR(Serbia/Montenegro)","Dominican Republic","2014.0","Export","17.0","0.45","149.03","0.0"
"Serbia, FR(Serbia/Montenegro)","Algeria","2014.0","Export","73.0","1.92","26631.23","0.18"
"Serbia, FR(Serbia/Montenegro)","East Asia & Pacific","2014.0","Export","589.0","15.53","152175.22","1.03"
