"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Singapore","Aruba","2014.0","Export","18.0","0.42","249.21","0.0"
"Singapore","Afghanistan","2014.0","Export","150.0","3.5","12797.05","0.0"
"Singapore","Angola","2014.0","Export","558.0","13.02","786173.13","0.19"
"Singapore","Anguila","2014.0","Export","","","",""
"Singapore","Albania","2014.0","Export","25.0","0.58","2416.23","0.0"
"Singapore","Andorra","2014.0","Export","62.0","1.45","2091.07","0.0"
"Singapore","United Arab Emirates","2014.0","Export","2037.0","47.54","6143177.57","1.5"
"Singapore","Argentina","2014.0","Export","484.0","11.3","280957.28","0.07"
"Singapore","Armenia","2014.0","Export","33.0","0.77","1152.15","0.0"
"Singapore","American Samoa","2014.0","Export","29.0","0.68","61642.82","0.01"
"Singapore","Antarctica","2014.0","Export","12.0","0.28","38.37","0.0"
"Singapore","Fr. So. Ant. Tr","2014.0","Export","1.0","0.02","4491.22","0.0"
"Singapore","Antigua and Barbuda","2014.0","Export","3.0","0.07","300667.39","0.07"
"Singapore","Australia","2014.0","Export","2634.0","61.47","15487028.17","3.78"
"Singapore","Austria","2014.0","Export","541.0","12.63","118457.58","0.03"
"Singapore","Azerbaijan","2014.0","Export","394.0","9.19","121750.89","0.03"
"Singapore","Burundi","2014.0","Export","8.0","0.19","931.51","0.0"
"Singapore","Belgium","2014.0","Export","1091.0","25.46","4954079.9","1.21"
"Singapore","Benin","2014.0","Export","118.0","2.75","16631.41","0.0"
"Singapore","Burkina Faso","2014.0","Export","25.0","0.58","3056.21","0.0"
"Singapore","Bangladesh","2014.0","Export","1936.0","45.18","3273435.67","0.8"
"Singapore","Bulgaria","2014.0","Export","152.0","3.55","25448.37","0.01"
"Singapore","Bahrain","2014.0","Export","517.0","12.07","160903.57","0.04"
"Singapore","Bahamas, The","2014.0","Export","78.0","1.82","1028692.54","0.25"
"Singapore","Bosnia and Herzegovina","2014.0","Export","46.0","1.07","1011.86","0.0"
"Singapore","Belarus","2014.0","Export","65.0","1.52","1964.54","0.0"
"Singapore","Belize","2014.0","Export","15.0","0.35","13507.7","0.0"
"Singapore","Bermuda","2014.0","Export","57.0","1.33","322866.41","0.08"
"Singapore","Bolivia","2014.0","Export","95.0","2.22","2377.69","0.0"
"Singapore","Brazil","2014.0","Export","1119.0","26.11","1595947.36","0.39"
"Singapore","Barbados","2014.0","Export","50.0","1.17","5657.95","0.0"
"Singapore","Brunei","2014.0","Export","2481.0","57.9","1897199.82","0.46"
"Singapore","Bhutan","2014.0","Export","219.0","5.11","5299.79","0.0"
"Singapore","Botswana","2014.0","Export","61.0","1.42","18051.07","0.0"
"Singapore","Central African Republic","2014.0","Export","4.0","0.09","61.48","0.0"
"Singapore","Canada","2014.0","Export","938.0","21.89","976622.79","0.24"
"Singapore","Cocos (Keeling) Islands","2014.0","Export","3.0","0.07","120.92","0.0"
"Singapore","Switzerland","2014.0","Export","763.0","17.81","1784643.81","0.44"
"Singapore","Chile","2014.0","Export","430.0","10.04","55663.31","0.01"
"Singapore","China","2014.0","Export","3000.0","70.01","51501102.0","12.57"
"Singapore","Cote d'Ivoire","2014.0","Export","369.0","8.61","27128.43","0.01"
"Singapore","Cameroon","2014.0","Export","262.0","6.11","49689.4","0.01"
"Singapore","Congo, Rep.","2014.0","Export","308.0","7.19","57029.82","0.01"
"Singapore","Cook Islands","2014.0","Export","39.0","0.91","24372.88","0.01"
"Singapore","Colombia","2014.0","Export","426.0","9.94","98783.24","0.02"
"Singapore","Comoros","2014.0","Export","26.0","0.61","2226.01","0.0"
"Singapore","Cape Verde","2014.0","Export","29.0","0.68","9837.17","0.0"
