"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Slovak Republic","Aruba","2014.0","Export","6.0","0.15","68.66","0.0"
"Slovak Republic","Afghanistan","2014.0","Export","40.0","1.02","1928.55","0.0"
"Slovak Republic","Angola","2014.0","Export","105.0","2.68","1938.99","0.0"
"Slovak Republic","Anguila","2014.0","Export","1.0","0.03","32.58","0.0"
"Slovak Republic","Albania","2014.0","Export","233.0","5.96","53163.58","0.06"
"Slovak Republic","Andorra","2014.0","Export","12.0","0.31","238.1","0.0"
"Slovak Republic","United Arab Emirates","2014.0","Export","501.0","12.81","201081.32","0.23"
"Slovak Republic","Argentina","2014.0","Export","125.0","3.2","32164.39","0.04"
"Slovak Republic","Armenia","2014.0","Export","110.0","2.81","6099.97","0.01"
"Slovak Republic","American Samoa","2014.0","Export","","","",""
"Slovak Republic","Antarctica","2014.0","Export","1.0","0.03","91.24","0.0"
"Slovak Republic","Fr. So. Ant. Tr","2014.0","Export","3.0","0.08","17.4","0.0"
"Slovak Republic","Antigua and Barbuda","2014.0","Export","2.0","0.05","10.3","0.0"
"Slovak Republic","Australia","2014.0","Export","431.0","11.02","326961.21","0.38"
"Slovak Republic","Austria","2014.0","Export","2166.0","55.37","5265055.58","6.13"
"Slovak Republic","Azerbaijan","2014.0","Export","171.0","4.37","27138.82","0.03"
"Slovak Republic","Burundi","2014.0","Export","1.0","0.03","3.86","0.0"
"Slovak Republic","Belgium","2014.0","Export","928.0","23.72","1303547.26","1.52"
"Slovak Republic","Benin","2014.0","Export","15.0","0.38","3794.83","0.0"
"Slovak Republic","Bonaire","2014.0","Export","2.0","0.05","64.66","0.0"
"Slovak Republic","Burkina Faso","2014.0","Export","8.0","0.2","96.38","0.0"
"Slovak Republic","Bangladesh","2014.0","Export","57.0","1.46","11633.49","0.01"
"Slovak Republic","Bulgaria","2014.0","Export","910.0","23.26","467849.35","0.54"
"Slovak Republic","Bahrain","2014.0","Export","48.0","1.23","11206.76","0.01"
"Slovak Republic","Bahamas, The","2014.0","Export","","","",""
"Slovak Republic","Bosnia and Herzegovina","2014.0","Export","679.0","17.36","101553.11","0.12"
"Slovak Republic","Belarus","2014.0","Export","908.0","23.21","137742.48","0.16"
"Slovak Republic","Belize","2014.0","Export","2.0","0.05","2.5","0.0"
"Slovak Republic","Bermuda","2014.0","Export","1.0","0.03","33.8","0.0"
"Slovak Republic","Bolivia","2014.0","Export","26.0","0.66","2054.27","0.0"
"Slovak Republic","Brazil","2014.0","Export","344.0","8.79","122310.48","0.14"
"Slovak Republic","Barbados","2014.0","Export","4.0","0.1","315.04","0.0"
"Slovak Republic","Brunei","2014.0","Export","2.0","0.05","901.5","0.0"
"Slovak Republic","Bhutan","2014.0","Export","2.0","0.05","139.47","0.0"
"Slovak Republic","Bunkers","2014.0","Export","2.0","0.05","3.67","0.0"
"Slovak Republic","Bouvet Island","2014.0","Export","","","",""
"Slovak Republic","Botswana","2014.0","Export","8.0","0.2","1078.29","0.0"
"Slovak Republic","Central African Republic","2014.0","Export","4.0","0.1","465.24","0.0"
"Slovak Republic","Canada","2014.0","Export","439.0","11.22","193802.25","0.23"
"Slovak Republic","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Slovak Republic","Switzerland","2014.0","Export","1271.0","32.49","1428754.75","1.66"
"Slovak Republic","Chile","2014.0","Export","130.0","3.32","24472.38","0.03"
"Slovak Republic","China","2014.0","Export","671.0","17.15","1824583.44","2.12"
"Slovak Republic","Cote d'Ivoire","2014.0","Export","26.0","0.66","1951.68","0.0"
"Slovak Republic","Cameroon","2014.0","Export","26.0","0.66","2503.39","0.0"
"Slovak Republic","Congo, Rep.","2014.0","Export","24.0","0.61","9896.8","0.01"
"Slovak Republic","Cook Islands","2014.0","Export","3.0","0.08","8.02","0.0"
"Slovak Republic","Colombia","2014.0","Export","112.0","2.86","22256.06","0.03"
"Slovak Republic","Comoros","2014.0","Export","1.0","0.03","5.22","0.0"
"Slovak Republic","Cape Verde","2014.0","Export","19.0","0.49","27.65","0.0"
"Slovak Republic","Costa Rica","2014.0","Export","31.0","0.79","3649.12","0.0"
"Slovak Republic","Cuba","2014.0","Export","38.0","0.97","8628.75","0.01"
"Slovak Republic","Curaçao","2014.0","Export","8.0","0.2","340.84","0.0"
"Slovak Republic","Christmas Island","2014.0","Export","","","",""
"Slovak Republic","Cayman Islands","2014.0","Export","2.0","0.05","220.3","0.0"
"Slovak Republic","Cyprus","2014.0","Export","418.0","10.69","76021.62","0.09"
"Slovak Republic","Czech Republic","2014.0","Export","3293.0","84.18","11008050.98","12.82"
"Slovak Republic","Germany","2014.0","Export","2408.0","61.55","18891275.31","22.0"
"Slovak Republic","Djibouti","2014.0","Export","3.0","0.08","9.15","0.0"
"Slovak Republic","Dominica","2014.0","Export","","","",""
