"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Slovenia","Aruba","2014.0","Export","7.0","0.17","9.6","0.0"
"Slovenia","Afghanistan","2014.0","Export","9.0","0.22","713.61","0.0"
"Slovenia","Angola","2014.0","Export","41.0","1.02","1626.7","0.01"
"Slovenia","Anguila","2014.0","Export","","","",""
"Slovenia","Albania","2014.0","Export","774.0","19.27","44543.06","0.15"
"Slovenia","Andorra","2014.0","Export","4.0","0.1","21.32","0.0"
"Slovenia","United Arab Emirates","2014.0","Export","462.0","11.5","85564.47","0.28"
"Slovenia","Argentina","2014.0","Export","120.0","2.99","26607.92","0.09"
"Slovenia","Armenia","2014.0","Export","236.0","5.88","11007.53","0.04"
"Slovenia","American Samoa","2014.0","Export","","","",""
"Slovenia","Antarctica","2014.0","Export","","","",""
"Slovenia","Fr. So. Ant. Tr","2014.0","Export","7.0","0.17","9.93","0.0"
"Slovenia","Antigua and Barbuda","2014.0","Export","1.0","0.02","3.9","0.0"
"Slovenia","Australia","2014.0","Export","541.0","13.47","92968.25","0.3"
"Slovenia","Austria","2014.0","Export","2354.0","58.6","2714215.24","8.89"
"Slovenia","Azerbaijan","2014.0","Export","205.0","5.1","23356.77","0.08"
"Slovenia","Burundi","2014.0","Export","2.0","0.05","164.72","0.0"
"Slovenia","Belgium","2014.0","Export","1111.0","27.66","331605.76","1.09"
"Slovenia","Benin","2014.0","Export","15.0","0.37","159.61","0.0"
"Slovenia","Bonaire","2014.0","Export","1.0","0.02","35.55","0.0"
"Slovenia","Burkina Faso","2014.0","Export","34.0","0.85","282.45","0.0"
"Slovenia","Bangladesh","2014.0","Export","40.0","1.0","3171.05","0.01"
"Slovenia","Bulgaria","2014.0","Export","1231.0","30.64","234442.25","0.77"
"Slovenia","Bahrain","2014.0","Export","153.0","3.81","3932.21","0.01"
"Slovenia","Bahamas, The","2014.0","Export","1.0","0.02","3.67","0.0"
"Slovenia","Bosnia and Herzegovina","2014.0","Export","2872.0","71.5","755873.45","2.48"
"Slovenia","Belarus","2014.0","Export","409.0","10.18","91318.31","0.3"
"Slovenia","Belize","2014.0","Export","6.0","0.15","214.14","0.0"
"Slovenia","Bermuda","2014.0","Export","2.0","0.05","25.99","0.0"
"Slovenia","Bolivia","2014.0","Export","69.0","1.72","207.3","0.0"
"Slovenia","Brazil","2014.0","Export","288.0","7.17","57468.72","0.19"
"Slovenia","Barbados","2014.0","Export","15.0","0.37","36.98","0.0"
"Slovenia","Brunei","2014.0","Export","3.0","0.07","5.88","0.0"
"Slovenia","Bunkers","2014.0","Export","6.0","0.15","3701.13","0.01"
"Slovenia","Bouvet Island","2014.0","Export","","","",""
"Slovenia","Botswana","2014.0","Export","7.0","0.17","64.18","0.0"
"Slovenia","Central African Republic","2014.0","Export","3.0","0.07","13.24","0.0"
"Slovenia","Canada","2014.0","Export","481.0","11.97","78697.58","0.26"
"Slovenia","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Slovenia","Switzerland","2014.0","Export","1308.0","32.56","500600.98","1.64"
"Slovenia","Chile","2014.0","Export","220.0","5.48","28088.92","0.09"
"Slovenia","China","2014.0","Export","639.0","15.91","186481.66","0.61"
"Slovenia","Cote d'Ivoire","2014.0","Export","6.0","0.15","158.47","0.0"
"Slovenia","Cameroon","2014.0","Export","75.0","1.87","698.91","0.0"
"Slovenia","Congo, Rep.","2014.0","Export","7.0","0.17","85.92","0.0"
"Slovenia","Cook Islands","2014.0","Export","","","",""
"Slovenia","Colombia","2014.0","Export","138.0","3.44","13841.85","0.05"
"Slovenia","Comoros","2014.0","Export","","","",""
"Slovenia","Cape Verde","2014.0","Export","2.0","0.05","202.43","0.0"
"Slovenia","Costa Rica","2014.0","Export","51.0","1.27","920.07","0.0"
"Slovenia","Cuba","2014.0","Export","27.0","0.67","1737.08","0.01"
"Slovenia","Curaçao","2014.0","Export","5.0","0.12","894.2","0.0"
"Slovenia","Christmas Island","2014.0","Export","","","",""
"Slovenia","Cyprus","2014.0","Export","309.0","7.69","25590.11","0.08"
"Slovenia","Czech Republic","2014.0","Export","1569.0","39.06","693160.11","2.27"
"Slovenia","Germany","2014.0","Export","2496.0","62.14","6117051.51","20.04"
"Slovenia","Djibouti","2014.0","Export","5.0","0.12","619.95","0.0"
"Slovenia","Dominica","2014.0","Export","3.0","0.07","7.51","0.0"
"Slovenia","Denmark","2014.0","Export","756.0","18.82","310411.92","1.02"
"Slovenia","Dominican Republic","2014.0","Export","111.0","2.76","2171.18","0.01"
"Slovenia","Algeria","2014.0","Export","162.0","4.03","221933.56","0.73"
"Slovenia","East Asia & Pacific","2014.0","Export","1307.0","32.54","549441.0","1.8"
"Slovenia","Europe & Central Asia","2014.0","Export","3992.0","99.38","28092247.41","92.04"
"Slovenia","Ecuador","2014.0","Export","108.0","2.69","2544.53","0.01"
"Slovenia","Egypt, Arab Rep.","2014.0","Export","316.0","7.87","48533.29","0.16"
"Slovenia","Eritrea","2014.0","Export","","","",""
"Slovenia","Western Sahara","2014.0","Export","","","",""
"Slovenia","Spain","2014.0","Export","1111.0","27.66","366528.28","1.2"
"Slovenia","Estonia","2014.0","Export","541.0","13.47","42258.42","0.14"
"Slovenia","Ethiopia(excludes Eritrea)","2014.0","Export","20.0","0.5","1005.67","0.0"
"Slovenia","Finland","2014.0","Export","610.0","15.19","64971.23","0.21"
"Slovenia","Fiji","2014.0","Export","1.0","0.02","0.21","0.0"
"Slovenia","Falkland Island","2014.0","Export","1.0","0.02","282.07","0.0"
"Slovenia","France","2014.0","Export","1366.0","34.01","1552377.73","5.09"
"Slovenia","Faeroe Islands","2014.0","Export","9.0","0.22","659.19","0.0"
"Slovenia","Micronesia, Fed. Sts.","2014.0","Export","","","",""
"Slovenia","Gabon","2014.0","Export","39.0","0.97","1079.41","0.0"
"Slovenia","United Kingdom","2014.0","Export","1140.0","28.38","619677.84","2.03"
"Slovenia","Georgia","2014.0","Export","338.0","8.41","22961.35","0.08"
"Slovenia","Ghana","2014.0","Export","82.0","2.04","5299.01","0.02"
"Slovenia","Gibraltar","2014.0","Export","7.0","0.17","42.07","0.0"
"Slovenia","Guinea","2014.0","Export","12.0","0.3","20.45","0.0"
"Slovenia","Gambia, The","2014.0","Export","80.0","1.99","110.97","0.0"
"Slovenia","Guinea-Bissau","2014.0","Export","32.0","0.8","628.49","0.0"
"Slovenia","Equatorial Guinea","2014.0","Export","16.0","0.4","5707.93","0.02"
"Slovenia","Greece","2014.0","Export","810.0","20.16","106198.44","0.35"
"Slovenia","Grenada","2014.0","Export","","","",""
"Slovenia","Greenland","2014.0","Export","13.0","0.32","40.55","0.0"
"Slovenia","Guatemala","2014.0","Export","28.0","0.7","606.46","0.0"
"Slovenia","Guam","2014.0","Export","","","",""
"Slovenia","Guyana","2014.0","Export","12.0","0.3","26.07","0.0"
"Slovenia","Hong Kong, China","2014.0","Export","317.0","7.89","40266.66","0.13"
"Slovenia","Heard Island and McDonald Isla","2014.0","Export","","","",""
"Slovenia","Honduras","2014.0","Export","9.0","0.22","16.15","0.0"
"Slovenia","Croatia","2014.0","Export","3250.0","80.91","2357587.81","7.72"
"Slovenia","Haiti","2014.0","Export","","","",""
"Slovenia","Hungary","2014.0","Export","1747.0","43.49","910883.14","2.98"
"Slovenia","Indonesia","2014.0","Export","134.0","3.34","10359.67","0.03"
"Slovenia","India","2014.0","Export","475.0","11.82","94554.24","0.31"
"Slovenia","British Indian Ocean Ter.","2014.0","Export","19.0","0.47","4.86","0.0"
"Slovenia","Ireland","2014.0","Export","364.0","9.06","55653.9","0.18"
"Slovenia","Iran, Islamic Rep.","2014.0","Export","286.0","7.12","28477.25","0.09"
"Slovenia","Iraq","2014.0","Export","168.0","4.18","12832.82","0.04"
"Slovenia","Iceland","2014.0","Export","143.0","3.56","2159.03","0.01"
"Slovenia","Israel","2014.0","Export","491.0","12.22","54341.72","0.18"
"Slovenia","Italy","2014.0","Export","2471.0","61.51","3624180.56","11.87"
"Slovenia","Jamaica","2014.0","Export","26.0","0.65","344.51","0.0"
"Slovenia","Jordan","2014.0","Export","196.0","4.88","13269.85","0.04"
"Slovenia","Japan","2014.0","Export","458.0","11.4","43035.95","0.14"
"Slovenia","Kazakhstan","2014.0","Export","271.0","6.75","88026.02","0.29"
"Slovenia","Kenya","2014.0","Export","87.0","2.17","638.28","0.0"
"Slovenia","Kyrgyz Republic","2014.0","Export","71.0","1.77","14290.35","0.05"
"Slovenia","Cambodia","2014.0","Export","35.0","0.87","436.17","0.0"
"Slovenia","Kiribati","2014.0","Export","","","",""
"Slovenia","St. Kitts and Nevis","2014.0","Export","6.0","0.15","663.27","0.0"
"Slovenia","Korea, Rep.","2014.0","Export","412.0","10.26","52887.48","0.17"
"Slovenia","Kuwait","2014.0","Export","109.0","2.71","12916.57","0.04"
"Slovenia","Lao PDR","2014.0","Export","12.0","0.3","213.35","0.0"
"Slovenia","Lebanon","2014.0","Export","238.0","5.92","23947.13","0.08"
"Slovenia","Liberia","2014.0","Export","9.0","0.22","85.99","0.0"
"Slovenia","Libya","2014.0","Export","148.0","3.68","34356.66","0.11"
"Slovenia","St. Lucia","2014.0","Export","9.0","0.22","31.35","0.0"
"Slovenia","Latin America & Caribbean","2014.0","Export","738.0","18.37","219746.42","0.72"
"Slovenia","Sri Lanka","2014.0","Export","40.0","1.0","2916.92","0.01"
"Slovenia","Lesotho","2014.0","Export","","","",""
"Slovenia","Lithuania","2014.0","Export","763.0","18.99","91765.6","0.3"
"Slovenia","Luxembourg","2014.0","Export","238.0","5.92","26552.67","0.09"
"Slovenia","Latvia","2014.0","Export","510.0","12.7","45967.96","0.15"
"Slovenia","Macao","2014.0","Export","22.0","0.55","1101.78","0.0"
"Slovenia","Morocco","2014.0","Export","169.0","4.21","18794.1","0.06"
