"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Solomon Islands","United Arab Emirates","2014.0","Export","","","",""
"Solomon Islands","Australia","2014.0","Export","44.0","32.12","48574.48","10.59"
"Solomon Islands","Belgium","2014.0","Export","1.0","0.73","15.01","0.0"
"Solomon Islands","Bangladesh","2014.0","Export","2.0","1.46","910.32","0.2"
"Solomon Islands","Canada","2014.0","Export","","","",""
"Solomon Islands","Switzerland","2014.0","Export","1.0","0.73","584.85","0.13"
"Solomon Islands","China","2014.0","Export","8.0","5.84","263847.55","57.54"
"Solomon Islands","Costa Rica","2014.0","Export","","","",""
"Solomon Islands","Germany","2014.0","Export","1.0","0.73","21.82","0.0"
"Solomon Islands","Denmark","2014.0","Export","","","",""
"Solomon Islands","East Asia & Pacific","2014.0","Export","121.0","88.32","378129.3","82.47"
"Solomon Islands","Europe & Central Asia","2014.0","Export","10.0","7.3","62127.94","13.55"
"Solomon Islands","Spain","2014.0","Export","1.0","0.73","4507.8","0.98"
"Solomon Islands","Finland","2014.0","Export","","","",""
"Solomon Islands","Fiji","2014.0","Export","7.0","5.11","2440.93","0.53"
"Solomon Islands","France","2014.0","Export","2.0","1.46","830.24","0.18"
"Solomon Islands","United Kingdom","2014.0","Export","6.0","4.38","28988.08","6.32"
"Solomon Islands","Guatemala","2014.0","Export","1.0","0.73","10.15","0.0"
"Solomon Islands","Hong Kong, China","2014.0","Export","5.0","3.65","2632.65","0.57"
"Solomon Islands","Indonesia","2014.0","Export","4.0","2.92","2608.29","0.57"
"Solomon Islands","India","2014.0","Export","1.0","0.73","1.73","0.0"
"Solomon Islands","Ireland","2014.0","Export","","","",""
"Solomon Islands","Israel","2014.0","Export","","","",""
"Solomon Islands","Italy","2014.0","Export","2.0","1.46","26883.37","5.86"
"Solomon Islands","Jamaica","2014.0","Export","","","",""
"Solomon Islands","Japan","2014.0","Export","3.0","2.19","4202.6","0.92"
"Solomon Islands","Kiribati","2014.0","Export","15.0","10.95","412.02","0.09"
"Solomon Islands","Korea, Rep.","2014.0","Export","1.0","0.73","4867.2","1.06"
"Solomon Islands","Latin America & Caribbean","2014.0","Export","1.0","0.73","10.15","0.0"
"Solomon Islands","Sri Lanka","2014.0","Export","","","",""
"Solomon Islands","Middle East & North Africa","2014.0","Export","","","",""
"Solomon Islands","Mexico","2014.0","Export","","","",""
"Solomon Islands","Marshall Islands","2014.0","Export","9.0","6.57","35.41","0.01"
"Solomon Islands","Malaysia","2014.0","Export","8.0","5.84","11999.06","2.62"
"Solomon Islands","North America","2014.0","Export","4.0","2.92","11603.89","2.53"
"Solomon Islands","New Caledonia","2014.0","Export","3.0","2.19","766.88","0.17"
"Solomon Islands","Netherlands","2014.0","Export","3.0","2.19","237.01","0.05"
"Solomon Islands","Nauru","2014.0","Export","22.0","16.06","354.49","0.08"
"Solomon Islands","New Zealand","2014.0","Export","7.0","5.11","2811.74","0.61"
"Solomon Islands","Other Asia, nes","2014.0","Export","5.0","3.65","5378.72","1.17"
"Solomon Islands","Pakistan","2014.0","Export","","","",""
"Solomon Islands","Philippines","2014.0","Export","10.0","7.3","13017.92","2.84"
"Solomon Islands","Papua New Guinea","2014.0","Export","28.0","20.44","6498.28","1.42"
"Solomon Islands","Poland","2014.0","Export","","","",""
"Solomon Islands","Russian Federation","2014.0","Export","2.0","1.46","24.85","0.01"
"Solomon Islands","South Asia","2014.0","Export","3.0","2.19","912.05","0.2"
"Solomon Islands","Singapore","2014.0","Export","11.0","8.03","908.97","0.2"
"Solomon Islands","Solomon Islands","2014.0","Export","","","",""
"Solomon Islands","Sub-Saharan Africa","2014.0","Export","","","",""
"Solomon Islands","Sweden","2014.0","Export","","","",""
"Solomon Islands","Thailand","2014.0","Export","3.0","2.19","10171.42","2.22"
"Solomon Islands","Tonga","2014.0","Export","1.0","0.73","6.11","0.0"
"Solomon Islands","Turkey","2014.0","Export","1.0","0.73","34.92","0.01"
"Solomon Islands","Tuvalu","2014.0","Export","1.0","0.73","27.29","0.01"
"Solomon Islands","Unspecified","2014.0","Export","","","0.0","0.0"
"Solomon Islands","United States","2014.0","Export","4.0","2.92","11603.89","2.53"
"Solomon Islands","Holy See","2014.0","Export","","","",""
"Solomon Islands","Vietnam","2014.0","Export","17.0","12.41","1359.37","0.3"
"Solomon Islands","Vanuatu","2014.0","Export","8.0","5.84","941.03","0.21"
"Solomon Islands"," World","2014.0","Export","137.0","100.0","458516.54","100.0"
"Solomon Islands","Samoa","2014.0","Export","6.0","4.38","0.11","0.0"
"Solomon Islands","South Africa","2014.0","Export","","","",""
"Solomon Islands","Zambia","2014.0","Export","","","",""
