"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"South Africa","Aruba","2014.0","Export","8.0","0.18","445.11","0.0"
"South Africa","Afghanistan","2014.0","Export","86.0","1.92","1709.92","0.0"
"South Africa","Angola","2014.0","Export","2792.0","62.18","1050602.39","1.16"
"South Africa","Anguila","2014.0","Export","2.0","0.04","70.66","0.0"
"South Africa","Albania","2014.0","Export","15.0","0.33","297.12","0.0"
"South Africa","Andorra","2014.0","Export","1.0","0.02","32.2","0.0"
"South Africa","United Arab Emirates","2014.0","Export","1507.0","33.56","1387348.74","1.53"
"South Africa","Argentina","2014.0","Export","303.0","6.75","213669.77","0.24"
"South Africa","Armenia","2014.0","Export","34.0","0.76","505.49","0.0"
"South Africa","American Samoa","2014.0","Export","33.0","0.73","290.5","0.0"
"South Africa","Antarctica","2014.0","Export","72.0","1.6","527.6","0.0"
"South Africa","Antigua and Barbuda","2014.0","Export","46.0","1.02","6326.87","0.01"
"South Africa","Australia","2014.0","Export","1815.0","40.42","841793.17","0.93"
"South Africa","Austria","2014.0","Export","403.0","8.98","98024.6","0.11"
"South Africa","Azerbaijan","2014.0","Export","65.0","1.45","11823.27","0.01"
"South Africa","Burundi","2014.0","Export","457.0","10.18","6780.96","0.01"
"South Africa","Belgium","2014.0","Export","1025.0","22.83","2473207.27","2.73"
"South Africa","Benin","2014.0","Export","306.0","6.82","29698.41","0.03"
"South Africa","Burkina Faso","2014.0","Export","604.0","13.45","24719.25","0.03"
"South Africa","Bangladesh","2014.0","Export","134.0","2.98","78800.5","0.09"
"South Africa","Bulgaria","2014.0","Export","97.0","2.16","23059.81","0.03"
"South Africa","Bahrain","2014.0","Export","197.0","4.39","17117.38","0.02"
"South Africa","Bahamas, The","2014.0","Export","88.0","1.96","6849.59","0.01"
"South Africa","Bosnia and Herzegovina","2014.0","Export","13.0","0.29","2780.16","0.0"
"South Africa","Belarus","2014.0","Export","7.0","0.16","519.55","0.0"
"South Africa","Belize","2014.0","Export","55.0","1.22","999.26","0.0"
"South Africa","Bermuda","2014.0","Export","21.0","0.47","36142.23","0.04"
"South Africa","Bolivia","2014.0","Export","38.0","0.85","1953.85","0.0"
"South Africa","Brazil","2014.0","Export","710.0","15.81","631833.31","0.7"
"South Africa","Barbados","2014.0","Export","42.0","0.94","1521.98","0.0"
"South Africa","Brunei","2014.0","Export","20.0","0.45","2101.74","0.0"
"South Africa","Bhutan","2014.0","Export","4.0","0.09","9.78","0.0"
"South Africa","Bunkers","2014.0","Export","1671.0","37.22","155513.98","0.17"
"South Africa","Bouvet Island","2014.0","Export","","","",""
"South Africa","Botswana","2014.0","Export","3971.0","88.44","4774961.32","5.27"
"South Africa","Central African Republic","2014.0","Export","53.0","1.18","2817.16","0.0"
"South Africa","Canada","2014.0","Export","984.0","21.92","631700.5","0.7"
"South Africa","Cocos (Keeling) Islands","2014.0","Export","1.0","0.02","214.48","0.0"
"South Africa","Switzerland","2014.0","Export","805.0","17.93","1493692.87","1.65"
"South Africa","Chile","2014.0","Export","505.0","11.25","70127.54","0.08"
"South Africa","China","2014.0","Export","1133.0","25.23","8680021.94","9.58"
"South Africa","Cote d'Ivoire","2014.0","Export","904.0","20.13","110046.36","0.12"
"South Africa","Cameroon","2014.0","Export","685.0","15.26","62665.45","0.07"
"South Africa","Congo, Rep.","2014.0","Export","1531.0","34.1","149798.58","0.17"
"South Africa","Cook Islands","2014.0","Export","9.0","0.2","423.64","0.0"
"South Africa","Colombia","2014.0","Export","325.0","7.24","42616.24","0.05"
"South Africa","Comoros","2014.0","Export","67.0","1.49","4370.95","0.0"
"South Africa","Cape Verde","2014.0","Export","42.0","0.94","722.06","0.0"
"South Africa","Costa Rica","2014.0","Export","59.0","1.31","4107.48","0.0"
"South Africa","Cuba","2014.0","Export","33.0","0.73","366.13","0.0"
"South Africa","Curaçao","2014.0","Export","67.0","1.49","4865.26","0.01"
"South Africa","Christmas Island","2014.0","Export","","","",""
"South Africa","Cayman Islands","2014.0","Export","29.0","0.65","4460.07","0.0"
"South Africa","Cyprus","2014.0","Export","326.0","7.26","7540.42","0.01"
"South Africa","Czech Republic","2014.0","Export","286.0","6.37","133890.78","0.15"
"South Africa","Germany","2014.0","Export","1872.0","41.69","4236185.16","4.68"
"South Africa","Djibouti","2014.0","Export","290.0","6.46","46977.85","0.05"
"South Africa","Dominica","2014.0","Export","2.0","0.04","274.1","0.0"
"South Africa","Denmark","2014.0","Export","532.0","11.85","220598.2","0.24"
"South Africa","Dominican Republic","2014.0","Export","73.0","1.63","5650.68","0.01"
"South Africa","Algeria","2014.0","Export","145.0","3.23","169603.31","0.19"
"South Africa","East Asia & Pacific","2014.0","Export","2738.0","60.98","20349625.04","22.46"
"South Africa","Europe & Central Asia","2014.0","Export","3116.0","69.4","20544153.8","22.67"
"South Africa","Ecuador","2014.0","Export","177.0","3.94","27573.54","0.03"
"South Africa","Egypt, Arab Rep.","2014.0","Export","524.0","11.67","89626.89","0.1"
"South Africa","Eritrea","2014.0","Export","314.0","6.99","10997.7","0.01"
"South Africa","Spain","2014.0","Export","832.0","18.53","967359.02","1.07"
"South Africa","Estonia","2014.0","Export","64.0","1.43","15915.02","0.02"
"South Africa","Ethiopia(excludes Eritrea)","2014.0","Export","880.0","19.6","68115.21","0.08"
"South Africa","Finland","2014.0","Export","323.0","7.19","315330.17","0.35"
"South Africa","Fiji","2014.0","Export","60.0","1.34","3321.59","0.0"
"South Africa","Falkland Island","2014.0","Export","24.0","0.53","209.87","0.0"
"South Africa","France","2014.0","Export","1378.0","30.69","876391.73","0.97"
"South Africa","Faeroe Islands","2014.0","Export","1.0","0.02","11.78","0.0"
"South Africa","Micronesia, Fed. Sts.","2014.0","Export","3.0","0.07","3.58","0.0"
"South Africa","Gabon","2014.0","Export","977.0","21.76","73506.92","0.08"
"South Africa","United Kingdom","2014.0","Export","2054.0","45.75","3458918.63","3.82"
"South Africa","Georgia","2014.0","Export","44.0","0.98","19401.96","0.02"
"South Africa","Ghana","2014.0","Export","2418.0","53.85","343155.55","0.38"
"South Africa","Gibraltar","2014.0","Export","10.0","0.22","25248.34","0.03"
"South Africa","Guinea","2014.0","Export","561.0","12.49","25627.85","0.03"
"South Africa","Gambia, The","2014.0","Export","159.0","3.54","14787.55","0.02"
"South Africa","Guinea-Bissau","2014.0","Export","18.0","0.4","3426.97","0.0"
"South Africa","Equatorial Guinea","2014.0","Export","347.0","7.73","26407.59","0.03"
"South Africa","Greece","2014.0","Export","258.0","5.75","46433.33","0.05"
"South Africa","Grenada","2014.0","Export","19.0","0.42","408.27","0.0"
"South Africa","Greenland","2014.0","Export","2.0","0.04","8.46","0.0"
