"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Spain","Aruba","2014.0","Export","410.0","9.08","15030.17","0.0"
"Spain","Afghanistan","2014.0","Export","160.0","3.54","14997.22","0.0"
"Spain","Angola","2014.0","Export","1220.0","27.03","364500.59","0.11"
"Spain","Anguila","2014.0","Export","16.0","0.35","276.86","0.0"
"Spain","Albania","2014.0","Export","829.0","18.37","82271.15","0.03"
"Spain","Andorra","2014.0","Export","2592.0","57.42","1065567.06","0.33"
"Spain","United Arab Emirates","2014.0","Export","2512.0","55.65","2192112.49","0.69"
"Spain","Argentina","2014.0","Export","1925.0","42.65","1729382.35","0.54"
"Spain","Armenia","2014.0","Export","660.0","14.62","39358.35","0.01"
"Spain","American Samoa","2014.0","Export","14.0","0.31","1149.64","0.0"
"Spain","Antarctica","2014.0","Export","28.0","0.62","263.8","0.0"
"Spain","Fr. So. Ant. Tr","2014.0","Export","1.0","0.02","0.72","0.0"
"Spain","Antigua and Barbuda","2014.0","Export","103.0","2.28","1919.31","0.0"
"Spain","Australia","2014.0","Export","2270.0","50.29","1891057.35","0.59"
"Spain","Austria","2014.0","Export","2642.0","58.53","2582805.88","0.81"
"Spain","Azerbaijan","2014.0","Export","930.0","20.6","106760.0","0.03"
"Spain","Burundi","2014.0","Export","32.0","0.71","577.91","0.0"
"Spain","Belgium","2014.0","Export","3394.0","75.19","8046233.73","2.53"
"Spain","Benin","2014.0","Export","480.0","10.63","111034.7","0.03"
"Spain","Bonaire","2014.0","Export","17.0","0.38","139.87","0.0"
"Spain","Burkina Faso","2014.0","Export","458.0","10.15","66946.14","0.02"
"Spain","Bangladesh","2014.0","Export","737.0","16.33","142764.63","0.04"
"Spain","Bulgaria","2014.0","Export","2363.0","52.35","1717967.88","0.54"
"Spain","Bahrain","2014.0","Export","1069.0","23.68","172986.84","0.05"
"Spain","Bahamas, The","2014.0","Export","149.0","3.3","117464.43","0.04"
"Spain","Bosnia and Herzegovina","2014.0","Export","959.0","21.25","80025.43","0.03"
"Spain","Belarus","2014.0","Export","847.0","18.76","198757.68","0.06"
"Spain","Belize","2014.0","Export","72.0","1.6","48585.22","0.02"
"Spain","Bermuda","2014.0","Export","91.0","2.02","1478.79","0.0"
"Spain","Bolivia","2014.0","Export","1250.0","27.69","149412.18","0.05"
"Spain","Brazil","2014.0","Export","2593.0","57.44","4182892.02","1.31"
"Spain","Barbados","2014.0","Export","139.0","3.08","7051.23","0.0"
"Spain","Brunei","2014.0","Export","145.0","3.21","3985.86","0.0"
"Spain","Bhutan","2014.0","Export","9.0","0.2","2190.36","0.0"
"Spain","Bunkers","2014.0","Export","539.0","11.94","9976374.28","3.13"
"Spain","Bouvet Island","2014.0","Export","","","",""
"Spain","Botswana","2014.0","Export","105.0","2.33","3469.74","0.0"
"Spain","Central African Republic","2014.0","Export","101.0","2.24","6719.33","0.0"
"Spain","Canada","2014.0","Export","2095.0","46.41","1756020.07","0.55"
"Spain","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Spain","Switzerland","2014.0","Export","3122.0","69.16","4753317.98","1.49"
"Spain","Chile","2014.0","Export","2672.0","59.19","1463544.39","0.46"
"Spain","China","2014.0","Export","2777.0","61.52","5416586.86","1.7"
"Spain","Cote d'Ivoire","2014.0","Export","1198.0","26.54","251175.42","0.08"
"Spain","Cameroon","2014.0","Export","846.0","18.74","156680.79","0.05"
"Spain","Congo, Rep.","2014.0","Export","566.0","12.54","57056.14","0.02"
"Spain","Cook Islands","2014.0","Export","2.0","0.04","33.63","0.0"
"Spain","Colombia","2014.0","Export","2718.0","60.21","1050735.72","0.33"
"Spain","Comoros","2014.0","Export","31.0","0.69","1942.74","0.0"
"Spain","Cape Verde","2014.0","Export","1114.0","24.68","58768.72","0.02"
"Spain","Costa Rica","2014.0","Export","1697.0","37.59","186830.2","0.06"
"Spain","Cuba","2014.0","Export","2318.0","51.35","924749.57","0.29"
"Spain","Curaçao","2014.0","Export","409.0","9.06","118176.8","0.04"
"Spain","Christmas Island","2014.0","Export","","","",""
"Spain","Cayman Islands","2014.0","Export","53.0","1.17","11940.62","0.0"
"Spain","Cyprus","2014.0","Export","1927.0","42.69","388420.72","0.12"
"Spain","Czech Republic","2014.0","Export","2652.0","58.75","2315333.32","0.73"
"Spain","Germany","2014.0","Export","3824.0","84.71","33057845.9","10.37"
"Spain","Djibouti","2014.0","Export","138.0","3.06","14948.52","0.0"
"Spain","Dominica","2014.0","Export","48.0","1.06","491.6","0.0"
"Spain","Denmark","2014.0","Export","2437.0","53.99","1531935.92","0.48"
"Spain","Dominican Republic","2014.0","Export","2216.0","49.09","366937.9","0.12"
"Spain","Algeria","2014.0","Export","2609.0","57.8","4913207.95","1.54"
"Spain","East Asia & Pacific","2014.0","Export","3724.0","82.5","18807184.05","5.9"
"Spain","Europe & Central Asia","2014.0","Export","4469.0","99.0","217101278.88","68.13"
"Spain","Ecuador","2014.0","Export","1837.0","40.7","925614.02","0.29"
"Spain","Egypt, Arab Rep.","2014.0","Export","2159.0","47.83","1525887.01","0.48"
"Spain","Eritrea","2014.0","Export","77.0","1.71","1215.14","0.0"
"Spain","Western Sahara","2014.0","Export","2.0","0.04","3811.68","0.0"
"Spain","Estonia","2014.0","Export","1690.0","37.44","198668.35","0.06"
"Spain","Ethiopia(excludes Eritrea)","2014.0","Export","346.0","7.67","65851.66","0.02"
"Spain","Finland","2014.0","Export","2243.0","49.69","1074606.74","0.34"
"Spain","Fiji","2014.0","Export","73.0","1.62","1120.02","0.0"
"Spain","Falkland Island","2014.0","Export","45.0","1.0","11495.7","0.0"
"Spain","France","2014.0","Export","4136.0","91.63","49979754.0","15.68"
"Spain","Faeroe Islands","2014.0","Export","95.0","2.1","5018.53","0.0"
"Spain","Micronesia, Fed. Sts.","2014.0","Export","8.0","0.18","549.66","0.0"
"Spain","Gabon","2014.0","Export","641.0","14.2","67272.81","0.02"
"Spain","United Kingdom","2014.0","Export","3568.0","79.04","21918184.96","6.88"
"Spain","Georgia","2014.0","Export","1036.0","22.95","78051.83","0.02"
"Spain","Ghana","2014.0","Export","1079.0","23.9","248831.54","0.08"
"Spain","Gibraltar","2014.0","Export","2686.0","59.5","1892933.88","0.59"
"Spain","Guinea","2014.0","Export","526.0","11.65","56960.84","0.02"
"Spain","Gambia, The","2014.0","Export","402.0","8.91","13279.24","0.0"
"Spain","Guinea-Bissau","2014.0","Export","308.0","6.82","17706.19","0.01"
"Spain","Equatorial Guinea","2014.0","Export","1789.0","39.63","424876.56","0.13"
"Spain","Greece","2014.0","Export","2859.0","63.34","2511153.58","0.79"
"Spain","Grenada","2014.0","Export","17.0","0.38","179.21","0.0"
"Spain","Greenland","2014.0","Export","51.0","1.13","25567.57","0.01"
"Spain","Guatemala","2014.0","Export","1512.0","33.5","278217.65","0.09"
"Spain","Guam","2014.0","Export","67.0","1.48","1599.43","0.0"
"Spain","Guyana","2014.0","Export","50.0","1.11","1475.58","0.0"
"Spain","Hong Kong, China","2014.0","Export","2162.0","47.9","1151379.19","0.36"
"Spain","Honduras","2014.0","Export","1063.0","23.55","134514.06","0.04"
"Spain","Croatia","2014.0","Export","1787.0","39.59","312275.84","0.1"
"Spain","Haiti","2014.0","Export","262.0","5.8","28491.31","0.01"
"Spain","Hungary","2014.0","Export","2538.0","56.23","1557150.62","0.49"
"Spain","Indonesia","2014.0","Export","1403.0","31.08","516451.95","0.16"
"Spain","India","2014.0","Export","2227.0","49.34","1499686.77","0.47"
"Spain","British Indian Ocean Ter.","2014.0","Export","","","",""
"Spain","Ireland","2014.0","Export","2314.0","51.26","1472267.02","0.46"
"Spain","Iran, Islamic Rep.","2014.0","Export","1188.0","26.32","392739.29","0.12"
"Spain","Iraq","2014.0","Export","655.0","14.51","308081.03","0.1"
"Spain","Iceland","2014.0","Export","822.0","18.21","46687.11","0.01"
"Spain","Israel","2014.0","Export","2285.0","50.62","1534243.86","0.48"
"Spain","Italy","2014.0","Export","3884.0","86.04","22899366.14","7.19"
"Spain","Jamaica","2014.0","Export","471.0","10.43","40480.33","0.01"
"Spain","Jordan","2014.0","Export","1638.0","36.29","403576.92","0.13"
"Spain","Japan","2014.0","Export","2132.0","47.23","3485199.29","1.09"
"Spain","Kazakhstan","2014.0","Export","1089.0","24.12","268456.49","0.08"
"Spain","Kenya","2014.0","Export","767.0","16.99","107285.91","0.03"
"Spain","Kyrgyz Republic","2014.0","Export","265.0","5.87","14037.25","0.0"
"Spain","Cambodia","2014.0","Export","209.0","4.63","11258.8","0.0"
"Spain","Kiribati","2014.0","Export","7.0","0.16","1229.93","0.0"
"Spain","St. Kitts and Nevis","2014.0","Export","9.0","0.2","189.32","0.0"
"Spain","Korea, Rep.","2014.0","Export","1974.0","43.73","2618540.52","0.82"
"Spain","Kuwait","2014.0","Export","1497.0","33.16","505300.82","0.16"
"Spain","Lao PDR","2014.0","Export","59.0","1.31","1904.56","0.0"
"Spain","Lebanon","2014.0","Export","1700.0","37.66","510206.24","0.16"
"Spain","Liberia","2014.0","Export","261.0","5.78","60130.09","0.02"
"Spain","Libya","2014.0","Export","1177.0","26.07","748901.83","0.23"
"Spain","St. Lucia","2014.0","Export","33.0","0.73","770.78","0.0"
"Spain","Latin America & Caribbean","2014.0","Export","3990.0","88.39","18864381.32","5.92"
"Spain","Sri Lanka","2014.0","Export","559.0","12.38","61722.24","0.02"
"Spain","Lesotho","2014.0","Export","9.0","0.2","104.67","0.0"
"Spain","Lithuania","2014.0","Export","1956.0","43.33","485730.26","0.15"
"Spain","Luxembourg","2014.0","Export","1571.0","34.8","346641.95","0.11"
"Spain","Latvia","2014.0","Export","1746.0","38.68","237686.3","0.07"
"Spain","Macao","2014.0","Export","498.0","11.03","18403.08","0.01"
"Spain","Morocco","2014.0","Export","3461.0","76.67","7745467.78","2.43"
"Spain","Moldova","2014.0","Export","716.0","15.86","33234.77","0.01"
"Spain","Madagascar","2014.0","Export","482.0","10.68","43441.91","0.01"
"Spain","Maldives","2014.0","Export","237.0","5.25","25379.87","0.01"
"Spain","Middle East & North Africa","2014.0","Export","4067.0","90.1","26301338.95","8.25"
"Spain","Mexico","2014.0","Export","3065.0","67.9","4655698.82","1.46"
"Spain","Marshall Islands","2014.0","Export","27.0","0.6","5553.91","0.0"
"Spain","Macedonia, FYR","2014.0","Export","761.0","16.86","54795.73","0.02"
"Spain","Mali","2014.0","Export","576.0","12.76","53910.31","0.02"
"Spain","Malta","2014.0","Export","1960.0","43.42","278713.53","0.09"
"Spain","Myanmar","2014.0","Export","261.0","5.78","21591.5","0.01"
"Spain","Mongolia","2014.0","Export","323.0","7.16","11616.84","0.0"
"Spain","Northern Mariana Islands","2014.0","Export","6.0","0.13","3.77","0.0"
"Spain","Montenegro","2014.0","Export","652.0","14.44","31818.07","0.01"
"Spain","Mozambique","2014.0","Export","470.0","10.41","56054.51","0.02"
"Spain","Mauritania","2014.0","Export","1205.0","26.69","209403.19","0.07"
"Spain","Montserrat","2014.0","Export","","","",""
"Spain","Mauritius","2014.0","Export","992.0","21.98","149120.26","0.05"
"Spain","Malawi","2014.0","Export","38.0","0.84","1504.7","0.0"
"Spain","Malaysia","2014.0","Export","1612.0","35.71","640979.55","0.2"
"Spain","North America","2014.0","Export","3286.0","72.8","15887050.67","4.99"
"Spain","Namibia","2014.0","Export","265.0","5.87","36425.63","0.01"
"Spain","New Caledonia","2014.0","Export","577.0","12.78","34474.97","0.01"
"Spain","Niger","2014.0","Export","200.0","4.43","23341.45","0.01"
"Spain","Norfolk Island","2014.0","Export","1.0","0.02","3.11","0.0"
"Spain","Nigeria","2014.0","Export","1197.0","26.52","447719.62","0.14"
"Spain","Nicaragua","2014.0","Export","730.0","16.17","45468.31","0.01"
"Spain","Niue","2014.0","Export","1.0","0.02","32.18","0.0"
"Spain","Netherlands","2014.0","Export","3363.0","74.5","9842654.68","3.09"
"Spain","Norway","2014.0","Export","2205.0","48.85","1444813.57","0.45"
"Spain","Nepal","2014.0","Export","118.0","2.61","8495.52","0.0"
"Spain","Nauru","2014.0","Export","1.0","0.02","0.15","0.0"
"Spain","New Zealand","2014.0","Export","1345.0","29.8","432118.89","0.14"
"Spain","Other Asia, nes","2014.0","Export","1891.0","41.89","1352290.74","0.42"
"Spain","Oman","2014.0","Export","1108.0","24.55","416673.69","0.13"
"Spain","Pakistan","2014.0","Export","1072.0","23.75","167129.59","0.05"
"Spain","Panama","2014.0","Export","1887.0","41.8","561858.4","0.18"
"Spain","Pitcairn","2014.0","Export","","","",""
"Spain","Peru","2014.0","Export","2394.0","53.03","662679.21","0.21"
"Spain","Philippines","2014.0","Export","1351.0","29.93","482821.29","0.15"
"Spain","Palau","2014.0","Export","","","",""
"Spain","Papua New Guinea","2014.0","Export","49.0","1.09","2100.19","0.0"
"Spain","Poland","2014.0","Export","3153.0","69.85","5211004.44","1.64"
"Spain","Korea, Dem. Rep.","2014.0","Export","28.0","0.62","171.94","0.0"
"Spain","Portugal","2014.0","Export","4268.0","94.55","23913649.81","7.5"
"Spain","Paraguay","2014.0","Export","1090.0","24.15","122587.42","0.04"
"Spain","Occ.Pal.Terr","2014.0","Export","69.0","1.53","21092.02","0.01"
"Spain","French Polynesia","2014.0","Export","506.0","11.21","18263.43","0.01"
"Spain","Qatar","2014.0","Export","1522.0","33.72","314090.35","0.1"
"Spain","Romania","2014.0","Export","2800.0","62.03","2082577.61","0.65"
"Spain","Russian Federation","2014.0","Export","2560.0","56.71","3384133.79","1.06"
"Spain","Rwanda","2014.0","Export","93.0","2.06","3713.12","0.0"
"Spain","South Asia","2014.0","Export","2594.0","57.47","1922366.19","0.6"
"Spain","Saudi Arabia","2014.0","Export","2235.0","49.51","3019783.63","0.95"
"Spain","Senegal","2014.0","Export","1564.0","34.65","198565.49","0.06"
"Spain","Serbia, FR(Serbia/Montenegro)","2014.0","Export","1603.0","35.51","202660.88","0.06"
"Spain","Singapore","2014.0","Export","1885.0","41.76","1072976.45","0.34"
"Spain","Saint Helena","2014.0","Export","","","",""
"Spain","Solomon Islands","2014.0","Export","13.0","0.29","257.19","0.0"
"Spain","Sierra Leone","2014.0","Export","215.0","4.76","23616.88","0.01"
"Spain","El Salvador","2014.0","Export","1076.0","23.84","81148.53","0.03"
"Spain","San Marino","2014.0","Export","285.0","6.31","10523.67","0.0"
"Spain","Somalia","2014.0","Export","45.0","1.0","1486.9","0.0"
"Spain","Saint Pierre and Miquelon","2014.0","Export","8.0","0.18","374.72","0.0"
"Spain","South Sudan","2014.0","Export","21.0","0.47","1075.33","0.0"
"Spain","Sub-Saharan Africa","2014.0","Export","3347.0","74.15","5468809.64","1.72"
"Spain","Sao Tome and Principe","2014.0","Export","78.0","1.73","1070.81","0.0"
"Spain","Sudan","2014.0","Export","383.0","8.48","31504.88","0.01"
"Spain","Suriname","2014.0","Export","179.0","3.97","7403.22","0.0"
"Spain","Slovak Republic","2014.0","Export","1991.0","44.11","937489.91","0.29"
"Spain","Slovenia","2014.0","Export","1884.0","41.74","739454.12","0.23"
"Spain","Sweden","2014.0","Export","2702.0","59.86","2718726.07","0.85"
"Spain","Swaziland","2014.0","Export","12.0","0.27","904.62","0.0"
"Spain","Saint Maarten (Dutch part)","2014.0","Export","242.0","5.36","2528.41","0.0"
"Spain","Seychelles","2014.0","Export","275.0","6.09","116189.24","0.04"
"Spain","Syrian Arab Republic","2014.0","Export","285.0","6.31","46269.63","0.01"
"Spain","Turks and Caicos Isl.","2014.0","Export","16.0","0.35","593.8","0.0"
"Spain","Chad","2014.0","Export","136.0","3.01","9491.25","0.0"
"Spain","Togo","2014.0","Export","488.0","10.81","186154.03","0.06"
"Spain","Thailand","2014.0","Export","1831.0","40.56","563297.95","0.18"
"Spain","Tajikistan","2014.0","Export","77.0","1.71","4746.09","0.0"
"Spain","Tokelau","2014.0","Export","2.0","0.04","112.42","0.0"
"Spain","Turkmenistan","2014.0","Export","155.0","3.43","17931.66","0.01"
"Spain","East Timor","2014.0","Export","8.0","0.18","315.11","0.0"
"Spain","Tonga","2014.0","Export","8.0","0.18","58.58","0.0"
"Spain","Trinidad and Tobago","2014.0","Export","298.0","6.6","25542.77","0.01"
"Spain","Tunisia","2014.0","Export","2330.0","51.62","1210291.78","0.38"
"Spain","Turkey","2014.0","Export","2804.0","62.12","6660058.47","2.09"
"Spain","Tuvalu","2014.0","Export","4.0","0.09","9.83","0.0"
"Spain","Tanzania","2014.0","Export","463.0","10.26","44695.39","0.01"
"Spain","Uganda","2014.0","Export","253.0","5.6","13031.92","0.0"
"Spain","Ukraine","2014.0","Export","1544.0","34.2","378790.38","0.12"
"Spain","United States Minor Outlying I","2014.0","Export","","","",""
"Spain","Unspecified","2014.0","Export","536.0","11.87","881088.48","0.28"
"Spain","Uruguay","2014.0","Export","1748.0","38.72","312439.24","0.1"
"Spain","United States","2014.0","Export","3172.0","70.27","14129551.8","4.43"
"Spain","Uzbekistan","2014.0","Export","312.0","6.91","34309.62","0.01"
"Spain","Holy See","2014.0","Export","31.0","0.69","147.79","0.0"
"Spain","St. Vincent and the Grenadines","2014.0","Export","14.0","0.31","669.33","0.0"
"Spain","Venezuela","2014.0","Export","1628.0","36.07","718864.71","0.23"
"Spain","British Virgin Islands","2014.0","Export","60.0","1.33","6677.33","0.0"
"Spain","Vietnam","2014.0","Export","1370.0","30.35","399808.07","0.13"
"Spain","Vanuatu","2014.0","Export","35.0","0.78","143.99","0.0"
"Spain"," World","2014.0","Export","4514.0","100.0","318649311.79","100.0"
"Spain","Wallis and Futura Isl.","2014.0","Export","21.0","0.47","71.05","0.0"
"Spain","Samoa","2014.0","Export","6.0","0.13","204.46","0.0"
"Spain","Yemen","2014.0","Export","402.0","8.91","47855.75","0.01"
"Spain","South Africa","2014.0","Export","2069.0","45.84","1641117.07","0.52"
