"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Sri Lanka","Aruba","2014.0","Export","","","",""
"Sri Lanka","Afghanistan","2014.0","Export","8.0","0.27","136.97","0.0"
"Sri Lanka","Angola","2014.0","Export","19.0","0.63","7227.46","0.06"
"Sri Lanka","Anguila","2014.0","Export","","","",""
"Sri Lanka","Albania","2014.0","Export","13.0","0.43","8436.93","0.07"
"Sri Lanka","Andorra","2014.0","Export","2.0","0.07","10.94","0.0"
"Sri Lanka","United Arab Emirates","2014.0","Export","777.0","25.89","293565.53","2.6"
"Sri Lanka","Argentina","2014.0","Export","61.0","2.03","6446.75","0.06"
"Sri Lanka","Armenia","2014.0","Export","42.0","1.4","722.96","0.01"
"Sri Lanka","American Samoa","2014.0","Export","","","",""
"Sri Lanka","Antigua and Barbuda","2014.0","Export","7.0","0.23","91.05","0.0"
"Sri Lanka","Australia","2014.0","Export","869.0","28.96","164714.81","1.46"
"Sri Lanka","Austria","2014.0","Export","164.0","5.46","30284.53","0.27"
"Sri Lanka","Azerbaijan","2014.0","Export","41.0","1.37","55538.76","0.49"
"Sri Lanka","Burundi","2014.0","Export","1.0","0.03","57.13","0.0"
"Sri Lanka","Belgium","2014.0","Export","236.0","7.86","318847.91","2.82"
"Sri Lanka","Benin","2014.0","Export","16.0","0.53","520.27","0.0"
"Sri Lanka","Burkina Faso","2014.0","Export","16.0","0.53","1487.38","0.01"
"Sri Lanka","Bangladesh","2014.0","Export","510.0","16.99","107960.03","0.96"
"Sri Lanka","Bulgaria","2014.0","Export","43.0","1.43","2178.96","0.02"
"Sri Lanka","Bahrain","2014.0","Export","181.0","6.03","7368.1","0.07"
"Sri Lanka","Bahamas, The","2014.0","Export","29.0","0.97","103.53","0.0"
"Sri Lanka","Bosnia and Herzegovina","2014.0","Export","14.0","0.47","242.83","0.0"
"Sri Lanka","Belarus","2014.0","Export","24.0","0.8","5626.25","0.05"
"Sri Lanka","Belize","2014.0","Export","17.0","0.57","2944.33","0.03"
"Sri Lanka","Bermuda","2014.0","Export","3.0","0.1","45.13","0.0"
"Sri Lanka","Bolivia","2014.0","Export","11.0","0.37","2452.3","0.02"
"Sri Lanka","Brazil","2014.0","Export","134.0","4.47","54747.24","0.48"
"Sri Lanka","Barbados","2014.0","Export","7.0","0.23","113.94","0.0"
"Sri Lanka","Brunei","2014.0","Export","18.0","0.6","127.57","0.0"
"Sri Lanka","Bhutan","2014.0","Export","8.0","0.27","17.47","0.0"
"Sri Lanka","Botswana","2014.0","Export","7.0","0.23","4.42","0.0"
"Sri Lanka","Central African Republic","2014.0","Export","32.0","1.07","1364.52","0.01"
"Sri Lanka","Canada","2014.0","Export","529.0","17.63","171457.64","1.52"
"Sri Lanka","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Sri Lanka","Switzerland","2014.0","Export","429.0","14.3","142287.99","1.26"
"Sri Lanka","Chile","2014.0","Export","150.0","5.0","43913.49","0.39"
"Sri Lanka","China","2014.0","Export","638.0","21.26","177559.52","1.57"
"Sri Lanka","Cote d'Ivoire","2014.0","Export","32.0","1.07","7003.9","0.06"
"Sri Lanka","Cameroon","2014.0","Export","8.0","0.27","270.25","0.0"
"Sri Lanka","Congo, Rep.","2014.0","Export","17.0","0.57","3335.15","0.03"
"Sri Lanka","Cook Islands","2014.0","Export","","","",""
"Sri Lanka","Colombia","2014.0","Export","68.0","2.27","13023.31","0.12"
"Sri Lanka","Comoros","2014.0","Export","61.0","2.03","1540.05","0.01"
"Sri Lanka","Cape Verde","2014.0","Export","119.0","3.97","268.63","0.0"
"Sri Lanka","Costa Rica","2014.0","Export","16.0","0.53","2807.76","0.02"
"Sri Lanka","Cuba","2014.0","Export","6.0","0.2","1.94","0.0"
