"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Suriname","Aruba","2014.0","Export","20.0","2.77","827.61","0.04"
"Suriname","United Arab Emirates","2014.0","Export","9.0","1.24","421911.98","22.0"
"Suriname","Argentina","2014.0","Export","2.0","0.28","11.81","0.0"
"Suriname","Antigua and Barbuda","2014.0","Export","5.0","0.69","316.82","0.02"
"Suriname","Australia","2014.0","Export","2.0","0.28","28.27","0.0"
"Suriname","Austria","2014.0","Export","4.0","0.55","8.94","0.0"
"Suriname","Belgium","2014.0","Export","20.0","2.77","162327.46","8.46"
"Suriname","Benin","2014.0","Export","2.0","0.28","14.17","0.0"
"Suriname","Bangladesh","2014.0","Export","1.0","0.14","457.59","0.02"
"Suriname","Bulgaria","2014.0","Export","1.0","0.14","5.33","0.0"
"Suriname","Bahrain","2014.0","Export","","","",""
"Suriname","Bahamas, The","2014.0","Export","1.0","0.14","3.0","0.0"
"Suriname","Bosnia and Herzegovina","2014.0","Export","","","",""
"Suriname","Belize","2014.0","Export","2.0","0.28","30.5","0.0"
"Suriname","Brazil","2014.0","Export","44.0","6.09","16284.23","0.85"
"Suriname","Barbados","2014.0","Export","15.0","2.07","35623.91","1.86"
"Suriname","Canada","2014.0","Export","18.0","2.49","111464.14","5.81"
"Suriname","Switzerland","2014.0","Export","3.0","0.41","261236.37","13.62"
"Suriname","Chile","2014.0","Export","1.0","0.14","1.08","0.0"
"Suriname","China","2014.0","Export","20.0","2.77","33188.28","1.73"
"Suriname","Cote d'Ivoire","2014.0","Export","2.0","0.28","16.8","0.0"
"Suriname","Cameroon","2014.0","Export","1.0","0.14","238.98","0.01"
"Suriname","Colombia","2014.0","Export","4.0","0.55","497.18","0.03"
"Suriname","Costa Rica","2014.0","Export","1.0","0.14","3.17","0.0"
"Suriname","Cuba","2014.0","Export","7.0","0.97","360.34","0.02"
"Suriname","Curaçao","2014.0","Export","36.0","4.98","1923.58","0.1"
"Suriname","Cyprus","2014.0","Export","1.0","0.14","22.25","0.0"
"Suriname","Czech Republic","2014.0","Export","1.0","0.14","1.44","0.0"
"Suriname","Germany","2014.0","Export","23.0","3.18","1494.39","0.08"
"Suriname","Dominica","2014.0","Export","5.0","0.69","63.03","0.0"
"Suriname","Denmark","2014.0","Export","29.0","4.01","506.02","0.03"
"Suriname","Dominican Republic","2014.0","Export","18.0","2.49","261.15","0.01"
"Suriname","East Asia & Pacific","2014.0","Export","34.0","4.7","42757.46","2.23"
"Suriname","Europe & Central Asia","2014.0","Export","332.0","45.92","531064.93","27.69"
"Suriname","Ecuador","2014.0","Export","15.0","2.07","174.59","0.01"
"Suriname","Egypt, Arab Rep.","2014.0","Export","","","",""
"Suriname","Spain","2014.0","Export","4.0","0.55","1593.53","0.08"
"Suriname","Finland","2014.0","Export","3.0","0.41","33.7","0.0"
"Suriname","France","2014.0","Export","104.0","14.38","39745.74","2.07"
"Suriname","Faeroe Islands","2014.0","Export","1.0","0.14","58.55","0.0"
"Suriname","United Kingdom","2014.0","Export","10.0","1.38","372.06","0.02"
"Suriname","Georgia","2014.0","Export","1.0","0.14","29.85","0.0"
"Suriname","Ghana","2014.0","Export","1.0","0.14","10.16","0.0"
"Suriname","Guinea","2014.0","Export","1.0","0.14","12.5","0.0"
"Suriname","Greece","2014.0","Export","","","",""
"Suriname","Grenada","2014.0","Export","6.0","0.83","149.5","0.01"
"Suriname","Greenland","2014.0","Export","1.0","0.14","36.9","0.0"
"Suriname","Guatemala","2014.0","Export","","","",""
"Suriname","Guyana","2014.0","Export","246.0","34.02","139823.88","7.29"
"Suriname","Hong Kong, China","2014.0","Export","5.0","0.69","387.77","0.02"
"Suriname","Honduras","2014.0","Export","","","",""
"Suriname","Croatia","2014.0","Export","","","",""
"Suriname","Haiti","2014.0","Export","5.0","0.69","2343.88","0.12"
"Suriname","Hungary","2014.0","Export","1.0","0.14","65.7","0.0"
"Suriname","Indonesia","2014.0","Export","1.0","0.14","67.0","0.0"
"Suriname","India","2014.0","Export","11.0","1.52","3920.79","0.2"
"Suriname","Ireland","2014.0","Export","","","",""
"Suriname","Iran, Islamic Rep.","2014.0","Export","","","",""
"Suriname","Israel","2014.0","Export","2.0","0.28","193.41","0.01"
"Suriname","Italy","2014.0","Export","17.0","2.35","1778.18","0.09"
"Suriname","Jamaica","2014.0","Export","17.0","2.35","43465.93","2.27"
"Suriname","Jordan","2014.0","Export","","","",""
"Suriname","Japan","2014.0","Export","4.0","0.55","2711.43","0.14"
"Suriname","St. Kitts and Nevis","2014.0","Export","4.0","0.55","33.5","0.0"
"Suriname","Korea, Rep.","2014.0","Export","3.0","0.41","74.65","0.0"
"Suriname","Kuwait","2014.0","Export","1.0","0.14","31.82","0.0"
"Suriname","Lao PDR","2014.0","Export","","","",""
"Suriname","Lebanon","2014.0","Export","","","",""
"Suriname","Liberia","2014.0","Export","","","",""
"Suriname","St. Lucia","2014.0","Export","7.0","0.97","1271.77","0.07"
"Suriname","Latin America & Caribbean","2014.0","Export","446.0","61.69","331840.39","17.3"
"Suriname","Sri Lanka","2014.0","Export","","","",""
"Suriname","Morocco","2014.0","Export","","","",""
"Suriname","Middle East & North Africa","2014.0","Export","14.0","1.94","422330.91","22.02"
"Suriname","Mexico","2014.0","Export","4.0","0.55","198.0","0.01"
"Suriname","Macedonia, FYR","2014.0","Export","1.0","0.14","22.8","0.0"
"Suriname","Mali","2014.0","Export","","","",""
"Suriname","Malta","2014.0","Export","1.0","0.14","191.78","0.01"
"Suriname","Myanmar","2014.0","Export","1.0","0.14","155.73","0.01"
"Suriname","Montenegro","2014.0","Export","1.0","0.14","4693.61","0.24"
"Suriname","Mauritius","2014.0","Export","","","",""
"Suriname","Malaysia","2014.0","Export","2.0","0.28","9.95","0.0"
"Suriname","North America","2014.0","Export","188.0","26.0","578083.26","30.15"
"Suriname","Namibia","2014.0","Export","2.0","0.28","15.68","0.0"
"Suriname","Nigeria","2014.0","Export","3.0","0.41","54.58","0.0"
"Suriname","Nicaragua","2014.0","Export","","","",""
"Suriname","Netherlands","2014.0","Export","195.0","26.97","53047.54","2.77"
"Suriname","Norway","2014.0","Export","1.0","0.14","4.0","0.0"
"Suriname","Nepal","2014.0","Export","","","",""
"Suriname","Nauru","2014.0","Export","","","",""
"Suriname","New Zealand","2014.0","Export","1.0","0.14","81.82","0.0"
"Suriname","Other Asia, nes","2014.0","Export","6.0","0.83","1048.45","0.05"
"Suriname","Oman","2014.0","Export","1.0","0.14","1.91","0.0"
"Suriname","Pakistan","2014.0","Export","3.0","0.41","11.94","0.0"
"Suriname","Panama","2014.0","Export","36.0","4.98","7577.41","0.4"
"Suriname","Peru","2014.0","Export","7.0","0.97","4474.75","0.23"
"Suriname","Philippines","2014.0","Export","1.0","0.14","3.0","0.0"
"Suriname","Papua New Guinea","2014.0","Export","1.0","0.14","10.16","0.0"
"Suriname","Poland","2014.0","Export","2.0","0.28","15.34","0.0"
"Suriname","Korea, Dem. Rep.","2014.0","Export","5.0","0.69","291.9","0.02"
"Suriname","Portugal","2014.0","Export","7.0","0.97","3763.03","0.2"
"Suriname","Paraguay","2014.0","Export","","","",""
"Suriname","Romania","2014.0","Export","1.0","0.14","6.7","0.0"
"Suriname","Russian Federation","2014.0","Export","1.0","0.14","55.1","0.0"
"Suriname","South Asia","2014.0","Export","13.0","1.8","4390.32","0.23"
"Suriname","Saudi Arabia","2014.0","Export","","","",""
"Suriname","Serbia, FR(Serbia/Montenegro)","2014.0","Export","","","",""
"Suriname","Singapore","2014.0","Export","11.0","1.52","4058.83","0.21"
"Suriname","Sierra Leone","2014.0","Export","","","",""
"Suriname","El Salvador","2014.0","Export","4.0","0.55","23.76","0.0"
"Suriname","Sub-Saharan Africa","2014.0","Export","15.0","2.07","3522.81","0.18"
"Suriname","Slovak Republic","2014.0","Export","1.0","0.14","8.31","0.0"
"Suriname","Slovenia","2014.0","Export","","","",""
"Suriname","Sweden","2014.0","Export","2.0","0.28","25.69","0.0"
"Suriname","Saint Maarten (Dutch part)","2014.0","Export","4.0","0.55","10.22","0.0"
"Suriname","Seychelles","2014.0","Export","1.0","0.14","2934.47","0.15"
"Suriname","Turks and Caicos Isl.","2014.0","Export","","","",""
"Suriname","Thailand","2014.0","Export","4.0","0.55","371.72","0.02"
"Suriname","Trinidad and Tobago","2014.0","Export","121.0","16.74","69660.27","3.63"
"Suriname","Tunisia","2014.0","Export","","","",""
"Suriname","Turkey","2014.0","Export","6.0","0.83","95.58","0.01"
"Suriname","Tanzania","2014.0","Export","1.0","0.14","5.2","0.0"
"Suriname","Uganda","2014.0","Export","1.0","0.14","2.57","0.0"
"Suriname","Ukraine","2014.0","Export","1.0","0.14","10.83","0.0"
"Suriname","Unspecified","2014.0","Export","2.0","0.28","708.67","0.04"
"Suriname","Uruguay","2014.0","Export","1.0","0.14","121.5","0.01"
"Suriname","United States","2014.0","Export","183.0","25.31","466619.12","24.33"
"Suriname","St. Vincent and the Grenadines","2014.0","Export","15.0","2.07","299.88","0.02"
"Suriname","Venezuela","2014.0","Export","135.0","18.67","7927.73","0.41"
"Suriname","Vietnam","2014.0","Export","6.0","0.83","1316.96","0.07"
"Suriname"," World","2014.0","Export","723.0","100.0","1917670.79","100.0"
"Suriname","South Africa","2014.0","Export","3.0","0.41","207.71","0.01"
"Suriname","Zambia","2014.0","Export","1.0","0.14","10.0","0.0"
"Suriname","Zimbabwe","2014.0","Export","","","",""
