"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Sweden","Aruba","2014.0","Export","35.0","0.81","895.48","0.0"
"Sweden","Afghanistan","2014.0","Export","133.0","3.09","18945.7","0.01"
"Sweden","Angola","2014.0","Export","425.0","9.87","104854.74","0.06"
"Sweden","Anguila","2014.0","Export","13.0","0.3","337.7","0.0"
"Sweden","Albania","2014.0","Export","200.0","4.64","10115.3","0.01"
"Sweden","Andorra","2014.0","Export","97.0","2.25","1056.51","0.0"
"Sweden","United Arab Emirates","2014.0","Export","1549.0","35.97","1027408.61","0.63"
"Sweden","Argentina","2014.0","Export","672.0","15.61","220917.68","0.13"
"Sweden","Armenia","2014.0","Export","272.0","6.32","23219.51","0.01"
"Sweden","American Samoa","2014.0","Export","1.0","0.02","12.57","0.0"
"Sweden","Antarctica","2014.0","Export","2.0","0.05","6.14","0.0"
"Sweden","Fr. So. Ant. Tr","2014.0","Export","3.0","0.07","81.54","0.0"
"Sweden","Antigua and Barbuda","2014.0","Export","47.0","1.09","4193.74","0.0"
"Sweden","Australia","2014.0","Export","1796.0","41.71","1542871.64","0.94"
"Sweden","Austria","2014.0","Export","1799.0","41.78","1461788.49","0.89"
"Sweden","Azerbaijan","2014.0","Export","399.0","9.27","21663.98","0.01"
"Sweden","Burundi","2014.0","Export","43.0","1.0","730.64","0.0"
"Sweden","Belgium","2014.0","Export","2117.0","49.16","7075758.75","4.31"
"Sweden","Benin","2014.0","Export","131.0","3.04","19976.19","0.01"
"Sweden","Bonaire","2014.0","Export","13.0","0.3","60.94","0.0"
"Sweden","Burkina Faso","2014.0","Export","263.0","6.11","21220.48","0.01"
"Sweden","Bangladesh","2014.0","Export","241.0","5.6","87796.73","0.05"
"Sweden","Bulgaria","2014.0","Export","1147.0","26.64","137518.68","0.08"
"Sweden","Bahrain","2014.0","Export","437.0","10.15","72733.08","0.04"
"Sweden","Bahamas, The","2014.0","Export","95.0","2.21","4243.13","0.0"
"Sweden","Bosnia and Herzegovina","2014.0","Export","559.0","12.98","36336.73","0.02"
"Sweden","Belarus","2014.0","Export","586.0","13.61","90100.01","0.05"
"Sweden","Belize","2014.0","Export","43.0","1.0","745.69","0.0"
"Sweden","Bermuda","2014.0","Export","76.0","1.76","4299.83","0.0"
"Sweden","Bolivia","2014.0","Export","309.0","7.18","133648.32","0.08"
"Sweden","Brazil","2014.0","Export","1270.0","29.49","1305076.86","0.79"
"Sweden","Barbados","2014.0","Export","94.0","2.18","11666.75","0.01"
"Sweden","Brunei","2014.0","Export","140.0","3.25","3792.32","0.0"
"Sweden","Bhutan","2014.0","Export","58.0","1.35","1717.45","0.0"
"Sweden","Bunkers","2014.0","Export","5.0","0.12","1198866.64","0.73"
"Sweden","Botswana","2014.0","Export","107.0","2.48","11771.52","0.01"
"Sweden","Central African Republic","2014.0","Export","25.0","0.58","1315.74","0.0"
"Sweden","Canada","2014.0","Export","1579.0","36.67","1091233.26","0.66"
"Sweden","Cocos (Keeling) Islands","2014.0","Export","1.0","0.02","16.81","0.0"
"Sweden","Switzerland","2014.0","Export","2224.0","51.65","1704512.18","1.04"
"Sweden","Chile","2014.0","Export","1010.0","23.46","362694.25","0.22"
"Sweden","China","2014.0","Export","2066.0","47.98","5769382.66","3.51"
"Sweden","Cote d'Ivoire","2014.0","Export","226.0","5.25","49219.85","0.03"
"Sweden","Cameroon","2014.0","Export","215.0","4.99","25250.41","0.02"
"Sweden","Congo, Rep.","2014.0","Export","172.0","3.99","9506.24","0.01"
"Sweden","Cook Islands","2014.0","Export","2.0","0.05","52.46","0.0"
"Sweden","Colombia","2014.0","Export","685.0","15.91","105178.27","0.06"
