"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Switzerland","Aruba","2014.0","Export","177.0","4.09","37062.07","0.01"
"Switzerland","Afghanistan","2014.0","Export","151.0","3.49","7938.75","0.0"
"Switzerland","Angola","2014.0","Export","423.0","9.78","33093.88","0.01"
"Switzerland","Anguila","2014.0","Export","3.0","0.07","1185.16","0.0"
"Switzerland","Albania","2014.0","Export","411.0","9.51","32012.52","0.01"
"Switzerland","Andorra","2014.0","Export","198.0","4.58","6228.21","0.0"
"Switzerland","United Arab Emirates","2014.0","Export","1776.0","41.08","6443306.97","2.07"
"Switzerland","Argentina","2014.0","Export","1039.0","24.03","730495.79","0.23"
"Switzerland","Armenia","2014.0","Export","455.0","10.53","125192.25","0.04"
"Switzerland","American Samoa","2014.0","Export","13.0","0.3","116.2","0.0"
"Switzerland","Fr. So. Ant. Tr","2014.0","Export","8.0","0.19","69.57","0.0"
"Switzerland","Antigua and Barbuda","2014.0","Export","84.0","1.94","2143.13","0.0"
"Switzerland","Australia","2014.0","Export","1834.0","42.42","2777594.2","0.89"
"Switzerland","Austria","2014.0","Export","3222.0","74.53","8551417.46","2.75"
"Switzerland","Azerbaijan","2014.0","Export","726.0","16.79","192006.71","0.06"
"Switzerland","Burundi","2014.0","Export","58.0","1.34","1335.05","0.0"
"Switzerland","Belgium","2014.0","Export","2555.0","59.1","6388532.13","2.05"
"Switzerland","Benin","2014.0","Export","239.0","5.53","34068.9","0.01"
"Switzerland","Bonaire","2014.0","Export","32.0","0.74","465.52","0.0"
"Switzerland","Burkina Faso","2014.0","Export","233.0","5.39","5199.12","0.0"
"Switzerland","Bangladesh","2014.0","Export","573.0","13.25","142883.88","0.05"
"Switzerland","Bulgaria","2014.0","Export","1473.0","34.07","389979.68","0.13"
"Switzerland","Bahrain","2014.0","Export","732.0","16.93","299489.6","0.1"
