"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Tanzania","Aruba","2014.0","Export","","","",""
"Tanzania","Afghanistan","2014.0","Export","","","",""
"Tanzania","Angola","2014.0","Export","77.0","3.26","2452.74","0.04"
"Tanzania","Albania","2014.0","Export","1.0","0.04","33.32","0.0"
"Tanzania","Andorra","2014.0","Export","","","",""
"Tanzania","United Arab Emirates","2014.0","Export","314.0","13.29","85466.15","1.5"
"Tanzania","Argentina","2014.0","Export","3.0","0.13","1414.64","0.02"
"Tanzania","Armenia","2014.0","Export","","","",""
"Tanzania","American Samoa","2014.0","Export","1.0","0.04","199.66","0.0"
"Tanzania","Antarctica","2014.0","Export","","","",""
"Tanzania","Antigua and Barbuda","2014.0","Export","","","",""
"Tanzania","Australia","2014.0","Export","143.0","6.05","61152.8","1.07"
"Tanzania","Austria","2014.0","Export","16.0","0.68","541.23","0.01"
"Tanzania","Azerbaijan","2014.0","Export","1.0","0.04","0.29","0.0"
"Tanzania","Burundi","2014.0","Export","237.0","10.03","43038.58","0.75"
"Tanzania","Belgium","2014.0","Export","193.0","8.17","98859.29","1.73"
"Tanzania","Benin","2014.0","Export","5.0","0.21","6685.81","0.12"
"Tanzania","Burkina Faso","2014.0","Export","6.0","0.25","16.72","0.0"
"Tanzania","Bangladesh","2014.0","Export","4.0","0.17","5735.74","0.1"
"Tanzania","Bulgaria","2014.0","Export","4.0","0.17","19.68","0.0"
"Tanzania","Bahrain","2014.0","Export","4.0","0.17","387.42","0.01"
"Tanzania","Bahamas, The","2014.0","Export","","","",""
"Tanzania","Bosnia and Herzegovina","2014.0","Export","","","",""
"Tanzania","Belarus","2014.0","Export","","","",""
"Tanzania","Belize","2014.0","Export","","","",""
"Tanzania","Bermuda","2014.0","Export","","","",""
"Tanzania","Bolivia","2014.0","Export","2.0","0.08","10.23","0.0"
"Tanzania","Brazil","2014.0","Export","36.0","1.52","96.02","0.0"
"Tanzania","Barbados","2014.0","Export","","","",""
"Tanzania","Brunei","2014.0","Export","1.0","0.04","1.37","0.0"
"Tanzania","Bhutan","2014.0","Export","","","",""
"Tanzania","Botswana","2014.0","Export","62.0","2.62","4213.18","0.07"
"Tanzania","Canada","2014.0","Export","87.0","3.68","7073.11","0.12"
"Tanzania","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Tanzania","Switzerland","2014.0","Export","66.0","2.79","148967.52","2.61"
"Tanzania","Chile","2014.0","Export","4.0","0.17","140.02","0.0"
"Tanzania","China","2014.0","Export","145.0","6.14","683954.58","11.99"
"Tanzania","Cote d'Ivoire","2014.0","Export","25.0","1.06","681.55","0.01"
"Tanzania","Cameroon","2014.0","Export","69.0","2.92","821.11","0.01"
"Tanzania","Congo, Rep.","2014.0","Export","70.0","2.96","291481.29","5.11"
"Tanzania","Colombia","2014.0","Export","14.0","0.59","2374.82","0.04"
"Tanzania","Comoros","2014.0","Export","127.0","5.38","1622.99","0.03"
"Tanzania","Cape Verde","2014.0","Export","","","",""
"Tanzania","Costa Rica","2014.0","Export","","","",""
"Tanzania","Cuba","2014.0","Export","","","",""
"Tanzania","Curaçao","2014.0","Export","2.0","0.08","126.05","0.0"
"Tanzania","Cayman Islands","2014.0","Export","1.0","0.04","42.13","0.0"
"Tanzania","Cyprus","2014.0","Export","3.0","0.13","3254.68","0.06"
"Tanzania","Czech Republic","2014.0","Export","9.0","0.38","192.82","0.0"
"Tanzania","Germany","2014.0","Export","361.0","15.28","221942.33","3.89"
"Tanzania","Djibouti","2014.0","Export","9.0","0.38","2619.65","0.05"
"Tanzania","Dominica","2014.0","Export","","","",""
"Tanzania","Denmark","2014.0","Export","68.0","2.88","7503.99","0.13"
"Tanzania","Dominican Republic","2014.0","Export","8.0","0.34","290.46","0.01"
"Tanzania","Algeria","2014.0","Export","5.0","0.21","768.9","0.01"
"Tanzania","East Asia & Pacific","2014.0","Export","434.0","18.37","1158601.51","20.31"
"Tanzania","Europe & Central Asia","2014.0","Export","953.0","40.35","806168.44","14.13"
"Tanzania","Ecuador","2014.0","Export","18.0","0.76","6.61","0.0"
"Tanzania","Egypt, Arab Rep.","2014.0","Export","37.0","1.57","1276.61","0.02"
"Tanzania","Eritrea","2014.0","Export","2.0","0.08","35.37","0.0"
"Tanzania","Spain","2014.0","Export","53.0","2.24","14267.48","0.25"
"Tanzania","Estonia","2014.0","Export","1.0","0.04","154.43","0.0"
"Tanzania","Ethiopia(excludes Eritrea)","2014.0","Export","68.0","2.88","5395.52","0.09"
"Tanzania","Finland","2014.0","Export","25.0","1.06","3659.35","0.06"
"Tanzania","Fiji","2014.0","Export","","","",""
"Tanzania","Falkland Island","2014.0","Export","","","",""
"Tanzania","France","2014.0","Export","134.0","5.67","25904.04","0.45"
"Tanzania","Gabon","2014.0","Export","5.0","0.21","110.56","0.0"
"Tanzania","United Kingdom","2014.0","Export","441.0","18.67","46622.39","0.82"
"Tanzania","Georgia","2014.0","Export","7.0","0.3","42.86","0.0"
"Tanzania","Ghana","2014.0","Export","35.0","1.48","1186.66","0.02"
"Tanzania","Gibraltar","2014.0","Export","","","",""
"Tanzania","Guinea","2014.0","Export","9.0","0.38","105.29","0.0"
"Tanzania","Gambia, The","2014.0","Export","8.0","0.34","64.38","0.0"
"Tanzania","Equatorial Guinea","2014.0","Export","","","",""
"Tanzania","Greece","2014.0","Export","45.0","1.91","5778.75","0.1"
"Tanzania","Greenland","2014.0","Export","","","",""
"Tanzania","Guatemala","2014.0","Export","1.0","0.04","12.89","0.0"
"Tanzania","Guam","2014.0","Export","","","",""
"Tanzania","Guyana","2014.0","Export","","","",""
"Tanzania","Hong Kong, China","2014.0","Export","62.0","2.62","35632.91","0.62"
"Tanzania","Honduras","2014.0","Export","","","",""
"Tanzania","Croatia","2014.0","Export","1.0","0.04","4.98","0.0"
"Tanzania","Haiti","2014.0","Export","","","",""
"Tanzania","Hungary","2014.0","Export","14.0","0.59","300.16","0.01"
"Tanzania","Indonesia","2014.0","Export","48.0","2.03","6641.99","0.12"
"Tanzania","India","2014.0","Export","205.0","8.68","1254631.79","21.99"
"Tanzania","Ireland","2014.0","Export","14.0","0.59","169.55","0.0"
"Tanzania","Iran, Islamic Rep.","2014.0","Export","2.0","0.08","514.49","0.01"
"Tanzania","Iraq","2014.0","Export","5.0","0.21","9.5","0.0"
"Tanzania","Iceland","2014.0","Export","2.0","0.08","4148.29","0.07"
"Tanzania","Israel","2014.0","Export","31.0","1.31","10489.0","0.18"
"Tanzania","Italy","2014.0","Export","82.0","3.47","52530.2","0.92"
"Tanzania","Jamaica","2014.0","Export","3.0","0.13","30.07","0.0"
"Tanzania","Jordan","2014.0","Export","6.0","0.25","168.42","0.0"
"Tanzania","Japan","2014.0","Export","67.0","2.84","247806.32","4.34"
"Tanzania","Kazakhstan","2014.0","Export","22.0","0.93","1529.92","0.03"
"Tanzania","Kenya","2014.0","Export","576.0","24.39","445964.7","7.82"
"Tanzania","Cambodia","2014.0","Export","1.0","0.04","4.89","0.0"
"Tanzania","Kiribati","2014.0","Export","","","",""
"Tanzania","St. Kitts and Nevis","2014.0","Export","","","",""
"Tanzania","Korea, Rep.","2014.0","Export","21.0","0.89","6283.46","0.11"
"Tanzania","Kuwait","2014.0","Export","4.0","0.17","56.6","0.0"
"Tanzania","Lao PDR","2014.0","Export","","","",""
"Tanzania","Lebanon","2014.0","Export","6.0","0.25","96.53","0.0"
"Tanzania","Liberia","2014.0","Export","12.0","0.51","138.63","0.0"
"Tanzania","Libya","2014.0","Export","3.0","0.13","5.29","0.0"
"Tanzania","Latin America & Caribbean","2014.0","Export","83.0","3.51","6005.48","0.11"
"Tanzania","Sri Lanka","2014.0","Export","26.0","1.1","2072.36","0.04"
"Tanzania","Lesotho","2014.0","Export","28.0","1.19","73.66","0.0"
"Tanzania","Lithuania","2014.0","Export","6.0","0.25","288.83","0.01"
"Tanzania","Luxembourg","2014.0","Export","7.0","0.3","26.05","0.0"
"Tanzania","Latvia","2014.0","Export","4.0","0.17","245.65","0.0"
"Tanzania","Macao","2014.0","Export","","","",""
"Tanzania","Morocco","2014.0","Export","5.0","0.21","2202.45","0.04"
"Tanzania","Moldova","2014.0","Export","","","",""
"Tanzania","Madagascar","2014.0","Export","45.0","1.91","2285.96","0.04"
"Tanzania","Maldives","2014.0","Export","1.0","0.04","15.13","0.0"
"Tanzania","Middle East & North Africa","2014.0","Export","440.0","18.63","128782.03","2.26"
"Tanzania","Mexico","2014.0","Export","22.0","0.93","1081.5","0.02"
"Tanzania","Marshall Islands","2014.0","Export","","","",""
"Tanzania","Macedonia, FYR","2014.0","Export","","","",""
"Tanzania","Mali","2014.0","Export","30.0","1.27","957.73","0.02"
"Tanzania","Malta","2014.0","Export","11.0","0.47","322.97","0.01"
"Tanzania","Myanmar","2014.0","Export","1.0","0.04","9.94","0.0"
"Tanzania","Mongolia","2014.0","Export","","","",""
"Tanzania","Mozambique","2014.0","Export","510.0","21.59","68093.89","1.19"
"Tanzania","Mauritania","2014.0","Export","4.0","0.17","227.56","0.0"
"Tanzania","Mauritius","2014.0","Export","42.0","1.78","2430.46","0.04"
"Tanzania","Malawi","2014.0","Export","241.0","10.2","41291.11","0.72"
"Tanzania","Malaysia","2014.0","Export","30.0","1.27","13150.45","0.23"
"Tanzania","North America","2014.0","Export","283.0","11.98","150113.03","2.63"
"Tanzania","Namibia","2014.0","Export","7.0","0.3","758.92","0.01"
"Tanzania","New Caledonia","2014.0","Export","1.0","0.04","122.91","0.0"
"Tanzania","Niger","2014.0","Export","1.0","0.04","35.45","0.0"
"Tanzania","Nigeria","2014.0","Export","69.0","2.92","4329.46","0.08"
"Tanzania","Nicaragua","2014.0","Export","2.0","0.08","39.33","0.0"
