"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Thailand","Aruba","2014.0","Export","84.0","1.95","4828.48","0.0"
"Thailand","Afghanistan","2014.0","Export","94.0","2.18","47040.66","0.02"
"Thailand","Angola","2014.0","Export","507.0","11.76","282294.76","0.12"
"Thailand","Anguila","2014.0","Export","2.0","0.05","4.38","0.0"
"Thailand","Albania","2014.0","Export","67.0","1.55","8452.2","0.0"
"Thailand","Andorra","2014.0","Export","34.0","0.79","196.92","0.0"
"Thailand","United Arab Emirates","2014.0","Export","2092.0","48.5","3247204.0","1.43"
"Thailand","Argentina","2014.0","Export","615.0","14.26","700764.29","0.31"
"Thailand","Armenia","2014.0","Export","41.0","0.95","25298.29","0.01"
"Thailand","American Samoa","2014.0","Export","39.0","0.9","3041.11","0.0"
"Thailand","Fr. So. Ant. Tr","2014.0","Export","6.0","0.14","60.22","0.0"
"Thailand","Antigua and Barbuda","2014.0","Export","74.0","1.72","4136.63","0.0"
"Thailand","Australia","2014.0","Export","2547.0","59.05","9298849.15","4.09"
"Thailand","Austria","2014.0","Export","941.0","21.82","223840.1","0.1"
"Thailand","Azerbaijan","2014.0","Export","99.0","2.3","23956.65","0.01"
"Thailand","Burundi","2014.0","Export","49.0","1.14","956.08","0.0"
"Thailand","Belgium","2014.0","Export","1375.0","31.88","1674462.33","0.74"
"Thailand","Benin","2014.0","Export","180.0","4.17","508284.8","0.22"
"Thailand","Bonaire","2014.0","Export","9.0","0.21","17.22","0.0"
"Thailand","Burkina Faso","2014.0","Export","135.0","3.13","8163.64","0.0"
"Thailand","Bangladesh","2014.0","Export","1691.0","39.21","863374.47","0.38"
"Thailand","Bulgaria","2014.0","Export","348.0","8.07","35125.33","0.02"
"Thailand","Bahrain","2014.0","Export","986.0","22.86","240611.4","0.11"
"Thailand","Bahamas, The","2014.0","Export","54.0","1.25","4536.36","0.0"
"Thailand","Bosnia and Herzegovina","2014.0","Export","36.0","0.83","6416.75","0.0"
"Thailand","Belarus","2014.0","Export","116.0","2.69","18089.08","0.01"
"Thailand","Belize","2014.0","Export","87.0","2.02","2899.8","0.0"
"Thailand","Bermuda","2014.0","Export","122.0","2.83","1672.14","0.0"
"Thailand","Bolivia","2014.0","Export","193.0","4.47","71904.05","0.03"
"Thailand","Brazil","2014.0","Export","1166.0","27.03","1935666.02","0.85"
"Thailand","Barbados","2014.0","Export","129.0","2.99","13195.7","0.01"
"Thailand","Brunei","2014.0","Export","921.0","21.35","142533.04","0.06"
"Thailand","Bhutan","2014.0","Export","386.0","8.95","4013.49","0.0"
"Thailand","Bouvet Island","2014.0","Export","","","",""
"Thailand","Botswana","2014.0","Export","138.0","3.2","806.44","0.0"
"Thailand","Central African Republic","2014.0","Export","40.0","0.93","490.36","0.0"
"Thailand","Canada","2014.0","Export","1581.0","36.66","1478949.45","0.65"
"Thailand","Cocos (Keeling) Islands","2014.0","Export","2.0","0.05","38.52","0.0"
"Thailand","Switzerland","2014.0","Export","1466.0","33.99","1991446.91","0.88"
"Thailand","Chile","2014.0","Export","864.0","20.03","642325.27","0.28"
"Thailand","China","2014.0","Export","2892.0","67.05","25084369.43","11.02"
"Thailand","Cote d'Ivoire","2014.0","Export","310.0","7.19","340789.01","0.15"
"Thailand","Cameroon","2014.0","Export","263.0","6.1","226116.56","0.1"
"Thailand","Congo, Rep.","2014.0","Export","325.0","7.54","80546.06","0.04"
"Thailand","Cook Islands","2014.0","Export","93.0","2.16","1587.3","0.0"
"Thailand","Colombia","2014.0","Export","744.0","17.25","248936.51","0.11"
"Thailand","Comoros","2014.0","Export","32.0","0.74","1668.04","0.0"
"Thailand","Cape Verde","2014.0","Export","33.0","0.77","8514.16","0.0"
"Thailand","Costa Rica","2014.0","Export","395.0","9.16","124632.28","0.05"
"Thailand","Cuba","2014.0","Export","31.0","0.72","4921.38","0.0"
"Thailand","Curaçao","2014.0","Export","191.0","4.43","10415.56","0.0"
"Thailand","Christmas Island","2014.0","Export","1.0","0.02","22.73","0.0"
"Thailand","Cayman Islands","2014.0","Export","26.0","0.6","971.79","0.0"
"Thailand","Cyprus","2014.0","Export","425.0","9.85","27528.74","0.01"
"Thailand","Czech Republic","2014.0","Export","719.0","16.67","766834.48","0.34"
"Thailand","Germany","2014.0","Export","2359.0","54.7","4532004.16","1.99"
"Thailand","Djibouti","2014.0","Export","105.0","2.43","56598.92","0.02"
"Thailand","Dominica","2014.0","Export","102.0","2.36","1790.11","0.0"
"Thailand","Denmark","2014.0","Export","1207.0","27.99","438806.2","0.19"
"Thailand","Dominican Republic","2014.0","Export","277.0","6.42","96696.77","0.04"
"Thailand","Algeria","2014.0","Export","337.0","7.81","258380.7","0.11"
"Thailand","East Asia & Pacific","2014.0","Export","4231.0","98.1","134523203.35","59.11"
"Thailand","Europe & Central Asia","2014.0","Export","3352.0","77.72","28400918.37","12.48"
"Thailand","Ecuador","2014.0","Export","415.0","9.62","353892.05","0.16"
"Thailand","Egypt, Arab Rep.","2014.0","Export","1083.0","25.11","1082811.3","0.48"
"Thailand","Eritrea","2014.0","Export","25.0","0.58","13393.56","0.01"
"Thailand","Western Sahara","2014.0","Export","2.0","0.05","13.3","0.0"
"Thailand","Spain","2014.0","Export","1452.0","33.67","783544.55","0.34"
"Thailand","Estonia","2014.0","Export","311.0","7.21","81728.29","0.04"
"Thailand","Ethiopia(excludes Eritrea)","2014.0","Export","418.0","9.69","57369.34","0.03"
"Thailand","Finland","2014.0","Export","913.0","21.17","314672.39","0.14"
"Thailand","Fiji","2014.0","Export","742.0","17.2","57640.64","0.03"
"Thailand","Falkland Island","2014.0","Export","2.0","0.05","58.89","0.0"
"Thailand","France","2014.0","Export","1977.0","45.84","1711343.58","0.75"
"Thailand","Faeroe Islands","2014.0","Export","17.0","0.39","12.59","0.0"
"Thailand","Micronesia, Fed. Sts.","2014.0","Export","41.0","0.95","3112.16","0.0"
"Thailand","Gabon","2014.0","Export","239.0","5.54","43530.53","0.02"
"Thailand","United Kingdom","2014.0","Export","2202.0","51.06","4007084.06","1.76"
"Thailand","Georgia","2014.0","Export","129.0","2.99","35627.58","0.02"
"Thailand","Ghana","2014.0","Export","496.0","11.5","292004.7","0.13"
"Thailand","Gibraltar","2014.0","Export","8.0","0.19","341.77","0.0"
"Thailand","Guinea","2014.0","Export","275.0","6.38","63604.07","0.03"
"Thailand","Gambia, The","2014.0","Export","95.0","2.2","31698.09","0.01"
"Thailand","Guinea-Bissau","2014.0","Export","54.0","1.25","1303.88","0.0"
"Thailand","Equatorial Guinea","2014.0","Export","57.0","1.32","9344.15","0.0"
"Thailand","Greece","2014.0","Export","760.0","17.62","131292.42","0.06"
"Thailand","Grenada","2014.0","Export","23.0","0.53","2443.82","0.0"
"Thailand","Greenland","2014.0","Export","8.0","0.19","32.69","0.0"
"Thailand","Guatemala","2014.0","Export","328.0","7.6","137150.11","0.06"
"Thailand","Guam","2014.0","Export","368.0","8.53","9371.45","0.0"
"Thailand","Guyana","2014.0","Export","120.0","2.78","6249.69","0.0"
"Thailand","Hong Kong, China","2014.0","Export","2737.0","63.46","12609968.15","5.54"
"Thailand","Heard Island and McDonald Isla","2014.0","Export","","","",""
"Thailand","Honduras","2014.0","Export","298.0","6.91","76715.04","0.03"
"Thailand","Croatia","2014.0","Export","298.0","6.91","31217.21","0.01"
"Thailand","Haiti","2014.0","Export","169.0","3.92","18196.09","0.01"
"Thailand","Hungary","2014.0","Export","546.0","12.66","492873.79","0.22"
"Thailand","Indonesia","2014.0","Export","2523.0","58.5","9510286.62","4.18"
"Thailand","India","2014.0","Export","2509.0","58.17","5614841.36","2.47"
"Thailand","British Indian Ocean Ter.","2014.0","Export","5.0","0.12","20.97","0.0"
"Thailand","Ireland","2014.0","Export","646.0","14.98","444152.76","0.2"
"Thailand","Iran, Islamic Rep.","2014.0","Export","687.0","15.93","322164.85","0.14"
"Thailand","Iraq","2014.0","Export","371.0","8.6","337069.79","0.15"
"Thailand","Iceland","2014.0","Export","238.0","5.52","6578.22","0.0"
"Thailand","Israel","2014.0","Export","1172.0","27.17","760320.99","0.33"
"Thailand","Italy","2014.0","Export","1790.0","41.5","1514139.54","0.67"
"Thailand","Jamaica","2014.0","Export","201.0","4.66","38621.01","0.02"
