"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Tonga","United Arab Emirates","2014.0","Export","","","",""
"Tonga","Armenia","2014.0","Export","1.0","0.16","12.4","0.07"
"Tonga","American Samoa","2014.0","Export","23.0","3.62","146.78","0.78"
"Tonga","Australia","2014.0","Export","197.0","30.97","1657.38","8.78"
"Tonga","Austria","2014.0","Export","","","",""
"Tonga","Azerbaijan","2014.0","Export","","","",""
"Tonga","Belgium","2014.0","Export","","","",""
"Tonga","Bangladesh","2014.0","Export","","","",""
"Tonga","Bulgaria","2014.0","Export","","","",""
"Tonga","Bosnia and Herzegovina","2014.0","Export","","","",""
"Tonga","Brazil","2014.0","Export","","","",""
"Tonga","Barbados","2014.0","Export","","","",""
"Tonga","Canada","2014.0","Export","4.0","0.63","3.76","0.02"
"Tonga","Switzerland","2014.0","Export","1.0","0.16","10.6","0.06"
"Tonga","Chile","2014.0","Export","","","",""
"Tonga","China","2014.0","Export","18.0","2.83","6.18","0.03"
"Tonga","Cook Islands","2014.0","Export","2.0","0.31","4.87","0.03"
"Tonga","Colombia","2014.0","Export","","","",""
"Tonga","Costa Rica","2014.0","Export","","","",""
"Tonga","Cuba","2014.0","Export","","","",""
"Tonga","Cyprus","2014.0","Export","","","",""
"Tonga","Germany","2014.0","Export","8.0","1.26","16.2","0.09"
"Tonga","Denmark","2014.0","Export","2.0","0.31","0.0","0.0"
"Tonga","East Asia & Pacific","2014.0","Export","586.0","92.14","13287.77","70.38"
"Tonga","Europe & Central Asia","2014.0","Export","96.0","15.09","48.11","0.25"
"Tonga","Egypt, Arab Rep.","2014.0","Export","","","",""
"Tonga","Eritrea","2014.0","Export","","","",""
"Tonga","Spain","2014.0","Export","","","",""
"Tonga","Finland","2014.0","Export","7.0","1.1","1.81","0.01"
"Tonga","Fiji","2014.0","Export","132.0","20.75","211.31","1.12"
"Tonga","France","2014.0","Export","40.0","6.29","1.88","0.01"
"Tonga","United Kingdom","2014.0","Export","45.0","7.08","4.44","0.02"
"Tonga","Georgia","2014.0","Export","","","",""
"Tonga","Guinea","2014.0","Export","8.0","1.26","0.23","0.0"
"Tonga","Gambia, The","2014.0","Export","","","",""
"Tonga","Greece","2014.0","Export","","","",""
"Tonga","Guam","2014.0","Export","1.0","0.16","0.0","0.0"
"Tonga","Hong Kong, China","2014.0","Export","10.0","1.57","3348.62","17.74"
"Tonga","Honduras","2014.0","Export","","","",""
"Tonga","Haiti","2014.0","Export","","","",""
"Tonga","Hungary","2014.0","Export","","","",""
"Tonga","Indonesia","2014.0","Export","2.0","0.31","3.91","0.02"
"Tonga","India","2014.0","Export","1.0","0.16","0.27","0.0"
"Tonga","Ireland","2014.0","Export","","","",""
"Tonga","Iceland","2014.0","Export","","","",""
"Tonga","Italy","2014.0","Export","","","",""
"Tonga","Jamaica","2014.0","Export","","","",""
"Tonga","Japan","2014.0","Export","16.0","2.52","2053.96","10.88"
"Tonga","Cambodia","2014.0","Export","","","",""
"Tonga","Kiribati","2014.0","Export","3.0","0.47","7.53","0.04"
"Tonga","Korea, Rep.","2014.0","Export","7.0","1.1","314.4","1.67"
"Tonga","Latin America & Caribbean","2014.0","Export","","","",""
