"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Turkey","Aruba","2014.0","Export","61.0","1.42","718.41","0.0"
"Turkey","Afghanistan","2014.0","Export","1376.0","31.92","186402.68","0.12"
"Turkey","Angola","2014.0","Export","937.0","21.74","287734.74","0.18"
"Turkey","Anguila","2014.0","Export","9.0","0.21","81.68","0.0"
"Turkey","Albania","2014.0","Export","2033.0","47.16","318670.79","0.2"
"Turkey","Andorra","2014.0","Export","10.0","0.23","555.62","0.0"
"Turkey","United Arab Emirates","2014.0","Export","2211.0","51.29","4662880.77","2.96"
"Turkey","Argentina","2014.0","Export","456.0","10.58","141438.01","0.09"
"Turkey","Armenia","2014.0","Export","","","",""
"Turkey","American Samoa","2014.0","Export","7.0","0.16","145.5","0.0"
"Turkey","Antarctica","2014.0","Export","","","",""
"Turkey","Fr. So. Ant. Tr","2014.0","Export","24.0","0.56","184.2","0.0"
"Turkey","Antigua and Barbuda","2014.0","Export","44.0","1.02","14954.66","0.01"
"Turkey","Australia","2014.0","Export","1364.0","31.64","505506.77","0.32"
"Turkey","Austria","2014.0","Export","1765.0","40.94","1134723.51","0.72"
"Turkey","Azerbaijan","2014.0","Export","3095.0","71.79","2876116.5","1.82"
"Turkey","Burundi","2014.0","Export","204.0","4.73","2517.57","0.0"
"Turkey","Belgium","2014.0","Export","1963.0","45.53","2940313.01","1.86"
"Turkey","Benin","2014.0","Export","448.0","10.39","99615.78","0.06"
"Turkey","Burkina Faso","2014.0","Export","482.0","11.18","25704.68","0.02"
"Turkey","Bangladesh","2014.0","Export","724.0","16.79","148720.4","0.09"
"Turkey","Bulgaria","2014.0","Export","2599.0","60.29","2041036.35","1.29"
"Turkey","Bahrain","2014.0","Export","1119.0","25.96","204085.43","0.13"
"Turkey","Bahamas, The","2014.0","Export","68.0","1.58","13834.05","0.01"
"Turkey","Bosnia and Herzegovina","2014.0","Export","1887.0","43.77","322449.37","0.2"
"Turkey","Belarus","2014.0","Export","1303.0","30.23","272394.28","0.17"
"Turkey","Belize","2014.0","Export","58.0","1.35","19546.73","0.01"
"Turkey","Bermuda","2014.0","Export","45.0","1.04","1255.21","0.0"
"Turkey","Bolivia","2014.0","Export","295.0","6.84","16027.62","0.01"
"Turkey","Brazil","2014.0","Export","936.0","21.71","794531.87","0.5"
"Turkey","Barbados","2014.0","Export","91.0","2.11","8183.82","0.01"
"Turkey","Brunei","2014.0","Export","72.0","1.67","5526.83","0.0"
"Turkey","Bhutan","2014.0","Export","9.0","0.21","71.71","0.0"
"Turkey","Bouvet Island","2014.0","Export","","","",""
"Turkey","Botswana","2014.0","Export","82.0","1.9","1884.62","0.0"
"Turkey","Central African Republic","2014.0","Export","195.0","4.52","6121.21","0.0"
"Turkey","Canada","2014.0","Export","1261.0","29.25","952479.67","0.6"
"Turkey","Cocos (Keeling) Islands","2014.0","Export","2.0","0.05","123.47","0.0"
"Turkey","Switzerland","2014.0","Export","1574.0","36.51","3219755.6","2.04"
"Turkey","Chile","2014.0","Export","889.0","20.62","198613.52","0.13"
"Turkey","China","2014.0","Export","1497.0","34.73","2861985.61","1.81"
"Turkey","Cote d'Ivoire","2014.0","Export","871.0","20.2","93220.92","0.06"
"Turkey","Cameroon","2014.0","Export","947.0","21.97","110729.62","0.07"
"Turkey","Congo, Rep.","2014.0","Export","824.0","19.11","97634.92","0.06"
"Turkey","Cook Islands","2014.0","Export","8.0","0.19","7269.45","0.0"
"Turkey","Colombia","2014.0","Export","712.0","16.52","183131.01","0.12"
"Turkey","Comoros","2014.0","Export","85.0","1.97","6798.58","0.0"
"Turkey","Cape Verde","2014.0","Export","120.0","2.78","6549.87","0.0"
"Turkey","Costa Rica","2014.0","Export","232.0","5.38","48928.5","0.03"
"Turkey","Cuba","2014.0","Export","140.0","3.25","12838.95","0.01"
"Turkey","Curaçao","2014.0","Export","189.0","4.38","5782.05","0.0"
"Turkey","Christmas Island","2014.0","Export","","","",""
"Turkey","Cayman Islands","2014.0","Export","22.0","0.51","18790.52","0.01"
"Turkey","Cyprus","2014.0","Export","36.0","0.84","247.55","0.0"
"Turkey","Czech Republic","2014.0","Export","1436.0","33.31","837188.64","0.53"
"Turkey","Germany","2014.0","Export","2993.0","69.43","15155933.77","9.61"
"Turkey","Djibouti","2014.0","Export","683.0","15.84","60142.23","0.04"
"Turkey","Dominica","2014.0","Export","19.0","0.44","456.42","0.0"
"Turkey","Denmark","2014.0","Export","1368.0","31.73","1077285.45","0.68"
"Turkey","Dominican Republic","2014.0","Export","342.0","7.93","66069.81","0.04"
"Turkey","Algeria","2014.0","Export","2064.0","47.88","2083473.17","1.32"
"Turkey","East Asia & Pacific","2014.0","Export","2639.0","61.22","6504171.39","4.12"
"Turkey","Europe & Central Asia","2014.0","Export","4143.0","96.1","90224178.46","57.21"
"Turkey","Ecuador","2014.0","Export","379.0","8.79","77840.61","0.05"
"Turkey","Egypt, Arab Rep.","2014.0","Export","2328.0","54.0","3300940.32","2.09"
"Turkey","Eritrea","2014.0","Export","92.0","2.13","6160.19","0.0"
"Turkey","Spain","2014.0","Export","2003.0","46.46","4763139.96","3.02"
"Turkey","Estonia","2014.0","Export","1097.0","25.45","177672.08","0.11"
"Turkey","Ethiopia(excludes Eritrea)","2014.0","Export","1292.0","29.97","329207.78","0.21"
"Turkey","Finland","2014.0","Export","1113.0","25.82","329572.65","0.21"
"Turkey","Fiji","2014.0","Export","30.0","0.7","869.49","0.0"
"Turkey","Falkland Island","2014.0","Export","","","",""
"Turkey","France","2014.0","Export","2409.0","55.88","6470327.2","4.1"
"Turkey","Free Zones","2014.0","Export","3464.0","80.35","3359251.9","2.13"
"Turkey","Faeroe Islands","2014.0","Export","2.0","0.05","102.88","0.0"
"Turkey","Micronesia, Fed. Sts.","2014.0","Export","2.0","0.05","18.24","0.0"
"Turkey","Gabon","2014.0","Export","860.0","19.95","57208.83","0.04"
"Turkey","United Kingdom","2014.0","Export","2368.0","54.93","9914028.19","6.29"
"Turkey","Georgia","2014.0","Export","2893.0","67.11","1444253.02","0.92"
"Turkey","Ghana","2014.0","Export","1149.0","26.65","175800.83","0.11"
"Turkey","Gibraltar","2014.0","Export","41.0","0.95","155886.7","0.1"
"Turkey","Guinea","2014.0","Export","678.0","15.73","66350.55","0.04"
"Turkey","Gambia, The","2014.0","Export","245.0","5.68","20811.64","0.01"
"Turkey","Guinea-Bissau","2014.0","Export","69.0","1.6","6223.94","0.0"
"Turkey","Equatorial Guinea","2014.0","Export","693.0","16.08","64314.63","0.04"
"Turkey","Greece","2014.0","Export","2336.0","54.19","1536763.64","0.97"
"Turkey","Grenada","2014.0","Export","19.0","0.44","209.54","0.0"
"Turkey","Greenland","2014.0","Export","1.0","0.02","0.61","0.0"
"Turkey","Guatemala","2014.0","Export","187.0","4.34","20721.72","0.01"
"Turkey","Guam","2014.0","Export","12.0","0.28","1449.6","0.0"
"Turkey","Guyana","2014.0","Export","151.0","3.5","11245.42","0.01"
"Turkey","Hong Kong, China","2014.0","Export","1088.0","25.24","439578.86","0.28"
"Turkey","Honduras","2014.0","Export","104.0","2.41","8239.52","0.01"
"Turkey","Croatia","2014.0","Export","1364.0","31.64","287670.81","0.18"
"Turkey","Haiti","2014.0","Export","102.0","2.37","22488.58","0.01"
"Turkey","Hungary","2014.0","Export","1600.0","37.11","693698.6","0.44"
"Turkey","Indonesia","2014.0","Export","812.0","18.84","227637.48","0.14"
"Turkey","India","2014.0","Export","1500.0","34.79","586719.77","0.37"
"Turkey","British Indian Ocean Ter.","2014.0","Export","1.0","0.02","11.54","0.0"
"Turkey","Ireland","2014.0","Export","904.0","20.97","471323.25","0.3"
"Turkey","Iran, Islamic Rep.","2014.0","Export","3018.0","70.01","3888292.12","2.47"
"Turkey","Iraq","2014.0","Export","3085.0","71.56","10896202.65","6.91"
"Turkey","Iceland","2014.0","Export","238.0","5.52","18130.27","0.01"
"Turkey","Israel","2014.0","Export","2286.0","53.03","2950252.76","1.87"
"Turkey","Italy","2014.0","Export","2460.0","57.06","7144642.17","4.53"
"Turkey","Jamaica","2014.0","Export","128.0","2.97","46275.84","0.03"
"Turkey","Jordan","2014.0","Export","1939.0","44.98","907364.74","0.58"
