"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Ukraine","Aruba","2014.0","Export","3.0","0.08","989.23","0.0"
"Ukraine","Afghanistan","2014.0","Export","103.0","2.87","10169.88","0.02"
"Ukraine","Angola","2014.0","Export","62.0","1.73","5074.73","0.01"
"Ukraine","Albania","2014.0","Export","62.0","1.73","24529.53","0.05"
"Ukraine","Andorra","2014.0","Export","1.0","0.03","21.21","0.0"
"Ukraine","United Arab Emirates","2014.0","Export","584.0","16.25","394944.34","0.73"
"Ukraine","Argentina","2014.0","Export","36.0","1.0","19923.01","0.04"
"Ukraine","Armenia","2014.0","Export","725.0","20.17","173359.33","0.32"
"Ukraine","American Samoa","2014.0","Export","","","",""
"Ukraine","Antigua and Barbuda","2014.0","Export","32.0","0.89","43.03","0.0"
"Ukraine","Australia","2014.0","Export","134.0","3.73","18249.0","0.03"
"Ukraine","Austria","2014.0","Export","648.0","18.03","530900.94","0.98"
"Ukraine","Azerbaijan","2014.0","Export","891.0","24.79","591552.76","1.1"
"Ukraine","Burundi","2014.0","Export","1.0","0.03","251.34","0.0"
"Ukraine","Belgium","2014.0","Export","539.0","15.0","425235.65","0.79"
"Ukraine","Benin","2014.0","Export","10.0","0.28","14279.93","0.03"
"Ukraine","Bonaire","2014.0","Export","1.0","0.03","0.31","0.0"
"Ukraine","Burkina Faso","2014.0","Export","143.0","3.98","3713.89","0.01"
"Ukraine","Bangladesh","2014.0","Export","68.0","1.89","152922.47","0.28"
"Ukraine","Bulgaria","2014.0","Export","777.0","21.62","550603.89","1.02"
"Ukraine","Bahrain","2014.0","Export","44.0","1.22","1446.79","0.0"
"Ukraine","Bahamas, The","2014.0","Export","76.0","2.11","73.7","0.0"
"Ukraine","Bosnia and Herzegovina","2014.0","Export","68.0","1.89","10759.31","0.02"
"Ukraine","Belarus","2014.0","Export","1703.0","47.38","1617139.29","3.0"
"Ukraine","Belize","2014.0","Export","14.0","0.39","360.33","0.0"
"Ukraine","Bermuda","2014.0","Export","","","",""
"Ukraine","Bolivia","2014.0","Export","50.0","1.39","2063.01","0.0"
"Ukraine","Brazil","2014.0","Export","96.0","2.67","110185.99","0.2"
