"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"United Arab Emirates","Aruba","2011.0","Export","1.0","100.0","460.77","0.0"
"United Arab Emirates","Afghanistan","2011.0","Export","1.0","100.0","1713395.49","0.68"
"United Arab Emirates","Angola","2011.0","Export","1.0","100.0","506138.66","0.2"
"United Arab Emirates","Anguila","2011.0","Export","","","14.32","0.0"
"United Arab Emirates","Albania","2011.0","Export","1.0","100.0","4181.62","0.0"
"United Arab Emirates","Andorra","2011.0","Export","","","1103.48","0.0"
"United Arab Emirates","Argentina","2011.0","Export","1.0","100.0","5959.06","0.0"
"United Arab Emirates","Armenia","2011.0","Export","1.0","100.0","101793.74","0.04"
"United Arab Emirates","Antigua and Barbuda","2011.0","Export","1.0","100.0","106.19","0.0"
"United Arab Emirates","Australia","2011.0","Export","1.0","100.0","236261.59","0.09"
"United Arab Emirates","Austria","2011.0","Export","1.0","100.0","31540.6","0.01"
"United Arab Emirates","Azerbaijan","2011.0","Export","1.0","100.0","193165.39","0.08"
"United Arab Emirates","Burundi","2011.0","Export","","","5246.99","0.0"
"United Arab Emirates","Belgium","2011.0","Export","1.0","100.0","2556230.9","1.01"
"United Arab Emirates","Benin","2011.0","Export","","","74099.54","0.03"
"United Arab Emirates","Burkina Faso","2011.0","Export","","","5318.65","0.0"
"United Arab Emirates","Bangladesh","2011.0","Export","1.0","100.0","116735.45","0.05"
"United Arab Emirates","Bulgaria","2011.0","Export","1.0","100.0","18077.08","0.01"
"United Arab Emirates","Bahrain","2011.0","Export","1.0","100.0","1515617.4","0.6"
"United Arab Emirates","Bahamas, The","2011.0","Export","","","18.24","0.0"
"United Arab Emirates","Bosnia and Herzegovina","2011.0","Export","1.0","100.0","1581.76","0.0"
"United Arab Emirates","Belarus","2011.0","Export","1.0","100.0","14711.86","0.01"
"United Arab Emirates","Belize","2011.0","Export","","","74.39","0.0"
"United Arab Emirates","Bermuda","2011.0","Export","","","4.38","0.0"
"United Arab Emirates","Bolivia","2011.0","Export","","","5634.27","0.0"
"United Arab Emirates","Brazil","2011.0","Export","1.0","100.0","567091.19","0.22"
"United Arab Emirates","Barbados","2011.0","Export","","","111.64","0.0"
"United Arab Emirates","Brunei","2011.0","Export","1.0","100.0","3824.4","0.0"
"United Arab Emirates","Bhutan","2011.0","Export","","","49.55","0.0"
"United Arab Emirates","Botswana","2011.0","Export","","","4266.22","0.0"
"United Arab Emirates","Central African Republic","2011.0","Export","","","2870.15","0.0"
"United Arab Emirates","Canada","2011.0","Export","1.0","100.0","836173.61","0.33"
"United Arab Emirates","Switzerland","2011.0","Export","1.0","100.0","4872614.81","1.93"
"United Arab Emirates","Chile","2011.0","Export","1.0","100.0","30768.76","0.01"
"United Arab Emirates","China","2011.0","Export","1.0","100.0","678600.83","0.27"
"United Arab Emirates","Cote d'Ivoire","2011.0","Export","1.0","100.0","32530.68","0.01"
"United Arab Emirates","Cameroon","2011.0","Export","1.0","100.0","99598.83","0.04"
"United Arab Emirates","Congo, Rep.","2011.0","Export","1.0","100.0","99930.3","0.04"
"United Arab Emirates","Cook Islands","2011.0","Export","1.0","100.0","19.93","0.0"
"United Arab Emirates","Colombia","2011.0","Export","1.0","100.0","17130.96","0.01"
"United Arab Emirates","Comoros","2011.0","Export","1.0","100.0","32024.95","0.01"
"United Arab Emirates","Cape Verde","2011.0","Export","","","663.8","0.0"
"United Arab Emirates","Costa Rica","2011.0","Export","","","943.85","0.0"
"United Arab Emirates","Cuba","2011.0","Export","1.0","100.0","1568.28","0.0"
"United Arab Emirates","Curaçao","2011.0","Export","","","1640.83","0.0"
"United Arab Emirates","Cayman Islands","2011.0","Export","","","40.44","0.0"
"United Arab Emirates","Cyprus","2011.0","Export","1.0","100.0","29859.1","0.01"
"United Arab Emirates","Czech Republic","2011.0","Export","1.0","100.0","32724.47","0.01"
"United Arab Emirates","Germany","2011.0","Export","1.0","100.0","417174.93","0.17"
"United Arab Emirates","Djibouti","2011.0","Export","1.0","100.0","188733.92","0.07"
"United Arab Emirates","Dominica","2011.0","Export","","","182.99","0.0"
"United Arab Emirates","Denmark","2011.0","Export","1.0","100.0","14070.17","0.01"
"United Arab Emirates","Dominican Republic","2011.0","Export","1.0","100.0","3522.01","0.0"
"United Arab Emirates","Algeria","2011.0","Export","1.0","100.0","371869.35","0.15"
"United Arab Emirates","East Asia & Pacific","2011.0","Export","1.0","100.0","6836280.75","2.71"
"United Arab Emirates","Europe & Central Asia","2011.0","Export","1.0","100.0","13168668.75","5.21"
"United Arab Emirates","Ecuador","2011.0","Export","","","10455.34","0.0"
"United Arab Emirates","Egypt, Arab Rep.","2011.0","Export","1.0","100.0","634369.16","0.25"
"United Arab Emirates","Eritrea","2011.0","Export","1.0","100.0","123720.46","0.05"
"United Arab Emirates","Western Sahara","2011.0","Export","","","42.32","0.0"
"United Arab Emirates","Spain","2011.0","Export","1.0","100.0","150228.97","0.06"
"United Arab Emirates","Estonia","2011.0","Export","","","3617.4","0.0"
"United Arab Emirates","Ethiopia(excludes Eritrea)","2011.0","Export","1.0","100.0","827185.41","0.33"
"United Arab Emirates","Finland","2011.0","Export","1.0","100.0","99585.27","0.04"
"United Arab Emirates","Fiji","2011.0","Export","","","1293.61","0.0"
"United Arab Emirates","Falkland Island","2011.0","Export","","","",""
"United Arab Emirates","France","2011.0","Export","1.0","100.0","489741.7","0.19"
"United Arab Emirates","Faeroe Islands","2011.0","Export","","","54.32","0.0"
"United Arab Emirates","Gabon","2011.0","Export","1.0","100.0","34330.93","0.01"
"United Arab Emirates","United Kingdom","2011.0","Export","1.0","100.0","744374.14","0.29"
"United Arab Emirates","Georgia","2011.0","Export","1.0","100.0","75525.25","0.03"
"United Arab Emirates","Ghana","2011.0","Export","1.0","100.0","213983.11","0.08"
"United Arab Emirates","Gibraltar","2011.0","Export","","","140.36","0.0"
"United Arab Emirates","Guinea","2011.0","Export","1.0","100.0","72509.74","0.03"
"United Arab Emirates","Gambia, The","2011.0","Export","","","19318.37","0.01"
"United Arab Emirates","Guinea-Bissau","2011.0","Export","","","5344.6","0.0"
"United Arab Emirates","Equatorial Guinea","2011.0","Export","","","21593.01","0.01"
"United Arab Emirates","Greece","2011.0","Export","1.0","100.0","45761.63","0.02"
"United Arab Emirates","Guatemala","2011.0","Export","","","887.25","0.0"
"United Arab Emirates","Guam","2011.0","Export","","","157.12","0.0"
"United Arab Emirates","Guyana","2011.0","Export","","","225.47","0.0"
"United Arab Emirates","Hong Kong, China","2011.0","Export","1.0","100.0","2449251.23","0.97"
"United Arab Emirates","Honduras","2011.0","Export","","","4547.4","0.0"
"United Arab Emirates","Croatia","2011.0","Export","1.0","100.0","6346.16","0.0"
"United Arab Emirates","Haiti","2011.0","Export","","","3598.52","0.0"
"United Arab Emirates","Hungary","2011.0","Export","1.0","100.0","11045.79","0.0"
"United Arab Emirates","Indonesia","2011.0","Export","1.0","100.0","98520.1","0.04"
"United Arab Emirates","India","2011.0","Export","1.0","100.0","24236520.8","9.6"
"United Arab Emirates","Ireland","2011.0","Export","1.0","100.0","8507.05","0.0"
"United Arab Emirates","Iran, Islamic Rep.","2011.0","Export","1.0","100.0","14219152.81","5.63"
"United Arab Emirates","Iraq","2011.0","Export","1.0","100.0","3255429.48","1.29"
"United Arab Emirates","Iceland","2011.0","Export","1.0","100.0","607.61","0.0"
"United Arab Emirates","Italy","2011.0","Export","1.0","100.0","520010.34","0.21"
"United Arab Emirates","Jamaica","2011.0","Export","","","480.74","0.0"
"United Arab Emirates","Jordan","2011.0","Export","1.0","100.0","331760.64","0.13"
"United Arab Emirates","Japan","2011.0","Export","1.0","100.0","155229.53","0.06"
"United Arab Emirates","Kazakhstan","2011.0","Export","1.0","100.0","213119.95","0.08"
"United Arab Emirates","Kenya","2011.0","Export","1.0","100.0","515515.12","0.2"
"United Arab Emirates","Kyrgyz Republic","2011.0","Export","1.0","100.0","16792.67","0.01"
"United Arab Emirates","Cambodia","2011.0","Export","1.0","100.0","26054.61","0.01"
"United Arab Emirates","Kiribati","2011.0","Export","","","16.96","0.0"
"United Arab Emirates","St. Kitts and Nevis","2011.0","Export","","","3.43","0.0"
"United Arab Emirates","Korea, Rep.","2011.0","Export","1.0","100.0","215707.41","0.09"
"United Arab Emirates","Kuwait","2011.0","Export","1.0","100.0","2194127.34","0.87"
"United Arab Emirates","Lao PDR","2011.0","Export","","","232.96","0.0"
"United Arab Emirates","Lebanon","2011.0","Export","1.0","100.0","570723.06","0.23"
"United Arab Emirates","Liberia","2011.0","Export","1.0","100.0","32546.18","0.01"
"United Arab Emirates","Libya","2011.0","Export","1.0","100.0","268113.3","0.11"
"United Arab Emirates","St. Lucia","2011.0","Export","","","40.81","0.0"
"United Arab Emirates","Latin America & Caribbean","2011.0","Export","1.0","100.0","708469.74","0.28"
"United Arab Emirates","Sri Lanka","2011.0","Export","1.0","100.0","224388.72","0.09"
"United Arab Emirates","Lesotho","2011.0","Export","","","120.55","0.0"
"United Arab Emirates","Lithuania","2011.0","Export","1.0","100.0","28389.69","0.01"
"United Arab Emirates","Luxembourg","2011.0","Export","1.0","100.0","1290.37","0.0"
"United Arab Emirates","Latvia","2011.0","Export","1.0","100.0","8365.97","0.0"
"United Arab Emirates","Macao","2011.0","Export","","","2419.74","0.0"
"United Arab Emirates","Morocco","2011.0","Export","1.0","100.0","225946.92","0.09"
"United Arab Emirates","Moldova","2011.0","Export","1.0","100.0","1698.87","0.0"
