"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"United Kingdom","Aruba","2014.0","Export","148.0","3.29","65572.43","0.01"
"United Kingdom","Afghanistan","2014.0","Export","552.0","12.26","48816.13","0.01"
"United Kingdom","Angola","2014.0","Export","1278.0","28.39","999945.43","0.2"
"United Kingdom","Anguila","2014.0","Export","45.0","1.0","8439.01","0.0"
"United Kingdom","Albania","2014.0","Export","434.0","9.64","33404.78","0.01"
"United Kingdom","Andorra","2014.0","Export","202.0","4.49","11402.21","0.0"
"United Kingdom","United Arab Emirates","2014.0","Export","3259.0","72.41","10538688.49","2.06"
"United Kingdom","Argentina","2014.0","Export","980.0","21.77","492004.75","0.1"
"United Kingdom","Armenia","2014.0","Export","526.0","11.69","23489.75","0.0"
"United Kingdom","American Samoa","2014.0","Export","9.0","0.2","420.47","0.0"
"United Kingdom","Antarctica","2014.0","Export","26.0","0.58","631.35","0.0"
"United Kingdom","Antigua and Barbuda","2014.0","Export","388.0","8.62","23501.23","0.0"
"United Kingdom","Australia","2014.0","Export","3128.0","69.5","6056501.1","1.19"
"United Kingdom","Austria","2014.0","Export","3244.0","72.07","2668484.61","0.52"
"United Kingdom","Azerbaijan","2014.0","Export","1375.0","30.55","953142.71","0.19"
"United Kingdom","Burundi","2014.0","Export","85.0","1.89","5249.34","0.0"
"United Kingdom","Belgium","2014.0","Export","3782.0","84.03","20777740.54","4.07"
"United Kingdom","Benin","2014.0","Export","293.0","6.51","104101.22","0.02"
"United Kingdom","Bonaire","2014.0","Export","20.0","0.44","685.96","0.0"
"United Kingdom","Burkina Faso","2014.0","Export","200.0","4.44","13470.33","0.0"
"United Kingdom","Bangladesh","2014.0","Export","811.0","18.02","215490.41","0.04"
"United Kingdom","Bulgaria","2014.0","Export","2584.0","57.41","727683.12","0.14"
"United Kingdom","Bahrain","2014.0","Export","1739.0","38.64","488080.12","0.1"
"United Kingdom","Bahamas, The","2014.0","Export","452.0","10.04","34023.88","0.01"
"United Kingdom","Bosnia and Herzegovina","2014.0","Export","481.0","10.69","37891.55","0.01"
"United Kingdom","Belarus","2014.0","Export","734.0","16.31","138388.53","0.03"
"United Kingdom","Belize","2014.0","Export","182.0","4.04","12920.0","0.0"
"United Kingdom","Bermuda","2014.0","Export","560.0","12.44","77604.29","0.02"
"United Kingdom","Bolivia","2014.0","Export","339.0","7.53","32765.35","0.01"
"United Kingdom","Brazil","2014.0","Export","2062.0","45.81","3798273.52","0.74"
"United Kingdom","Barbados","2014.0","Export","916.0","20.35","55907.45","0.01"
"United Kingdom","Brunei","2014.0","Export","666.0","14.8","301161.71","0.06"
"United Kingdom","Bhutan","2014.0","Export","32.0","0.71","1676.66","0.0"
"United Kingdom","Bouvet Island","2014.0","Export","10.0","0.22","675.34","0.0"
"United Kingdom","Botswana","2014.0","Export","319.0","7.09","42336.69","0.01"
"United Kingdom","Central African Republic","2014.0","Export","65.0","1.44","2303.92","0.0"
"United Kingdom","Canada","2014.0","Export","2788.0","61.94","6743228.55","1.32"
"United Kingdom","Cocos (Keeling) Islands","2014.0","Export","4.0","0.09","95.97","0.0"
"United Kingdom","Switzerland","2014.0","Export","3212.0","71.36","35132597.72","6.87"
"United Kingdom","Chile","2014.0","Export","1467.0","32.59","781576.84","0.15"
"United Kingdom","China","2014.0","Export","3068.0","68.16","26235499.89","5.13"
"United Kingdom","Cote d'Ivoire","2014.0","Export","707.0","15.71","132653.07","0.03"
"United Kingdom","Cameroon","2014.0","Export","586.0","13.02","76612.56","0.01"
"United Kingdom","Congo, Rep.","2014.0","Export","642.0","14.26","128865.25","0.03"
"United Kingdom","Cook Islands","2014.0","Export","8.0","0.18","25.31","0.0"
"United Kingdom","Colombia","2014.0","Export","1191.0","26.46","549731.83","0.11"
"United Kingdom","Comoros","2014.0","Export","20.0","0.44","501.94","0.0"
"United Kingdom","Cape Verde","2014.0","Export","142.0","3.15","37854.5","0.01"
"United Kingdom","Costa Rica","2014.0","Export","540.0","12.0","96682.25","0.02"
"United Kingdom","Cuba","2014.0","Export","198.0","4.4","31497.53","0.01"
"United Kingdom","Curaçao","2014.0","Export","213.0","4.73","28793.41","0.01"
"United Kingdom","Christmas Island","2014.0","Export","4.0","0.09","1021.1","0.0"
"United Kingdom","Cayman Islands","2014.0","Export","320.0","7.11","84718.16","0.02"
"United Kingdom","Cyprus","2014.0","Export","2788.0","61.94","723975.68","0.14"
"United Kingdom","Czech Republic","2014.0","Export","3231.0","71.78","3362099.15","0.66"
"United Kingdom","Germany","2014.0","Export","4101.0","91.11","52020647.51","10.18"
"United Kingdom","Djibouti","2014.0","Export","207.0","4.6","21725.08","0.0"
"United Kingdom","Dominica","2014.0","Export","216.0","4.8","8134.31","0.0"
"United Kingdom","Denmark","2014.0","Export","3456.0","76.78","4594822.59","0.9"
"United Kingdom","Dominican Republic","2014.0","Export","517.0","11.49","130077.45","0.03"
"United Kingdom","Algeria","2014.0","Export","933.0","20.73","789673.45","0.15"
"United Kingdom","East Asia & Pacific","2014.0","Export","4087.0","90.8","73310847.19","14.34"
"United Kingdom","Europe & Central Asia","2014.0","Export","4456.0","99.0","299023294.28","58.51"
"United Kingdom","Ecuador","2014.0","Export","611.0","13.57","182660.52","0.04"
"United Kingdom","Egypt, Arab Rep.","2014.0","Export","2042.0","45.37","1731886.75","0.34"
"United Kingdom","Eritrea","2014.0","Export","88.0","1.96","5226.83","0.0"
"United Kingdom","Western Sahara","2014.0","Export","1.0","0.02","2.83","0.0"
"United Kingdom","Spain","2014.0","Export","3851.0","85.56","14505445.9","2.84"
"United Kingdom","Estonia","2014.0","Export","2577.0","57.25","443382.7","0.09"
"United Kingdom","Ethiopia(excludes Eritrea)","2014.0","Export","704.0","15.64","178007.68","0.03"
"United Kingdom","Finland","2014.0","Export","3204.0","71.18","2635155.11","0.52"
"United Kingdom","Fiji","2014.0","Export","235.0","5.22","16062.64","0.0"
"United Kingdom","Falkland Island","2014.0","Export","1050.0","23.33","116170.78","0.02"
"United Kingdom","France","2014.0","Export","4025.0","89.42","32473032.41","6.35"
"United Kingdom","Faeroe Islands","2014.0","Export","400.0","8.89","19543.46","0.0"
"United Kingdom","Micronesia, Fed. Sts.","2014.0","Export","6.0","0.13","27.49","0.0"
"United Kingdom","Gabon","2014.0","Export","554.0","12.31","83978.45","0.02"
"United Kingdom","United Kingdom","2014.0","Export","","","",""
"United Kingdom","Georgia","2014.0","Export","748.0","16.62","95149.0","0.02"
"United Kingdom","Ghana","2014.0","Export","1595.0","35.44","559607.21","0.11"
"United Kingdom","Gibraltar","2014.0","Export","1342.0","29.82","820301.14","0.16"
