"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Uruguay","Aruba","2014.0","Export","7.0","0.39","3215.64","0.04"
"Uruguay","Afghanistan","2014.0","Export","1.0","0.06","217.31","0.0"
"Uruguay","Angola","2014.0","Export","26.0","1.45","8336.1","0.09"
"Uruguay","Anguila","2014.0","Export","","","",""
"Uruguay","Albania","2014.0","Export","3.0","0.17","187.16","0.0"
"Uruguay","Andorra","2014.0","Export","","","",""
"Uruguay","United Arab Emirates","2014.0","Export","34.0","1.89","9221.99","0.1"
"Uruguay","Argentina","2014.0","Export","561.0","31.24","440270.14","4.8"
"Uruguay","Armenia","2014.0","Export","4.0","0.22","23.13","0.0"
"Uruguay","American Samoa","2014.0","Export","","","",""
"Uruguay","Antigua and Barbuda","2014.0","Export","4.0","0.22","548.44","0.01"
"Uruguay","Australia","2014.0","Export","39.0","2.17","1917.67","0.02"
"Uruguay","Austria","2014.0","Export","13.0","0.72","438.24","0.0"
"Uruguay","Azerbaijan","2014.0","Export","3.0","0.17","94.48","0.0"
"Uruguay","Burundi","2014.0","Export","","","",""
"Uruguay","Belgium","2014.0","Export","39.0","2.17","25611.99","0.28"
"Uruguay","Benin","2014.0","Export","6.0","0.33","11161.32","0.12"
"Uruguay","Burkina Faso","2014.0","Export","2.0","0.11","118.17","0.0"
"Uruguay","Bangladesh","2014.0","Export","2.0","0.11","1446.28","0.02"
"Uruguay","Bulgaria","2014.0","Export","7.0","0.39","7549.78","0.08"
"Uruguay","Bahrain","2014.0","Export","10.0","0.56","376.15","0.0"
"Uruguay","Bahamas, The","2014.0","Export","1.0","0.06","372.46","0.0"
"Uruguay","Bosnia and Herzegovina","2014.0","Export","","","",""
"Uruguay","Belarus","2014.0","Export","8.0","0.45","1566.5","0.02"
"Uruguay","Belize","2014.0","Export","1.0","0.06","13.53","0.0"
"Uruguay","Bolivia","2014.0","Export","225.0","12.53","41934.72","0.46"
"Uruguay","Brazil","2014.0","Export","544.0","30.29","1611947.88","17.59"
"Uruguay","Barbados","2014.0","Export","7.0","0.39","3349.01","0.04"
"Uruguay","Brunei","2014.0","Export","2.0","0.11","179.27","0.0"
"Uruguay","Bhutan","2014.0","Export","","","",""
"Uruguay","Bouvet Island","2014.0","Export","1.0","0.06","32.05","0.0"
"Uruguay","Botswana","2014.0","Export","1.0","0.06","57.56","0.0"
"Uruguay","Central African Republic","2014.0","Export","1.0","0.06","62.4","0.0"
