"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Vietnam","Afghanistan","2013.0","Export","117.0","3.34","83279.06","0.06"
"Vietnam","Angola","2013.0","Export","566.0","16.17","124573.21","0.09"
"Vietnam","United Arab Emirates","2013.0","Export","675.0","19.28","4138413.19","3.13"
"Vietnam","Argentina","2013.0","Export","266.0","7.6","191731.6","0.15"
"Vietnam","Armenia","2013.0","Export","1.0","0.03","73.2","0.0"
"Vietnam","Australia","2013.0","Export","1275.0","36.42","3488123.37","2.64"
"Vietnam","Austria","2013.0","Export","307.0","8.77","1905046.78","1.44"
"Vietnam","Azerbaijan","2013.0","Export","29.0","0.83","56884.28","0.04"
"Vietnam","Belgium","2013.0","Export","581.0","16.6","1323340.02","1.0"
"Vietnam","Benin","2013.0","Export","32.0","0.91","22487.83","0.02"
"Vietnam","Burkina Faso","2013.0","Export","36.0","1.03","5061.22","0.0"
"Vietnam","Bangladesh","2013.0","Export","396.0","11.31","485719.26","0.37"
"Vietnam","Bulgaria","2013.0","Export","145.0","4.14","41208.51","0.03"
"Vietnam","Bahrain","2013.0","Export","105.0","3.0","7000.3","0.01"
"Vietnam","Belarus","2013.0","Export","61.0","1.74","13787.93","0.01"
"Vietnam","Brazil","2013.0","Export","449.0","12.82","1104837.93","0.84"
"Vietnam","Brunei","2013.0","Export","174.0","4.97","17480.93","0.01"
"Vietnam","Canada","2013.0","Export","938.0","26.79","1557811.51","1.18"
"Vietnam","Switzerland","2013.0","Export","465.0","13.28","288331.18","0.22"
"Vietnam","Chile","2013.0","Export","350.0","10.0","219617.07","0.17"
"Vietnam","China","2013.0","Export","1510.0","43.13","13177694.49","9.98"
"Vietnam","Cote d'Ivoire","2013.0","Export","62.0","1.77","247138.37","0.19"
"Vietnam","Cameroon","2013.0","Export","148.0","4.23","101398.6","0.08"
"Vietnam","Congo, Rep.","2013.0","Export","37.0","1.06","20223.21","0.02"
"Vietnam","Colombia","2013.0","Export","223.0","6.37","173523.12","0.13"
"Vietnam","Costa Rica","2013.0","Export","126.0","3.6","21067.95","0.02"
"Vietnam","Cuba","2013.0","Export","1.0","0.03","293.36","0.0"
"Vietnam","Cyprus","2013.0","Export","102.0","2.91","16592.9","0.01"
"Vietnam","Czech Republic","2013.0","Export","390.0","11.14","180407.03","0.14"
"Vietnam","Germany","2013.0","Export","1068.0","30.51","4736995.93","3.59"
"Vietnam","Dominica","2013.0","Export","52.0","1.49","17457.81","0.01"
"Vietnam","Denmark","2013.0","Export","475.0","13.57","267132.08","0.2"
"Vietnam","Dominican Republic","2013.0","Export","124.0","3.54","23382.48","0.02"
"Vietnam","Algeria","2013.0","Export","117.0","3.34","176724.14","0.13"
"Vietnam","East Asia & Pacific","2013.0","Export","3325.0","94.97","59997000.8","45.44"
"Vietnam","Europe & Central Asia","2013.0","Export","1916.0","54.73","28333577.95","21.46"
"Vietnam","Ecuador","2013.0","Export","143.0","4.08","79932.21","0.06"
"Vietnam","Egypt, Arab Rep.","2013.0","Export","268.0","7.66","220021.63","0.17"
"Vietnam","Spain","2013.0","Export","598.0","17.08","2109579.8","1.6"
"Vietnam","Estonia","2013.0","Export","113.0","3.23","11210.33","0.01"
"Vietnam","Ethiopia(excludes Eritrea)","2013.0","Export","35.0","1.0","25120.93","0.02"
"Vietnam","Finland","2013.0","Export","275.0","7.85","80740.43","0.06"
"Vietnam","Fiji","2013.0","Export","62.0","1.77","15836.86","0.01"
"Vietnam","France","2013.0","Export","933.0","26.65","2202728.59","1.67"
"Vietnam","Gabon","2013.0","Export","20.0","0.57","19104.14","0.01"
"Vietnam","United Kingdom","2013.0","Export","925.0","26.42","3696265.19","2.8"
"Vietnam","Georgia","2013.0","Export","51.0","1.46","19085.19","0.01"
"Vietnam","Ghana","2013.0","Export","146.0","4.17","247006.91","0.19"
"Vietnam","Guinea","2013.0","Export","55.0","1.57","33214.5","0.03"
"Vietnam","Gambia, The","2013.0","Export","15.0","0.43","6805.3","0.01"
"Vietnam","Guinea-Bissau","2013.0","Export","36.0","1.03","8249.97","0.01"
"Vietnam","Greece","2013.0","Export","279.0","7.97","186360.81","0.14"
"Vietnam","Guatemala","2013.0","Export","128.0","3.66","25086.83","0.02"
"Vietnam","Guam","2013.0","Export","1.0","0.03","0.2","0.0"
"Vietnam","Hong Kong, China","2013.0","Export","1100.0","31.42","4113496.89","3.12"
"Vietnam","Honduras","2013.0","Export","50.0","1.43","6044.37","0.0"
"Vietnam","Croatia","2013.0","Export","115.0","3.28","14835.86","0.01"
"Vietnam","Haiti","2013.0","Export","119.0","3.4","43215.77","0.03"
"Vietnam","Hungary","2013.0","Export","236.0","6.74","60060.58","0.05"
"Vietnam","Indonesia","2013.0","Export","1037.0","29.62","2502204.3","1.9"
"Vietnam","India","2013.0","Export","829.0","23.68","2354695.38","1.78"
"Vietnam","Ireland","2013.0","Export","200.0","5.71","73766.16","0.06"
"Vietnam","Iran, Islamic Rep.","2013.0","Export","1.0","0.03","330.49","0.0"
"Vietnam","Israel","2013.0","Export","420.0","12.0","404513.77","0.31"
"Vietnam","Italy","2013.0","Export","745.0","21.28","2290696.84","1.73"
"Vietnam","Jamaica","2013.0","Export","41.0","1.17","5664.34","0.0"
"Vietnam","Jordan","2013.0","Export","190.0","5.43","48202.98","0.04"
"Vietnam","Japan","2013.0","Export","1976.0","56.44","13544244.95","10.26"
"Vietnam","Kazakhstan","2013.0","Export","85.0","2.43","154308.66","0.12"
"Vietnam","Kenya","2013.0","Export","113.0","3.23","50616.71","0.04"
"Vietnam","Kyrgyz Republic","2013.0","Export","1.0","0.03","6.61","0.0"
"Vietnam","Cambodia","2013.0","Export","1743.0","49.79","2933996.77","2.22"
"Vietnam","Korea, Rep.","2013.0","Export","1563.0","44.64","6682944.91","5.06"
"Vietnam","Kuwait","2013.0","Export","195.0","5.57","35281.21","0.03"
"Vietnam","Lao PDR","2013.0","Export","1317.0","37.62","423186.68","0.32"
"Vietnam","Lebanon","2013.0","Export","249.0","7.11","53569.08","0.04"
"Vietnam","Liberia","2013.0","Export","54.0","1.54","11676.31","0.01"
"Vietnam","Libya","2013.0","Export","84.0","2.4","29693.29","0.02"
"Vietnam","Latin America & Caribbean","2013.0","Export","987.0","28.19","3216533.06","2.44"
"Vietnam","Sri Lanka","2013.0","Export","314.0","8.97","130350.97","0.1"
"Vietnam","Lesotho","2013.0","Export","2.0","0.06","17465.83","0.01"
"Vietnam","Lithuania","2013.0","Export","111.0","3.17","43057.2","0.03"
"Vietnam","Luxembourg","2013.0","Export","13.0","0.37","43033.1","0.03"
"Vietnam","Latvia","2013.0","Export","100.0","2.86","102283.25","0.08"
"Vietnam","Morocco","2013.0","Export","148.0","4.23","100962.62","0.08"
"Vietnam","Madagascar","2013.0","Export","43.0","1.23","33991.2","0.03"
"Vietnam","Middle East & North Africa","2013.0","Export","1031.0","29.45","5806379.03","4.4"
"Vietnam","Mexico","2013.0","Export","434.0","12.4","891974.14","0.68"
"Vietnam","Marshall Islands","2013.0","Export","11.0","0.31","13875.94","0.01"
"Vietnam","Mali","2013.0","Export","19.0","0.54","14213.32","0.01"
"Vietnam","Malta","2013.0","Export","58.0","1.66","8457.9","0.01"
