"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Zambia","Angola","2014.0","Export","37.0","1.96","8100.98","0.08"
"Zambia","Albania","2014.0","Export","","","",""
"Zambia","Andorra","2014.0","Export","","","",""
"Zambia","United Arab Emirates","2014.0","Export","67.0","3.55","230862.61","2.38"
"Zambia","Argentina","2014.0","Export","","","",""
"Zambia","Armenia","2014.0","Export","1.0","0.05","0.4","0.0"
"Zambia","Fr. So. Ant. Tr","2014.0","Export","1.0","0.05","5.01","0.0"
"Zambia","Antigua and Barbuda","2014.0","Export","2.0","0.11","0.28","0.0"
"Zambia","Australia","2014.0","Export","46.0","2.44","348743.97","3.6"
"Zambia","Austria","2014.0","Export","3.0","0.16","42.34","0.0"
"Zambia","Azerbaijan","2014.0","Export","1.0","0.05","33.83","0.0"
"Zambia","Burundi","2014.0","Export","14.0","0.74","6015.96","0.06"
"Zambia","Belgium","2014.0","Export","22.0","1.17","34446.14","0.36"
"Zambia","Burkina Faso","2014.0","Export","7.0","0.37","30.24","0.0"
"Zambia","Bangladesh","2014.0","Export","1.0","0.05","4.01","0.0"
"Zambia","Bulgaria","2014.0","Export","4.0","0.21","415.79","0.0"
"Zambia","Bahrain","2014.0","Export","1.0","0.05","0.1","0.0"
"Zambia","Belarus","2014.0","Export","1.0","0.05","35.15","0.0"
"Zambia","Belize","2014.0","Export","","","",""
"Zambia","Bermuda","2014.0","Export","","","",""
"Zambia","Bolivia","2014.0","Export","","","",""
"Zambia","Brazil","2014.0","Export","8.0","0.42","13469.83","0.14"
"Zambia","Barbados","2014.0","Export","4.0","0.21","0.15","0.0"
"Zambia","Bhutan","2014.0","Export","","","",""
"Zambia","Bouvet Island","2014.0","Export","","","",""
"Zambia","Botswana","2014.0","Export","169.0","8.96","43708.95","0.45"
"Zambia","Central African Republic","2014.0","Export","1.0","0.05","2.5","0.0"
"Zambia","Canada","2014.0","Export","11.0","0.58","458.2","0.0"
"Zambia","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Zambia","Switzerland","2014.0","Export","36.0","1.91","4330973.92","44.7"
"Zambia","Chile","2014.0","Export","3.0","0.16","60.41","0.0"
"Zambia","China","2014.0","Export","95.0","5.04","1790763.76","18.48"
"Zambia","Cote d'Ivoire","2014.0","Export","","","",""
"Zambia","Cameroon","2014.0","Export","2.0","0.11","22.2","0.0"
"Zambia","Congo, Rep.","2014.0","Export","75.0","3.98","12058.54","0.12"
"Zambia","Colombia","2014.0","Export","2.0","0.11","38.52","0.0"
"Zambia","Cape Verde","2014.0","Export","","","",""
"Zambia","Costa Rica","2014.0","Export","","","",""
"Zambia","Curaçao","2014.0","Export","1.0","0.05","217.24","0.0"
"Zambia","Christmas Island","2014.0","Export","","","",""
"Zambia","Cyprus","2014.0","Export","5.0","0.27","297.28","0.0"
"Zambia","Czech Republic","2014.0","Export","5.0","0.27","360.39","0.0"
"Zambia","Germany","2014.0","Export","55.0","2.92","33028.83","0.34"
"Zambia","Djibouti","2014.0","Export","","","",""
"Zambia","Dominica","2014.0","Export","","","",""
"Zambia","Denmark","2014.0","Export","8.0","0.42","794.49","0.01"
"Zambia","Dominican Republic","2014.0","Export","","","",""
"Zambia","East Asia & Pacific","2014.0","Export","164.0","8.7","2643170.42","27.28"
"Zambia","Europe & Central Asia","2014.0","Export","290.0","15.38","4569769.55","47.17"
