"Reporter Name","Partner Name","Year","Trade Flow","No Of exported HS6 digit Products","Export Share in Total Products (%)","Export (US$ Thousand)","Export Partner Share (%)"
"Zimbabwe","Aruba","2014.0","Export","","","",""
"Zimbabwe","Afghanistan","2014.0","Export","","","",""
"Zimbabwe","Angola","2014.0","Export","","","",""
"Zimbabwe","Andorra","2014.0","Export","1.0","0.07","4.0","0.0"
"Zimbabwe","United Arab Emirates","2014.0","Export","24.0","1.59","96085.82","3.14"
"Zimbabwe","Argentina","2014.0","Export","1.0","0.07","2.05","0.0"
"Zimbabwe","Armenia","2014.0","Export","","","",""
"Zimbabwe","Antarctica","2014.0","Export","","","",""
"Zimbabwe","Antigua and Barbuda","2014.0","Export","","","",""
"Zimbabwe","Australia","2014.0","Export","28.0","1.85","60.55","0.0"
"Zimbabwe","Austria","2014.0","Export","1.0","0.07","102.69","0.0"
"Zimbabwe","Azerbaijan","2014.0","Export","","","",""
"Zimbabwe","Burundi","2014.0","Export","3.0","0.2","28.0","0.0"
"Zimbabwe","Belgium","2014.0","Export","17.0","1.13","125014.55","4.08"
"Zimbabwe","Burkina Faso","2014.0","Export","","","",""
"Zimbabwe","Bangladesh","2014.0","Export","","","",""
"Zimbabwe","Bulgaria","2014.0","Export","2.0","0.13","0.03","0.0"
"Zimbabwe","Bahrain","2014.0","Export","","","",""
"Zimbabwe","Bahamas, The","2014.0","Export","","","",""
"Zimbabwe","Bosnia and Herzegovina","2014.0","Export","","","",""
"Zimbabwe","Belarus","2014.0","Export","","","",""
"Zimbabwe","Bermuda","2014.0","Export","","","",""
"Zimbabwe","Brazil","2014.0","Export","","","",""
"Zimbabwe","Barbados","2014.0","Export","","","",""
"Zimbabwe","Botswana","2014.0","Export","250.0","16.56","27938.89","0.91"
"Zimbabwe","Central African Republic","2014.0","Export","1.0","0.07","0.1","0.0"
"Zimbabwe","Canada","2014.0","Export","2.0","0.13","57.03","0.0"
"Zimbabwe","Cocos (Keeling) Islands","2014.0","Export","","","",""
"Zimbabwe","Switzerland","2014.0","Export","13.0","0.86","516.1","0.02"
"Zimbabwe","Chile","2014.0","Export","","","",""
"Zimbabwe","China","2014.0","Export","25.0","1.66","12608.19","0.41"
"Zimbabwe","Cote d'Ivoire","2014.0","Export","","","",""
"Zimbabwe","Cameroon","2014.0","Export","4.0","0.26","45.26","0.0"
"Zimbabwe","Congo, Rep.","2014.0","Export","9.0","0.6","679.65","0.02"
"Zimbabwe","Colombia","2014.0","Export","1.0","0.07","16.4","0.0"
"Zimbabwe","Costa Rica","2014.0","Export","","","",""
"Zimbabwe","Cuba","2014.0","Export","","","",""
"Zimbabwe","Curaçao","2014.0","Export","","","",""
"Zimbabwe","Cyprus","2014.0","Export","1.0","0.07","1.08","0.0"
"Zimbabwe","Czech Republic","2014.0","Export","1.0","0.07","41.24","0.0"
"Zimbabwe","Germany","2014.0","Export","50.0","3.31","4405.59","0.14"
"Zimbabwe","Denmark","2014.0","Export","6.0","0.4","2.27","0.0"
"Zimbabwe","Algeria","2014.0","Export","","","",""
"Zimbabwe","East Asia & Pacific","2014.0","Export","74.0","4.9","16114.67","0.53"
"Zimbabwe","Europe & Central Asia","2014.0","Export","205.0","13.58","153979.53","5.03"
"Zimbabwe","Ecuador","2014.0","Export","","","",""
"Zimbabwe","Egypt, Arab Rep.","2014.0","Export","7.0","0.46","164.93","0.01"
"Zimbabwe","Eritrea","2014.0","Export","","","",""
"Zimbabwe","Western Sahara","2014.0","Export","1.0","0.07","2.9","0.0"
"Zimbabwe","Spain","2014.0","Export","7.0","0.46","306.29","0.01"
"Zimbabwe","Estonia","2014.0","Export","","","",""
"Zimbabwe","Ethiopia(excludes Eritrea)","2014.0","Export","4.0","0.26","26.39","0.0"
"Zimbabwe","Finland","2014.0","Export","1.0","0.07","74.84","0.0"
"Zimbabwe","France","2014.0","Export","31.0","2.05","11136.76","0.36"
"Zimbabwe","Gabon","2014.0","Export","","","",""
"Zimbabwe","United Kingdom","2014.0","Export","67.0","4.44","6753.92","0.22"
"Zimbabwe","Georgia","2014.0","Export","1.0","0.07","1.0","0.0"
"Zimbabwe","Ghana","2014.0","Export","4.0","0.26","30.32","0.0"
"Zimbabwe","Guinea","2014.0","Export","1.0","0.07","0.39","0.0"
"Zimbabwe","Gambia, The","2014.0","Export","","","",""
"Zimbabwe","Equatorial Guinea","2014.0","Export","","","",""
"Zimbabwe","Greece","2014.0","Export","4.0","0.26","2.36","0.0"
"Zimbabwe","Hong Kong, China","2014.0","Export","10.0","0.66","2371.22","0.08"
"Zimbabwe","Croatia","2014.0","Export","","","",""
"Zimbabwe","Haiti","2014.0","Export","","","",""
"Zimbabwe","Hungary","2014.0","Export","1.0","0.07","29.82","0.0"
"Zimbabwe","Indonesia","2014.0","Export","2.0","0.13","0.08","0.0"
"Zimbabwe","India","2014.0","Export","13.0","0.86","688.05","0.02"
"Zimbabwe","Ireland","2014.0","Export","4.0","0.26","48.91","0.0"
"Zimbabwe","Iran, Islamic Rep.","2014.0","Export","","","",""
"Zimbabwe","Iraq","2014.0","Export","","","",""
"Zimbabwe","Iceland","2014.0","Export","","","",""
"Zimbabwe","Israel","2014.0","Export","11.0","0.73","9528.69","0.31"
"Zimbabwe","Italy","2014.0","Export","19.0","1.26","1920.6","0.06"
"Zimbabwe","Jamaica","2014.0","Export","","","",""
"Zimbabwe","Jordan","2014.0","Export","3.0","0.2","15.68","0.0"
"Zimbabwe","Japan","2014.0","Export","10.0","0.66","414.41","0.01"
"Zimbabwe","Kenya","2014.0","Export","65.0","4.3","881.46","0.03"
"Zimbabwe","Kyrgyz Republic","2014.0","Export","1.0","0.07","18.7","0.0"
"Zimbabwe","Cambodia","2014.0","Export","","","",""
"Zimbabwe","St. Kitts and Nevis","2014.0","Export","2.0","0.13","0.07","0.0"
"Zimbabwe","Korea, Rep.","2014.0","Export","2.0","0.13","0.67","0.0"
"Zimbabwe","Kuwait","2014.0","Export","5.0","0.33","12.6","0.0"
"Zimbabwe","Lebanon","2014.0","Export","4.0","0.26","14.49","0.0"
"Zimbabwe","Liberia","2014.0","Export","","","",""
"Zimbabwe","Libya","2014.0","Export","3.0","0.2","8.38","0.0"
"Zimbabwe","Latin America & Caribbean","2014.0","Export","5.0","0.33","113.35","0.0"
"Zimbabwe","Sri Lanka","2014.0","Export","","","",""
"Zimbabwe","Lesotho","2014.0","Export","5.0","0.33","526.11","0.02"
"Zimbabwe","Lithuania","2014.0","Export","","","",""
"Zimbabwe","Luxembourg","2014.0","Export","1.0","0.07","5.6","0.0"
"Zimbabwe","Latvia","2014.0","Export","1.0","0.07","5.0","0.0"
"Zimbabwe","Macao","2014.0","Export","","","",""
"Zimbabwe","Morocco","2014.0","Export","2.0","0.13","21.3","0.0"
"Zimbabwe","Moldova","2014.0","Export","","","",""
"Zimbabwe","Madagascar","2014.0","Export","2.0","0.13","0.1","0.0"
"Zimbabwe","Middle East & North Africa","2014.0","Export","54.0","3.58","105881.45","3.46"
"Zimbabwe","Mexico","2014.0","Export","1.0","0.07","58.52","0.0"
"Zimbabwe","Mali","2014.0","Export","","","",""
"Zimbabwe","Malta","2014.0","Export","","","",""
"Zimbabwe","Myanmar","2014.0","Export","","","",""
"Zimbabwe","Mongolia","2014.0","Export","","","",""
"Zimbabwe","Mozambique","2014.0","Export","604.0","40.0","577418.79","18.85"
"Zimbabwe","Mauritania","2014.0","Export","1.0","0.07","5.0","0.0"
"Zimbabwe","Mauritius","2014.0","Export","4.0","0.26","12.21","0.0"
"Zimbabwe","Malawi","2014.0","Export","110.0","7.28","4752.35","0.16"
"Zimbabwe","Malaysia","2014.0","Export","","","",""
"Zimbabwe","North America","2014.0","Export","44.0","2.91","2634.13","0.09"
"Zimbabwe","Namibia","2014.0","Export","39.0","2.58","8974.7","0.29"
"Zimbabwe","Niger","2014.0","Export","","","",""
"Zimbabwe","Nigeria","2014.0","Export","12.0","0.79","491.25","0.02"
"Zimbabwe","Nicaragua","2014.0","Export","","","",""
"Zimbabwe","Netherlands","2014.0","Export","57.0","3.77","3297.85","0.11"
"Zimbabwe","Norway","2014.0","Export","3.0","0.2","19.84","0.0"
"Zimbabwe","Nepal","2014.0","Export","","","",""
"Zimbabwe","New Zealand","2014.0","Export","1.0","0.07","9.1","0.0"
"Zimbabwe","Other Asia, nes","2014.0","Export","1.0","0.07","0.01","0.0"
"Zimbabwe","Oman","2014.0","Export","","","",""
"Zimbabwe","Pakistan","2014.0","Export","8.0","0.53","238.38","0.01"
"Zimbabwe","Panama","2014.0","Export","","","",""
"Zimbabwe","Peru","2014.0","Export","","","",""
"Zimbabwe","Philippines","2014.0","Export","1.0","0.07","189.29","0.01"
"Zimbabwe","Poland","2014.0","Export","4.0","0.26","21.68","0.0"
"Zimbabwe","Korea, Dem. Rep.","2014.0","Export","","","",""
"Zimbabwe","Portugal","2014.0","Export","","","",""
"Zimbabwe","Paraguay","2014.0","Export","","","",""
"Zimbabwe","Qatar","2014.0","Export","11.0","0.73","0.95","0.0"
"Zimbabwe","Romania","2014.0","Export","","","",""
"Zimbabwe","Russian Federation","2014.0","Export","4.0","0.26","100.79","0.0"
"Zimbabwe","Rwanda","2014.0","Export","6.0","0.4","90.46","0.0"
"Zimbabwe","South Asia","2014.0","Export","20.0","1.32","926.43","0.03"
"Zimbabwe","Saudi Arabia","2014.0","Export","2.0","0.13","28.6","0.0"
"Zimbabwe","Senegal","2014.0","Export","2.0","0.13","1.31","0.0"
"Zimbabwe","Serbia, FR(Serbia/Montenegro)","2014.0","Export","","","",""
"Zimbabwe","Singapore","2014.0","Export","6.0","0.4","299.18","0.01"
"Zimbabwe","Saint Helena","2014.0","Export","","","",""
"Zimbabwe","Sierra Leone","2014.0","Export","","","",""
"Zimbabwe","El Salvador","2014.0","Export","","","",""
"Zimbabwe","Somalia","2014.0","Export","","","",""
"Zimbabwe","Sub-Saharan Africa","2014.0","Export","1461.0","96.75","2782176.75","90.81"
"Zimbabwe","Sudan","2014.0","Export","9.0","0.6","71.61","0.0"
"Zimbabwe","Slovak Republic","2014.0","Export","1.0","0.07","46.84","0.0"
"Zimbabwe","Slovenia","2014.0","Export","","","",""
"Zimbabwe","Sweden","2014.0","Export","9.0","0.6","101.17","0.0"
"Zimbabwe","Swaziland","2014.0","Export","7.0","0.46","532.62","0.02"
"Zimbabwe","Seychelles","2014.0","Export","1.0","0.07","1.21","0.0"
"Zimbabwe","Turks and Caicos Isl.","2014.0","Export","1.0","0.07","36.32","0.0"
"Zimbabwe","Thailand","2014.0","Export","2.0","0.13","161.95","0.01"
"Zimbabwe","Tokelau","2014.0","Export","","","",""
"Zimbabwe","East Timor","2014.0","Export","","","",""
"Zimbabwe","Tunisia","2014.0","Export","","","",""
"Zimbabwe","Turkey","2014.0","Export","","","",""
"Zimbabwe","Tanzania","2014.0","Export","18.0","1.19","908.3","0.03"
"Zimbabwe","Uganda","2014.0","Export","6.0","0.4","161.5","0.01"
"Zimbabwe","Ukraine","2014.0","Export","1.0","0.07","0.0","0.0"
"Zimbabwe","Unspecified","2014.0","Export","2.0","0.13","1840.55","0.06"
"Zimbabwe","Uruguay","2014.0","Export","","","",""
"Zimbabwe","United States","2014.0","Export","44.0","2.91","2577.1","0.08"
